,capital_male,capital_female,tuple,one_male,one_female,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
12,2.2136128,2.0770912,"('unsupportive', 'supportive')",0.9447324,0.86187994,1.3027654,1.3960809,-1.7587281,-1.8023143,0.6755956,0.6331844,0.0424112
42,1.9783262,1.554328,"('unreliable', 'reliable')",0.84653276,0.89072907,0.762606,0.69094443,-2.296249,-2.1766126,0.322804,0.2398472,0.0829568
2,1.8427196,1.9032518,"('unlikable', 'likable')",0.89615947,0.64361227,2.3253722,2.092228,0.52607375,0.39998582,1.3975812,1.2597694,0.1378118
83,1.7830781,1.1802455,"('powerless', 'powerful')",0.18583882,-0.08445206,0.9116895,0.6007297,-0.38396454,-0.5190598,0.6241605,0.2943659,0.3297946
63,1.5956321,1.3743215,"('unperceptive', 'insightful')",0.40172186,0.77084947,1.1150695,1.0865805,1.1427599,0.973043,1.0637958,1.0511986,0.0125972
74,1.4419868,1.3552318,"('undedicated', 'dedicated')",0.2510227,0.1923074,0.53765875,0.6425459,-0.13608944,-0.18169262,0.5236447,0.5020981,0.0215466
39,1.3250413,0.8433525,"('exploitative', 'cooperative')",1.2307475,0.81756264,1.0696548,0.64848185,0.17039129,0.061362594,0.9489587,0.5926899,0.3562688
76,1.2565653,1.245406,"('anxious', 'daring')",-0.15733902,-0.0073466133,-0.34035468,-0.27330336,0.2736288,0.24353196,0.2581251,0.302072,-0.0439469
51,1.2485856,1.2070916,"('uneducated', 'educated')",0.53270435,0.41562873,-0.10794695,-0.19125703,1.5011916,1.0829375,0.7936336,0.6286002,0.1650334
62,1.1943619,1.4633812,"('incompetent', 'brilliant')",0.118025854,0.9611642,0.36207068,0.7679738,0.55296195,0.90613586,0.5568551,1.0246638,-0.4678087
70,1.1592501,1.3613353,"('lethargic', 'energetic')",-0.12392266,0.21417868,-0.09500612,0.17755902,1.1213075,1.2400162,0.5154072,0.7482723,-0.2328651
9,1.1385418,0.87411803,"('unaffectionate', 'caring')",-0.6299956,-0.7057663,1.3052444,1.2748566,0.75044334,0.752622,0.6410585,0.5489576,0.0921009
56,1.1351689,1.1859784,"('impractical', 'practical')",0.46159804,1.1593549,0.2109072,0.589445,-0.4547568,-0.21387006,0.3382294,0.680227,-0.3419976
25,-1.0573233,-0.9393846,"('egoistic', 'altruistic')",-0.8115684,-0.73128116,0.2703763,0.44078302,0.8922011,0.8175703,-0.1765786,-0.1030781,-0.0735005
61,1.0522107,1.0191909,"('illogical', 'logical')",-0.6726902,-0.29028398,1.0254266,1.0113361,0.46678922,0.45995513,0.4679341,0.5500495,-0.0821154
33,1.0482894,0.8951621,"('wrong', 'right')",1.0289136,0.84261656,1.4863776,1.2328738,-1.3186343,-1.3869604,0.5612366,0.395923,0.1653136
14,1.0271541,0.93720925,"('antisocial', 'social')",-0.15818019,0.33476943,1.5058235,1.8547736,0.30406234,0.19622032,0.6697149,0.8307432,-0.1610283
59,0.99744725,0.86576694,"('foolish', 'wise')",0.63875955,0.57782555,1.0995016,0.8135037,-0.97738075,-0.75103354,0.4395819,0.3765157,0.0630662
64,0.99427986,0.42281172,"('shy', 'confident')",1.350938,0.8469142,0.6471228,0.43039733,-5.495122,-5.6324344,-0.6256953,-0.9830778,0.3573825
72,0.9936691,1.2791501,"('unambitious', 'ambitious')",-0.43402162,-0.12552424,-0.36644846,-0.15365884,-0.7431401,-0.34666005,-0.1374853,0.1633267,-0.300812
36,-0.9884701,-1.4573345,"('hostile', 'amicable')",-0.044234917,-0.61646944,0.22524977,0.06507431,-1.0517318,-1.2916534,-0.4647968,-0.8250958,0.360299
11,0.9756541,0.9601755,"('unhelpful', 'helpful')",0.07715434,0.36162573,0.017829254,0.14320992,2.4607224,2.389486,0.88284,0.9636243,-0.0807843
29,0.97475576,0.951098,"('unfair', 'fair')",-0.18847503,-0.11155708,-0.32050312,-0.20682316,-0.30747804,-0.35916084,0.0395749,0.0683892,-0.0288143
73,0.95941615,1.1052613,"('helpless', 'self-reliant')",1.185151,1.2858243,1.3425107,1.355895,-3.3692667,-2.9945471,0.0294527,0.1881084,-0.1586557
85,0.9225166,0.51714605,"('insignificant', 'prestigious')",-0.3596863,-1.0257931,2.016425,1.4130291,-1.2870126,-1.592775,0.3230606,-0.1720982,0.4951588
32,0.904348,0.9702641,"('unkind', 'kind')",0.35391834,0.52968746,0.14965542,0.1884813,1.026917,0.82565826,0.6087097,0.6285228,-0.0198131
54,0.8739916,0.77097803,"('incapable', 'capable')",-0.0014920719,-0.32568413,1.1021287,0.88123333,0.3264705,0.2055992,0.5752747,0.3830316,0.1922431
67,0.84962744,0.46212554,"('doubtful', 'determined')",0.93628323,0.7554533,0.14001144,0.15076141,-0.60383654,-0.7767929,0.3305214,0.1478868,0.1826346
87,0.8446587,0.7886951,"('unsuccessful', 'successful')",0.52442366,0.57573456,1.2033379,1.1932752,1.2875236,1.3005098,0.964986,0.9645537,0.0004323
71,0.82688737,0.90045196,"('diffident', 'self-confident')",1.1005809,1.1373291,1.7680074,1.801005,0.04766523,-0.014444331,0.9357852,0.9560854,-0.0203002
81,0.7876149,0.25827,"('submissive', 'aggressive')",-0.370512,-0.56584024,0.45596433,0.3519907,0.10174718,-0.24112146,0.2437036,-0.0491753,0.2928789
22,0.7723954,0.6426622,"('untrustworthy', 'trustworthy')",0.07099778,0.17861116,-0.22460428,-0.113454774,-0.20724204,-0.2583435,0.1028867,0.1123688,-0.0094821
82,-0.7536781,0.16714029,"('poor', 'rich')",-1.0239614,-0.21473613,-0.538952,0.3584145,6.556866,6.9361305,1.0600686,1.8117373,-0.7516687
43,0.7519113,0.6361535,"('irresponsible', 'responsible')",-0.047227733,0.08761893,0.44308805,0.38144675,0.6366092,0.5791857,0.4460952,0.4211012,0.024994
16,-0.7417115,-0.28188902,"('unpopular', 'popular')",-0.96980006,-0.4864592,-0.3032857,-0.09917553,-0.009526655,0.09728618,-0.506081,-0.1925594,-0.3135216
23,0.7361959,0.796973,"('insincere', 'sincere')",-0.28670898,0.14513889,0.48469162,0.78124666,6.182958,6.336702,1.7792842,2.0150151,-0.2357309
35,-0.7286701,-0.33227202,"('corrupt', 'incorrupt')",0.552273,0.34893432,-0.6613112,-0.72876024,-1.768488,-1.5435257,-0.6515491,-0.5639059,-0.0876432
40,0.7205478,0.8993477,"('stingy', 'generous')",0.2921047,0.15559271,1.3391337,1.6107283,-1.9174119,-1.7216095,0.1085936,0.2360148,-0.1274212
24,0.71965766,0.4479585,"('dishonest', 'honest')",0.1846138,0.09510231,0.14476404,0.25909525,0.45286614,0.5963696,0.3754754,0.3496314,0.025844
5,0.7136521,0.5650786,"('distant', 'outgoing')",0.17586121,-0.039847754,0.8956146,0.9619505,-1.5389078,-1.1751951,0.061555,0.0779966,-0.0164416
80,0.7068129,0.6261535,"('dominated', 'dominating')",0.41658393,0.40539238,-0.053113196,-0.10034589,0.7720711,0.6516289,0.4605887,0.3957072,0.0648815
4,-0.703033,-0.57081264,"('disliked', 'liked')",0.7162707,0.53393066,0.24795328,0.6225106,-6.665176,-6.557504,-1.6009963,-1.4929689,-0.1080274
77,0.69466037,0.2084171,"('unmotivated', 'motivated')",-0.5912771,-0.54545933,0.7299075,0.74407935,-0.990652,-0.9087103,-0.0393403,-0.1254183,0.086078
7,0.6790845,0.8600795,"('insensitive', 'sensitive')",-0.28917477,0.29999447,0.41909897,0.7057738,0.8630759,1.1288922,0.4180211,0.748685,-0.3306639
