,hershey_male,hershey_female,tuple,co_male,co_female,average_male,average_female,male-female
26,1.7774918,1.603599,"('hardhearted', 'benevolent')",1.9112529,1.8152776,1.8443723,1.7094383,0.134934
69,1.7159512,1.8385565,"('lazy', 'industrious')",-0.5879464,-0.67534596,0.5640024,0.5816053,-0.0176029
60,-1.5499167,-1.3975147,"('inefficient', 'efficient')",-0.84729314,-0.50944203,-1.1986049,-0.9534783,-0.2451266
70,-1.5198267,-1.523335,"('lethargic', 'energetic')",0.18229532,0.09541014,-0.6687657,-0.7139624,0.0451967
77,-1.5173224,-1.3933285,"('unmotivated', 'motivated')",-1.6598967,-1.6358669,-1.5886096,-1.5145977,-0.0740119
68,-1.4360465,-1.5058767,"('dependent', 'independent')",-1.7612865,-1.7871528,-1.5986664,-1.6465147,0.0478483
59,1.289468,1.1530983,"('foolish', 'wise')",0.14442062,0.13486524,0.7169443,0.6439818,0.0729625
71,1.2860032,1.4190618,"('diffident', 'self-confident')",0.5602533,0.5934422,0.9231282,1.0062521,-0.0831239
25,1.2780008,1.3609664,"('egoistic', 'altruistic')",1.3535621,1.4066384,1.3157815,1.3838024,-0.0680209
65,-1.2466115,-1.3506143,"('insecure', 'secure')",-0.3850419,-0.4197879,-0.8158267,-0.8852011,0.0693744
21,-1.1843475,-1.0548614,"('immoral', 'moral')",-1.3041556,-1.4070253,-1.2442515,-1.2309434,-0.0133081
48,-1.1354245,-1.1050243,"('unintelligent', 'intelligent')",-0.4075741,-0.3698807,-0.7714993,-0.7374525,-0.0340468
43,-1.1103544,-0.95906943,"('irresponsible', 'responsible')",0.28990495,0.44456485,-0.4102247,-0.2572523,-0.1529724
81,-1.0819138,-1.2748041,"('submissive', 'aggressive')",-1.2635643,-1.3571638,-1.172739,-1.315984,0.143245
11,-1.052046,-1.2392522,"('unhelpful', 'helpful')",1.5843081,1.6705668,0.2661311,0.2156573,0.0504738
