,sun_male,sun_female,tuple,microsystems_male,microsystems_female,inc_male,inc_female,average_male,average_female,male-female
85,2.6420255,2.519234,"('insignificant', 'prestigious')",2.8788593,2.80913,-0.48970044,-0.34876144,1.6770614,1.6598674,0.017194
81,-2.4513469,-2.2528021,"('submissive', 'aggressive')",-2.6798031,-2.6126204,-0.23027083,-0.26027817,-1.7871404,-1.7085668,-0.0785736
70,-2.3730311,-2.4505115,"('lethargic', 'energetic')",-2.2976437,-2.2883396,0.84042215,0.6956421,-1.2767509,-1.3477364,0.0709855
45,-1.9339017,-2.277349,"('incompetent', 'competent')",-2.5378077,-2.7829077,-0.28811142,-0.61967605,-1.5866068,-1.893311,0.3067042
43,-1.8558594,-1.7641232,"('irresponsible', 'responsible')",-3.6520038,-3.4423509,-0.5527113,-0.19051673,-2.0201915,-1.7989971,-0.2211944
76,-1.7504615,-1.5242139,"('anxious', 'daring')",-1.921551,-1.8970972,0.56391966,0.69797707,-1.0360309,-0.907778,-0.1282529
56,-1.728473,-1.5243996,"('impractical', 'practical')",-2.6653965,-2.4473796,-0.018810928,0.16622517,-1.4708934,-1.2685181,-0.2023753
64,-1.7021514,-1.6500546,"('shy', 'confident')",-1.243281,-1.2041672,-6.107258,-5.9547706,-3.0175635,-2.9363308,-0.0812327
42,-1.6274501,-1.5308522,"('unreliable', 'reliable')",-1.8022835,-1.8443962,-2.7395382,-2.4819355,-2.056424,-1.9523946,-0.1040294
63,-1.6210542,-1.8385127,"('unperceptive', 'insightful')",-2.2021537,-2.2252061,1.0267366,0.7347305,-0.932157,-1.1096628,0.1775058
60,-1.5952172,-1.2692684,"('inefficient', 'efficient')",-2.394106,-2.1388168,0.075384095,0.2506791,-1.3046463,-1.0524688,-0.2521775
87,-1.5557826,-1.3954605,"('unsuccessful', 'successful')",-0.6231563,-0.58172077,0.5027691,0.52584624,-0.5587233,-0.4837783,-0.074945
14,-1.5546925,-1.393248,"('antisocial', 'social')",-1.6151589,-1.6125368,-0.5602935,-0.4679847,-1.2433816,-1.1579231,-0.0854585
82,-1.5405296,-1.5027833,"('poor', 'rich')",-1.2219349,-1.0983965,5.7251463,6.026447,0.9875606,1.1417557,-0.1541951
84,1.4996748,1.456114,"('inferior', 'superior')",1.5725162,1.5623631,0.7023596,0.73438007,1.2581836,1.2509524,0.0072312
13,-1.4478585,-1.3494706,"('impolite', 'polite')",-1.8086208,-1.7667491,0.19201238,0.09016137,-1.021489,-1.0086861,-0.0128029
71,1.4223633,1.5592709,"('diffident', 'self-confident')",1.3039362,1.4411831,0.37512082,0.56167203,1.0338068,1.1873753,-0.1535685
46,-1.4078662,-1.6915104,"('uncompetitive', 'competitive')",-2.3013294,-2.492244,0.20693016,-0.1727765,-1.1674218,-1.452177,0.2847552
9,1.4065208,1.305241,"('unaffectionate', 'caring')",0.51484,0.46953538,0.6958528,0.8245769,0.8724046,0.8664511,0.0059535
10,-1.3588418,-1.5976734,"('unsympathetic', 'sympathetic')",-3.7927182,-3.9081879,0.18561439,-0.23170039,-1.6553151,-1.9125206,0.2572055
55,-1.3024604,-1.4989135,"('incompetent', 'clever')",-2.3571353,-2.462242,0.34451687,0.065800175,-1.1050262,-1.2984517,0.1934255
80,-1.2991822,-1.4673088,"('dominated', 'dominating')",-1.3222598,-1.4200714,-0.6601443,-0.78014976,-1.0938621,-1.2225099,0.1286478
83,1.295309,1.4302939,"('powerless', 'powerful')",0.56371623,0.6630788,-0.53302836,-0.5976766,0.441999,0.4985654,-0.0565664
