,hillshire_male,hillshire_female,tuple,brands_male,brands_female,co_male,co_female,average_male,average_female,male-female
6,-1.7333593,-1.4825641,"('distant', 'open')",-0.37531334,-0.35495418,-0.33419353,-0.37763602,-0.8142887,-0.7383847,-0.075904
36,-1.5767522,-1.2134705,"('hostile', 'amicable')",-1.840717,-1.6985397,-0.45159924,-0.5135258,-1.2896894,-1.1418453,-0.1478441
39,1.3961254,1.2485389,"('exploitative', 'cooperative')",1.4630147,1.5084082,0.7683304,0.7162169,1.2091568,1.1577214,0.0514354
31,-1.3661268,-1.1864359,"('evil', 'good')",-1.6735889,-1.455026,-1.0904391,-1.0428228,-1.3767182,-1.2280949,-0.1486233
73,1.2643616,1.1597167,"('helpless', 'self-reliant')",0.8014602,0.67193806,-3.5208342,-3.5359573,-0.4850041,-0.5681008,0.0830967
1,-1.2204983,-1.0893332,"('unfriendly', 'friendly')",0.7548218,0.73773754,1.2210783,1.1670314,0.2518006,0.2718119,-0.0200113
42,1.2174674,1.2215655,"('unreliable', 'reliable')",0.4931545,0.5506414,-2.44865,-2.3556898,-0.2460093,-0.1944943,-0.051515
48,-1.2101259,-1.2130519,"('unintelligent', 'intelligent')",-0.7418693,-0.7486845,-0.3193239,-0.35784337,-0.7571063,-0.7731933,0.016087
5,-1.2029012,-0.97299725,"('distant', 'outgoing')",-0.09915835,-0.12278803,-0.6260917,-0.7001005,-0.6427171,-0.5986286,-0.0440885
52,-1.1936154,-0.95476663,"('irrational', 'rational')",-1.4296613,-1.3369182,-0.76155466,-0.7826539,-1.1282771,-1.0247796,-0.1034975
56,1.1716133,0.9343688,"('impractical', 'practical')",2.1858714,2.0895329,0.051967114,0.057403076,1.136484,1.0271016,0.1093824
70,1.1589792,1.040664,"('lethargic', 'energetic')",0.8245865,0.7781669,0.7972646,0.8196632,0.9269435,0.879498,0.0474455
22,1.0728897,1.1405171,"('untrustworthy', 'trustworthy')",0.64850694,0.7354476,-0.19042662,-0.02079187,0.5103234,0.6183909,-0.1080675
88,-1.0368267,-1.0983603,"('low', 'eminent')",0.28259912,0.2252803,-0.52269,-0.66463095,-0.4256392,-0.5125703,0.0869311
46,1.0248307,0.86499286,"('uncompetitive', 'competitive')",1.7834615,1.6491548,-0.6199916,-0.60573816,0.7294335,0.6361365,0.093297
76,1.0213133,0.97427356,"('anxious', 'daring')",1.1084294,1.0132176,0.35950625,0.3130131,0.8297496,0.7668347,0.0629149
8,-1.0093188,-0.7918908,"('unaffectionate', 'affectionate')",-0.18308222,-0.15936807,0.2791587,0.29941663,-0.3044141,-0.2172807,-0.0871334
64,0.99358505,0.90015036,"('shy', 'confident')",0.08295466,0.19457793,-5.453911,-5.290405,-1.4591236,-1.3985589,-0.0605647
60,0.83726394,0.60936457,"('inefficient', 'efficient')",1.8234786,1.7250022,0.36062163,0.29771963,1.0071214,0.8773622,0.1297592
25,-0.83013994,-0.9165948,"('egoistic', 'altruistic')",-0.28635022,-0.45140117,0.9979085,0.71392876,-0.0395272,-0.2180224,0.1784952
27,-0.8081003,-0.7450308,"('hardhearted', 'softhearted')",0.10916895,0.107484005,0.442113,0.4371441,-0.0856061,-0.0668009,-0.0188052
86,-0.8037861,-0.9132308,"('uninfluential', 'influential')",0.52583164,0.50976527,-0.5211818,-0.4551104,-0.2663788,-0.286192,0.0198132
37,0.79749066,0.82287073,"('fake', 'genuine')",0.17935391,0.15093255,-0.09481707,-0.118124165,0.2940092,0.2852264,0.0087828
14,0.7945221,0.8547731,"('antisocial', 'social')",0.77845806,0.8192883,-0.16406086,-0.008106522,0.4696398,0.5553183,-0.0856785
7,0.72086406,0.6333014,"('insensitive', 'sensitive')",0.8674731,1.0090121,0.16071418,0.2540441,0.5830171,0.6321192,-0.0491021
45,0.71155775,0.9085919,"('incompetent', 'competent')",1.2116013,1.2747359,0.067979164,0.0718153,0.6637127,0.7517144,-0.0880017
53,-0.694633,-0.7931353,"('uncreative', 'creative')",0.81650877,0.59565747,0.48237437,0.36494452,0.2014167,0.0558222,0.1455945
67,0.6816804,0.68124396,"('doubtful', 'determined')",0.11988689,0.21611914,-0.16247578,-0.037546404,0.2130305,0.2866056,-0.0735751
19,-0.6695978,-0.5662595,"('inhospitable', 'hospitable')",-0.3343802,-0.3594598,-0.6815994,-0.7582232,-0.5618591,-0.5613141,-0.000545
