,verizon_male,verizon_female,tuple,communications_male,communications_female,inc_male,inc_female,average_male,average_female,male-female
10,-3.0609996,-3.0582917,"('unsympathetic', 'sympathetic')",-0.03569582,-0.049921565,-0.647965,-0.4589665,-1.2482201,-1.1890599,-0.0591602
69,2.7779975,2.8066216,"('lazy', 'industrious')",0.07304473,0.1939353,-0.31892627,-0.43522573,0.8440386,0.8551104,-0.0110718
45,-2.55388,-2.5703363,"('incompetent', 'competent')",-0.21845987,-0.14811482,-0.92352545,-0.8281856,-1.2319551,-1.1822123,-0.0497428
0,-2.534998,-2.569198,"('unsociable', 'sociable')",-0.26409194,-0.31108,-0.72593826,-0.6701649,-1.1750094,-1.1834809,0.0084715
55,-2.4139097,-2.5512826,"('incompetent', 'clever')",0.47515327,0.45144856,-0.29710373,-0.10866927,-0.7452867,-0.7361677,-0.009119
43,-2.3941674,-2.3037117,"('irresponsible', 'responsible')",0.5937557,0.67382747,0.09786738,0.22944862,-0.5675148,-0.4668119,-0.1007029
85,2.3493974,2.3164988,"('insignificant', 'prestigious')",-0.3721597,-0.3679682,0.6423253,0.5513513,0.8731877,0.8332939,0.0398938
35,2.2701187,2.3668873,"('corrupt', 'incorrupt')",-1.7283146,-1.5268312,-0.15273449,-0.1419991,0.1296899,0.2326857,-0.1029958
36,2.2686293,2.2959273,"('hostile', 'amicable')",-1.2489622,-1.0663154,0.38896024,0.2835784,0.4695425,0.5043968,-0.0348543
81,-2.2079275,-2.104423,"('submissive', 'aggressive')",1.0620372,1.0401596,-0.7706484,-0.6510948,-0.6388462,-0.5717861,-0.0670601
76,-2.1940775,-2.323675,"('anxious', 'daring')",0.53839016,0.54562265,-0.2440674,0.041123807,-0.6332516,-0.5789762,-0.0542754
14,-2.1491008,-2.1596537,"('antisocial', 'social')",1.1995976,1.2838228,-1.1758199,-0.95474476,-0.708441,-0.6101919,-0.0982491
70,-2.0872428,-2.2205446,"('lethargic', 'energetic')",0.25807285,0.16868436,0.08742226,0.09135266,-0.5805826,-0.6535025,0.0729199
62,-2.0351505,-2.0396228,"('incompetent', 'brilliant')",0.87100035,0.99800855,-0.3471526,-0.18538553,-0.5037676,-0.4089999,-0.0947677
57,-2.0317352,-2.1335256,"('unimaginative', 'imaginative')",-0.3641069,-0.42890355,-2.3311062,-2.4081135,-1.5756494,-1.6568476,0.0811982
13,-2.0098765,-1.9192208,"('impolite', 'polite')",0.13855687,0.20995502,-0.2612971,-0.16839421,-0.7108723,-0.6258867,-0.0849856
33,1.8613082,1.7457055,"('wrong', 'right')",0.7656593,0.66267157,-0.31215918,-0.5496366,0.7716028,0.6195802,0.1520226
30,-1.8211669,-1.8007237,"('intolerant', 'tolerant')",1.1683289,1.2518606,0.8555745,1.0549594,0.0675788,0.1686988,-0.10112
