,newell_male,newell_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
71,2.530085,2.70196,"('diffident', 'self-confident')",2.2785594,2.4811132,0.98672044,0.95194477,1.9317883,2.045006,-0.1132177
12,2.1349592,2.2874618,"('unsupportive', 'supportive')",0.76892436,1.0018878,-1.5623071,-1.1214354,0.4471921,0.7226381,-0.275446
85,1.9478519,2.0240483,"('insignificant', 'prestigious')",0.6129615,0.8609214,1.4767853,1.453302,1.3458662,1.4460905,-0.1002243
26,1.7666651,2.065603,"('hardhearted', 'benevolent')",0.64827144,0.76086473,1.7212389,1.7745697,1.3787251,1.5336792,-0.1549541
3,-1.678998,-1.4272273,"('repellent', 'pleasant')",-1.0154353,-0.82540125,-0.41249385,-0.3645916,-1.0356424,-0.8724067,-0.1632357
1,1.6742396,2.1174972,"('unfriendly', 'friendly')",0.83154964,1.1732417,1.6131209,1.8642751,1.3729701,1.718338,-0.3453679
87,1.5964167,1.7068214,"('unsuccessful', 'successful')",1.8830281,1.8655163,0.8882217,1.035357,1.4558889,1.5358982,-0.0800093
75,-1.5774276,-1.5059922,"('meek', 'impulsive')",-1.2098311,-1.0437304,-0.23238653,-0.19712998,-1.0065484,-0.9156175,-0.0909309
33,1.5095713,1.5118532,"('wrong', 'right')",1.2239652,1.2688433,-0.22007222,0.053711902,0.8378214,0.9448028,-0.1069814
57,-1.4813734,-1.4123021,"('unimaginative', 'imaginative')",-1.2752888,-1.2622998,-2.9796052,-2.4587936,-1.9120892,-1.7111319,-0.2009573
53,1.2416061,1.733004,"('uncreative', 'creative')",0.6001131,1.2552816,0.74545497,1.1692954,0.8623914,1.3858603,-0.5234689
84,1.2343075,1.2876624,"('inferior', 'superior')",0.26630282,0.16479698,1.1113632,1.0249784,0.8706578,0.8258126,0.0448452
73,1.1425982,1.4967084,"('helpless', 'self-reliant')",0.4834073,1.0209639,-3.3757288,-2.810934,-0.5832411,-0.0977539,-0.4854872
66,1.0709157,0.7164935,"('inactive', 'active')",0.046582475,-0.14341606,1.8284687,1.5422014,0.9819889,0.7050929,0.276896
69,1.0577672,0.9940855,"('lazy', 'industrious')",0.8962115,0.8201826,0.036182176,0.08175974,0.6633869,0.6320093,0.0313776
9,1.0560336,1.564661,"('unaffectionate', 'caring')",0.7695297,1.2902654,0.9509381,1.1915005,0.9255005,1.3488091,-0.4233086
37,1.0537257,0.79595745,"('fake', 'genuine')",-0.07975648,-0.06368479,0.29927453,0.38784918,0.4244146,0.3733739,0.0510407
67,1.0068097,0.824304,"('doubtful', 'determined')",-0.15658507,-0.156599,-0.2309012,-0.29089645,0.2064411,0.1256029,0.0808382
82,-1.0031691,-0.51732194,"('poor', 'rich')",-0.8689763,-0.44242585,5.251601,5.259646,1.1264853,1.4332994,-0.3068141
35,-0.94903797,-0.9759937,"('corrupt', 'incorrupt')",-1.3436245,-1.3563546,0.19579342,0.024877572,-0.6989563,-0.7691569,0.0702006
78,0.93454194,0.74303365,"('nonresilient', 'resilient')",1.2094544,1.039393,0.93149126,0.66990185,1.0251625,0.8174428,0.2077197
22,-0.92487895,-0.6314456,"('untrustworthy', 'trustworthy')",-0.47133806,-0.36119583,-1.5789118,-1.1676122,-0.9917096,-0.7200845,-0.2716251
56,0.9191552,1.3283056,"('impractical', 'practical')",0.8217718,1.0444765,-0.5652734,-0.19779561,0.3918845,0.7249955,-0.333111
81,-0.8993161,-1.0912409,"('submissive', 'aggressive')",0.02593673,-0.3411746,-1.1804552,-1.0710813,-0.6846115,-0.8344989,0.1498874
83,0.8863076,0.7362375,"('powerless', 'powerful')",0.62777746,0.74701405,-0.57822776,-0.63248265,0.3119524,0.2835896,0.0283628
19,0.83028686,1.1424569,"('inhospitable', 'hospitable')",0.035206642,0.3025807,0.37055248,0.41404048,0.4120153,0.6196927,-0.2076774
44,-0.81410253,-0.9134958,"('prejudiced', 'unprejudiced')",0.039920036,0.3520555,-1.4504426,-1.181406,-0.7415417,-0.5809488,-0.1605929
2,0.79127324,1.1039754,"('unlikable', 'likable')",0.6604237,0.89710677,0.4187983,0.7776903,0.6234984,0.9262575,-0.3027591
68,-0.7627812,-0.9941655,"('dependent', 'independent')",-0.8775632,-0.88712716,-0.45195332,-0.48023164,-0.6974326,-0.7871747,0.0897421
88,0.7323822,0.54111594,"('low', 'eminent')",0.16754155,0.1238883,0.20583291,0.11029667,0.3685855,0.2584336,0.1101519
