,prudential_male,prudential_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,male-female
0,-2.138148,-2.2450054,"('unsociable', 'sociable')",0.31666648,0.22998664,-0.45048523,-0.5581824,-0.7573223,-0.8577337,0.1004114
86,-2.1370795,-2.2471104,"('uninfluential', 'influential')",0.021888483,-0.021351296,0.23482494,0.12539929,-0.6267887,-0.7143541,0.0875654
69,2.12521,2.4745367,"('lazy', 'industrious')",0.85528654,1.1199764,-0.9375368,-0.61095524,0.6809866,0.9945192,-0.3135326
10,-1.902728,-2.1257513,"('unsympathetic', 'sympathetic')",-0.6222124,-0.73814446,0.19877477,0.06705328,-0.7753886,-0.9322808,0.1568922
3,-1.8461652,-1.611399,"('repellent', 'pleasant')",-0.066631265,0.04639861,0.13006328,0.34943825,-0.5942444,-0.4051874,-0.189057
85,1.8328664,2.051187,"('insignificant', 'prestigious')",1.1178442,1.1932038,-0.2247285,-0.124021664,0.9086607,1.0401231,-0.1314624
55,-1.7752305,-1.8390994,"('incompetent', 'clever')",-0.703519,-0.79373986,-0.046210326,-0.10642971,-0.8416533,-0.9130897,0.0714364
66,1.7543067,1.6686062,"('inactive', 'active')",1.4800978,1.3207569,1.2726496,1.1591495,1.5023514,1.3828376,0.1195138
42,1.7157288,1.8336372,"('unreliable', 'reliable')",1.0630565,1.0705577,-2.7736223,-2.5349097,0.001721,0.123095,-0.121374
79,1.7114129,1.9210923,"('wavering', 'unwavering')",-0.20902729,-0.1654706,0.38360777,0.3094091,0.6286645,0.6883436,-0.0596791
48,-1.6856265,-1.9778785,"('unintelligent', 'intelligent')",-0.38035482,-0.5124108,0.6487029,0.33482558,-0.4724262,-0.7184879,0.2460617
28,-1.6417084,-1.584531,"('disloyal', 'loyal')",-0.20134005,-0.18404283,0.6089848,0.70303005,-0.4113545,-0.3551812,-0.0561733
73,1.5891031,1.6906329,"('helpless', 'self-reliant')",0.8041256,0.82023144,-3.6415348,-3.4443958,-0.416102,-0.3111772,-0.1049248
60,-1.5318137,-1.5300614,"('inefficient', 'efficient')",0.42767835,0.46847403,0.42708653,0.4241271,-0.225683,-0.2124867,-0.0131963
44,1.5270717,1.5545839,"('prejudiced', 'unprejudiced')",-0.30536807,-0.40439737,-1.7474613,-1.7253692,-0.1752526,-0.1917276,0.016475
45,-1.479237,-1.5012184,"('incompetent', 'competent')",-0.53989446,-0.5768491,-0.42157802,-0.47262812,-0.8135698,-0.8502319,0.0366621
57,-1.4526429,-1.6673536,"('unimaginative', 'imaginative')",-0.38179263,-0.5023935,-3.0465639,-2.9936216,-1.6269999,-1.7211229,0.094123
14,-1.4171443,-1.4882424,"('antisocial', 'social')",1.3708922,1.2291085,-0.9928352,-0.9096866,-0.3463624,-0.3896069,0.0432445
33,1.3983197,1.3430727,"('wrong', 'right')",1.0012255,0.95572424,-0.969664,-0.94632185,0.4766271,0.450825,0.0258021
2,1.2865381,1.4218805,"('unlikable', 'likable')",2.0356798,2.1659586,0.18691017,0.4031376,1.1697094,1.3303256,-0.1606162
46,-1.2724514,-1.2514179,"('uncompetitive', 'competitive')",0.9480051,1.009419,-0.0070029525,-0.0464248,-0.1104831,-0.0961412,-0.0143419
35,1.2241718,1.2868463,"('corrupt', 'incorrupt')",-1.045265,-0.9682986,-0.65457344,-0.7991968,-0.1585555,-0.1602164,0.0016609
34,1.1490669,1.4587197,"('mean', 'honorable')",0.65522087,0.82790333,6.563754,6.3302593,2.7893473,2.8722941,-0.0829468
24,-1.1423315,-1.412764,"('dishonest', 'honest')",-0.19662753,-0.28628284,0.7736278,0.5989226,-0.1884437,-0.3667081,0.1782644
75,1.1266146,1.0398232,"('meek', 'impulsive')",-0.113713995,-0.2174509,-0.47392663,-0.5289473,0.179658,0.0978083,0.0818497
50,1.0982392,1.3840874,"('clumsy', 'skillful')",0.67039394,0.857654,0.4473527,0.54854643,0.7386619,0.930096,-0.1914341
39,-1.0827041,-0.9649625,"('exploitative', 'cooperative')",0.5568689,0.7720399,-0.44852877,-0.27052632,-0.324788,-0.154483,-0.170305
23,-1.0621115,-0.884744,"('insincere', 'sincere')",0.6612857,0.9043329,6.4505887,6.3374586,2.0165876,2.1190159,-0.1024283
83,1.0298266,0.8287256,"('powerless', 'powerful')",1.0050261,0.76368153,-0.74672854,-0.96428525,0.4293747,0.209374,0.2200007
5,0.9796533,1.2160063,"('distant', 'outgoing')",0.36291972,0.4898178,-0.35935816,-0.34629223,0.3277383,0.4531773,-0.125439
77,-0.97784036,-0.72894055,"('unmotivated', 'motivated')",1.0206792,1.1598605,-0.71005714,-0.6381907,-0.2224061,-0.0690902,-0.1533159
62,-0.96237975,-0.9741582,"('incompetent', 'brilliant')",0.9839725,0.94850945,0.6524808,0.7293181,0.2246912,0.2345564,-0.0098652
65,-0.9335141,-0.8826655,"('insecure', 'secure')",-0.3006762,-0.18249528,-0.16172321,-0.13808888,-0.4653045,-0.4010832,-0.0642213
7,-0.9242629,-0.7074446,"('insensitive', 'sensitive')",0.43129492,0.64652395,0.8237713,0.97874624,0.1102678,0.3059419,-0.1956741
81,-0.88038117,-1.2286801,"('submissive', 'aggressive')",1.0980434,0.79431516,0.12488682,0.013713494,0.114183,-0.1402172,0.2544002
84,0.86681616,0.86377615,"('inferior', 'superior')",0.50745064,0.43655515,0.8910492,0.8072425,0.7551053,0.7025247,0.0525806
87,0.8639642,0.9103185,"('unsuccessful', 'successful')",1.7624083,1.7296267,0.97278595,1.0148662,1.1997194,1.2182705,-0.0185511
70,-0.8618929,-0.87293494,"('lethargic', 'energetic')",0.11910857,0.14126992,1.0282823,1.0439973,0.095166,0.1041108,-0.0089448
36,0.8604347,0.9938039,"('hostile', 'amicable')",-0.40734148,-0.3223013,-0.52353334,-0.53224295,-0.02348,0.0464199,-0.0698999
41,-0.8384738,-0.9305374,"('unforgiving', 'forgiving')",0.7601141,0.758711,-0.6103292,-0.49687535,-0.229563,-0.2229006,-0.0066624
82,-0.81507576,-0.6799457,"('poor', 'rich')",-0.4101419,-0.24501625,6.477402,6.385186,1.7507283,1.8200747,-0.0693464
22,-0.80555665,-0.9303241,"('untrustworthy', 'trustworthy')",-0.8204202,-0.7929498,-1.1407468,-1.156928,-0.9222412,-0.9600673,0.0378261
