,abercrombie_male,abercrombie_female,tuple,&_male,&_female,fitch_male,fitch_female,co_male,co_female,average_male,average_female,male-female
10,-3.4888012,-3.4916048,"('unsympathetic', 'sympathetic')",-2.662619,-2.723576,-1.6868769,-1.7307243,0.19200715,0.1387125,-1.9115726,-1.9517982,0.0402256
69,3.4311872,3.5160787,"('lazy', 'industrious')",2.8649585,2.9827735,1.9051056,1.987983,-1.0748932,-0.86950374,1.7815895,1.9043329,-0.1227434
55,-2.789687,-2.8030171,"('incompetent', 'clever')",-1.9735961,-2.1049068,-2.2285857,-2.2433534,0.72660065,0.72023326,-1.566317,-1.6077609,0.0414439
35,2.7505248,2.7735903,"('corrupt', 'incorrupt')",1.8205913,1.9869281,1.0893044,1.1451681,-0.83947283,-0.78724706,1.2052369,1.2796098,-0.0743729
45,-2.699715,-2.6564412,"('incompetent', 'competent')",-2.1211648,-2.1432366,-1.4176537,-1.4947904,-0.3315225,-0.38223732,-1.642514,-1.6691765,0.0266625
23,-2.5117362,-2.602725,"('insincere', 'sincere')",-2.4888828,-2.6090796,-0.364904,-0.46516597,6.09476,5.812143,0.1823093,0.0337931,0.1485162
86,-2.50222,-2.528154,"('uninfluential', 'influential')",-1.5448858,-1.6612657,-0.76654154,-0.78695863,-0.14248279,-0.103908,-1.2390325,-1.2700716,0.0310391
43,-2.3824017,-2.3375835,"('irresponsible', 'responsible')",-2.497124,-2.4851682,-0.38171962,-0.3704544,0.904371,0.8362119,-1.0892186,-1.0892487,3.01e-05
60,-2.344301,-2.385232,"('inefficient', 'efficient')",-1.9331945,-2.183275,-1.0638342,-1.1799371,0.655382,0.5810821,-1.1714869,-1.2918406,0.1203537
28,-2.3014402,-2.3432848,"('disloyal', 'loyal')",-1.8372347,-1.9248236,-1.2846719,-1.2782142,0.6567071,0.44336164,-1.1916598,-1.2757403,0.0840805
0,-2.2477653,-2.2248967,"('unsociable', 'sociable')",-0.8559439,-0.9617053,-0.5717549,-0.59828925,0.23677102,0.19323069,-0.8596733,-0.8979152,0.0382419
46,-2.1822963,-2.2802248,"('uncompetitive', 'competitive')",-0.6148959,-0.76935333,-0.67606723,-0.7162702,-0.55106676,-0.66334546,-1.0060816,-1.1072985,0.1012169
72,-2.167939,-2.1302216,"('unambitious', 'ambitious')",-1.3588526,-1.438029,-0.23777096,-0.18803304,-0.6027137,-0.53745896,-1.091819,-1.0734357,-0.0183833
85,2.1424022,2.1781065,"('insignificant', 'prestigious')",2.4626265,2.541573,3.2493968,3.3278446,-0.9113352,-0.85488486,1.7357726,1.7981598,-0.0623872
24,-2.0904841,-2.046057,"('dishonest', 'honest')",-2.213717,-2.2146492,-0.2782109,-0.26844794,0.96274257,0.842509,-0.9049174,-0.9216612,0.0167438
81,-2.0857472,-2.063572,"('submissive', 'aggressive')",-1.6659853,-1.7438707,-2.4956248,-2.5314143,-0.60365707,-0.6185283,-1.7127537,-1.7393463,0.0265926
