,abbott_male,abbott_female,tuple,laboratories_male,laboratories_female,average_male,average_female,male-female
85,1.9998645,2.05947,"('insignificant', 'prestigious')",0.7857736,1.1716812,1.392819,1.6155756,-0.2227566
71,1.8494562,2.0600512,"('diffident', 'self-confident')",0.5337868,0.77757853,1.1916215,1.4188149,-0.2271934
65,-1.7046915,-1.6919584,"('insecure', 'secure')",-0.46958917,-0.74782383,-1.0871403,-1.2198911,0.1327508
57,-1.6645917,-1.3904533,"('unimaginative', 'imaginative')",-2.1057518,-2.2630126,-1.8851717,-1.826733,-0.0584387
13,-1.452098,-1.4090104,"('impolite', 'polite')",-0.5505009,-0.79771215,-1.0012995,-1.1033612,0.1020617
33,1.4512419,1.2947507,"('wrong', 'right')",0.25147545,0.39824998,0.8513587,0.8465003,0.0048584
69,1.4495285,1.4816153,"('lazy', 'industrious')",-0.09563445,0.113515936,0.676947,0.7975656,-0.1206186
70,-1.436845,-1.1011976,"('lethargic', 'energetic')",-0.15179542,-0.2154054,-0.7943202,-0.6583015,-0.1360187
6,1.2531128,1.1567831,"('distant', 'open')",-0.41652665,-0.15248208,0.4182931,0.5021505,-0.0838574
80,-1.2482524,-0.7852027,"('dominated', 'dominating')",-0.4151548,-0.45740694,-0.8317036,-0.6213048,-0.2103988
26,1.2424457,1.5486497,"('hardhearted', 'benevolent')",1.0153403,1.2760339,1.128893,1.4123418,-0.2834488
22,-1.2323627,-0.9355913,"('untrustworthy', 'trustworthy')",-0.980919,-1.158692,-1.1066408,-1.0471417,-0.0594991
9,1.2140664,1.325016,"('unaffectionate', 'caring')",1.2074428,1.4282948,1.2107546,1.3766553,-0.1659007
3,-1.1931136,-1.4737327,"('repellent', 'pleasant')",-0.24253105,-0.33276165,-0.7178223,-0.9032472,0.1854249
45,-1.1880757,-0.86723673,"('incompetent', 'competent')",-0.03709162,-0.2087552,-0.6125836,-0.5379959,-0.0745877
38,1.0858794,1.1791785,"('untruthful', 'truthful')",1.1641387,1.1825941,1.1250091,1.1808863,-0.0558772
25,1.0656438,0.55579734,"('egoistic', 'altruistic')",1.1502272,1.2455938,1.1079354,0.9006956,0.2072398
64,-1.046545,-0.869212,"('shy', 'confident')",-5.1573386,-5.621746,-3.1019418,-3.2454791,0.1435373
5,1.0253072,1.0981147,"('distant', 'outgoing')",-0.5824633,-0.3252737,0.2214219,0.3864205,-0.1649986
17,-1.01211,-0.76186436,"('nasty', 'nice')",-0.7421168,-0.6971917,-0.8771134,-0.7295281,-0.1475853
81,-0.9305593,-0.95702267,"('submissive', 'aggressive')",0.06243448,-0.35315275,-0.4340624,-0.6550877,0.2210253
42,-0.91938466,-0.77020466,"('unreliable', 'reliable')",-2.697188,-2.8696187,-1.8082863,-1.8199117,0.0116254
78,0.91597545,0.91942275,"('nonresilient', 'resilient')",1.7980307,1.7295676,1.3570031,1.3244952,0.0325079
76,-0.90677905,-0.92311597,"('anxious', 'daring')",-0.32666773,-0.5108625,-0.6167234,-0.7169893,0.1002659
30,-0.9031482,-0.8350361,"('intolerant', 'tolerant')",-0.046057,-0.26425081,-0.4746026,-0.5496435,0.0750409
46,-0.9007922,-0.85497886,"('uncompetitive', 'competitive')",0.38598442,-0.031568937,-0.2574039,-0.4432739,0.18587
51,0.84520406,0.58756196,"('uneducated', 'educated')",1.023189,0.74519193,0.9341965,0.6663769,0.2678196
7,-0.8440087,-0.7579524,"('insensitive', 'sensitive')",-0.10761857,-0.057102878,-0.4758136,-0.4075276,-0.068286
66,0.8312904,1.0380675,"('inactive', 'active')",0.27290046,0.4769162,0.5520954,0.7574918,-0.2053964
32,0.82856715,0.71952343,"('unkind', 'kind')",1.0577745,1.0043375,0.9431708,0.8619305,0.0812403
50,-0.8174556,-0.8840809,"('clumsy', 'skillful')",-0.34730405,-0.3607254,-0.5823798,-0.6224031,0.0400233
29,-0.77220654,-0.86110485,"('unfair', 'fair')",-0.6712277,-0.65078187,-0.7217171,-0.7559434,0.0342263
24,0.7554021,0.85403246,"('dishonest', 'honest')",0.13308194,0.1192723,0.444242,0.4866524,-0.0424104
41,0.74880135,0.42284983,"('unforgiving', 'forgiving')",0.70942646,0.4884931,0.7291139,0.4556715,0.2734424
55,-0.7375424,-0.80532426,"('incompetent', 'clever')",1.0574342,0.80643207,0.1599459,0.0005539,0.159392
59,0.7282905,0.7146674,"('foolish', 'wise')",-0.194353,0.006777186,0.2669688,0.3607223,-0.0937535
44,-0.7115241,-0.47913635,"('prejudiced', 'unprejudiced')",-1.8731998,-1.7599397,-1.292362,-1.1195381,-0.1728239
84,0.7032002,0.7082994,"('inferior', 'superior')",0.951522,1.1739638,0.8273611,0.9411316,-0.1137705
21,-0.67646635,-0.8812864,"('immoral', 'moral')",-0.5798128,-1.0263269,-0.6281396,-0.9538066,0.325667
0,-0.6641384,-0.76919127,"('unsociable', 'sociable')",-0.16410747,-0.34005558,-0.4141229,-0.5546234,0.1405005
62,-0.65247905,-0.3517604,"('incompetent', 'brilliant')",1.1575278,1.0971968,0.2525244,0.3727182,-0.1201938
75,-0.61950195,-0.17891924,"('meek', 'impulsive')",-0.51222193,-0.42177546,-0.5658619,-0.3003474,-0.2655145
72,0.60620725,0.50720984,"('unambitious', 'ambitious')",0.17702578,0.12370804,0.3916165,0.315459,0.0761575
10,-0.6050056,-0.60519475,"('unsympathetic', 'sympathetic')",0.1845751,-0.06460729,-0.2102153,-0.334901,0.1246857
2,0.5922352,0.4363766,"('unlikable', 'likable')",0.13826975,0.14690046,0.3652525,0.2916385,0.073614
43,-0.5632863,-0.2758339,"('irresponsible', 'responsible')",0.32970798,0.26601318,-0.1167892,-0.0049104,-0.1118788
48,-0.5626511,-0.9506392,"('unintelligent', 'intelligent')",1.2648408,1.161278,0.3510949,0.1053194,0.2457755
31,-0.55858445,-0.59704506,"('evil', 'good')",-0.88203984,-0.6348814,-0.7203121,-0.6159632,-0.1043489
1,0.55766356,0.40461597,"('unfriendly', 'friendly')",1.3417485,1.597606,0.949706,1.0011109,-0.0514049
79,0.5553587,0.7099705,"('wavering', 'unwavering')",-0.23613435,0.007984767,0.1596122,0.3589776,-0.1993654
53,-0.53676236,-0.57046,"('uncreative', 'creative')",0.6810678,0.88409555,0.0721527,0.1568178,-0.0846651
88,0.53600335,0.5017096,"('low', 'eminent')",0.4435101,0.56096417,0.4897567,0.5313369,-0.0415802
34,0.52213407,0.41499388,"('mean', 'honorable')",4.506818,4.551649,2.5144758,2.4833214,0.0311544
37,-0.5197676,-0.45594016,"('fake', 'genuine')",-0.71634156,-0.7178638,-0.6180546,-0.586902,-0.0311526
15,-0.51769197,-0.36987594,"('boring', 'funny')",-0.20719472,-0.08179273,-0.3624433,-0.2258343,-0.136609
8,0.5138337,0.64069617,"('unaffectionate', 'affectionate')",0.404473,0.6711675,0.4591534,0.6559318,-0.1967784
77,-0.5106459,-0.6765979,"('unmotivated', 'motivated')",-0.16037516,-0.30859625,-0.3355106,-0.4925971,0.1570865
83,0.4840876,0.42083764,"('powerless', 'powerful')",0.5327053,0.33378416,0.5083964,0.3773109,0.1310855
18,0.47522438,0.09029666,"('disagreeable', 'welcoming')",-0.36211464,-0.33862686,0.0565549,-0.1241651,0.18072
36,0.4617209,0.33786958,"('hostile', 'amicable')",-0.9760459,-0.8396735,-0.2571625,-0.250902,-0.0062605
60,-0.43931437,-0.61769295,"('inefficient', 'efficient')",0.548712,0.1729726,0.0546988,-0.2223602,0.277059
27,0.42667973,0.3804406,"('hardhearted', 'softhearted')",0.30428815,0.48315322,0.3654839,0.4317969,-0.066313
35,0.3392822,0.5485813,"('corrupt', 'incorrupt')",-0.98675716,-0.66578007,-0.3237375,-0.0585994,-0.2651381
39,0.31071347,0.54766387,"('exploitative', 'cooperative')",-0.58955777,-0.5847773,-0.1394221,-0.0185567,-0.1208654
20,0.3011778,0.27734643,"('rough', 'thoughtful')",1.375226,1.3892161,0.8382019,0.8332813,0.0049206
19,0.2905281,0.33418292,"('inhospitable', 'hospitable')",-0.6303225,-0.45728686,-0.1698972,-0.061552,-0.1083452
49,-0.2871007,-0.13910775,"('unable', 'able')",0.10439047,0.17266908,-0.0913551,0.0167807,-0.1081358
67,0.2703917,0.18151991,"('doubtful', 'determined')",-0.84427893,-0.94080806,-0.2869436,-0.3796441,0.0927005
14,-0.26678684,-0.28242493,"('antisocial', 'social')",-0.44374037,-0.743501,-0.3552636,-0.5129629,0.1576993
73,-0.26474768,0.048692867,"('helpless', 'self-reliant')",-4.049521,-4.0048103,-2.1571343,-1.9780587,-0.1790756
4,0.25752285,0.3897406,"('disliked', 'liked')",-5.183691,-5.4481525,-2.463084,-2.529206,0.066122
16,0.25342056,-0.020224996,"('unpopular', 'popular')",1.2139109,1.306801,0.7336658,0.643288,0.0903778
