,avalonbay_male,avalonbay_female,tuple,communities_male,communities_female,inc_male,inc_female,average_male,average_female,male-female
85,-2.9495113,-3.2766528,"('insignificant', 'prestigious')",-1.566052,-1.7621115,-0.36323968,-0.46737492,-1.6262676,-1.8353798,0.2091122
36,-2.7933888,-3.1078265,"('hostile', 'amicable')",-1.9427495,-2.1410577,-0.20803604,-0.3229655,-1.6480581,-1.8572833,0.2092252
35,-2.730132,-3.0096567,"('corrupt', 'incorrupt')",-1.9488407,-2.125126,-0.6672846,-0.63828117,-1.7820857,-1.9243547,0.142269
31,-2.6357265,-2.745528,"('evil', 'good')",-1.4716384,-1.4852662,-1.3705406,-1.3398664,-1.8259684,-1.8568869,0.0309185
60,2.5629954,3.060916,"('inefficient', 'efficient')",2.628195,2.9626799,0.3291109,0.46798122,1.8401006,2.163859,-0.3237584
13,2.465617,2.5994563,"('impolite', 'polite')",1.9919214,1.985815,0.1105736,0.18365002,1.5227041,1.5896405,-0.0669364
56,2.3615763,2.6710474,"('impractical', 'practical')",2.332169,2.570471,0.16170815,0.27246472,1.6184847,1.8379944,-0.2195097
76,2.3570833,2.5266871,"('anxious', 'daring')",1.6919707,1.8114562,0.85197204,0.9837654,1.6336754,1.7739697,-0.1402943
19,-2.1243684,-2.1362321,"('inhospitable', 'hospitable')",-1.3322308,-1.3045455,-0.2031995,-0.24024692,-1.2199329,-1.2270083,0.0070754
62,2.1044025,2.4290588,"('incompetent', 'brilliant')",1.8391078,2.1322095,0.20694384,0.41818085,1.3834847,1.6598164,-0.2763317
7,2.0082092,2.1641896,"('insensitive', 'sensitive')",1.6882547,1.8766744,0.9639509,0.79546344,1.5534716,1.6121092,-0.0586376
69,-2.0037198,-2.3006554,"('lazy', 'industrious')",-0.073830366,-0.18007189,-0.4178906,-0.47817564,-0.8318136,-0.9863009,0.1544873
6,-1.9176987,-2.05766,"('distant', 'open')",-1.3135922,-1.2864947,0.25852245,0.2665274,-0.9909228,-1.0258758,0.034953
55,1.8700715,2.292348,"('incompetent', 'clever')",0.80774164,1.0713997,0.12968239,0.14070565,0.9358318,1.1681511,-0.2323193
