,bank_male,bank_female,tuple,of_male,of_female,america_male,america_female,corp_male,corp_female,average_male,average_female,male-female
71,2.0132563,2.0755217,"('diffident', 'self-confident')",0.031092051,0.39591962,0.61839604,0.8287065,0.16514006,0.33914343,0.7069712,0.9098228,-0.2028516
2,1.6988723,1.7748926,"('unlikable', 'likable')",0.8755559,1.2339815,1.1207047,1.450068,0.8346747,1.16608,1.1324519,1.4062555,-0.2738036
9,1.5614713,1.7403113,"('unaffectionate', 'caring')",-0.97505426,-0.768364,0.4524333,0.60895056,1.4807941,1.5917267,0.6299111,0.7931561,-0.163245
68,-1.462933,-1.5238576,"('dependent', 'independent')",0.2323552,0.04496368,0.27861828,0.16504651,-1.288081,-1.4285928,-0.5600101,-0.6856101,0.1256
32,1.4246418,1.3780757,"('unkind', 'kind')",0.1615472,0.29238275,-0.46147865,-0.15781085,0.73777926,0.71003157,0.4656224,0.5556698,-0.0900474
34,1.3427895,1.4046339,"('mean', 'honorable')",-0.63964623,-0.53918636,-1.112251,-1.062734,5.2626777,5.0826387,1.2133925,1.221338,-0.0079455
62,1.3328766,1.1752189,"('incompetent', 'brilliant')",-0.78614116,-1.1214584,-0.02893503,-0.1349687,0.6785437,0.47229153,0.299086,0.0977708,0.2013152
56,1.3106538,1.2548723,"('impractical', 'practical')",-1.3772122,-1.5846435,-0.532852,-0.542752,-0.54523385,-0.7349144,-0.2861611,-0.4018594,0.1156983
1,1.2808596,1.5094053,"('unfriendly', 'friendly')",-0.9230336,-0.74099356,0.46963647,0.5624845,1.5633111,1.7488116,0.5976934,0.7699269,-0.1722335
61,1.2325801,1.2910501,"('illogical', 'logical')",-0.89956,-0.7913325,-0.0049288645,0.04156682,0.57182527,0.48922962,0.2249791,0.2576285,-0.0326494
37,-1.2122961,-1.1733679,"('fake', 'genuine')",-0.6736825,-0.5832941,-1.006233,-0.6883098,-0.018188847,0.047140047,-0.7276002,-0.5994579,-0.1281423
83,1.1722544,1.4204726,"('powerless', 'powerful')",0.5565952,0.8778273,-0.65781075,-0.4591992,-0.7679648,-0.56535083,0.0757685,0.3184375,-0.242669
23,1.1593761,0.9948221,"('insincere', 'sincere')",-1.4549227,-1.6854123,-0.5935806,-0.6479829,6.1267905,5.5455704,1.3094158,1.0517493,0.2576665
39,1.1345264,1.2062691,"('exploitative', 'cooperative')",-0.3224294,-0.09058009,0.28067276,0.55960023,0.5875224,0.68851095,0.420073,0.5909501,-0.1708771
14,1.1204574,1.1106894,"('antisocial', 'social')",-0.07894722,-0.19759631,-0.38563806,-0.41195711,-0.22595409,-0.32061228,0.1074795,0.0451309,0.0623486
63,1.0948398,1.1204159,"('unperceptive', 'insightful')",-0.019086026,-0.18243563,0.75978976,0.8258138,0.61303425,0.433168,0.6121445,0.5492405,0.062904
