,tellabs_male,tellabs_female,tuple,inc_male,inc_female,average_male,average_female,male-female
36,-2.5964367,-2.2712061,"('hostile', 'amicable')",-0.5640678,-0.6898084,-1.5802523,-1.4805073,-0.099745
60,2.3490531,2.0433536,"('inefficient', 'efficient')",0.91929287,0.76059514,1.634173,1.4019743,0.2321987
6,-2.2385364,-1.8687811,"('distant', 'open')",-0.39605543,-0.22367664,-1.3172959,-1.0462289,-0.271067
31,-2.192706,-1.8376989,"('evil', 'good')",-1.6042712,-1.4608592,-1.8984886,-1.6492791,-0.2492095
19,-2.1269891,-1.8268626,"('inhospitable', 'hospitable')",-0.71834016,-0.52327365,-1.4226646,-1.1750681,-0.2475965
53,-2.0662587,-1.9797269,"('uncreative', 'creative')",0.39027435,0.47782773,-0.8379922,-0.7509496,-0.0870426
79,-2.054552,-1.8612592,"('wavering', 'unwavering')",-0.107675925,-0.17573977,-1.0811141,-1.0184995,-0.0626146
8,-2.0015297,-1.7612145,"('unaffectionate', 'affectionate')",-0.3089903,-0.11752083,-1.15526,-0.9393677,-0.2158923
81,1.9751278,1.4417859,"('submissive', 'aggressive')",0.4807531,0.16994898,1.2279404,0.8058674,0.422073
1,-1.9397904,-1.6759315,"('unfriendly', 'friendly')",0.8140189,0.91510594,-0.5628858,-0.3804128,-0.182473
85,-1.8872758,-1.625925,"('insignificant', 'prestigious')",0.0041952617,0.03893756,-0.9415403,-0.7934937,-0.1480466
5,-1.8364336,-1.508936,"('distant', 'outgoing')",-0.5633017,-0.44237822,-1.1998677,-0.9756571,-0.2242106
9,-1.6179844,-1.3619348,"('unaffectionate', 'caring')",0.41304716,0.4561362,-0.6024686,-0.4528993,-0.1495693
66,-1.614503,-1.303001,"('inactive', 'active')",0.29017806,0.4767902,-0.6621625,-0.4131054,-0.2490571
52,-1.5849681,-1.4513271,"('irrational', 'rational')",-0.6897319,-0.58146197,-1.13735,-1.0163945,-0.1209555
30,1.5541695,1.4811485,"('intolerant', 'tolerant')",1.6412023,1.525214,1.5976859,1.5031812,0.0945047
14,1.436624,1.1891558,"('antisocial', 'social')",-0.16776669,-0.4667631,0.6344287,0.3611963,0.2732324
80,1.3251328,1.069174,"('dominated', 'dominating')",-0.90118676,-0.923605,0.211973,0.0727845,0.1391885
57,-1.2263492,-1.0647599,"('unimaginative', 'imaginative')",-2.5205257,-2.2894866,-1.8734374,-1.6771233,-0.1963141
62,1.2030082,0.9968295,"('incompetent', 'brilliant')",0.9161414,0.8474753,1.0595748,0.9221524,0.1374224
56,1.1738154,1.0492615,"('impractical', 'practical')",0.49313164,0.4194941,0.8334735,0.7343777,0.0990958
21,1.1025773,1.075726,"('immoral', 'moral')",-0.3276213,-0.44156253,0.387478,0.3170817,0.0703963
65,1.040925,0.6738917,"('insecure', 'secure')",0.08139464,-0.10431555,0.5611598,0.2847881,0.2763717
86,-1.0199859,-0.9428435,"('uninfluential', 'influential')",-0.3592036,-0.27326468,-0.6895947,-0.6080541,-0.0815406
35,-1.0066508,-0.8173665,"('corrupt', 'incorrupt')",-0.7346112,-0.60176337,-0.870631,-0.7095649,-0.1610661
28,-0.9492931,-1.0035739,"('disloyal', 'loyal')",0.4673531,0.2807128,-0.24097,-0.3614305,0.1204605
55,0.9409925,0.6851893,"('incompetent', 'clever')",0.360205,0.34048375,0.6505988,0.5128365,0.1377623
32,0.93691987,0.8513713,"('unkind', 'kind')",1.0069898,0.8795059,0.9719548,0.8654386,0.1065162
76,0.91933274,0.5703585,"('anxious', 'daring')",0.89510435,0.75747496,0.9072186,0.6639167,0.2433019
13,0.88572425,0.92093563,"('impolite', 'polite')",0.2298323,0.23050222,0.5577783,0.5757189,-0.0179406
75,-0.8720882,-0.6528913,"('meek', 'impulsive')",-0.46860945,-0.35665745,-0.6703488,-0.5047743,-0.1655745
4,-0.85941154,-0.5005106,"('disliked', 'liked')",-5.5636506,-5.2788725,-3.2115312,-2.8896916,-0.3218396
67,0.8221071,0.86804193,"('doubtful', 'determined')",-0.26420406,-0.27564326,0.2789515,0.2961993,-0.0172478
47,0.79086715,0.70605147,"('stupid', 'smart')",5.299321,5.0847917,3.0450943,2.8954215,0.1496728
58,-0.7371458,-0.6112466,"('undiscriminating', 'discriminating')",-0.2117271,-0.22304413,-0.4744364,-0.4171454,-0.057291
64,0.72454894,0.7812377,"('shy', 'confident')",-5.4438734,-5.167346,-2.3596623,-2.1930542,-0.1666081
16,-0.67841697,-0.5975119,"('unpopular', 'popular')",0.47299755,0.46475023,-0.1027097,-0.0663808,-0.0363289
48,0.6711934,0.43812248,"('unintelligent', 'intelligent')",1.1463931,1.0420784,0.9087932,0.7401004,0.1686928
22,0.6667838,0.63698477,"('untrustworthy', 'trustworthy')",-0.8975196,-0.9252532,-0.1153679,-0.1441342,0.0287663
26,-0.6386529,-0.58701694,"('hardhearted', 'benevolent')",0.90176827,0.84171474,0.1315577,0.1273489,0.0042088
54,-0.60730207,-0.82169664,"('incapable', 'capable')",1.0448093,0.9166634,0.2187536,0.0474834,0.1712702
39,0.59272194,0.43225,"('exploitative', 'cooperative')",-0.02184,-0.20329148,0.285441,0.1144793,0.1709617
2,0.55341536,0.4640205,"('unlikable', 'likable')",0.47048113,0.6544842,0.5119482,0.5592524,-0.0473042
25,-0.5525718,-0.56093216,"('egoistic', 'altruistic')",0.7680013,0.7963805,0.1077148,0.1177242,-0.0100094
41,0.530012,0.5793987,"('unforgiving', 'forgiving')",0.14344507,0.040347394,0.3367285,0.309873,0.0268555
69,-0.52976584,-0.3558021,"('lazy', 'industrious')",-0.261918,-0.1653513,-0.3958419,-0.2605767,-0.1352652
33,-0.5263403,-0.1729977,"('wrong', 'right')",-0.904262,-0.7427303,-0.7153012,-0.457864,-0.2574372
29,-0.50862163,-0.4025246,"('unfair', 'fair')",-0.7993808,-0.726872,-0.6540012,-0.5646983,-0.0893029
42,0.45016164,0.37127003,"('unreliable', 'reliable')",-2.7597282,-2.6105165,-1.1547832,-1.1196233,-0.0351599
44,0.44218773,0.25461513,"('prejudiced', 'unprejudiced')",-1.1865562,-1.2593087,-0.3721842,-0.5023468,0.1301626
40,-0.4128191,-0.006992411,"('stingy', 'generous')",-1.4194964,-1.0735948,-0.9161577,-0.5402936,-0.3758641
49,0.39848036,0.112775415,"('unable', 'able')",0.16469632,-0.08126964,0.2815883,0.0157529,0.2658354
71,-0.39690644,-0.28745174,"('diffident', 'self-confident')",0.20241873,0.15946105,-0.0972439,-0.0639953,-0.0332486
70,0.37170348,0.1448197,"('lethargic', 'energetic')",0.8326552,0.7603482,0.6021793,0.452584,0.1495953
68,-0.36366472,-0.36129573,"('dependent', 'independent')",-0.3525797,-0.290159,-0.3581222,-0.3257273,-0.0323949
7,0.3323256,0.2473281,"('insensitive', 'sensitive')",0.59500766,0.42686856,0.4636666,0.3370983,0.1265683
83,-0.32855842,-0.08603001,"('powerless', 'powerful')",-0.9475944,-0.9585621,-0.6380764,-0.5222961,-0.1157803
59,-0.32774675,-0.18518944,"('foolish', 'wise')",0.06834059,0.101722024,-0.1297031,-0.0417337,-0.0879694
18,-0.32763195,-0.39392844,"('disagreeable', 'welcoming')",-0.47026882,-0.50753963,-0.3989504,-0.450734,0.0517836
78,-0.32666427,-0.32089084,"('nonresilient', 'resilient')",0.6470678,0.61532193,0.1602018,0.1472155,0.0129863
11,0.31278425,0.13528863,"('unhelpful', 'helpful')",2.0163908,1.7385784,1.1645875,0.9369335,0.227654
17,-0.3120271,-0.32817557,"('nasty', 'nice')",-0.5590799,-0.5758459,-0.4355535,-0.4520108,0.0164573
88,-0.29099798,-0.43462658,"('low', 'eminent')",0.34754658,0.075667575,0.0282743,-0.1794795,0.2077538
38,-0.28359142,-0.16363057,"('untruthful', 'truthful')",0.28392583,0.23948106,0.0001672,0.0379252,-0.037758
87,0.28232625,0.20731544,"('unsuccessful', 'successful')",0.8915993,0.87546355,0.5869628,0.5413895,0.0455733
15,-0.25932583,-0.2059971,"('boring', 'funny')",0.46559122,0.42176452,0.1031327,0.1078837,-0.004751
27,-0.25693813,-0.24613732,"('hardhearted', 'softhearted')",0.9948171,1.0805525,0.3689395,0.4172076,-0.0482681
72,-0.25552064,-0.20142889,"('unambitious', 'ambitious')",-1.0085447,-1.0249971,-0.6320326,-0.613213,-0.0188196
12,-0.2445374,-0.0053014904,"('unsupportive', 'supportive')",-1.6975633,-1.6007364,-0.9710503,-0.8030189,-0.1680314
37,-0.24411485,0.034576878,"('fake', 'genuine')",0.05800929,0.27245805,-0.0930528,0.1535175,-0.2465703
50,-0.23418508,-0.32498237,"('clumsy', 'skillful')",0.02652397,0.117559716,-0.1038306,-0.1037113,-0.0001193
3,-0.23052174,-0.23882702,"('repellent', 'pleasant')",-0.24096511,-0.2489639,-0.2357434,-0.2438955,0.0081521
51,0.22146736,0.19591928,"('uneducated', 'educated')",0.80540335,0.82626987,0.5134354,0.5110946,0.0023408
82,-0.22058368,-0.37588194,"('poor', 'rich')",5.778046,5.580289,2.7787313,2.6022034,0.1765279
73,-0.18842569,0.094329596,"('helpless', 'self-reliant')",-3.2096198,-2.864224,-1.6990228,-1.3849472,-0.3140756
74,-0.17502427,-0.043939106,"('undedicated', 'dedicated')",-0.3115292,-0.21239,-0.2432767,-0.1281646,-0.1151121
23,0.16714224,-0.06771033,"('insincere', 'sincere')",5.438696,4.940947,2.8029191,2.4366183,0.3663008
46,0.15566845,0.21312436,"('uncompetitive', 'competitive')",-0.3330726,-0.30059376,-0.0887021,-0.0437347,-0.0449674
0,0.15110962,0.10324557,"('unsociable', 'sociable')",-0.37327474,-0.47853142,-0.1110826,-0.1876429,0.0765603
63,0.14823338,0.14456844,"('unperceptive', 'insightful')",1.2646809,1.2694609,0.7064571,0.7070147,-0.0005576
84,-0.13584585,-0.039013922,"('inferior', 'superior')",1.0629058,1.0180017,0.46353,0.4894939,-0.0259639
43,0.09166378,0.07213114,"('irresponsible', 'responsible')",0.29217508,0.24798453,0.1919194,0.1600578,0.0318616
77,-0.084297314,-0.112863846,"('unmotivated', 'motivated')",-0.53344864,-0.76410437,-0.308873,-0.4384841,0.1296111
24,0.07822122,0.17345119,"('dishonest', 'honest')",0.74570674,0.75205225,0.411964,0.4627517,-0.0507877
34,-0.066782355,0.01284753,"('mean', 'honorable')",5.971182,5.705442,2.9521997,2.8591447,0.093055
20,-0.053838003,-0.035761826,"('rough', 'thoughtful')",0.82576025,0.95209044,0.3859611,0.4581643,-0.0722032
61,-0.04725655,-0.0634848,"('illogical', 'logical')",-0.04382273,-0.119014226,-0.0455396,-0.0912495,0.0457099
45,0.035547845,0.05965423,"('incompetent', 'competent')",0.017447362,0.001964964,0.0264976,0.0308096,-0.004312
10,-0.03224293,-0.0801197,"('unsympathetic', 'sympathetic')",-0.13563296,-0.12122088,-0.0839379,-0.1006703,0.0167324
