,bed_male,bed_female,tuple,bath_male,bath_female,&_male,&_female,beyond_male,beyond_female,inc_male,inc_female,average_male,average_female,male-female
56,2.7020636,1.2668397,"('impractical', 'practical')",1.3535975,1.0471462,-0.7309599,-0.69643414,0.10910498,0.25018454,0.33430815,0.1290599,0.7536229,0.3993592,0.3542637
31,-1.9997073,-0.20689042,"('evil', 'good')",0.5030502,1.1016226,1.4128324,1.5387057,-0.015813358,0.21264571,-1.0999019,-0.91922575,-0.239908,0.3453716,-0.5852796
36,-1.8218024,-0.0073086247,"('hostile', 'amicable')",-0.17679523,0.44932786,1.1092235,0.89449906,0.78716993,0.85643613,-0.08461941,0.07517479,-0.0373647,0.4536259,-0.4909906
85,-1.8175659,0.37745962,"('insignificant', 'prestigious')",0.7503024,1.4421961,1.4297822,1.2984333,1.0990182,1.4239432,0.14261533,0.67868316,0.3208304,1.0441431,-0.7233127
43,1.7753235,0.686997,"('irresponsible', 'responsible')",1.0132645,0.61668175,-0.6517039,-0.41433883,-1.2738193,-1.1277496,1.2648048,1.15277,0.4255739,0.1828721,0.2427018
60,1.7183725,-0.22725871,"('inefficient', 'efficient')",0.90776294,0.3814674,-1.5353357,-1.2808163,-0.9666651,-0.92589974,0.3198221,0.2213848,0.0887913,-0.3662245,0.4550158
25,-1.6689367,-0.386144,"('egoistic', 'altruistic')",0.42141536,0.92094916,0.118491516,0.07477421,-0.81311125,-0.5324749,1.2266654,1.4405359,-0.1430951,0.3035281,-0.4466232
12,1.5420394,1.2902381,"('unsupportive', 'supportive')",0.8129723,0.90274024,0.055867374,0.7491885,0.3294613,0.76169366,-1.5542524,-1.0419211,0.2372176,0.5323879,-0.2951703
13,1.539925,-0.1594178,"('impolite', 'polite')",-0.03286857,-0.22746381,-1.4071616,-1.2103502,-0.87111783,-0.8904684,-0.37548068,-0.52075744,-0.2293407,-0.6016915,0.3723508
5,-1.5023327,0.24041446,"('distant', 'outgoing')",1.0550569,1.4716886,1.2946504,1.1846175,0.27257538,0.42754835,-0.0024549067,0.22800265,0.223499,0.7104543,-0.4869553
