,windstream_male,windstream_female,tuple,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
6,-2.6594052,-2.6151152,"('distant', 'open')",-1.4897246,-1.3411118,0.1727727,0.20200196,-1.3254524,-1.2514083,-0.0740441
5,-2.0284204,-1.9486794,"('distant', 'outgoing')",-1.1857791,-0.9932127,-0.58593065,-0.47085416,-1.26671,-1.1375821,-0.1291279
1,-1.8582925,-1.8692931,"('unfriendly', 'friendly')",-0.24814507,-0.07736827,1.3682989,1.4736152,-0.2460462,-0.1576821,-0.0883641
31,-1.8390301,-1.8262624,"('evil', 'good')",-1.9440459,-1.8492709,-1.3618058,-1.407389,-1.7149606,-1.6943075,-0.0206531
19,-1.8266829,-1.7262622,"('inhospitable', 'hospitable')",-1.2806505,-1.152647,-0.24913035,-0.172884,-1.1188212,-1.0172644,-0.1015568
52,-1.6642375,-1.8273965,"('irrational', 'rational')",-1.4156706,-1.4583304,-0.17637232,-0.2533461,-1.0854268,-1.179691,0.0942642
8,-1.6308714,-1.6241742,"('unaffectionate', 'affectionate')",-1.0487342,-0.8924812,0.26048797,0.39551315,-0.8063725,-0.7070475,-0.099325
60,1.5594665,1.522199,"('inefficient', 'efficient')",1.4201145,1.3514276,0.097235784,0.2027714,1.0256055,1.025466,0.0001395
36,-1.5454698,-1.5568489,"('hostile', 'amicable')",-1.7541685,-1.7147632,0.4348358,0.21573736,-0.9549341,-1.0186249,0.0636908
76,1.4964314,1.455676,"('anxious', 'daring')",1.3912009,1.296023,0.5389808,0.5859044,1.1422044,1.1125344,0.02967
30,1.4049147,1.4215974,"('intolerant', 'tolerant')",1.7834575,1.7576544,1.0474694,1.0997443,1.4119473,1.426332,-0.0143847
56,1.403754,1.3918477,"('impractical', 'practical')",0.88335997,0.91817665,-0.15451439,-0.042814713,0.7108665,0.7557365,-0.04487
65,1.2756879,1.1293648,"('insecure', 'secure')",1.2064085,0.9740713,0.09890945,0.08586414,0.8603353,0.7297668,0.1305685
39,1.2712318,1.2364137,"('exploitative', 'cooperative')",0.1067992,0.042317823,-0.2612108,-0.23515058,0.3722734,0.3478603,0.0244131
0,-1.2133652,-1.3394358,"('unsociable', 'sociable')",0.22764704,0.13006395,-0.15578151,-0.18416296,-0.3804999,-0.4645116,0.0840117
38,-1.1780839,-1.1839136,"('untruthful', 'truthful')",-0.87672853,-0.836329,-0.23779571,-0.19604105,-0.7642028,-0.7387613,-0.0254415
28,-1.1476033,-1.1695938,"('disloyal', 'loyal')",-0.21299636,-0.3060335,1.0064257,0.94924456,-0.118058,-0.1754609,0.0574029
9,-1.1269349,-1.1314186,"('unaffectionate', 'caring')",-0.17052314,-0.01207801,0.855113,1.0395374,-0.1474483,-0.0346531,-0.1127952
80,1.10898,1.100906,"('dominated', 'dominating')",0.96402407,0.82408464,-1.0747849,-1.0286587,0.3327397,0.2987773,0.0339624
7,1.0869306,1.0722854,"('insensitive', 'sensitive')",1.2147666,1.2185204,0.8610681,0.9622456,1.0542552,1.0843504,-0.0300952
41,-1.0629933,-1.1632694,"('unforgiving', 'forgiving')",0.041326527,0.044930786,0.3411832,0.1878403,-0.2268279,-0.3101661,0.0833382
79,-1.0619271,-1.1005739,"('wavering', 'unwavering')",-1.8074571,-1.6326959,-0.14232752,-0.16161293,-1.0039039,-0.9649609,-0.038943
85,-1.0544002,-1.2699944,"('insignificant', 'prestigious')",-0.5281084,-0.42142496,0.44038486,0.42575228,-0.3807079,-0.421889,0.0411811
42,0.96734333,0.9544294,"('unreliable', 'reliable')",1.608216,1.6307307,-2.3830059,-2.2697976,0.0641845,0.1051209,-0.0409364
4,-0.94193196,-0.8719467,"('disliked', 'liked')",-0.45786282,-0.4365219,-5.931539,-5.908093,-2.443778,-2.4055204,-0.0382576
16,-0.9025894,-0.8372969,"('unpopular', 'popular')",-1.1325171,-1.0419003,0.25348774,0.21677336,-0.5938729,-0.5541412,-0.0397317
17,-0.84742314,-0.8291254,"('nasty', 'nice')",-1.4900435,-1.4012929,-0.7057963,-0.7574518,-1.014421,-0.9959567,-0.0184643
73,0.84417856,0.8803073,"('helpless', 'self-reliant')",0.13340014,0.30112466,-3.3001473,-3.0807238,-0.7741896,-0.6330973,-0.1410923
46,0.83886904,0.7450752,"('uncompetitive', 'competitive')",2.0072484,2.0262537,0.267672,0.23476994,1.0379299,1.0020329,0.035897
50,0.79050773,0.6964949,"('clumsy', 'skillful')",-0.012011027,0.0704176,0.27407333,0.33884823,0.3508567,0.3685869,-0.0177302
67,0.77314836,0.64962333,"('doubtful', 'determined')",0.66082805,0.60901046,-0.6981849,-0.62838316,0.2452638,0.2100836,0.0351802
51,-0.7627858,-0.8305366,"('uneducated', 'educated')",0.8943579,0.80814904,0.6898046,0.57648456,0.2737922,0.184699,0.0890932
47,0.74704194,0.577569,"('stupid', 'smart')",0.8465325,0.9035747,5.424758,5.4640617,2.3394442,2.3150686,0.0243756
88,-0.7159959,-0.8151744,"('low', 'eminent')",-0.03958553,-0.0530276,0.23169012,0.28010547,-0.1746304,-0.1960322,0.0214018
54,-0.7085279,-0.67612433,"('incapable', 'capable')",-0.06229366,0.035873324,0.814765,0.9328091,0.0146478,0.0975194,-0.0828716
71,0.69886315,0.7192064,"('diffident', 'self-confident')",0.7348105,0.8125823,0.6259763,0.7189606,0.68655,0.7502498,-0.0636998
81,0.6640528,0.5632065,"('submissive', 'aggressive')",1.7161087,1.5917236,-0.4604138,-0.3773729,0.6399159,0.5925191,0.0473968
26,-0.6553856,-0.8526473,"('hardhearted', 'benevolent')",1.5782223,1.554877,1.6140741,1.5584149,0.8456369,0.7535482,0.0920887
66,-0.65345615,-0.7553686,"('inactive', 'active')",0.66356575,0.621021,1.3739197,1.2514888,0.4613431,0.3723804,0.0889627
35,-0.6483403,-0.53101623,"('corrupt', 'incorrupt')",-2.0578625,-2.0495281,-0.3924368,-0.46771976,-1.0328798,-1.0160881,-0.0167917
18,-0.646525,-0.5656676,"('disagreeable', 'welcoming')",-0.08934664,-0.089333534,-0.37891912,-0.39155227,-0.3715969,-0.3488511,-0.0227458
37,0.59941775,0.59732944,"('fake', 'genuine')",0.209964,0.22330123,0.4301066,0.5549608,0.4131628,0.4585305,-0.0453677
2,-0.56400406,-0.7308344,"('unlikable', 'likable')",1.3042942,1.2934903,0.8634542,0.81781524,0.5345815,0.460157,0.0744245
86,-0.54148155,-0.80851674,"('uninfluential', 'influential')",0.24453712,0.14391011,0.044391006,-0.03278107,-0.0841845,-0.2324626,0.1482781
21,0.5367926,0.43262228,"('immoral', 'moral')",0.92674416,0.81396604,-0.35376883,-0.34737098,0.3699226,0.2997391,0.0701835
70,0.5057483,0.49530104,"('lethargic', 'energetic')",1.683275,1.6643668,0.9950924,1.1072792,1.0613719,1.0889824,-0.0276105
78,-0.4836849,-0.30706698,"('nonresilient', 'resilient')",0.83442926,1.0310804,0.689679,0.7711687,0.3468078,0.498394,-0.1515862
84,0.48003402,0.40672672,"('inferior', 'superior')",0.27189827,0.29158452,0.91674644,0.98247397,0.5562263,0.5602617,-0.0040354
25,-0.47521728,-0.5580918,"('egoistic', 'altruistic')",0.44391,0.4871375,1.5192004,1.4667103,0.4959644,0.465252,0.0307124
23,0.46448877,0.37008002,"('insincere', 'sincere')",0.23061635,0.21779898,5.376432,5.337382,2.0238457,1.975087,0.0487587
82,-0.45221236,-0.41021752,"('poor', 'rich')",0.51776904,0.68868744,5.7730923,5.8531256,1.9462163,2.0438652,-0.0976489
33,0.44871598,0.42148525,"('wrong', 'right')",0.21530978,0.24008985,-0.90007126,-0.8435534,-0.0786818,-0.0606594,-0.0180224
