,pinnacle_male,pinnacle_female,tuple,west_male,west_female,capital_male,capital_female,corp_male,corp_female,average_male,average_female,male-female
31,-3.3832948,-2.490296,"('evil', 'good')",-2.390452,-1.9173971,-0.06683182,0.018810637,-1.648743,-1.2126814,-1.8723303,-1.4003909,-0.4719394
23,2.880165,2.2815173,"('insincere', 'sincere')",1.4284778,1.314878,0.33188492,0.27478817,7.03166,7.072736,2.918047,2.7359798,0.1820672
56,2.858956,2.0272806,"('impractical', 'practical')",1.743293,1.4765124,0.34486222,0.27446523,-0.09647549,-0.39754736,1.2126589,0.8451778,0.3674811
35,-2.7868261,-2.0526562,"('corrupt', 'incorrupt')",-1.6402261,-1.5101527,-0.46423408,-0.48670512,-1.3752565,-0.9525982,-1.5666357,-1.2505281,-0.3161076
60,2.721755,1.5760324,"('inefficient', 'efficient')",1.8260661,1.4471905,-0.2774043,-0.40843627,0.68823934,0.27234343,1.2396641,0.7217825,0.5178816
6,-2.6954582,-1.8626484,"('distant', 'open')",-1.923437,-1.6438488,0.68777215,0.84395224,-0.87510127,-0.2839164,-1.201556,-0.7366154,-0.4649406
75,-2.6781843,-2.176637,"('meek', 'impulsive')",-1.0371372,-0.7971912,0.37730604,0.2965872,-1.0171756,-0.82684344,-1.0887978,-0.8760211,-0.2127767
62,2.6462088,1.9138705,"('incompetent', 'brilliant')",1.4061843,1.2234584,0.23840438,0.26890057,0.8745232,0.793513,1.2913301,1.0499356,0.2413945
46,2.6135306,1.7562885,"('uncompetitive', 'competitive')",1.5626332,1.2758075,0.24544287,-0.013325863,-0.15212339,-0.6546327,1.0673708,0.5910343,0.4763365
36,-2.590428,-2.1994128,"('hostile', 'amicable')",-1.7878736,-1.8551147,0.34499726,0.15900123,-0.87276065,-0.61138594,-1.2265162,-1.1267279,-0.0997883
69,-2.5577755,-1.9243671,"('lazy', 'industrious')",-0.54367745,-0.5064718,2.0837743,2.0460427,-1.4337655,-1.1998036,-0.612861,-0.3961499,-0.2167111
10,2.4025974,1.5154874,"('unsympathetic', 'sympathetic')",0.8679284,0.42479646,-0.99526834,-1.0133047,0.6041916,0.20434834,0.7198623,0.2828319,0.4370304
52,-2.3916554,-1.5538043,"('irrational', 'rational')",-1.2420238,-1.0941662,0.6705042,0.622274,-0.38302994,0.019238451,-0.8365513,-0.5016145,-0.3349368
63,2.379829,2.0301018,"('unperceptive', 'insightful')",1.629093,1.4780087,0.99993736,1.0769358,1.3390486,1.2636248,1.586977,1.4621677,0.1248093
76,2.3520064,1.4933505,"('anxious', 'daring')",1.3536125,0.974255,0.6144873,0.36474526,0.5267527,0.08611715,1.2117147,0.729617,0.4820977
21,2.3442466,1.3452868,"('immoral', 'moral')",1.730932,1.0374713,-0.015541837,-0.2996892,0.41814837,-0.12365635,1.1194463,0.4898531,0.6295932
85,-2.289315,-1.4764688,"('insignificant', 'prestigious')",-1.4675567,-1.5310256,2.1170542,1.9885474,-1.0400782,-0.6951597,-0.6699739,-0.4285267,-0.2414472
12,2.2168117,2.0175111,"('unsupportive', 'supportive')",1.3347247,1.169132,1.5266007,1.6593169,-1.7506241,-1.6527083,0.8318782,0.798313,0.0335652
55,2.171868,0.9867003,"('incompetent', 'clever')",1.3609622,0.9581298,-0.5549623,-0.6831196,0.9151178,0.4438022,0.9732465,0.4263782,0.5468683
80,2.0098183,1.1819477,"('dominated', 'dominating')",0.5627861,0.40486592,-0.586576,-0.58001536,0.13834715,-0.21194234,0.5310939,0.198714,0.3323799
29,-1.9882978,-1.7586474,"('unfair', 'fair')",0.16807064,0.28310207,0.11021443,-0.04367981,-0.38157207,-0.3350225,-0.5228962,-0.463562,-0.0593342
7,1.9852624,1.3274976,"('insensitive', 'sensitive')",1.7130294,1.3378164,0.35729992,0.2636322,1.0945098,1.0406061,1.2875254,0.9923881,0.2951373
4,-1.9607044,-1.6655328,"('disliked', 'liked')",-0.9611888,-0.9833664,-0.14558399,-0.13679887,-7.934818,-7.9700017,-2.7505736,-2.6889248,-0.0616488
65,1.9054031,0.7570793,"('insecure', 'secure')",1.0992582,0.6026618,-0.3636883,-0.666684,0.6953767,0.24240328,0.8340874,0.2338651,0.6002223
16,-1.903839,-1.725949,"('unpopular', 'popular')",-0.66061705,-0.63020426,0.39056098,0.35514894,0.07367596,0.020630568,-0.5250548,-0.4950934,-0.0299614
59,-1.9004302,-1.1443754,"('foolish', 'wise')",0.09890429,0.1741772,1.1316333,1.166563,-0.45682707,0.11088701,-0.2816799,0.0768129,-0.3584928
25,-1.8676372,-1.3844861,"('egoistic', 'altruistic')",-0.7432227,-0.33568084,0.14332607,0.41650262,1.1525443,1.4076213,-0.3287474,0.0259892,-0.3547366
44,-1.8196025,-1.7705774,"('prejudiced', 'unprejudiced')",-0.83403146,-0.9161748,-0.7101176,-0.81789386,-1.4203393,-1.5436258,-1.1960227,-1.262068,0.0660453
39,1.7414631,1.4524759,"('exploitative', 'cooperative')",2.2142475,1.9825939,0.54373705,0.39527634,0.27888945,0.27677342,1.1945843,1.0267799,0.1678044
30,1.7188561,0.9654708,"('intolerant', 'tolerant')",1.1390976,0.8573786,0.22965905,0.08041766,0.6345311,0.40341383,0.9305359,0.5766702,0.3538657
5,-1.6748337,-1.0920086,"('distant', 'outgoing')",-1.2175192,-1.0612633,1.2871041,1.3399304,-0.9902969,-0.41702268,-0.6488864,-0.3075911,-0.3412953
81,1.6221657,0.37431583,"('submissive', 'aggressive')",0.7785559,0.058990825,0.4628505,0.22140291,-0.1622808,-0.85704947,0.6753228,-0.050585,0.7259078
43,1.5859991,1.041407,"('irresponsible', 'responsible')",1.4206045,1.1463002,0.10987714,0.10142787,0.70447385,0.5771002,0.9552387,0.7165588,0.2386799
70,1.5575887,0.67220885,"('lethargic', 'energetic')",0.7403984,0.46078598,0.36498702,0.17517233,1.0660967,0.7059622,0.9322677,0.5035324,0.4287353
72,1.4892459,1.5633342,"('unambitious', 'ambitious')",0.24512586,0.34100845,0.5786514,0.8042241,-0.11480229,0.0815793,0.5495552,0.6975365,-0.1479813
