,boston_male,boston_female,tuple,scientific_male,scientific_female,corp_male,corp_female,average_male,average_female,male-female
39,2.1985214,2.3146276,"('exploitative', 'cooperative')",0.57838583,0.5374992,-0.012315948,0.162424,0.9215304,1.0048503,-0.0833199
74,1.8233652,1.8302474,"('undedicated', 'dedicated')",-0.060770497,-0.15480496,-0.36707664,-0.3848005,0.4651727,0.430214,0.0349587
71,1.5851024,1.6148571,"('diffident', 'self-confident')",1.3516672,1.2436076,0.213878,0.047555454,1.0502158,0.9686734,0.0815424
58,1.48203,1.4203337,"('undiscriminating', 'discriminating')",0.68159103,0.7402652,0.21412113,0.045865923,0.7925807,0.7354883,0.0570924
73,1.3857982,1.3902146,"('helpless', 'self-reliant')",0.06091879,0.12478744,-3.5024474,-3.6200964,-0.6852434,-0.7016981,0.0164547
24,1.275914,1.2449946,"('dishonest', 'honest')",-0.60682887,-0.83960515,0.008333594,0.07986472,0.2258062,0.1617514,0.0640548
26,1.1415688,1.0890825,"('hardhearted', 'benevolent')",1.4338152,1.4355478,1.1839237,1.1643617,1.2531026,1.229664,0.0234386
44,-1.0712932,-1.3006939,"('prejudiced', 'unprejudiced')",-0.21143815,-0.40403655,-1.3787994,-1.4426403,-0.887177,-1.0491236,0.1619466
49,-1.01264,-0.88893455,"('unable', 'able')",0.14032355,0.10230215,-0.22647053,-0.20982692,-0.3662624,-0.3321531,-0.0341093
66,0.99106276,0.90626,"('inactive', 'active')",-0.63954437,-0.67002827,0.69372755,0.6413234,0.3484153,0.2925184,0.0558969
87,0.9022267,0.8829659,"('unsuccessful', 'successful')",0.24573845,-0.026764624,1.2531685,1.2722183,0.8003778,0.7094732,0.0909046
78,-0.89626426,-0.82109857,"('nonresilient', 'resilient')",1.0504038,0.98824155,0.60392195,0.5891718,0.2526872,0.2521049,0.0005823
40,0.8930629,1.0016217,"('stingy', 'generous')",0.5024185,0.65729445,-2.3106606,-2.2103183,-0.3050598,-0.1838007,-0.1212591
