,kellogg_male,kellogg_female,tuple,co_male,co_female,average_male,average_female,male-female
26,2.8597975,2.8281057,"('hardhearted', 'benevolent')",1.8262193,2.0188942,2.3430085,2.4235001,-0.0804916
81,-2.8130898,-2.44799,"('submissive', 'aggressive')",-0.74382555,-0.7765869,-1.7784576,-1.6122885,-0.1661691
85,2.44324,2.3083775,"('insignificant', 'prestigious')",-0.4819649,-0.031051341,0.9806376,1.1386631,-0.1580255
1,2.1177382,1.807869,"('unfriendly', 'friendly')",1.8239776,1.6692787,1.9708579,1.7385738,0.2322841
3,-2.1120186,-1.9816253,"('repellent', 'pleasant')",-0.42555976,-0.59310615,-1.2687892,-1.2873657,0.0185765
25,2.0551503,2.0716875,"('egoistic', 'altruistic')",1.2035166,1.5243999,1.6293335,1.7980437,-0.1687102
22,-2.0484314,-2.0862203,"('untrustworthy', 'trustworthy')",-1.2530144,-1.386686,-1.650723,-1.7364531,0.0857301
69,2.0309682,1.8379,"('lazy', 'industrious')",-0.40408617,-0.04743594,0.813441,0.8952321,-0.0817911
71,1.9410187,1.7791518,"('diffident', 'self-confident')",0.30818045,0.38330802,1.1245996,1.0812299,0.0433697
9,1.871129,1.8938947,"('unaffectionate', 'caring')",1.1912158,1.1626205,1.5311724,1.5282576,0.0029148
70,-1.799713,-1.4061024,"('lethargic', 'energetic')",0.021794356,-0.15575564,-0.8889593,-0.780929,-0.1080303
46,-1.7575732,-1.6679894,"('uncompetitive', 'competitive')",-0.8415092,-1.0130081,-1.2995412,-1.3404987,0.0409575
44,-1.7461599,-1.6069613,"('prejudiced', 'unprejudiced')",-1.7774088,-1.5986947,-1.7617843,-1.602828,-0.1589563
57,-1.710747,-1.6653442,"('unimaginative', 'imaginative')",-3.388249,-3.3448634,-2.5494981,-2.5051038,-0.0443943
68,-1.6982884,-1.7908916,"('dependent', 'independent')",-1.5573268,-1.7540935,-1.6278076,-1.7724926,0.144685
84,1.678593,1.8752508,"('inferior', 'superior')",0.8293158,0.8236436,1.2539544,1.3494473,-0.0954929
