,cardinal_male,cardinal_female,tuple,health_male,health_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.94575,-2.7684588,"('evil', 'good')",-0.97592545,-1.1046314,-0.8770943,-1.0764978,-1.59959,-1.6498626,0.0502726
21,2.6588295,2.8556585,"('immoral', 'moral')",1.5904833,1.7992427,-0.6865899,-0.39614323,1.1875743,1.419586,-0.2320117
76,2.1987917,2.1819966,"('anxious', 'daring')",-0.07325936,0.30194905,0.022571236,0.34713018,0.7160346,0.9436919,-0.2276573
16,-1.9913783,-1.5829885,"('unpopular', 'popular')",-0.37060636,-0.33654237,0.3272683,0.46919113,-0.6782388,-0.4834466,-0.1947922
60,1.8097063,1.808441,"('inefficient', 'efficient')",0.6673088,0.86624736,-0.16233549,0.0032462198,0.7715599,0.8926449,-0.121085
32,1.7775645,1.9285383,"('unkind', 'kind')",2.0135374,2.1850512,1.2569635,1.3313117,1.6826884,1.814967,-0.1322786
12,1.581912,1.6523875,"('unsupportive', 'supportive')",2.2416413,2.2629192,-1.6859856,-1.7730628,0.7125226,0.7140813,-0.0015587
56,1.51676,1.6651558,"('impractical', 'practical')",1.2551557,1.5076488,-0.4470795,-0.27615866,0.7749454,0.9655487,-0.1906033
23,1.4753493,1.478532,"('insincere', 'sincere')",0.34497896,0.48385423,5.8808227,5.866166,2.5670503,2.6095174,-0.0424671
43,1.446886,1.3027211,"('irresponsible', 'responsible')",1.5453038,1.669172,0.47526526,0.58555835,1.1558184,1.1858172,-0.0299988
6,-1.3898906,-1.2714875,"('distant', 'open')",-0.04319366,0.03911054,0.39024913,0.45688045,-0.3476117,-0.2584988,-0.0891129
52,-1.3375024,-1.3457909,"('irrational', 'rational')",-0.46096706,-0.5950019,0.28700557,0.11816638,-0.5038213,-0.6075422,0.1037209
36,-1.3349352,-1.2482274,"('hostile', 'amicable')",-0.7981212,-0.82776487,0.49250546,0.39819044,-0.5468503,-0.5592672,0.0124169
70,1.2959472,1.0811714,"('lethargic', 'energetic')",0.31059507,0.42046216,0.8073491,0.8312551,0.8046304,0.7776295,0.0270009
74,1.2256756,1.2806556,"('undedicated', 'dedicated')",0.38420492,0.4621367,-0.047717478,-0.12155686,0.520721,0.5404118,-0.0196908
18,1.1851158,1.3543092,"('disagreeable', 'welcoming')",-0.27422252,-0.15682651,-0.1645095,-0.10793938,0.2487946,0.3631811,-0.1143865
39,1.17264,1.0904901,"('exploitative', 'cooperative')",0.19960862,0.2001033,0.3298929,0.36692062,0.5673805,0.5525047,0.0148758
69,-1.1692139,-1.0248265,"('lazy', 'industrious')",0.406011,0.3679498,-0.33812892,-0.28142944,-0.3671106,-0.3127687,-0.0543419
4,-1.1432793,-0.9676838,"('disliked', 'liked')",0.5693893,0.52685773,-6.6203914,-6.6107173,-2.3980939,-2.3505144,-0.0475795
26,1.1375495,1.0956337,"('hardhearted', 'benevolent')",1.4294068,1.3761183,1.9382585,1.7747974,1.5017382,1.4155165,0.0862217
34,1.1319835,1.1226445,"('mean', 'honorable')",0.9521095,1.0315697,6.211321,6.256561,2.765138,2.8035917,-0.0384537
84,1.1209744,0.97568136,"('inferior', 'superior')",0.91899073,0.8343205,0.7154778,0.6728983,0.918481,0.8276334,0.0908476
41,1.1019518,1.2092252,"('unforgiving', 'forgiving')",0.8129989,0.90546614,0.043589097,-0.028443862,0.6528466,0.6954158,-0.0425692
7,1.0741929,0.91738176,"('insensitive', 'sensitive')",0.09702439,0.14737275,0.8300382,0.6743318,0.6670852,0.5796954,0.0873898
48,1.0376742,0.9199149,"('unintelligent', 'intelligent')",0.8622366,0.9428269,0.4589131,0.37760803,0.7862746,0.7467833,0.0394913
65,1.0356176,0.99759144,"('insecure', 'secure')",-0.30985215,-0.20474732,-0.34509134,-0.2920258,0.1268914,0.1669394,-0.040048
5,-1.0138679,-0.8779084,"('distant', 'outgoing')",-0.17492789,-0.12948139,-0.37441915,-0.31872955,-0.5210717,-0.4420398,-0.0790319
62,0.937643,1.0960851,"('incompetent', 'brilliant')",0.5145655,0.70015186,-0.18640213,-0.02772971,0.4219355,0.5895024,-0.1675669
10,0.9244858,0.7686633,"('unsympathetic', 'sympathetic')",0.17465815,0.34981316,-0.34459803,-0.3178566,0.2515153,0.2668733,-0.015358
79,0.8360504,0.88445574,"('wavering', 'unwavering')",0.15122464,0.2547317,0.50511944,0.54437083,0.4974648,0.5611861,-0.0637213
25,-0.8227198,-0.49923393,"('egoistic', 'altruistic')",-0.030272216,-0.0054904595,1.7834146,1.7350743,0.3101408,0.4101166,-0.0999758
59,0.8054861,0.7693564,"('foolish', 'wise')",1.4563993,1.3144958,0.8358336,0.73763466,1.032573,0.9404956,0.0920774
24,0.79982287,0.64927924,"('dishonest', 'honest')",0.3992297,0.46708488,0.6836762,0.6890113,0.6275763,0.6017918,0.0257845
17,-0.746842,-0.8318958,"('nasty', 'nice')",-0.24104588,-0.26264754,-0.21968174,-0.14789365,-0.4025232,-0.4141457,0.0116225
42,0.71440446,0.72323334,"('unreliable', 'reliable')",1.5509058,1.5132339,-2.5957668,-2.6115756,-0.1101522,-0.1250361,0.0148839
11,0.6958812,0.7379844,"('unhelpful', 'helpful')",0.22644074,0.19405775,1.5729156,1.506304,0.8317458,0.812782,0.0189638
8,-0.69455534,-0.7959731,"('unaffectionate', 'affectionate')",-0.46465614,-0.53047305,0.7561543,0.5317662,-0.1343524,-0.2648933,0.1305409
22,0.6653328,0.45342034,"('untrustworthy', 'trustworthy')",0.28190175,0.22574836,-0.98482436,-1.0278414,-0.0125299,-0.1162242,0.1036943
2,0.63449204,0.9017505,"('unlikable', 'likable')",1.408721,1.529134,0.40721625,0.5288445,0.8168097,0.9865764,-0.1697667
