,entergy_male,entergy_female,tuple,corp_male,corp_female,average_male,average_female,male-female
53,-2.120908,-1.9014001,"('uncreative', 'creative')",0.44162086,0.38012728,-0.8396436,-0.7606364,-0.0790072
1,-1.511505,-1.4297096,"('unfriendly', 'friendly')",1.3748244,1.2479055,-0.0683403,-0.090902,0.0225617
57,-1.4038231,-1.4213306,"('unimaginative', 'imaginative')",-3.39948,-3.6223376,-2.4016516,-2.5218341,0.1201825
8,-1.3921293,-1.430792,"('unaffectionate', 'affectionate')",0.93039465,0.84104085,-0.2308673,-0.2948756,0.0640083
86,-1.3846688,-1.207394,"('uninfluential', 'influential')",-0.4133656,-0.5391258,-0.8990172,-0.8732599,-0.0257573
10,-1.3168786,-1.1150235,"('unsympathetic', 'sympathetic')",-0.5017741,-0.38209075,-0.9093263,-0.7485571,-0.1607692
69,1.2742534,0.81069094,"('lazy', 'industrious')",-0.24043366,-0.5315572,0.5169098,0.1395669,0.3773429
28,-1.1134342,-0.8925699,"('disloyal', 'loyal')",0.67976254,0.75670624,-0.2168358,-0.0679318,-0.148904
36,-1.1051557,-1.5895823,"('hostile', 'amicable')",-0.21391022,-0.42171928,-0.659533,-1.0056508,0.3461178
31,-1.1029887,-1.5443077,"('evil', 'good')",-0.7852415,-0.9544378,-0.9441151,-1.2493727,0.3052576
9,-1.0915172,-1.0442146,"('unaffectionate', 'caring')",1.512502,1.5191016,0.2104924,0.2374435,-0.0269511
72,-1.0266263,-0.9420897,"('unambitious', 'ambitious')",-0.2869023,-0.04707998,-0.6567643,-0.4945848,-0.1621795
44,1.0206696,0.93936443,"('prejudiced', 'unprejudiced')",-1.4384806,-1.445504,-0.2089055,-0.2530698,0.0441643
54,-0.9175776,-0.83697045,"('incapable', 'capable')",0.9787103,1.0635935,0.0305663,0.1133115,-0.0827452
45,-0.9149852,-0.67174315,"('incompetent', 'competent')",-0.16480632,-0.10272676,-0.5398958,-0.387235,-0.1526608
58,-0.9021334,-0.9374213,"('undiscriminating', 'discriminating')",-0.036804456,-0.12886152,-0.4694689,-0.5331414,0.0636725
22,-0.8895917,-0.8532154,"('untrustworthy', 'trustworthy')",-1.0690488,-1.2550052,-0.9793202,-1.0541103,0.0747901
25,-0.8828467,-1.0108238,"('egoistic', 'altruistic')",1.1266189,0.9389248,0.1218861,-0.0359495,0.1578356
82,-0.8708007,-0.43239635,"('poor', 'rich')",6.528208,6.918913,2.8287036,3.2432582,-0.4145546
67,0.86464983,1.043063,"('doubtful', 'determined')",-0.6363973,-0.46706527,0.1141263,0.2879989,-0.1738726
19,-0.8605389,-0.8687357,"('inhospitable', 'hospitable')",-0.31698897,-0.21164308,-0.588764,-0.5401894,-0.0485746
35,-0.83416885,-1.0323764,"('corrupt', 'incorrupt')",-0.45821312,-0.5098305,-0.646191,-0.7711034,0.1249124
52,-0.8207712,-1.1895517,"('irrational', 'rational')",0.10801427,-0.034993283,-0.3563785,-0.6122725,0.255894
40,-0.8078444,-0.80791783,"('stingy', 'generous')",-2.269683,-2.5301464,-1.5387636,-1.6690321,0.1302685
73,0.8031884,0.90803355,"('helpless', 'self-reliant')",-3.1128707,-3.224606,-1.1548412,-1.1582862,0.003445
16,-0.7890641,-0.7811321,"('unpopular', 'popular')",0.5275538,0.46041602,-0.1307552,-0.160358,0.0296028
17,-0.7588661,-0.89932275,"('nasty', 'nice')",-0.5765867,-0.71537656,-0.6677264,-0.8073497,0.1396233
79,-0.75115967,-0.971875,"('wavering', 'unwavering')",-0.3160788,-0.29239714,-0.5336192,-0.6321361,0.0985169
80,0.7458799,0.7936034,"('dominated', 'dominating')",-0.8432871,-1.0267543,-0.0487036,-0.1165754,0.0678718
56,0.7447453,1.1681424,"('impractical', 'practical')",-0.70898414,-0.47043145,0.0178806,0.3488555,-0.3309749
3,-0.72703964,-0.6736825,"('repellent', 'pleasant')",0.6283459,0.43776143,-0.0493469,-0.1179605,0.0686136
46,-0.691013,-0.20861083,"('uncompetitive', 'competitive')",-1.1627324,-0.9738166,-0.9268727,-0.5912137,-0.335659
85,-0.6904169,-1.0938818,"('insignificant', 'prestigious')",0.11598347,-0.25427213,-0.2872167,-0.674077,0.3868603
0,-0.67556363,-0.36605057,"('unsociable', 'sociable')",-0.396846,-0.340406,-0.5362048,-0.3532283,-0.1829765
65,-0.645043,-0.58000034,"('insecure', 'secure')",-0.52668685,-0.38673446,-0.5858649,-0.4833674,-0.1024975
33,0.6174002,0.30098298,"('wrong', 'right')",-0.53824294,-0.6425646,0.0395786,-0.1707908,0.2103694
60,0.59749365,1.1636586,"('inefficient', 'efficient')",0.048737705,0.36702782,0.3231157,0.7653432,-0.4422275
87,0.5811381,0.5750526,"('unsuccessful', 'successful')",1.0001903,1.0289998,0.7906642,0.8020262,-0.011362
29,-0.5731648,-0.5879501,"('unfair', 'fair')",-0.5473326,-0.68970186,-0.5602487,-0.638826,0.0785773
81,0.5430801,0.85351735,"('submissive', 'aggressive')",-0.7741184,-0.6005202,-0.1155192,0.1264986,-0.2420178
32,-0.5297978,-0.5113848,"('unkind', 'kind')",0.7446638,0.6927287,0.107433,0.090672,0.016761
11,0.5168285,0.93147624,"('unhelpful', 'helpful')",1.8749813,2.0688944,1.1959049,1.5001853,-0.3042804
34,0.48556596,0.6733354,"('mean', 'honorable')",5.7580504,5.9075828,3.1218083,3.2904592,-0.1686509
