,intercontinentalexchange_male,intercontinentalexchange_female,tuple,grp_male,grp_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.474143,-2.562804,"('uninfluential', 'influential')",-1.2770739,-1.3338715,-0.5998181,-0.54367566,-1.450345,-1.4801172,0.0297722
69,2.356302,2.4702506,"('lazy', 'industrious')",0.31478825,0.40171322,-0.3589762,-0.31639746,0.7707047,0.8518554,-0.0811507
10,-2.1279976,-2.273809,"('unsympathetic', 'sympathetic')",-0.3635806,-0.7622068,-0.21159902,-0.27349675,-0.9010592,-1.1031709,0.2021117
8,-1.812611,-1.9601825,"('unaffectionate', 'affectionate')",-1.987368,-1.738811,0.8237385,0.7240763,-0.9920801,-0.9916391,-0.000441
9,-1.7428342,-1.8679547,"('unaffectionate', 'caring')",-1.5627054,-1.354986,1.1715348,1.182057,-0.7113349,-0.6802945,-0.0310404
48,-1.6317282,-1.6852384,"('unintelligent', 'intelligent')",-0.8451137,-1.1063464,0.20234363,0.095019475,-0.7581661,-0.8988551,0.140689
1,-1.6210521,-1.8096836,"('unfriendly', 'friendly')",-1.5836778,-1.4118754,1.8649684,1.7401466,-0.4465872,-0.4938041,0.0472169
39,1.6103106,1.5274582,"('exploitative', 'cooperative')",1.315402,1.0757796,0.3840435,0.1948399,1.103252,0.9326925,0.1705595
55,-1.4555806,-1.5469792,"('incompetent', 'clever')",0.47135344,-0.08376941,0.19437468,-0.033214778,-0.2632842,-0.5546545,0.2913703
19,-1.3436768,-1.2474682,"('inhospitable', 'hospitable')",-1.2362431,-0.6979402,-0.12554324,0.17761512,-0.901821,-0.5892644,-0.3125566
28,-1.3311292,-1.469098,"('disloyal', 'loyal')",-1.0518017,-1.2267914,1.2824823,1.1252323,-0.3668162,-0.5235524,0.1567362
57,-1.3219973,-1.1543041,"('unimaginative', 'imaginative')",-0.4169957,-0.18535301,-2.321172,-2.088356,-1.3533883,-1.1426711,-0.2107172
45,-1.2994025,-1.2194233,"('incompetent', 'competent')",0.18649063,0.05347209,-0.20208114,-0.07630144,-0.438331,-0.4140842,-0.0242468
53,-1.2973698,-1.3386749,"('uncreative', 'creative')",-0.7776577,-0.5626603,1.261539,1.2143139,-0.2711628,-0.2290071,-0.0421557
24,-1.2842242,-1.4460086,"('dishonest', 'honest')",-0.37703276,-0.586198,0.56666297,0.5056812,-0.3648647,-0.5088418,0.1439771
0,-1.222874,-1.2452601,"('unsociable', 'sociable')",0.03387435,-0.1920808,-0.1782231,-0.12752905,-0.4557409,-0.5216233,0.0658824
12,-1.182405,-1.1292075,"('unsupportive', 'supportive')",-0.73997784,-0.63787776,-1.9303366,-1.7776549,-1.2842398,-1.1815801,-0.1026597
82,-1.1746936,-0.98505205,"('poor', 'rich')",-0.25851226,0.07337582,6.1601286,6.326815,1.575641,1.8050462,-0.2294052
44,1.1265227,1.2637492,"('prejudiced', 'unprejudiced')",0.87144446,0.9148562,-1.1969826,-1.210749,0.2669948,0.3226188,-0.055624
27,-1.0763803,-1.107028,"('hardhearted', 'softhearted')",-0.7565441,-0.73655313,1.160218,1.0455507,-0.2242355,-0.2660102,0.0417747
35,1.0358964,1.0975281,"('corrupt', 'incorrupt')",-0.85328645,-0.43059957,0.03691912,0.110580236,0.0731764,0.2591696,-0.1859932
62,-0.9798489,-0.65396446,"('incompetent', 'brilliant')",0.30272853,0.50188416,-0.06772074,0.15356699,-0.2482804,0.0004956,-0.248776
23,-0.9366131,-0.89048135,"('insincere', 'sincere')",0.27191496,0.22252129,5.5445695,5.5482645,1.6266238,1.6267681,-0.0001443
67,0.8995749,1.1076441,"('doubtful', 'determined')",1.2037405,1.2153987,-0.5104509,-0.41095954,0.5309548,0.6373611,-0.1064063
43,-0.87700486,-0.842707,"('irresponsible', 'responsible')",0.07483705,-0.076267615,0.65589195,0.82269347,-0.0487586,-0.0320937,-0.0166649
73,0.86039376,0.95222294,"('helpless', 'self-reliant')",0.20783778,0.19198084,-3.2252924,-3.2732818,-0.7190203,-0.7096926,-0.0093277
36,0.8491095,0.6039078,"('hostile', 'amicable')",-1.1970387,-1.121016,0.6262609,0.4567348,0.0927772,-0.0201245,0.1129017
33,0.8356931,0.55261904,"('wrong', 'right')",0.2193202,-0.070559226,-0.79888844,-1.0206711,0.085375,-0.1795371,0.2649121
77,-0.82259864,-0.74808866,"('unmotivated', 'motivated')",-0.32045755,-0.31634933,-1.5459538,-1.4614327,-0.8963366,-0.8419569,-0.0543797
3,-0.82194567,-0.9090929,"('repellent', 'pleasant')",0.30051824,-0.06757184,0.12857737,-0.02956364,-0.13095,-0.3354094,0.2044594
11,-0.8171275,-0.6242245,"('unhelpful', 'helpful')",0.17447753,0.33278382,1.8324139,2.1009994,0.396588,0.6031862,-0.2065982
15,0.8087211,1.0811509,"('boring', 'funny')",0.33386284,0.8321233,0.5561125,0.8778373,0.5662322,0.9303705,-0.3641383
78,-0.7504054,-0.6927303,"('nonresilient', 'resilient')",-0.8700661,-0.9102405,0.024841774,0.043970503,-0.5318766,-0.5196668,-0.0122098
50,0.6955198,0.8401058,"('clumsy', 'skillful')",0.14540406,0.27362576,0.23020896,0.24793655,0.3570443,0.4538894,-0.0968451
46,-0.68760073,-0.7044279,"('uncompetitive', 'competitive')",0.49937296,0.20345664,-0.58348376,-0.5344722,-0.2572372,-0.3451478,0.0879106
21,-0.68174684,-0.66521686,"('immoral', 'moral')",1.4356987,0.98071223,-0.83334893,-0.8666621,-0.0264657,-0.1837222,0.1572565
2,0.6809377,0.7551458,"('unlikable', 'likable')",1.1566443,1.3027415,0.7341424,0.8270741,0.8572415,0.9616538,-0.1044123
5,-0.6575804,-0.56899387,"('distant', 'outgoing')",-1.9809989,-1.6683457,-0.53047633,-0.42010474,-1.0563519,-0.8858147,-0.1705372
70,-0.64787936,-0.42110562,"('lethargic', 'energetic')",0.56324327,0.7658318,0.6906617,0.95669943,0.2020085,0.4338086,-0.2318001
58,-0.64735115,-0.9032964,"('undiscriminating', 'discriminating')",0.41556072,0.11497282,0.10368335,0.12766698,-0.0427024,-0.2202189,0.1775165
59,0.63381,0.6454481,"('foolish', 'wise')",-0.09687727,0.21824735,0.4463729,0.48914868,0.3277685,0.450948,-0.1231795
38,-0.63102007,-0.5453893,"('untruthful', 'truthful')",-0.884301,-0.7935076,-0.35471952,-0.010804463,-0.6233468,-0.4499004,-0.1734464
20,0.6191578,0.6089043,"('rough', 'thoughtful')",0.2271584,-0.020500524,1.093797,0.7808024,0.6467044,0.4564021,0.1903023
49,-0.6179319,-0.42438373,"('unable', 'able')",-0.648214,-0.43099222,-0.47788242,-0.3253714,-0.5813428,-0.3935825,-0.1877603
71,0.6174354,0.87086916,"('diffident', 'self-confident')",-0.62613434,-0.07173114,0.49057168,0.6780358,0.1606242,0.4923913,-0.3317671
60,-0.6173787,-0.58832866,"('inefficient', 'efficient')",1.7610879,1.192859,-0.38713387,-0.31556112,0.2521918,0.0963231,0.1558687
83,0.5984246,0.5903202,"('powerless', 'powerful')",0.014252953,-0.047270216,-1.127681,-1.091398,-0.1716678,-0.1827827,0.0111149
87,0.588308,0.81834096,"('unsuccessful', 'successful')",1.1359444,1.1397359,0.83901054,0.7805309,0.854421,0.9128693,-0.0584483
75,0.5735797,0.7693664,"('meek', 'impulsive')",-0.3168045,-0.15069126,-0.456847,-0.27694887,-0.0666906,0.1139087,-0.1805993
72,-0.5707824,-0.6910333,"('unambitious', 'ambitious')",-0.29476666,-0.75610566,-1.108979,-1.3106437,-0.658176,-0.9192609,0.2610849
84,0.5668793,0.5644615,"('inferior', 'superior')",0.16643065,0.25768164,0.61179346,0.5761936,0.4483678,0.4661123,-0.0177445
4,-0.54572356,-0.32176298,"('disliked', 'liked')",-0.7703418,-0.24907851,-5.9130726,-5.4633803,-2.4097126,-2.0114072,-0.3983054
40,-0.5382644,-0.7889896,"('stingy', 'generous')",-0.6635255,-0.93035644,-1.3868941,-1.6228839,-0.8628947,-1.1140766,0.2511819
47,0.5082529,0.47841302,"('stupid', 'smart')",0.9354807,0.8482307,5.337853,5.125488,2.2605289,2.1507104,0.1098185
64,0.50600266,0.5675163,"('shy', 'confident')",0.42457643,0.33219102,-6.7089796,-6.544636,-1.9261335,-1.8816428,-0.0444907
22,-0.49760157,-0.55805856,"('untrustworthy', 'trustworthy')",0.7272043,0.33299762,-0.82499903,-1.076237,-0.1984654,-0.433766,0.2353006
41,-0.4802038,-0.5755571,"('unforgiving', 'forgiving')",-0.00034753047,-0.094279945,-0.002460368,0.22383682,-0.1610039,-0.1486667,-0.0123372
51,-0.45584768,-0.19681074,"('uneducated', 'educated')",0.007572055,0.23425516,0.337972,0.62407964,-0.0367679,0.220508,-0.2572759
88,0.4220865,0.8704743,"('low', 'eminent')",-0.013736756,1.0095068,0.76911646,1.340608,0.3924887,1.0735297,-0.681041
32,-0.40267986,-0.40218025,"('unkind', 'kind')",0.75230014,0.5655927,1.1970271,1.0965486,0.5155491,0.419987,0.0955621
6,-0.39018673,-0.40286317,"('distant', 'open')",-2.2163548,-1.9265298,0.19546598,0.19819638,-0.8036919,-0.7103988,-0.0932931
29,-0.38806972,-0.36923864,"('unfair', 'fair')",-0.36156452,-0.22038126,-0.7478422,-0.81341845,-0.4991588,-0.4676794,-0.0314794
42,0.36640298,0.69075865,"('unreliable', 'reliable')",0.5355222,0.85529304,-3.0316691,-2.675316,-0.7099147,-0.3764215,-0.3334932
80,0.34461805,0.50829935,"('dominated', 'dominating')",1.0504606,0.8794483,-1.6319301,-1.5331326,-0.0789505,-0.0484616,-0.0304889
54,-0.33002543,-0.0822715,"('incapable', 'capable')",-0.057482824,0.41018814,1.3296326,1.4189973,0.3140415,0.5823046,-0.2682631
37,-0.3254729,-0.18683246,"('fake', 'genuine')",-0.26983452,-0.21243022,0.25179192,0.25197902,-0.1145052,-0.0490945,-0.0654107
79,-0.31583852,-0.07321129,"('wavering', 'unwavering')",-1.731746,-0.9175292,-0.19436215,0.23869863,-0.7473156,-0.2506806,-0.496635
68,-0.3129388,-0.32370663,"('dependent', 'independent')",-0.6381953,-0.6459299,-0.878602,-0.7957696,-0.609912,-0.5884687,-0.0214433
