,hudson_male,hudson_female,tuple,city_male,city_female,bancorp_male,bancorp_female,inc_male,inc_female,average_male,average_female,male-female
88,-1.794567,-1.7156036,"('low', 'eminent')",-1.1829462,-1.183894,-1.1276988,-1.119252,0.2965591,0.124771625,-0.9521633,-0.9734944,0.0213311
12,1.3700738,1.2840738,"('unsupportive', 'supportive')",1.0933471,1.3941486,-0.6012438,-0.5614628,-1.8245754,-1.723393,0.0094004,0.0983416,-0.0889412
50,-1.3185691,-1.2181225,"('clumsy', 'skillful')",-0.5113091,-0.48553354,0.7814623,0.7979363,0.677049,0.5715288,-0.0928417,-0.0835477,-0.009294
53,1.2881446,1.5584171,"('uncreative', 'creative')",-0.46098137,-0.33511832,0.53131294,0.7843213,1.2454208,1.2780584,0.6509743,0.8214196,-0.1704453
77,-1.2329614,-1.6061742,"('unmotivated', 'motivated')",-0.57313967,-0.36555916,0.73413503,0.90873414,-1.1595962,-1.0450686,-0.5578905,-0.527017,-0.0308735
68,-1.2272301,-1.3928429,"('dependent', 'independent')",-0.6574453,-0.6796894,-1.8000855,-1.7909364,-0.76167065,-0.7355294,-1.1116079,-1.1497495,0.0381416
9,1.2043504,1.2541807,"('unaffectionate', 'caring')",0.25284266,0.21517318,0.716019,0.67661005,1.494644,1.4605078,0.9169641,0.9016179,0.0153462
16,-1.1214882,-1.1345786,"('unpopular', 'popular')",-0.62451285,-0.71088576,0.20312001,0.19614908,0.5548414,0.46974164,-0.2470099,-0.2948934,0.0478835
62,1.0800265,0.33285785,"('incompetent', 'brilliant')",0.5745524,0.5439238,-0.35404682,-0.38041306,0.30295527,0.10883239,0.4008718,0.1513003,0.2495715
73,1.0799255,1.3395534,"('helpless', 'self-reliant')",1.4806249,1.526467,0.9587464,1.056247,-3.2928765,-3.234042,0.0566051,0.1720563,-0.1154512
40,1.0735081,1.5231478,"('stingy', 'generous')",0.61816686,0.90015537,1.0806187,1.1844448,-1.5715425,-1.629391,0.3001878,0.4945893,-0.1944015
72,1.0678543,1.0873575,"('unambitious', 'ambitious')",0.7572921,0.80230516,-0.8945346,-0.8555536,-0.5265409,-0.7344736,0.1010177,0.0749089,0.0261088
80,0.98297745,0.3092836,"('dominated', 'dominating')",0.50431776,0.54662526,-0.52495414,-0.53815067,-1.0542922,-1.0511452,-0.0229878,-0.1833467,0.1603589
71,0.97545505,1.4237466,"('diffident', 'self-confident')",1.2452308,1.6713012,0.7155044,0.86918306,0.60977095,0.61479276,0.8864903,1.144756,-0.2582657
