,microsoft_male,microsoft_female,tuple,corp_male,corp_female,average_male,average_female,male-female
39,2.4909086,2.139889,"('exploitative', 'cooperative')",0.47131333,0.17163797,1.4811109,1.1557635,0.3253474
53,2.2787938,2.2819772,"('uncreative', 'creative')",0.91397154,1.0149155,1.5963826,1.6484463,-0.0520637
61,2.071429,2.0842955,"('illogical', 'logical')",0.8705573,0.9046918,1.4709932,1.4944937,-0.0235005
85,1.9428238,1.8784877,"('insignificant', 'prestigious')",-0.1287686,0.010910723,0.9070276,0.9446992,-0.0376716
1,1.9006467,1.8756443,"('unfriendly', 'friendly')",0.9462203,1.1482893,1.4234335,1.5119668,-0.0885333
26,1.8494499,1.7988131,"('hardhearted', 'benevolent')",1.261919,1.3924708,1.5556844,1.595642,-0.0399576
54,1.7527748,1.6587266,"('incapable', 'capable')",1.0056832,0.9393705,1.3792291,1.2990485,0.0801806
81,-1.7442577,-1.7532289,"('submissive', 'aggressive')",-0.5185239,-0.75275886,-1.1313908,-1.2529938,0.121603
9,1.7002027,1.6263508,"('unaffectionate', 'caring')",0.38858646,0.48111883,1.0443946,1.0537348,-0.0093402
84,1.5476834,1.5295173,"('inferior', 'superior')",1.5764686,1.6274347,1.562076,1.578476,-0.0164
23,1.5194234,1.3309969,"('insincere', 'sincere')",5.8623195,5.506143,3.6908715,3.41857,0.2723015
71,1.5123949,1.4275163,"('diffident', 'self-confident')",0.11199683,0.27266178,0.8121959,0.8500891,-0.0378932
6,1.4008619,1.6531008,"('distant', 'open')",-1.4817151,-0.99728024,-0.0404266,0.3279103,-0.3683369
70,-1.3468156,-1.2658004,"('lethargic', 'energetic')",0.33881265,0.39131323,-0.5040015,-0.4372436,-0.0667579
5,1.3465275,1.5459223,"('distant', 'outgoing')",-1.2873061,-0.855174,0.0296107,0.3453741,-0.3157634
44,-1.3158251,-1.331633,"('prejudiced', 'unprejudiced')",-1.5009806,-1.5243903,-1.4084029,-1.4280117,0.0196088
25,1.2470796,1.1061436,"('egoistic', 'altruistic')",0.76971626,0.9678755,1.0083979,1.0370095,-0.0286116
