,st_male,st_female,tuple,jude_male,jude_female,medical_male,medical_female,inc_male,inc_female,average_male,average_female,male-female
79,2.1849723,2.2622163,"('wavering', 'unwavering')",2.8014526,2.7974088,-0.85322714,-0.65166175,0.3210507,0.33280715,1.1135621,1.1851926,-0.0716305
86,-2.0203023,-1.6945381,"('uninfluential', 'influential')",-1.972671,-1.579863,0.39794502,0.4158417,-0.1418185,-0.035540596,-0.9342117,-0.723525,-0.2106867
73,1.9178774,1.2975266,"('helpless', 'self-reliant')",1.9086295,1.6578046,0.1672413,0.020532336,-3.0935092,-3.3838956,0.2250598,-0.102008,0.3270678
46,-1.862278,-1.353692,"('uncompetitive', 'competitive')",-2.26275,-2.1436002,0.21569002,0.11558458,-0.7398111,-0.6786338,-1.1622871,-1.0150853,-0.1472018
44,1.7664208,1.5325792,"('prejudiced', 'unprejudiced')",0.28130406,-0.15980579,-0.7729848,-0.7121724,-1.4059712,-1.4438695,-0.0328077,-0.1958171,0.1630094
61,-1.687354,-1.7930481,"('illogical', 'logical')",-0.9918107,-0.9731889,0.2859965,0.38094017,0.25069043,0.23646602,-0.5356194,-0.5372077,0.0015883
53,-1.6779289,-1.3649538,"('uncreative', 'creative')",-1.316465,-1.2203171,-0.43008468,-0.59201765,0.78764325,0.63115245,-0.6592088,-0.636534,-0.0226748
14,-1.6753529,-1.2892807,"('antisocial', 'social')",-1.5904717,-1.6037731,0.64433867,0.7993484,-0.6998356,-0.3719343,-0.8303304,-0.6164099,-0.2139205
81,-1.6608137,-1.29129,"('submissive', 'aggressive')",-3.447265,-2.8156903,0.40379262,0.46525073,-0.7530736,-0.36522496,-1.3643398,-1.0017387,-0.3626011
35,1.6505569,1.4150006,"('corrupt', 'incorrupt')",2.9861963,2.4009259,-1.4250048,-1.4352148,-0.18426913,-0.27230942,0.7568697,0.5271006,0.2297691
60,-1.64787,-1.549307,"('inefficient', 'efficient')",-2.1056263,-1.95192,0.6254549,0.6660336,0.038590856,0.35950255,-0.7723626,-0.6189227,-0.1534399
55,-1.6337799,-1.747235,"('incompetent', 'clever')",-2.7915804,-2.703009,-0.2529353,-0.24904639,-0.041664846,0.08694531,-1.1799902,-1.1530862,-0.026904
77,-1.5030129,-1.5472337,"('unmotivated', 'motivated')",-0.61085516,-1.1051815,0.38799956,0.09849493,-1.1991761,-1.1957239,-0.7312611,-0.9374111,0.20615
10,-1.4464319,-1.4892281,"('unsympathetic', 'sympathetic')",-2.6579356,-2.3732564,-0.32479125,-0.26072192,-0.38157147,-0.21461304,-1.2026825,-1.0844548,-0.1182277
0,-1.3877192,-1.0871272,"('unsociable', 'sociable')",-1.3259522,-1.2286266,1.107387,1.0849309,-0.21434623,-0.06597078,-0.4551576,-0.3241985,-0.1309591
4,1.3321694,1.347007,"('disliked', 'liked')",2.1689422,1.9660574,0.13575687,0.15500778,-6.257289,-6.43644,-0.6551051,-0.7420919,0.0869868
48,-1.2459322,-1.3861389,"('unintelligent', 'intelligent')",-1.7676971,-1.5601736,1.1129913,1.0354426,0.7521452,0.7611867,-0.2871232,-0.2874208,0.0002976
