,weyerhaeuser_male,weyerhaeuser_female,tuple,co_male,co_female,average_male,average_female,male-female
69,3.215927,3.3802328,"('lazy', 'industrious')",-0.7132823,-0.70580053,1.2513223,1.3372161,-0.0858938
35,3.1083262,3.1800213,"('corrupt', 'incorrupt')",-0.7499185,-0.84927213,1.1792039,1.1653745,0.0138294
10,-2.88201,-3.072647,"('unsympathetic', 'sympathetic')",0.3622967,0.30490035,-1.2598567,-1.3838733,0.1240166
55,-2.5917542,-2.618594,"('incompetent', 'clever')",0.36530185,0.54546976,-1.1132262,-1.0365621,-0.0766641
57,-2.5717502,-2.7382236,"('unimaginative', 'imaginative')",-3.511565,-3.1100063,-3.0416574,-2.9241149,-0.1175425
86,-2.309365,-2.601855,"('uninfluential', 'influential')",-0.1094802,-0.3668156,-1.2094226,-1.4843353,0.2749127
59,2.3041842,2.2742553,"('foolish', 'wise')",-0.0065583084,-0.15612608,1.1488129,1.0590646,0.0897483
0,-2.230876,-2.3516812,"('unsociable', 'sociable')",0.10908641,-0.030582486,-1.0608947,-1.1911318,0.1302371
48,-2.1991723,-2.4555016,"('unintelligent', 'intelligent')",0.23430434,-0.0054229945,-0.982434,-1.2304623,0.2480283
62,-2.0965674,-2.0784836,"('incompetent', 'brilliant')",0.12116883,0.24400675,-0.9876993,-0.9172384,-0.0704609
60,-2.0930784,-1.9368513,"('inefficient', 'efficient')",0.43630174,0.48422086,-0.8283883,-0.7263152,-0.1020731
14,-2.0783982,-1.9809736,"('antisocial', 'social')",-0.14938006,-0.1330195,-1.1138891,-1.0569966,-0.0568925
45,-2.0745335,-2.1907353,"('incompetent', 'competent')",-0.11898205,0.08685917,-1.0967578,-1.0519381,-0.0448197
46,-2.073504,-2.0936882,"('uncompetitive', 'competitive')",-0.5802043,-0.26255253,-1.3268541,-1.1781204,-0.1487337
85,2.0400875,1.9089246,"('insignificant', 'prestigious')",-0.52543545,-0.748754,0.757326,0.5800853,0.1772407
21,-2.0277495,-2.0946734,"('immoral', 'moral')",-0.6009723,-0.69993013,-1.3143609,-1.3973018,0.0829409
22,-1.9596428,-1.9718294,"('untrustworthy', 'trustworthy')",-0.89748895,-0.78387856,-1.4285659,-1.377854,-0.0507119
76,-1.9289117,-1.733001,"('anxious', 'daring')",-0.088676244,0.1390214,-1.008794,-0.7969898,-0.2118042
65,-1.8324456,-1.5246166,"('insecure', 'secure')",0.1052385,0.25724414,-0.8636036,-0.6336862,-0.2299174
3,-1.8095572,-1.8970184,"('repellent', 'pleasant')",0.38285038,0.51310223,-0.7133534,-0.6919581,-0.0213953
11,-1.7704993,-1.839655,"('unhelpful', 'helpful')",1.9797677,1.961358,0.1046342,0.0608515,0.0437827
23,-1.728191,-1.7265053,"('insincere', 'sincere')",6.279563,5.8710933,2.275686,2.072294,0.203392
81,-1.6975199,-1.6656687,"('submissive', 'aggressive')",-0.6723298,-0.7113504,-1.1849248,-1.1885096,0.0035848
24,-1.5943657,-1.595156,"('dishonest', 'honest')",0.99441487,0.8353278,-0.2999754,-0.3799141,0.0799387
79,1.5788105,1.5434443,"('wavering', 'unwavering')",-0.37279794,-0.46551,0.6030062,0.5389671,0.0640391
30,-1.5723442,-1.6233249,"('intolerant', 'tolerant')",0.61651886,0.3553034,-0.4779127,-0.6340107,0.156098
82,-1.5622225,-1.6991992,"('poor', 'rich')",5.8517184,5.5086913,2.144748,1.9047461,0.2400019
6,1.5594407,1.4101713,"('distant', 'open')",-0.30320922,-0.49398187,0.6281158,0.4580947,0.1700211
41,-1.5591651,-1.9713734,"('unforgiving', 'forgiving')",0.16024862,-0.077116214,-0.6994582,-1.0242448,0.3247866
73,1.495923,1.5358219,"('helpless', 'self-reliant')",-3.7582302,-3.523774,-1.1311536,-0.993976,-0.1371776
25,1.3781588,1.2994552,"('egoistic', 'altruistic')",1.097163,1.020298,1.2376609,1.1598766,0.0777843
13,-1.3740516,-1.3191222,"('impolite', 'polite')",0.08983231,-0.12507536,-0.6421096,-0.7220988,0.0799892
43,-1.3576063,-1.2495189,"('irresponsible', 'responsible')",0.9226673,1.0358417,-0.2174695,-0.1068386,-0.1106309
5,1.3562711,1.250591,"('distant', 'outgoing')",-0.5685644,-0.71169037,0.3938534,0.2694503,0.1244031
63,-1.3313159,-1.5271229,"('unperceptive', 'insightful')",0.6892686,0.4988851,-0.3210236,-0.5141189,0.1930953
61,-1.2702044,-1.413656,"('illogical', 'logical')",0.21293351,0.039589655,-0.5286354,-0.6870332,0.1583978
72,-1.2577043,-1.2730423,"('unambitious', 'ambitious')",-0.3811958,-0.53612983,-0.81945,-0.9045861,0.0851361
36,1.2310427,1.0713384,"('hostile', 'amicable')",-0.2726908,-0.5897734,0.479176,0.2407825,0.2383935
28,-1.215849,-1.3523705,"('disloyal', 'loyal')",0.798853,0.7776696,-0.208498,-0.2873504,0.0788524
33,1.2090302,1.1284117,"('wrong', 'right')",-0.63335127,-0.81828254,0.2878394,0.1550646,0.1327748
7,-1.2052538,-1.1883605,"('insensitive', 'sensitive')",0.46481445,0.32428557,-0.3702197,-0.4320374,0.0618177
31,1.1596146,0.97868246,"('evil', 'good')",-1.2295977,-1.4411085,-0.0349916,-0.231213,0.1962214
70,-1.1502446,-1.1217812,"('lethargic', 'energetic')",0.4176123,0.52506655,-0.3663161,-0.2983573,-0.0679588
49,-1.1377649,-1.1874598,"('unable', 'able')",-0.7903705,-0.7791909,-0.9640677,-0.9833254,0.0192577
50,1.1287471,1.1124865,"('clumsy', 'skillful')",0.009998508,-0.18112163,0.5693728,0.4656824,0.1036904
51,-1.1064734,-1.2270683,"('uneducated', 'educated')",0.48598295,0.33276364,-0.3102452,-0.4471523,0.1369071
66,1.0569823,1.016387,"('inactive', 'active')",0.6014032,0.4511705,0.8291928,0.7337787,0.0954141
53,-1.0300385,-1.1523341,"('uncreative', 'creative')",0.7172203,0.76131195,-0.1564091,-0.1955111,0.039102
58,-0.9964941,-1.1902589,"('undiscriminating', 'discriminating')",0.36836433,0.38788408,-0.3140649,-0.4011874,0.0871225
77,-0.9894997,-0.9231822,"('unmotivated', 'motivated')",-0.74903655,-0.47079003,-0.8692681,-0.6969861,-0.172282
52,0.9864024,0.80346316,"('irrational', 'rational')",-0.41737506,-0.6388615,0.2845137,0.0823008,0.2022129
71,0.96664804,0.94512403,"('diffident', 'self-confident')",0.28413898,0.28195274,0.6253935,0.6135384,0.0118551
68,-0.9553302,-0.92324024,"('dependent', 'independent')",-1.3014401,-1.5219002,-1.1283852,-1.2225702,0.094185
32,-0.94519806,-0.97648394,"('unkind', 'kind')",0.9729209,0.7655912,0.0138614,-0.1054464,0.1193078
12,-0.9009386,-1.1409037,"('unsupportive', 'supportive')",-1.8109645,-1.9678798,-1.3559515,-1.5543917,0.1984402
56,-0.89695233,-0.7647222,"('impractical', 'practical')",-0.1525069,-0.02360408,-0.5247296,-0.3941632,-0.1305664
38,-0.8320976,-0.9765194,"('untruthful', 'truthful')",0.08539531,-0.023544509,-0.3733512,-0.5000319,0.1266807
88,-0.8217807,-0.8541695,"('low', 'eminent')",-0.5033143,-0.68120813,-0.6625475,-0.7676888,0.1051413
19,0.7611694,0.61060977,"('inhospitable', 'hospitable')",-0.27516684,-0.34718356,0.2430013,0.1317131,0.1112882
4,0.7259836,0.44051808,"('disliked', 'liked')",-7.602464,-7.27689,-3.4382403,-3.4181859,-0.0200544
75,0.70007473,0.65147835,"('meek', 'impulsive')",-0.959046,-0.82827425,-0.1294856,-0.0883979,-0.0410877
84,0.5152323,0.497835,"('inferior', 'superior')",0.9657735,0.7245784,0.740503,0.6112067,0.1292963
20,-0.44966495,-0.4044177,"('rough', 'thoughtful')",0.8983949,0.8279829,0.224365,0.2117826,0.0125824
34,-0.41962034,-0.40903834,"('mean', 'honorable')",5.698498,5.324792,2.6394386,2.4578767,0.1815619
9,-0.33372867,-0.48229623,"('unaffectionate', 'caring')",1.3084264,1.0822376,0.4873489,0.2999707,0.1873782
40,0.32073686,0.06529668,"('stingy', 'generous')",-2.0510519,-2.2737339,-0.8651575,-1.1042186,0.2390611
1,-0.31997898,-0.6204424,"('unfriendly', 'friendly')",1.5827738,1.2499341,0.6313974,0.3147458,0.3166516
67,0.30540857,0.3422909,"('doubtful', 'determined')",0.02705795,-0.2114269,0.1662333,0.065432,0.1008013
83,-0.28658092,-0.3110869,"('powerless', 'powerful')",-1.0840766,-1.017216,-0.6853288,-0.6641514,-0.0211774
80,-0.27353013,-0.21402116,"('dominated', 'dominating')",-0.63268393,-0.42721152,-0.453107,-0.3206163,-0.1324907
39,0.2668892,0.47741857,"('exploitative', 'cooperative')",0.6314795,0.7755507,0.4491844,0.6264846,-0.1773002
8,-0.26238814,-0.37865278,"('unaffectionate', 'affectionate')",0.75916094,0.41421914,0.2483864,0.0177832,0.2306032
