,electronic_male,electronic_female,tuple,arts_male,arts_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.7204387,-1.9910233,"('unsympathetic', 'sympathetic')",-0.94265574,-0.98004746,0.15339522,-0.16739471,-0.8365664,-1.0461551,0.2095887
76,-1.6936376,-1.7345091,"('anxious', 'daring')",1.1632609,1.0114726,0.9322824,0.802065,0.1339686,0.0263428,0.1076258
48,1.5572622,1.3733281,"('unintelligent', 'intelligent')",0.56632084,0.64770365,0.8878721,0.78683895,1.0038184,0.935957,0.0678614
42,-1.5345057,-1.5866156,"('unreliable', 'reliable')",-0.2715619,-0.28013158,-2.1471488,-2.2078385,-1.3177389,-1.3581953,0.0404564
61,1.3050339,1.3332049,"('illogical', 'logical')",-0.27502823,-0.094451755,0.23521005,0.23032154,0.4217386,0.4896915,-0.0679529
45,-1.261613,-1.4731536,"('incompetent', 'competent')",-0.3631715,-0.18741652,0.007527128,-0.16401955,-0.5390858,-0.6081966,0.0691108
16,-1.224289,-1.0913869,"('unpopular', 'popular')",-0.69565743,-0.7282695,0.21749216,0.5280123,-0.5674848,-0.430548,-0.1369368
17,-1.1620948,-1.0860317,"('nasty', 'nice')",-0.8028722,-0.8780239,-0.8078725,-0.7673768,-0.9242798,-0.9104775,-0.0138023
3,-1.1113806,-1.3931068,"('repellent', 'pleasant')",0.26306105,0.15882875,0.80092746,0.5456251,-0.0157974,-0.229551,0.2137536
39,1.1067731,1.3444784,"('exploitative', 'cooperative')",0.32622176,0.47078148,-0.025981423,0.0754704,0.4690045,0.6302434,-0.1612389
70,-1.0841547,-1.3236638,"('lethargic', 'energetic')",0.13225247,-0.08078426,1.261033,0.9194737,0.1030436,-0.1616581,0.2647017
46,-1.0666062,-1.3419976,"('uncompetitive', 'competitive')",0.019712469,-0.19452956,-0.045117196,-0.3512518,-0.3640036,-0.6292597,0.2652561
41,-1.0415764,-0.9145882,"('unforgiving', 'forgiving')",-0.78062004,-0.6829753,0.23476751,0.16240722,-0.529143,-0.4783854,-0.0507576
22,-1.0344161,-1.2181888,"('untrustworthy', 'trustworthy')",-0.5500799,-0.70675564,-0.8903461,-1.1143459,-0.8249474,-1.0130968,0.1881494
11,1.0321355,0.75279194,"('unhelpful', 'helpful')",0.03441895,-0.036959015,2.1973853,2.0225327,1.08798,0.9127886,0.1751914
33,1.0031967,1.1678572,"('wrong', 'right')",-0.22521925,-0.2758134,-1.2130866,-1.0158135,-0.1450364,-0.0412566,-0.1037798
4,-0.9901289,-0.87755644,"('disliked', 'liked')",0.27170336,0.23043516,-6.2517776,-6.1443443,-2.3234011,-2.2638219,-0.0595792
26,0.9831841,0.98819,"('hardhearted', 'benevolent')",0.9045132,0.86216223,1.7562355,1.7963513,1.2146443,1.2155679,-0.0009236
1,0.96570235,1.0400532,"('unfriendly', 'friendly')",-0.83978254,-1.0691804,1.1423979,1.3667239,0.4227726,0.4458656,-0.023093
53,0.9617361,0.93427277,"('uncreative', 'creative')",2.0041103,1.4934033,1.2947011,1.1978503,1.4201825,1.2085088,0.2116737
0,-0.9529378,-0.9636306,"('unsociable', 'sociable')",-0.47319892,-0.5395594,-0.049639218,-0.2995292,-0.4919253,-0.6009064,0.1089811
84,0.9062549,1.2610424,"('inferior', 'superior')",0.2079048,0.21826904,0.5818881,0.9165446,0.5653493,0.7986186,-0.2332693
21,-0.8551703,-0.9230565,"('immoral', 'moral')",1.0060365,0.86687344,-0.4889412,-0.59839505,-0.1126917,-0.2181927,0.105501
73,0.81516004,0.94944996,"('helpless', 'self-reliant')",0.20463556,0.3254538,-3.4635959,-3.3068585,-0.8146001,-0.6773183,-0.1372818
69,0.77337587,0.95910645,"('lazy', 'industrious')",0.8373865,0.89452004,-0.8451917,-0.52367353,0.2551902,0.4433177,-0.1881275
50,-0.7454706,-0.84541845,"('clumsy', 'skillful')",-0.88685894,-0.8852883,-0.14538236,0.011986665,-0.5925706,-0.5729067,-0.0196639
13,-0.7354477,-0.82955027,"('impolite', 'polite')",-0.8458535,-0.87117517,-0.06333357,-0.09467839,-0.5482116,-0.5984679,0.0502563
66,-0.7276683,-0.8425522,"('inactive', 'active')",-0.5827716,-0.75171363,1.0648463,1.0663505,-0.0818645,-0.1759718,0.0941073
71,0.72501594,0.9179224,"('diffident', 'self-confident')",0.41510946,0.3213634,0.4183715,0.5643825,0.519499,0.6012228,-0.0817238
78,-0.72114825,-0.9173019,"('nonresilient', 'resilient')",-0.28544557,-0.45144185,0.042599276,0.073510416,-0.3213315,-0.4317445,0.110413
56,0.71649903,0.70436203,"('impractical', 'practical')",0.5131527,0.6348717,0.31376016,0.26278114,0.5144706,0.534005,-0.0195344
60,0.7048028,0.58773893,"('inefficient', 'efficient')",0.94768494,1.221275,0.58526725,0.40294218,0.7459184,0.7373187,0.0085997
82,-0.70135045,-0.9708847,"('poor', 'rich')",0.28243688,0.109217234,6.3936043,6.354571,1.9915636,1.8309677,0.1605959
37,-0.6826204,-0.6663925,"('fake', 'genuine')",0.06953439,0.06746486,0.47172618,0.37807754,-0.0471199,-0.0736167,0.0264968
34,0.6363455,0.46180028,"('mean', 'honorable')",0.8320349,0.6759773,6.047031,6.2671623,2.5051371,2.4683132,0.0368239
52,0.5947764,0.7169565,"('irrational', 'rational')",-0.8989355,-0.71703404,-0.74441385,-0.44546437,-0.3495243,-0.148514,-0.2010103
51,-0.59454864,-0.8304785,"('uneducated', 'educated')",0.24991536,0.16093707,0.8098973,0.65513587,0.155088,-0.0048018,0.1598898
86,0.5866477,0.40356994,"('uninfluential', 'influential')",0.46633592,0.34522793,0.48146322,0.14084238,0.5114823,0.2965468,0.2149355
18,-0.5840379,-0.48235464,"('disagreeable', 'welcoming')",-0.8495855,-0.89738405,-0.6231033,-0.5297462,-0.6855756,-0.636495,-0.0490806
64,-0.5466458,-0.40854698,"('shy', 'confident')",-1.1432793,-0.8433334,-6.133025,-6.2116046,-2.6076501,-2.4878283,-0.1198218
68,-0.5441247,-0.47241563,"('dependent', 'independent')",-0.20280638,-0.024092332,-0.16474004,-0.17308165,-0.3038904,-0.2231965,-0.0806939
79,-0.50400156,-0.43974528,"('wavering', 'unwavering')",-1.0636929,-1.0883079,-0.38967073,-0.06054935,-0.6524551,-0.5295342,-0.1229209
32,-0.4998331,-0.4870875,"('unkind', 'kind')",-0.2921397,-0.25721106,1.1701252,1.1094942,0.1260508,0.1217319,0.0043189
55,-0.4746703,-0.6574085,"('incompetent', 'clever')",0.2826746,0.41438594,0.5958601,0.27453238,0.1346215,0.0105033,0.1241182
85,0.47441667,0.60995924,"('insignificant', 'prestigious')",-0.21510378,-0.37841806,-0.6420778,-0.15774544,-0.1275883,0.0245986,-0.1521869
9,0.47104627,0.69750285,"('unaffectionate', 'caring')",-0.88487816,-0.9448205,0.44198313,0.6130255,0.0093837,0.1219026,-0.1125189
57,0.4395396,0.08741286,"('unimaginative', 'imaginative')",2.0496929,1.5782324,-1.8297834,-2.259048,0.2198164,-0.1978009,0.4176173
14,-0.43609014,-0.48085514,"('antisocial', 'social')",0.9617393,0.91179776,-0.24975453,-0.55348647,0.0919649,-0.0408479,0.1328128
31,-0.42337313,-0.23410906,"('evil', 'good')",-0.9634525,-1.013177,-1.4787393,-1.259276,-0.9551883,-0.8355207,-0.1196676
83,0.42222938,0.46631333,"('powerless', 'powerful')",-0.38306826,-0.20528838,-0.88247156,-0.9415603,-0.2811035,-0.2268451,-0.0542584
8,0.41589206,0.46662015,"('unaffectionate', 'affectionate')",-0.7879882,-0.92227346,-0.15069392,0.020949341,-0.1742634,-0.1449013,-0.0293621
58,0.40896335,0.2648074,"('undiscriminating', 'discriminating')",1.0324702,0.85156775,0.21687083,-0.06972022,0.5527681,0.348885,0.2038831
44,-0.40179038,-0.455325,"('prejudiced', 'unprejudiced')",-0.6590857,-0.4907508,-1.2102846,-1.2571756,-0.7570535,-0.7344171,-0.0226364
19,-0.40146172,-0.18859638,"('inhospitable', 'hospitable')",-0.9486673,-0.9379427,-0.56621706,-0.35270745,-0.638782,-0.4930822,-0.1456998
40,0.37344387,0.29934904,"('stingy', 'generous')",0.6039405,0.45761397,-0.9911013,-1.173235,-0.0045723,-0.1387573,0.134185
88,0.36652663,0.4319151,"('low', 'eminent')",-0.13844123,-0.062423654,0.0034031607,0.19019744,0.0771629,0.186563,-0.1094001
7,0.3654042,0.12477423,"('insensitive', 'sensitive')",0.13315845,0.08694644,0.85480833,0.65857553,0.4511236,0.2900987,0.1610249
72,-0.35652786,-0.4042967,"('unambitious', 'ambitious')",0.099673726,0.10818292,-0.52527726,-0.7111771,-0.2607105,-0.3357636,0.0750531
24,-0.3539998,-0.14378192,"('dishonest', 'honest')",-0.287246,-0.13980448,0.85440063,0.95753396,0.0710516,0.2246492,-0.1535976
30,0.34411606,0.21621586,"('intolerant', 'tolerant')",0.6007441,0.6771022,0.8880451,0.9993625,0.6109684,0.6308935,-0.0199251
47,-0.34075075,-0.64928544,"('stupid', 'smart')",0.4624083,0.17531243,5.345095,5.397497,1.8222508,1.6411748,0.181076
5,0.33343154,0.6676749,"('distant', 'outgoing')",-0.93861425,-0.8316311,-0.996211,-0.62249804,-0.5337979,-0.2621514,-0.2716465
