,du_male,du_female,tuple,pont_male,pont_female,ei_male,ei_female,de_male,de_female,nemours_male,nemours_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
45,-2.3212457,-1.5738442,"('incompetent', 'competent')",-1.3905606,-1.0914873,-0.5823274,-0.2586075,-0.8591684,-0.66533554,-2.9114885,-2.5380185,0.23217657,0.50064087,-1.4480659,-1.2932165,-1.3258114,-0.9885526,-0.3372588
28,-2.072431,-1.6074113,"('disloyal', 'loyal')",-0.8028805,-0.84996444,-0.93847144,-0.9580165,-1.6008689,-1.6241173,-2.2657862,-1.9087114,-0.08270043,-0.122494146,-0.04273381,-0.15709619,-1.1151246,-1.0325445,-0.0825801
88,-1.9991524,-1.9678936,"('low', 'eminent')",-1.064707,-1.1468645,-1.5376674,-1.4645586,-2.0503342,-2.0033827,-1.1753227,-1.2300601,0.17979111,0.03225333,-0.9333322,-0.9080511,-1.2258178,-1.2412225,0.0154047
86,-1.7926997,-1.6568319,"('uninfluential', 'influential')",-0.84401655,-1.0040835,-0.8398069,-0.9592154,-0.28801727,-0.6578029,-2.759398,-2.7960684,0.62960696,0.2719571,-0.8822545,-0.9091277,-0.9680838,-1.1015962,0.1335124
60,-1.6943028,-1.225854,"('inefficient', 'efficient')",-1.3657846,-0.77818453,0.43678397,0.80131835,-0.29579163,0.13027558,-3.3332047,-2.8730025,0.038846157,0.3892606,-1.0148833,-0.91038483,-1.0326196,-0.6380816,-0.394538
73,1.5061235,1.5990862,"('helpless', 'self-reliant')",0.9086024,0.907138,0.65094787,0.92325884,1.1722207,1.2995828,1.7103214,1.7355908,-0.15556808,-0.16364832,-3.1869853,-3.02366,0.3722375,0.4681927,-0.0959552
30,-1.4562753,-1.2546684,"('intolerant', 'tolerant')",-1.0535624,-0.6750916,-0.1305258,-0.056362998,-0.95579547,-0.8269162,-2.3930829,-2.224266,0.55725724,0.38855147,-0.29449016,-0.38442332,-0.8180678,-0.7190253,-0.0990425
59,1.4072176,1.180087,"('foolish', 'wise')",1.6365968,1.2891374,0.40150702,0.19780958,-0.16441217,-0.36627445,1.1853218,0.9100026,0.8488649,0.6235447,0.273279,0.2353425,0.7983394,0.5813785,0.2169609
29,1.3258545,1.2167683,"('unfair', 'fair')",1.6203576,1.5629768,0.62655795,0.5688824,0.72234476,0.9007165,0.77120334,0.8142664,-0.40187013,-0.49852908,-0.77676976,-0.86487335,0.5553827,0.5286011,0.0267816
77,-1.319791,-1.2404553,"('unmotivated', 'motivated')",-0.9873771,-0.88645524,0.42445314,0.39222687,-0.17531317,-0.41986603,-2.3243208,-2.4031072,0.08734668,-0.07246932,-0.7427726,-0.6684824,-0.7196821,-0.756944,0.0372619
10,-1.2808113,-1.151726,"('unsympathetic', 'sympathetic')",-1.9899476,-1.6381578,-0.43384525,-0.35172364,-0.36630163,-0.4026287,-3.462952,-3.1999195,0.15789738,0.2983213,-0.16200659,-0.063225195,-1.0768523,-0.9298657,-0.1469866
46,-1.2749588,-0.96366304,"('uncompetitive', 'competitive')",-2.860055,-2.45744,-0.9870699,-0.63671225,-0.1440922,-0.2560656,-4.107876,-3.7915306,0.028171273,0.2102083,-0.7285076,-0.6705301,-1.4391984,-1.2236761,-0.2155223
48,-1.2697861,-1.1636935,"('unintelligent', 'intelligent')",-0.44328022,-0.4568751,-1.4025955,-1.4251962,-0.3880846,-0.4606513,-2.0974958,-2.0050356,0.32786465,0.24205989,-1.2624903,-1.3362691,-0.9336954,-0.9436659,0.0099705
24,-1.2659638,-0.9703673,"('dishonest', 'honest')",-1.6548822,-1.5106548,-0.48280475,-0.35462758,-1.7124203,-1.2428099,-2.4668896,-2.08648,0.13823529,0.18882436,0.15984708,0.2730743,-1.040697,-0.8147202,-0.2259768
84,1.1801192,1.0365843,"('inferior', 'superior')",1.8819315,1.771124,0.28984022,0.28509653,0.49639922,0.38458708,-0.059095286,-0.16157907,0.69073117,0.5214668,0.6192404,0.4352455,0.7284523,0.6103607,0.1180916
7,-1.1551536,-0.9824831,"('insensitive', 'sensitive')",-0.842071,-0.7532493,-0.1950127,-0.22453281,-0.570904,-0.53980523,-2.8840623,-2.6126401,0.29411298,0.34754938,-0.19618021,-0.14254832,-0.7927529,-0.7011013,-0.0916516
67,1.1425642,0.8459996,"('doubtful', 'determined')",0.81898636,0.8819723,0.8232898,0.83195823,0.6152287,0.6747879,0.38110417,0.21015412,0.74396986,0.5821127,-0.1488149,-0.6077489,0.6251898,0.4884622,0.1367276
1,-1.1355898,-0.832703,"('unfriendly', 'friendly')",0.3745131,-0.054937776,-1.2769371,-1.4475738,-1.7217183,-1.7711112,-1.1185324,-0.9172227,0.20635873,0.21936649,1.5558865,1.7924668,-0.4451456,-0.4302451,-0.0149005
62,-1.1259191,-0.24554425,"('incompetent', 'brilliant')",-1.811073,-1.1499373,-0.406982,0.21882062,-0.7088296,-0.092281274,-2.7512777,-2.1697714,-0.14872772,0.079027504,-0.9395439,-0.650893,-1.1274789,-0.5729399,-0.554539
23,-1.1087605,-0.950006,"('insincere', 'sincere')",-1.257709,-1.1327077,-0.5394062,-0.7124359,-1.3399622,-1.2628565,-2.5667076,-2.3348398,-0.24823837,-0.10849398,4.7889585,4.920845,-0.3245465,-0.225785,-0.0987615
38,-1.1009938,-0.94368017,"('untruthful', 'truthful')",-1.0280708,-0.99520326,-0.55777586,-0.636618,-0.84748375,-0.8847636,-0.6497787,-0.57019806,-0.5218367,-0.49619856,0.3120458,0.42172205,-0.6276992,-0.58642,-0.0412792
69,1.0941476,1.0212435,"('lazy', 'industrious')",1.5697415,1.2042994,0.9566872,1.1110979,0.96147853,1.2658936,3.5509875,3.153629,0.92852044,0.8879679,0.1506571,0.1575511,1.3160313,1.2573832,0.0586481
66,1.0346664,1.1507381,"('inactive', 'active')",1.213381,1.095634,0.6307672,0.73745584,-0.024960984,0.41236264,1.1723437,1.14242,1.499389,1.6743836,1.7359179,1.9478681,1.0373578,1.1658374,-0.1284796
9,-1.0033259,-0.86358845,"('unaffectionate', 'caring')",-0.030225031,-0.31951338,-1.1819446,-1.3289433,-1.0039178,-1.0981197,-0.83187777,-0.66721225,0.15463097,0.22057445,1.1268952,1.4281248,-0.3956807,-0.3755254,-0.0201553
20,0.9962249,1.0454699,"('rough', 'thoughtful')",0.5069813,0.8010431,0.05297891,0.31140062,0.14855994,0.6110521,0.14242835,0.3357328,0.6802515,0.8242238,-0.08965927,0.0050390735,0.3482522,0.5619945,-0.2137423
44,0.9873987,0.7732224,"('prejudiced', 'unprejudiced')",-0.5014352,-0.30860624,-0.08936291,0.052513275,0.09157051,0.31362888,0.7570829,0.8052157,-1.6357198,-1.5551486,-1.6592617,-1.6524113,-0.2928182,-0.2245123,-0.0683059
8,-0.9861242,-0.82587636,"('unaffectionate', 'affectionate')",0.4957252,0.07468782,-1.9786742,-1.9930388,-0.23652034,-0.32805005,-0.15699297,0.0975716,-0.057280343,0.011768432,1.0590216,1.3324205,-0.265835,-0.232931,-0.032904
27,-0.981884,-0.85828865,"('hardhearted', 'softhearted')",-0.3025608,-0.42168546,-0.7907002,-0.8283318,-0.5587499,-0.2904951,-0.9571345,-0.68170476,-0.822753,-0.640419,0.2952156,0.4570197,-0.5883667,-0.4662721,-0.1220946
70,-0.9600102,-0.36243543,"('lethargic', 'energetic')",-1.9493195,-1.3180104,0.5692541,1.0038012,-0.7413498,-0.21717502,-2.9756963,-2.384402,0.38637716,0.6443093,-0.5271398,-0.29908222,-0.8854119,-0.4189992,-0.4664127
42,0.94832325,1.0658135,"('unreliable', 'reliable')",0.6682071,0.90843326,-0.06339188,0.19716682,0.686806,0.899699,-0.536136,-0.35844937,0.797274,0.5874424,-3.3973513,-3.525795,-0.1280384,-0.0322413,-0.0957971
34,-0.9049385,-0.81717277,"('mean', 'honorable')",-0.10230903,-0.17477652,-0.36346954,-0.18560605,-1.1645337,-1.0178423,-0.7626501,-0.68010724,0.4408863,0.55114233,5.6396003,5.920295,0.3975123,0.5137046,-0.1161923
33,0.880698,0.8141635,"('wrong', 'right')",1.1421992,0.9701609,0.8975528,0.68637604,0.23740767,0.19290122,1.4821926,1.5017289,0.6437953,0.5427779,-0.25943482,-0.39537728,0.717773,0.6161045,0.1016685
32,-0.8512946,-0.8516903,"('unkind', 'kind')",-0.7465536,-0.75230765,-0.20639963,-0.29558817,-0.34753233,-0.21847722,-1.7035741,-1.6682864,0.20368594,0.26612508,0.2527268,0.45017338,-0.4855631,-0.4385787,-0.0469844
13,-0.8390857,-0.6633266,"('impolite', 'polite')",-0.42531765,-0.06942101,0.06396024,0.18839785,-0.76518965,-0.34267792,-2.3675957,-2.1870036,-0.27718318,-0.020797964,-0.7128111,-0.69332,-0.7604604,-0.5411642,-0.2192962
63,-0.8266354,-0.49464238,"('unperceptive', 'insightful')",-1.293603,-1.2362611,-0.9942798,-0.8464025,-0.3266197,-0.5163723,-1.8614255,-1.7415229,1.0063376,1.1648946,-0.11834881,0.14375156,-0.6306534,-0.5037936,-0.1268598
64,0.80697924,0.8822562,"('shy', 'confident')",0.10090468,0.3130185,0.21613258,0.46768913,1.0220273,1.2925142,-0.46689174,-0.51063955,0.032421514,-0.01686129,-6.231242,-6.472941,-0.6456669,-0.577852,-0.0678149
49,-0.7742359,-0.6208696,"('unable', 'able')",-0.1836053,-0.23808287,-0.8152852,-0.84388304,-0.18836334,-0.34387448,-1.2896366,-1.3389107,-0.07262069,-0.026200712,-0.96376646,-0.66753995,-0.6125019,-0.5827659,-0.029736
80,-0.75446814,-0.35675985,"('dominated', 'dominating')",-0.9446837,-0.617695,0.09497527,0.44575822,-0.50367486,-0.17136823,-1.3741641,-1.0791243,0.3362307,0.4442795,-1.3267763,-1.3435358,-0.6389373,-0.382635,-0.2563023
11,-0.7517327,-0.651429,"('unhelpful', 'helpful')",-1.0083836,-0.89451516,-0.97933733,-1.0798775,-0.4184969,-0.6431173,-1.8492428,-1.7800636,-0.7030818,-0.7692527,1.7301927,1.7472914,-0.5685832,-0.5815663,0.0129831
0,-0.7245055,-0.6292072,"('unsociable', 'sociable')",-0.48987046,-0.30952367,-0.06455688,-0.063365646,0.26473674,0.39609927,-2.4014776,-2.306809,1.0138565,0.98417705,-0.28754237,-0.30661625,-0.3841942,-0.3193208,-0.0648734
4,-0.7203094,-0.41636366,"('disliked', 'liked')",-0.46329623,-0.73471117,-0.80099154,-0.7687119,-0.46107346,-0.7047587,0.1675624,0.068614654,-0.66063243,-0.7387876,-6.832873,-6.806225,-1.3959447,-1.4429919,0.0470472
