,zions_male,zions_female,tuple,bancorporation_male,bancorporation_female,n_male,n_female,a_male,a_female,average_male,average_female,male-female
68,-1.3466578,-1.2172751,"('dependent', 'independent')",-2.0526185,-1.9671073,-1.49452,-1.4563382,-0.49506155,-0.3135864,-1.3472143,-1.2385767,-0.1086376
43,1.2973225,1.2177193,"('irresponsible', 'responsible')",-1.4179165,-1.5541203,0.81715524,0.74434,1.6128881,1.550689,0.5773623,0.489657,0.0877053
61,-1.1829671,-1.0881858,"('illogical', 'logical')",-0.6080427,-0.56428295,0.75883216,0.74610484,0.9068668,0.819432,-0.0313277,-0.021733,-0.0095947
29,-1.1588709,-1.0611718,"('unfair', 'fair')",-0.8496751,-0.6561949,0.11457137,0.04214641,-0.5811788,-0.6363967,-0.6187884,-0.5779042,-0.0408842
31,-1.1561359,-0.9620986,"('evil', 'good')",-0.041580997,0.16891792,-0.5633507,-0.6676493,-0.780946,-0.7921108,-0.6355034,-0.5632352,-0.0722682
49,-1.087222,-0.91027355,"('unable', 'able')",-1.0074234,-1.0476363,-0.1259194,-0.124596596,-0.16834977,-0.09737298,-0.5972286,-0.5449699,-0.0522587
84,-1.0481321,-1.0225697,"('inferior', 'superior')",-0.71386045,-0.5831179,-0.77051246,-0.763058,-0.7486614,-0.8293676,-0.8202916,-0.7995283,-0.0207633
12,1.0039645,1.1458399,"('unsupportive', 'supportive')",-1.2954124,-1.2503102,0.2530868,0.29583687,-0.8666688,-0.7512339,-0.2262575,-0.1399668,-0.0862907
26,1.0028721,1.2956771,"('hardhearted', 'benevolent')",0.8762544,0.83089685,0.80816716,0.8341204,0.8057596,0.7335262,0.8732634,0.9235551,-0.0502917
7,0.96914506,0.673736,"('insensitive', 'sensitive')",-0.29212248,-0.47054985,-0.15551904,-0.38405246,0.73157644,0.5745806,0.31327,0.0984286,0.2148414
40,0.8942965,0.80401975,"('stingy', 'generous')",0.97011876,0.9614399,0.21237928,0.18953615,-1.5783743,-1.6011524,0.1246051,0.0884609,0.0361442
36,-0.89146507,-1.0855695,"('hostile', 'amicable')",1.5009283,1.4334534,-0.25085807,-0.5766019,0.6427453,0.31675863,0.2503376,0.0220102,0.2283274
