,kimberly_male,kimberly_female,tuple,clark_male,clark_female,corp_male,corp_female,average_male,average_female,male-female
85,2.157081,1.6314032,"('insignificant', 'prestigious')",1.5135782,1.2710005,-0.15900181,-0.7931224,1.1705524,0.7030938,0.4674586
71,1.7888833,1.5620289,"('diffident', 'self-confident')",0.8506754,0.7757373,0.347578,0.19908734,0.9957123,0.8456179,0.1500944
39,1.6568605,1.5610754,"('exploitative', 'cooperative')",1.0142016,0.8907717,0.26809382,0.22264354,0.9797186,0.8914969,0.0882217
65,-1.6029636,-1.2284684,"('insecure', 'secure')",-1.7434572,-1.5500163,-0.43293703,-0.05576779,-1.259786,-0.9447509,-0.3150351
26,1.5943147,1.4356251,"('hardhearted', 'benevolent')",1.2774769,1.3850486,1.320222,1.2698033,1.3973379,1.3634923,0.0338456
57,-1.5835857,-1.2160473,"('unimaginative', 'imaginative')",-2.06057,-1.5593866,-3.4086988,-3.0758092,-2.3509515,-1.9504143,-0.4005372
5,1.5560715,1.1781056,"('distant', 'outgoing')",0.99387705,0.7999997,-0.843457,-1.1694329,0.5688306,0.2695575,0.2992731
69,1.53433,1.1253885,"('lazy', 'industrious')",2.5269444,2.165438,-0.2014818,-0.6405386,1.2865976,0.8834292,0.4031684
81,-1.4763833,-0.966429,"('submissive', 'aggressive')",-1.3277218,-0.9361943,-0.538092,-0.16519922,-1.1140658,-0.6892742,-0.4247916
3,-1.4687757,-1.3525175,"('repellent', 'pleasant')",-0.7505197,-0.713536,0.8014065,0.8101872,-0.4726297,-0.4186221,-0.0540076
44,-1.464051,-1.6306325,"('prejudiced', 'unprejudiced')",-0.37483457,-0.7678418,-1.514483,-1.7298026,-1.1177895,-1.3760923,0.2583028
55,-1.4477594,-1.0440478,"('incompetent', 'clever')",-2.423749,-1.9964577,0.26618275,0.5912667,-1.2017752,-0.8164129,-0.3853623
9,1.3967854,1.2652134,"('unaffectionate', 'caring')",-0.14481921,-0.116263784,0.707004,0.5531845,0.65299,0.567378,0.085612
25,1.2796457,1.028234,"('egoistic', 'altruistic')",1.0246929,0.85057735,1.1302403,0.8135681,1.1448596,0.8974598,0.2473998
33,1.2633241,1.1847277,"('wrong', 'right')",1.2697089,1.2209597,-0.5476449,-0.79384065,0.661796,0.5372822,0.1245138
21,-1.2625095,-1.143994,"('immoral', 'moral')",-0.5786622,-0.45844856,-0.3994411,-0.1640012,-0.7468709,-0.5888146,-0.1580563
23,1.2613957,1.2780443,"('insincere', 'sincere')",-0.3885523,-0.26484996,5.352995,5.305418,2.0752794,2.106204,-0.0309246
54,1.2585055,0.97845733,"('incapable', 'capable')",0.36728573,0.2893913,0.82914484,0.684215,0.818312,0.6506879,0.1676241
1,1.2571338,1.1117533,"('unfriendly', 'friendly')",-0.034432687,0.057110403,0.55243313,0.23852329,0.5917114,0.469129,0.1225824
45,-1.2539971,-0.74460477,"('incompetent', 'competent')",-1.7623371,-1.1364725,-0.3162037,-0.014057197,-1.1108459,-0.6317115,-0.4791344
68,-1.1978331,-1.2087475,"('dependent', 'independent')",-1.2435579,-1.1277404,-0.85347384,-0.76910484,-1.0982883,-1.0351976,-0.0630907
14,-1.1868993,-0.82823205,"('antisocial', 'social')",-0.77938783,-0.4511135,-0.4521808,-0.14601034,-0.806156,-0.4751186,-0.3310374
12,1.1786638,1.3465525,"('unsupportive', 'supportive')",0.28088018,0.5985751,-1.5463936,-1.36568,-0.0289499,0.1931492,-0.2220991
10,-1.1554639,-0.7641824,"('unsympathetic', 'sympathetic')",-2.358736,-1.9735723,-0.024043385,0.344391,-1.1794144,-0.7977878,-0.3816266
6,1.1316727,0.74299836,"('distant', 'open')",0.49841923,0.37497336,-0.74185926,-1.0960034,0.2960775,0.0073227,0.2887548
74,1.07923,1.2136256,"('undedicated', 'dedicated')",0.16972928,0.5899434,-0.26283735,-0.08608702,0.3287073,0.572494,-0.2437867
46,-1.050599,-0.7886622,"('uncompetitive', 'competitive')",-0.87459,-0.58839536,-0.37311047,-0.06792025,-0.7660999,-0.4816593,-0.2844406
78,1.0412424,0.86422724,"('nonresilient', 'resilient')",0.8081342,0.81628406,1.2711909,1.1385982,1.0401891,0.9397031,0.100486
82,-1.0346849,-1.0272698,"('poor', 'rich')",-0.65003717,-0.6168416,6.064435,6.039526,1.4599044,1.4651381,-0.0052337
84,1.0114536,1.0095292,"('inferior', 'superior')",-0.0642596,-0.026357582,1.0119376,1.0111101,0.6530439,0.6647606,-0.0117167
32,0.95187026,0.8730099,"('unkind', 'kind')",-0.24623981,-0.36619648,0.3544786,0.42617342,0.3533697,0.3109956,0.0423741
13,-0.9474638,-0.5158806,"('impolite', 'polite')",-0.8626584,-0.60255206,-0.53894377,-0.17603669,-0.783022,-0.4314898,-0.3515322
53,0.9269253,0.82864314,"('uncreative', 'creative')",0.083447605,0.20321968,0.15229483,0.08614644,0.3875559,0.3726698,0.0148861
64,-0.92429066,-0.66023415,"('shy', 'confident')",-1.3153648,-1.2121465,-6.4167504,-6.030886,-2.8854688,-2.6344223,-0.2510465
52,0.8842212,0.6257081,"('irrational', 'rational')",-0.729019,-0.9289449,-0.4650907,-0.9204161,-0.1032962,-0.4078843,0.3045881
0,-0.87425023,-0.61948305,"('unsociable', 'sociable')",-1.2846569,-0.92371887,-0.6727886,-0.34856045,-0.9438986,-0.6305875,-0.3133111
63,0.7893623,0.87814415,"('unperceptive', 'insightful')",0.3054631,0.5813552,0.99212563,1.2225909,0.6956503,0.8940301,-0.1983798
19,0.78907865,0.60430706,"('inhospitable', 'hospitable')",0.9019433,1.0100634,-0.16727176,-0.20148078,0.5079167,0.4709632,0.0369535
87,0.7461848,0.7054532,"('unsuccessful', 'successful')",0.807015,0.9017439,1.1667163,1.2377864,0.9066387,0.9483279,-0.0416892
2,0.73109865,0.6734881,"('unlikable', 'likable')",1.3812209,1.4307839,0.4803328,0.41595247,0.8642174,0.8400748,0.0241426
48,-0.7267682,-0.6112914,"('unintelligent', 'intelligent')",-1.2150897,-1.0127144,0.50423276,0.5856627,-0.4792084,-0.3461144,-0.133094
79,0.7202356,0.5804413,"('wavering', 'unwavering')",1.6960804,1.7214243,0.0050794147,-0.13755679,0.8071318,0.7214363,0.0856955
49,-0.71666527,-0.9361496,"('unable', 'able')",-0.79915065,-0.77352715,-0.47053415,-0.42819515,-0.6621167,-0.712624,0.0505073
30,-0.7071713,-0.3702315,"('intolerant', 'tolerant')",-1.6955012,-1.3254409,-0.1058801,0.036182217,-0.8361842,-0.5531634,-0.2830208
70,-0.6870644,-0.25014907,"('lethargic', 'energetic')",-0.78239566,-0.34483546,0.5479162,0.99311876,-0.3071813,0.1327114,-0.4398927
17,-0.6717572,-0.4643382,"('nasty', 'nice')",-0.64429516,-0.48423502,-0.73445374,-0.73410374,-0.683502,-0.5608923,-0.1226097
22,-0.6662781,-0.41506004,"('untrustworthy', 'trustworthy')",-0.6973584,-0.46537697,-1.3221904,-1.0216657,-0.8952756,-0.6340342,-0.2612414
37,0.66241276,0.8321674,"('fake', 'genuine')",-0.3524782,-0.2766428,-0.016149595,0.057175424,0.0979283,0.2042333,-0.106305
73,0.59869033,0.702187,"('helpless', 'self-reliant')",-0.13052148,0.009562556,-3.5959783,-3.5164657,-1.0426032,-0.9349054,-0.1076978
40,-0.5983974,-0.33934182,"('stingy', 'generous')",-0.6581687,-0.46059912,-2.3784204,-2.397107,-1.2116621,-1.0656826,-0.1459795
4,-0.5906105,-0.40391117,"('disliked', 'liked')",-0.016272675,0.3462182,-6.953263,-6.8515067,-2.5200486,-2.3030666,-0.216982
66,0.58747816,0.5627335,"('inactive', 'active')",1.25736,1.3991504,0.9408576,0.81502825,0.9285653,0.9256373,0.002928
75,-0.57746035,-0.48022068,"('meek', 'impulsive')",0.39369223,0.5504136,-0.6287113,-0.5978805,-0.2708265,-0.1758958,-0.0949307
15,0.5643412,0.5133852,"('boring', 'funny')",0.4809479,0.44775885,-0.5462099,-0.5954958,0.1663597,0.1218827,0.044477
80,-0.5589204,-0.38871473,"('dominated', 'dominating')",-0.8985784,-0.67513686,-0.090097055,0.20369385,-0.5158653,-0.2867192,-0.2291461
67,0.5267841,0.71259904,"('doubtful', 'determined')",0.7237058,0.88905835,-0.31539464,-0.18474907,0.3116984,0.4723028,-0.1606044
77,-0.51540005,-0.45552653,"('unmotivated', 'motivated')",-1.151988,-0.9446178,-0.92185736,-0.66361684,-0.8630818,-0.6879204,-0.1751614
28,-0.50248104,-0.46421656,"('disloyal', 'loyal')",-1.564579,-1.3693601,0.69774085,0.77600145,-0.4564397,-0.3525251,-0.1039146
8,0.46674117,0.21165566,"('unaffectionate', 'affectionate')",-0.2639308,-0.3966412,0.010854021,-0.27996382,0.0712215,-0.1549831,0.2262046
35,0.44444174,0.070288636,"('corrupt', 'incorrupt')",1.3838565,1.1563028,-0.61277133,-1.0482711,0.4051757,0.0594401,0.3457356
34,0.439148,0.32673258,"('mean', 'honorable')",0.09958927,-0.05790445,5.309305,5.1750298,1.9493475,1.8146192,0.1347283
27,0.43681306,0.43278685,"('hardhearted', 'softhearted')",-0.50338,-0.46097988,0.66527265,0.46855712,0.1995686,0.146788,0.0527806
36,0.40764308,0.10196379,"('hostile', 'amicable')",0.68557876,0.51793396,-0.58389336,-1.0277896,0.1697762,-0.135964,0.3057402
72,0.39183626,0.36315742,"('unambitious', 'ambitious')",-1.341914,-1.3641993,-1.0625348,-0.93299425,-0.6708709,-0.6446787,-0.0261922
41,-0.37724048,-0.26356614,"('unforgiving', 'forgiving')",-0.2479056,0.009131647,-0.6353026,-0.6457829,-0.4201496,-0.3000725,-0.1200771
16,-0.35669282,-0.4336536,"('unpopular', 'popular')",0.71328247,0.61589146,0.3792491,0.081853196,0.2452796,0.0880304,0.1572492
18,-0.33634853,-0.356736,"('disagreeable', 'welcoming')",-0.0649966,-0.0307597,-1.1137967,-1.1793659,-0.5050473,-0.5222872,0.0172399
61,0.33122113,0.3712427,"('illogical', 'logical')",-0.050753694,0.13630207,0.4930744,0.5716939,0.2578473,0.3597462,-0.1018989
50,0.30075306,0.3317196,"('clumsy', 'skillful')",1.3357365,1.3504674,0.5807348,0.39574292,0.7390748,0.6926433,0.0464315
47,-0.27864462,-0.24963045,"('stupid', 'smart')",0.13690838,0.095669925,4.906185,4.743189,1.5881497,1.5297427,0.058407
51,-0.25072247,0.10436295,"('uneducated', 'educated')",-0.50889426,-0.07910233,0.53572255,0.78563464,-0.0746314,0.2702984,-0.3449298
56,0.21992946,0.4041244,"('impractical', 'practical')",-0.33816034,0.021982186,-0.6125734,-0.1548316,-0.2436014,0.090425,-0.3340264
59,0.20079908,-0.02403257,"('foolish', 'wise')",0.061506752,-0.11241171,-0.43319318,-0.80765325,-0.0569625,-0.3146992,0.2577367
31,-0.19583271,-0.24468032,"('evil', 'good')",0.53632414,0.5765287,-1.2593869,-1.6185347,-0.3062985,-0.4288954,0.1225969
11,-0.19276887,0.031013891,"('unhelpful', 'helpful')",-0.8590987,-0.6180981,2.0632198,2.2861755,0.3371174,0.5663638,-0.2292464
58,-0.19196707,0.021908905,"('undiscriminating', 'discriminating')",-0.0014973022,0.43844736,-0.12262034,0.009709284,-0.1053616,0.1566885,-0.2620501
60,-0.18640922,0.17105995,"('inefficient', 'efficient')",-1.1044706,-0.8866331,-0.286566,0.1375679,-0.5258153,-0.1926684,-0.3331469
29,0.18405318,0.28293818,"('unfair', 'fair')",-0.66747975,-0.5516759,-0.8477063,-0.8155409,-0.443711,-0.3614262,-0.0822848
43,0.17581762,0.15516381,"('irresponsible', 'responsible')",-1.1418117,-1.0719472,0.27834314,0.4741041,-0.229217,-0.1475598,-0.0816572
88,-0.1749613,-0.20185658,"('low', 'eminent')",-0.86664915,-0.80430704,-0.62464786,-0.61797696,-0.5554194,-0.5413802,-0.0140392
42,0.105984464,0.45253453,"('unreliable', 'reliable')",0.06837271,0.39459878,-2.4682624,-2.1532238,-0.7646351,-0.4353635,-0.3292716
62,-0.09611269,0.22405058,"('incompetent', 'brilliant')",-1.1960365,-0.7380337,0.3668619,0.71830994,-0.3084291,0.0681089,-0.376538
83,0.07640882,0.089400925,"('powerless', 'powerful')",-0.5319565,-0.3211074,-0.9818984,-0.78094727,-0.4791487,-0.3375512,-0.1415975
7,-0.07595475,0.13576978,"('insensitive', 'sensitive')",-1.229064,-1.0534134,0.3631931,0.58107775,-0.3139419,-0.1121886,-0.2017533
24,-0.06613123,0.14941901,"('dishonest', 'honest')",-1.0095259,-0.862096,-0.08622263,0.15207048,-0.3872933,-0.1868688,-0.2004245
76,0.032852996,0.3756059,"('anxious', 'daring')",-0.19084212,0.08838349,-0.05222304,0.20730391,-0.0700707,0.2237644,-0.2938351
38,0.01922777,0.06527818,"('untruthful', 'truthful')",0.02435711,0.186727,-0.15672456,-0.21612433,-0.0377132,0.0119603,-0.0496735
86,-0.014943697,0.05608108,"('uninfluential', 'influential')",-1.0394455,-0.6773553,-0.30624866,-0.04100821,-0.453546,-0.2207608,-0.2327852
20,-0.0018913578,-0.09932095,"('rough', 'thoughtful')",-0.31377545,-0.32283688,0.91037077,0.86657465,0.1982347,0.1481389,0.0500958
