,cincinnati_male,cincinnati_female,tuple,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
60,2.2233412,2.409289,"('inefficient', 'efficient')",-0.37088346,-0.24068852,0.6508082,0.52641237,0.834422,0.8983375,-0.0639155
23,1.9427657,1.982853,"('insincere', 'sincere')",0.40738297,0.40118015,6.623842,6.6722436,2.9913301,3.0187588,-0.0274287
63,1.8782195,2.045009,"('unperceptive', 'insightful')",1.0524228,1.2333939,0.95554566,1.2083188,1.2953959,1.4955738,-0.2001779
32,1.8091235,1.6295452,"('unkind', 'kind')",-0.04576436,-0.081940316,1.040465,1.1391649,0.9346081,0.89559,0.0390181
16,-1.793478,-1.8507745,"('unpopular', 'popular')",-0.496961,-0.4532707,-0.3643924,-0.2612308,-0.8849438,-0.855092,-0.0298518
10,1.6108307,1.6296191,"('unsympathetic', 'sympathetic')",-1.0216488,-1.1230143,0.72995853,0.40606955,0.4397135,0.3042248,0.1354887
24,1.5156804,1.5099978,"('dishonest', 'honest')",-0.013024673,0.017360933,0.77688736,0.8766683,0.7598477,0.8013423,-0.0414946
74,1.4589137,1.3920326,"('undedicated', 'dedicated')",0.45931986,0.518992,-0.322739,-0.27011058,0.5318315,0.5469713,-0.0151398
71,1.4212979,1.244176,"('diffident', 'self-confident')",1.6931405,1.5912174,-0.32048702,-0.12799081,0.9313172,0.9024676,0.0288496
36,-1.4069248,-2.0813646,"('hostile', 'amicable')",0.44789964,0.19001886,-1.7550339,-1.5706384,-0.9046864,-1.1539947,0.2493083
43,1.3525001,1.383624,"('irresponsible', 'responsible')",0.45435572,0.491512,0.6941923,0.752533,0.8336827,0.8758896,-0.0422069
70,1.3360711,1.6566514,"('lethargic', 'energetic')",-0.07596342,0.09184586,1.2758691,1.1268113,0.8453256,0.9584362,-0.1131106
26,1.3157375,1.0623806,"('hardhearted', 'benevolent')",1.890083,1.6161591,1.0375633,0.9800838,1.4144613,1.2195412,0.1949201
39,1.3102274,1.1159427,"('exploitative', 'cooperative')",0.64714885,0.49372983,0.18169257,0.20045741,0.7130229,0.6033767,0.1096462
35,-1.291371,-1.6915106,"('corrupt', 'incorrupt')",-0.8553084,-0.9287896,-2.073466,-1.7674077,-1.4067151,-1.4625692,0.0558541
51,1.2608067,1.2551887,"('uneducated', 'educated')",-0.02116488,-0.055759728,1.0495942,0.87818736,0.7630787,0.6925388,0.0705399
31,-1.2436329,-1.3709108,"('evil', 'good')",-0.28923714,-0.37079257,-2.656238,-2.1352892,-1.3963693,-1.2923308,-0.1040385
4,-1.2395184,-1.0826385,"('disliked', 'liked')",0.10418557,0.28189978,-7.604414,-7.361948,-2.913249,-2.7208954,-0.1923536
14,1.2254964,1.1446363,"('antisocial', 'social')",1.8455443,1.8083861,0.52864915,0.16605315,1.1998966,1.0396918,0.1602048
56,1.2149003,1.5074004,"('impractical', 'practical')",0.41937768,0.5217265,-0.18172014,-0.19389051,0.4841859,0.6117454,-0.1275595
11,1.2124065,1.3062443,"('unhelpful', 'helpful')",0.13650115,0.22594912,2.6093345,2.77395,1.3194141,1.4353813,-0.1159672
8,-1.1756446,-1.406982,"('unaffectionate', 'affectionate')",0.31827858,0.21176378,-0.49998975,-0.07653825,-0.4524519,-0.4239188,-0.0285331
7,1.1718323,1.2591273,"('insensitive', 'sensitive')",0.43599585,0.42614007,0.8981595,0.90894794,0.8353292,0.8647385,-0.0294093
30,1.1314205,1.2713591,"('intolerant', 'tolerant')",0.52169156,0.56363,0.33899635,0.3835495,0.6640361,0.7395128,-0.0754767
27,1.080794,0.9739579,"('hardhearted', 'softhearted')",-0.5641706,-0.5239818,0.29569256,0.62535465,0.270772,0.3584436,-0.0876716
17,-1.0486658,-1.117085,"('nasty', 'nice')",-0.24665311,-0.25233892,-0.69619226,-0.75516206,-0.663837,-0.7081953,0.0443583
52,-1.0185087,-1.436472,"('irrational', 'rational')",0.53029937,0.31752703,-1.0394856,-0.80514306,-0.5092316,-0.6413627,0.1321311
72,0.9875026,0.91187614,"('unambitious', 'ambitious')",0.03410802,0.010338083,-0.332827,-0.34219143,0.2295945,0.1933409,0.0362536
40,0.9830764,0.9415763,"('stingy', 'generous')",1.272542,1.2910894,-2.209703,-2.1561863,0.0153051,0.0254931,-0.010188
21,0.9791003,1.0061278,"('immoral', 'moral')",1.0380719,0.9593276,0.6869274,0.285596,0.9013665,0.7503505,0.151016
12,0.96320176,1.1502879,"('unsupportive', 'supportive')",1.3348695,1.4343473,-1.9956131,-1.7463707,0.1008194,0.2794215,-0.1786021
55,0.8862144,1.0045776,"('incompetent', 'clever')",-0.8397812,-0.8152342,1.4494236,0.9173466,0.4986189,0.3688967,0.1297222
65,0.8799094,0.7478803,"('insecure', 'secure')",-0.44737598,-0.64762497,1.0671263,0.73058224,0.4998866,0.2769458,0.2229408
78,-0.8753948,-0.7686124,"('nonresilient', 'resilient')",0.7878625,0.92170465,0.38958204,0.3193105,0.1006832,0.1574676,-0.0567844
2,0.8665898,0.55708355,"('unlikable', 'likable')",2.5014036,2.506501,0.4878879,0.60428137,1.2852937,1.222622,0.0626717
75,-0.8646009,-0.8476145,"('meek', 'impulsive')",0.11552596,0.20890808,-0.7868737,-0.6571953,-0.5119829,-0.4319673,-0.0800156
41,0.8323491,0.7219422,"('unforgiving', 'forgiving')",0.75607955,0.5685396,-0.613694,-0.59607285,0.3249116,0.2314697,0.0934419
67,0.83046234,0.68930876,"('doubtful', 'determined')",0.24791718,0.09342237,-0.36486235,-0.31866485,0.2378391,0.1546888,0.0831503
50,-0.8130941,-1.0370529,"('clumsy', 'skillful')",0.3898108,0.45668477,0.060694262,0.15398109,-0.120863,-0.142129,0.021266
49,-0.7794506,-0.7241784,"('unable', 'able')",-1.2406778,-1.1329019,-0.26163206,-0.24761713,-0.7605868,-0.7015657,-0.0590211
9,0.7684667,0.6312271,"('unaffectionate', 'caring')",1.3456321,1.260643,0.36066002,0.786952,0.8249196,0.8929407,-0.0680211
79,-0.760783,-0.88534117,"('wavering', 'unwavering')",0.022310589,0.026373861,-0.66988724,-0.5026914,-0.4694532,-0.4538862,-0.015567
47,0.7249534,0.5631026,"('stupid', 'smart')",0.75602996,0.7262609,4.728604,5.1610904,2.0698624,2.1501513,-0.0802889
86,0.7213737,0.7440639,"('uninfluential', 'influential')",-0.19252026,-0.23064034,0.16697726,0.07799516,0.2319436,0.1971396,0.034804
62,0.7150382,1.1149226,"('incompetent', 'brilliant')",0.32017392,0.63560563,0.84301007,0.9261151,0.626074,0.8922145,-0.2661405
13,0.6931117,0.91942215,"('impolite', 'polite')",0.022997996,0.08843024,-0.10048329,-0.0015614331,0.2052088,0.3354303,-0.1302215
20,0.65498346,0.6162229,"('rough', 'thoughtful')",-0.02527177,-0.010093549,0.16899231,0.21532658,0.2662347,0.2738187,-0.007584
22,0.63519734,0.86309457,"('untrustworthy', 'trustworthy')",-0.4161597,-0.35452038,-0.12409113,-0.2841164,0.0316488,0.0748193,-0.0431705
68,0.62595385,0.65128213,"('dependent', 'independent')",-1.965433,-1.8082877,-0.74808544,-0.73648113,-0.6958549,-0.6311622,-0.0646927
38,0.62403005,0.72283536,"('untruthful', 'truthful')",0.8175157,0.8781039,-0.16741878,0.11621886,0.424709,0.572386,-0.147677
37,0.62382525,0.69860446,"('fake', 'genuine')",-0.6827211,-0.5745742,-0.030219225,0.29403663,-0.029705,0.1393556,-0.1690606
69,-0.62044543,-0.93962544,"('lazy', 'industrious')",0.9287039,0.97938436,-2.4179592,-1.9411763,-0.7032336,-0.6338058,-0.0694278
80,0.6173658,0.84740007,"('dominated', 'dominating')",-0.236303,-0.077359304,1.0869604,0.7867483,0.4893411,0.5189297,-0.0295886
1,0.5981655,0.2833236,"('unfriendly', 'friendly')",1.2631047,1.1769545,0.18057926,0.6601608,0.6806165,0.7068129,-0.0261964
81,0.5826817,0.63518894,"('submissive', 'aggressive')",0.67899626,0.6992543,0.46687832,0.16121218,0.5761854,0.4985518,0.0776336
76,0.56257784,0.675797,"('anxious', 'daring')",-0.14260715,-0.079066835,0.90486443,0.5369077,0.4416117,0.3778793,0.0637324
46,0.5426133,0.7086412,"('uncompetitive', 'competitive')",0.6934891,0.7247945,0.5029264,0.21576017,0.5796762,0.549732,0.0299442
0,0.5400998,0.48892716,"('unsociable', 'sociable')",-0.14563869,-0.18817955,0.16872942,-0.0135895545,0.1877302,0.0957193,0.0920109
48,-0.5045016,-0.2949897,"('unintelligent', 'intelligent')",-0.7877197,-0.8560939,0.8908169,0.5235085,-0.1338015,-0.2091917,0.0753902
61,-0.47504103,-0.56433773,"('illogical', 'logical')",1.1394907,1.1050227,0.8168405,0.7272588,0.4937634,0.4226479,0.0711155
44,-0.47247604,-0.5239394,"('prejudiced', 'unprejudiced')",-0.39097,-0.28151536,-1.4380338,-1.4783629,-0.7671599,-0.7612726,-0.0058873
42,0.44770345,0.37948847,"('unreliable', 'reliable')",0.827975,0.84945375,-2.020568,-2.2397969,-0.2482965,-0.3369516,0.0886551
18,0.427778,0.1252429,"('disagreeable', 'welcoming')",-0.12402038,-0.15606466,-0.9362087,-0.85570586,-0.210817,-0.2955092,0.0846922
85,-0.39939147,-0.8952529,"('insignificant', 'prestigious')",1.6760799,1.3665061,-1.8478484,-1.5281671,-0.1903867,-0.3523046,0.1619179
77,-0.36449894,-0.45679268,"('unmotivated', 'motivated')",1.0777521,1.043834,-0.5889542,-0.7990253,0.041433,-0.0706613,0.1120943
88,0.3509953,0.23000333,"('low', 'eminent')",-0.8570502,-0.98839784,-0.34857887,-0.38311577,-0.2848779,-0.3805034,0.0956255
6,0.35092652,-0.09765579,"('distant', 'open')",0.059523977,0.1371844,-2.1923726,-1.4852288,-0.593974,-0.4819001,-0.1120739
82,0.32152796,0.23449194,"('poor', 'rich')",-0.5281293,-0.35868478,6.4438725,6.484033,2.0790904,2.1199468,-0.0408564
84,-0.28867412,-0.41914055,"('inferior', 'superior')",0.3190229,0.31728044,0.5506835,0.6827378,0.1936774,0.1936259,5.15e-05
66,0.26761925,-0.16467875,"('inactive', 'active')",1.3492501,1.3386899,0.6957324,0.6476809,0.7708673,0.6072307,0.1636366
64,-0.2525866,-0.42280313,"('shy', 'confident')",0.4708329,0.53318465,-5.274742,-5.583709,-1.6854986,-1.8244424,0.1389438
45,0.23774597,0.533899,"('incompetent', 'competent')",-0.8850941,-0.6858708,0.12910019,0.06773962,-0.1727493,-0.0280774,-0.1446719
59,-0.22509411,-0.39447325,"('foolish', 'wise')",1.0121145,0.9142388,-1.4414862,-0.76950204,-0.2181553,-0.0832455,-0.1349098
25,0.1745922,-0.17755532,"('egoistic', 'altruistic')",0.33478016,0.30739042,0.53053284,0.6701787,0.3466351,0.2666713,0.0799638
15,-0.14842686,-0.22265355,"('boring', 'funny')",0.11302562,0.017220698,-0.8048295,-0.6086175,-0.2800769,-0.2713501,-0.0087268
19,-0.13556215,-0.30812195,"('inhospitable', 'hospitable')",-0.18999034,-0.15482104,-1.0317899,-0.69246495,-0.4524475,-0.385136,-0.0673115
58,0.13067728,0.1876103,"('undiscriminating', 'discriminating')",1.4399072,1.4322357,0.31134003,0.31813785,0.6273082,0.6459946,-0.0186864
87,0.11351374,0.068906814,"('unsuccessful', 'successful')",1.0448425,0.989251,1.2061703,1.1603256,0.7881755,0.7394945,0.048681
57,-0.10952384,-0.1570456,"('unimaginative', 'imaginative')",-0.060668662,-0.0680326,-2.880497,-3.0695348,-1.0168965,-1.0982043,0.0813078
83,0.09445159,0.015334912,"('powerless', 'powerful')",1.313425,1.3287336,-0.23790558,-0.45131585,0.3899903,0.2975842,0.0924061
73,0.07513259,0.12676834,"('helpless', 'self-reliant')",1.3512496,1.3414818,-3.4735286,-3.3349335,-0.6823821,-0.6222278,-0.0601543
53,0.07315351,-0.22064845,"('uncreative', 'creative')",0.881803,0.8239646,-0.28012192,-0.10325169,0.2249448,0.1666881,0.0582567
33,-0.06667435,-0.25478098,"('wrong', 'right')",1.3477064,1.2578435,-1.5117444,-1.2697618,-0.0769041,-0.0888998,0.0119957
34,-0.06031611,-0.10739929,"('mean', 'honorable')",0.5776981,0.6215047,5.49206,5.6901264,2.0031474,2.0680772,-0.0649298
54,0.05848342,-0.13755302,"('incapable', 'capable')",1.0396558,0.9726636,0.123793215,0.39662835,0.4073108,0.4105796,-0.0032688
5,0.041558553,-0.38376567,"('distant', 'outgoing')",0.877341,0.92665637,-1.9467926,-1.2530711,-0.342631,-0.2367268,-0.1059042
29,-0.02197265,0.033768974,"('unfair', 'fair')",0.04801044,0.0980788,-0.22826792,-0.20398608,-0.06741,-0.0240461,-0.0433639
3,0.01926039,0.01445824,"('repellent', 'pleasant')",-0.3164502,-0.30434218,1.5568556,1.1901928,0.4198886,0.3001029,0.1197857
28,0.016561203,-0.09371264,"('disloyal', 'loyal')",-0.13401614,-0.1793412,1.2565967,1.1213797,0.3797139,0.2827753,0.0969386
