,rowan_male,rowan_female,tuple,companies_male,companies_female,plc_male,plc_female,average_male,average_female,male-female
81,5.2805114,5.8679996,"('submissive', 'aggressive')",1.0509663,1.4224212,-1.4586947,-1.3507676,1.6242609,1.9798843,-0.3556234
31,-5.164972,-5.704832,"('evil', 'good')",-0.5560226,-0.8712554,0.3249726,0.18007794,-1.7986739,-2.1320031,0.3333292
60,4.979182,5.660916,"('inefficient', 'efficient')",1.7271011,2.0206757,-0.6653183,-0.682262,2.0136547,2.3331099,-0.3194552
36,-4.89658,-5.5343366,"('hostile', 'amicable')",-0.6323201,-1.3039958,1.7269497,1.4689571,-1.2673168,-1.7897917,0.5224749
55,4.850598,5.457719,"('incompetent', 'clever')",1.7680056,1.9265655,-0.22215158,-0.21377176,2.1321507,2.3901709,-0.2580202
10,4.7913733,5.2226543,"('unsympathetic', 'sympathetic')",1.5549057,1.5501074,-0.34445804,-0.37221992,2.000607,2.1335139,-0.1329069
14,4.6693645,5.014528,"('antisocial', 'social')",1.8664707,2.078202,0.20719436,0.18460226,2.2476765,2.4257773,-0.1781008
70,4.5842743,5.120566,"('lethargic', 'energetic')",0.70088726,1.0790365,-0.17977619,-0.0133961085,1.7017951,2.0620686,-0.3602735
46,4.514319,5.101776,"('uncompetitive', 'competitive')",2.060247,2.334271,-0.641715,-0.6710747,1.9776169,2.2549907,-0.2773738
52,-4.1896763,-4.491055,"('irrational', 'rational')",-1.0831878,-1.5064936,0.35725617,0.21076441,-1.6385361,-1.9289281,0.290392
7,4.070634,4.47681,"('insensitive', 'sensitive')",0.9544002,1.1242882,0.8532926,0.87424254,1.9594421,2.1584469,-0.1990048
80,4.006135,4.554887,"('dominated', 'dominating')",0.53285813,0.81330127,0.025110655,0.101021916,1.5213679,1.8230699,-0.301702
35,-3.989425,-4.654023,"('corrupt', 'incorrupt')",-1.4064184,-1.6652297,0.07866269,0.03598222,-1.7723935,-2.0944236,0.3220301
85,-3.7412882,-4.3184805,"('insignificant', 'prestigious')",0.3523175,-0.034136087,1.3086673,1.1643745,-0.6934344,-1.0627475,0.3693131
45,3.6773813,4.1325054,"('incompetent', 'competent')",1.3704923,1.6118146,0.71029395,0.77596384,1.9193891,2.1734279,-0.2540388
62,3.6648793,4.3006487,"('incompetent', 'brilliant')",1.6344624,1.8318299,-0.11491958,-0.068751246,1.7281407,2.0212425,-0.2931018
56,3.561988,3.9081316,"('impractical', 'practical')",1.6567867,1.7310761,0.528709,0.46504092,1.9158279,2.0347497,-0.1189218
86,3.5521364,3.6971178,"('uninfluential', 'influential')",0.6503291,0.7304434,0.61497796,0.52980936,1.6058145,1.6524569,-0.0466424
