,at&t_male,at&t_female,tuple,inc_male,inc_female,average_male,average_female,male-female
30,-2.3323724,-2.6373599,"('intolerant', 'tolerant')",-1.3366976,-1.5832448,-1.834535,-2.1103024,0.2757674
65,-2.1914856,-2.4133613,"('insecure', 'secure')",-1.6866875,-1.7737453,-1.9390866,-2.0935533,0.1544667
0,-2.1830144,-2.6726165,"('unsociable', 'sociable')",-2.380975,-2.7752938,-2.2819948,-2.7239552,0.4419604
56,-1.9387621,-1.774296,"('impractical', 'practical')",-2.432996,-2.3820071,-2.185879,-2.0781517,-0.1077273
23,-1.8859823,-1.8802824,"('insincere', 'sincere')",-2.0451777,-2.00269,-1.96558,-1.9414862,-0.0240938
75,1.8394461,2.3081527,"('meek', 'impulsive')",0.4226545,1.0129735,1.1310503,1.6605631,-0.5295128
10,-1.7376313,-2.3521118,"('unsympathetic', 'sympathetic')",-2.162856,-2.5802836,-1.9502437,-2.4661977,0.515954
43,-1.6485345,-1.4971056,"('irresponsible', 'responsible')",-2.3806896,-2.3054624,-2.0146122,-1.901284,-0.1133282
69,1.5483989,2.1404128,"('lazy', 'industrious')",1.496252,1.7661014,1.5223254,1.9532571,-0.4309317
57,-1.3903536,-1.9996941,"('unimaginative', 'imaginative')",-1.7295679,-2.0686827,-1.5599607,-2.0341883,0.4742276
81,-1.3831507,-1.7992556,"('submissive', 'aggressive')",-1.8726648,-1.824403,-1.6279078,-1.8118293,0.1839215
86,-1.3807772,-1.6746757,"('uninfluential', 'influential')",-2.1591477,-2.4139202,-1.7699625,-2.0442979,0.2743354
55,-1.3795567,-1.960054,"('incompetent', 'clever')",-1.3671792,-1.5949095,-1.3733679,-1.7774818,0.4041139
11,-1.3642389,-1.5701735,"('unhelpful', 'helpful')",-2.5685432,-2.599359,-1.9663911,-2.0847664,0.1183753
82,-1.2807896,-0.8718247,"('poor', 'rich')",-1.0235497,-0.4141115,-1.1521697,-0.6429681,-0.5092016
28,-1.2732602,-1.5714442,"('disloyal', 'loyal')",-1.3222464,-1.4156107,-1.2977533,-1.4935274,0.1957741
8,-1.1591907,-1.3993747,"('unaffectionate', 'affectionate')",0.20433646,0.12860781,-0.4774271,-0.6353835,0.1579564
37,1.154135,1.3381548,"('fake', 'genuine')",-0.69809115,-0.92257065,0.2280219,0.2077921,0.0202298
46,-1.1457171,-1.5611426,"('uncompetitive', 'competitive')",-1.9749141,-2.3408496,-1.5603156,-1.9509962,0.3906806
47,-1.1096362,-1.0720328,"('stupid', 'smart')",-1.1474296,-1.1962767,-1.1285329,-1.1341548,0.0056219
6,1.0777879,1.6118757,"('distant', 'open')",2.1334946,2.4977047,1.6056412,2.0547903,-0.4491491
73,1.0511755,1.1989478,"('helpless', 'self-reliant')",0.5415361,0.31243312,0.7963558,0.7556905,0.0406653
35,1.0396968,1.3079638,"('corrupt', 'incorrupt')",1.0421175,1.1983151,1.0409071,1.2531395,-0.2122324
1,-1.0239413,-0.86791825,"('unfriendly', 'friendly')",-0.047729556,0.20113221,-0.5358354,-0.333393,-0.2024424
85,1.0233706,1.0759141,"('insignificant', 'prestigious')",2.969958,3.1227844,1.9966643,2.0993493,-0.102685
77,-0.96707237,-0.9463635,"('unmotivated', 'motivated')",-0.4991635,-0.47278154,-0.7331179,-0.7095726,-0.0235453
80,0.9610911,0.7700155,"('dominated', 'dominating')",-0.88955283,-0.9790515,0.0357691,-0.104518,0.1402871
78,-0.95937395,-0.9266654,"('nonresilient', 'resilient')",-0.5449518,-0.50217557,-0.7521629,-0.7144205,-0.0377424
48,-0.9325982,-1.2668878,"('unintelligent', 'intelligent')",-0.8069178,-0.9643423,-0.869758,-1.115615,0.245857
18,-0.90429556,-0.6340354,"('disagreeable', 'welcoming')",0.62472236,0.59637976,-0.1397866,-0.0188278,-0.1209588
45,-0.88518363,-1.2295697,"('incompetent', 'competent')",-2.2794864,-2.4587846,-1.582335,-1.8441771,0.2618421
