,hillshire_male,hillshire_female,tuple,brands_male,brands_female,co_male,co_female,average_male,average_female,male-female
6,-2.09658,-1.9270265,"('distant', 'open')",-0.5266135,-0.62041885,-0.2931547,-0.5097942,-0.9721161,-1.0190798,0.0469637
1,-1.8921214,-1.4933944,"('unfriendly', 'friendly')",0.61394155,0.75151676,1.0224618,0.98798233,-0.0852394,0.0820349,-0.1672743
31,-1.8700604,-1.534942,"('evil', 'good')",-1.6453985,-1.8129542,-1.0915242,-1.2436938,-1.5356611,-1.53053,-0.0051311
36,-1.8627198,-1.8207777,"('hostile', 'amicable')",-1.6258676,-1.8602272,0.0649752,-0.14021972,-1.141204,-1.2737416,0.1325376
8,-1.5830264,-1.4598901,"('unaffectionate', 'affectionate')",-0.29757243,-0.39211622,0.21330641,0.11290583,-0.5557641,-0.5797002,0.0239361
56,1.5782139,1.3882719,"('impractical', 'practical')",2.01387,2.1402488,0.03322541,0.08694026,1.2084364,1.2051536,0.0032828
73,1.5217491,1.5996532,"('helpless', 'self-reliant')",1.0554303,1.024016,-3.189864,-3.2212484,-0.2042282,-0.1991931,-0.0050351
25,-1.4620657,-1.1793119,"('egoistic', 'altruistic')",-0.27586538,-0.32476294,1.1014762,1.061868,-0.2121516,-0.1474023,-0.0647493
39,1.4453318,1.3569708,"('exploitative', 'cooperative')",1.5513154,1.5699431,0.8093372,0.7711688,1.2686615,1.2326941,0.0359674
5,-1.423342,-1.2936133,"('distant', 'outgoing')",-0.22047162,-0.20357141,-0.68089974,-0.77899796,-0.7749044,-0.7587276,-0.0161768
52,-1.355248,-1.3110361,"('irrational', 'rational')",-0.9269046,-1.2058905,-0.18105313,-0.5126849,-0.8210686,-1.0098705,0.1888019
76,1.3061137,0.999977,"('anxious', 'daring')",0.99920696,1.1933852,0.37192753,0.25535798,0.8924161,0.8162401,0.076176
42,1.2994666,1.3345683,"('unreliable', 'reliable')",0.47472548,0.47167712,-2.698774,-2.5765283,-0.308194,-0.256761,-0.051433
46,1.1848786,1.1201918,"('uncompetitive', 'competitive')",1.429171,1.8299043,-1.1494259,-0.93908846,0.4882079,0.6703359,-0.182128
53,-1.1348099,-0.8206258,"('uncreative', 'creative')",0.7981126,1.0696609,0.4069967,0.58163226,0.0234331,0.2768891,-0.253456
67,1.1269672,0.94570297,"('doubtful', 'determined')",0.113657646,0.106523655,-0.12347581,-0.26482347,0.372383,0.2624677,0.1099153
60,1.1243727,1.0905809,"('inefficient', 'efficient')",1.319248,1.7657167,-0.16673486,0.22273344,0.7589619,1.0263437,-0.2673818
85,-1.0686126,-0.88965386,"('insignificant', 'prestigious')",-0.09031844,-0.37192726,-0.31254387,-0.6106403,-0.4904916,-0.6240738,0.1335822
64,1.0381204,1.0605313,"('shy', 'confident')",-0.114441365,0.018052436,-5.691382,-5.250984,-1.5892344,-1.3908002,-0.1984342
37,1.031797,0.80299467,"('fake', 'genuine')",0.16037029,0.15889691,0.13532612,0.014043614,0.4424978,0.3253117,0.1171861
88,-1.0112507,-0.90513766,"('low', 'eminent')",0.3132395,0.3639601,-0.18622251,-0.23029651,-0.2947446,-0.257158,-0.0375866
70,1.0102258,0.9690111,"('lethargic', 'energetic')",0.32848725,0.67680895,0.5446552,0.5406515,0.6277894,0.7288239,-0.1010345
48,-0.98602515,-1.0622243,"('unintelligent', 'intelligent')",-0.7428319,-0.69158036,-0.7389864,-0.6339194,-0.8226145,-0.7959081,-0.0267064
9,-0.9806537,-0.6971282,"('unaffectionate', 'caring')",0.33219063,0.43635657,0.7965036,0.886999,0.0493468,0.2087425,-0.1593957
35,-0.9410885,-1.0265052,"('corrupt', 'incorrupt')",-2.0523975,-2.3755233,-0.49730602,-0.7063538,-1.1635973,-1.3694607,0.2058634
86,-0.9235036,-0.82716954,"('uninfluential', 'influential')",0.22787549,0.36624867,-0.65650266,-0.5629983,-0.4507103,-0.3413064,-0.1094039
19,-0.91050017,-0.89055485,"('inhospitable', 'hospitable')",-0.5930958,-0.5371642,-0.48091644,-0.5118921,-0.6615041,-0.6465371,-0.014967
27,-0.90917724,-0.7529255,"('hardhearted', 'softhearted')",-0.04289129,-0.020217478,0.4484925,0.4367459,-0.1678587,-0.1121324,-0.0557263
22,0.90431,0.80718696,"('untrustworthy', 'trustworthy')",0.40187204,0.51292247,-0.3625021,-0.36669517,0.31456,0.3178047,-0.0032447
30,0.8982595,0.8394041,"('intolerant', 'tolerant')",1.4457445,1.7001565,0.60257065,0.5479615,0.9821916,1.029174,-0.0469824
21,0.87341374,0.65016323,"('immoral', 'moral')",0.69976735,0.82972515,-0.8138517,-0.89448494,0.2531098,0.1951345,0.0579753
80,0.86955106,0.5001633,"('dominated', 'dominating')",0.73261666,0.72084904,-0.61923295,-0.62802863,0.3276449,0.1976612,0.1299837
14,0.8554362,0.55220383,"('antisocial', 'social')",0.55759287,0.7651651,-0.29287732,-0.34399155,0.3733839,0.3244592,0.0489247
26,-0.8549119,-0.7287116,"('hardhearted', 'benevolent')",1.0296437,1.0514499,1.0378088,1.0024327,0.4041802,0.4417237,-0.0375435
78,-0.85398984,-0.76476574,"('nonresilient', 'resilient')",0.49856716,0.51003915,-0.83160126,-0.63071734,-0.3956746,-0.295148,-0.1005266
87,0.7889783,0.45666444,"('unsuccessful', 'successful')",1.3626539,1.3599228,0.257379,0.10312568,0.8030037,0.6399043,0.1630994
74,0.7675525,0.6277244,"('undedicated', 'dedicated')",1.114167,1.1906188,0.06256456,0.10745584,0.6480947,0.641933,0.0061617
16,-0.7377493,-0.5861778,"('unpopular', 'popular')",-1.0637134,-1.2074497,0.091016844,-0.10659689,-0.5701486,-0.6334081,0.0632595
18,-0.6780674,-0.48780462,"('disagreeable', 'welcoming')",-0.5896531,-0.5565839,-0.92372155,-0.9094705,-0.7304807,-0.6512864,-0.0791943
43,0.5914091,0.49819535,"('irresponsible', 'responsible')",1.4538939,1.6917939,0.4657393,0.53974,0.837014,0.9099098,-0.0728958
13,0.5769341,0.6462883,"('impolite', 'polite')",0.78653014,1.119431,-0.23502359,0.030284073,0.3761469,0.5986678,-0.2225209
63,0.5751978,0.639212,"('unperceptive', 'insightful')",0.93432146,1.1888343,-0.21181628,-0.086689495,0.4325677,0.5804523,-0.1478846
81,0.5639561,0.41473037,"('submissive', 'aggressive')",0.22435963,0.44945323,-0.72654897,-0.7686473,0.0205889,0.0318454,-0.0112565
54,-0.55814546,-0.5974568,"('incapable', 'capable')",0.65380985,0.66119516,0.9503066,0.8049994,0.348657,0.2895793,0.0590777
2,0.5545217,0.38349184,"('unlikable', 'likable')",0.6435164,0.5932545,0.8409268,0.7516466,0.679655,0.5761309,0.1035241
62,0.51400495,0.5241302,"('incompetent', 'brilliant')",1.0850341,1.3023753,-0.08341134,0.06548475,0.5052092,0.6306634,-0.1254542
45,0.5058465,0.57882553,"('incompetent', 'competent')",0.6146439,0.8042267,-0.37770572,-0.31321806,0.2475949,0.3566114,-0.1090165
44,0.45095593,0.15053082,"('prejudiced', 'unprejudiced')",0.15214701,0.12557256,-0.5289118,-0.6836179,0.0247304,-0.1358382,0.1605686
55,0.45032018,0.2524273,"('incompetent', 'clever')",0.9835194,1.126905,0.087564155,0.2030777,0.5071346,0.52747,-0.0203354
40,-0.43725458,-0.19631226,"('stingy', 'generous')",-0.32049313,-0.3101507,-2.825679,-2.7031136,-1.1944756,-1.0698589,-0.1246167
61,-0.41932288,-0.3934953,"('illogical', 'logical')",-0.39230904,-0.24039692,-0.16482054,-0.20578018,-0.3254842,-0.2798908,-0.0455934
28,-0.41779378,-0.30825606,"('disloyal', 'loyal')",-0.122191675,-0.07228256,0.98331994,0.9787816,0.1477782,0.1994143,-0.0516361
10,0.40442833,0.27120182,"('unsympathetic', 'sympathetic')",0.39098907,0.58884424,-0.38666487,-0.2946246,0.1362509,0.1884738,-0.0522229
79,-0.4012419,-0.32681638,"('wavering', 'unwavering')",-0.9373137,-1.085132,-0.2717101,-0.40027368,-0.5367552,-0.604074,0.0673188
17,-0.3995276,-0.36794713,"('nasty', 'nice')",-1.0137212,-1.026344,-0.3058826,-0.2971627,-0.5730438,-0.5638179,-0.0092259
72,-0.38481417,-0.39858967,"('unambitious', 'ambitious')",-0.6071809,-0.48102838,-0.29452813,-0.21652313,-0.4288411,-0.3653804,-0.0634607
7,0.37152883,0.5289629,"('insensitive', 'sensitive')",0.3541897,0.72019833,-0.22625944,-0.100240424,0.1664864,0.3829736,-0.2164872
49,-0.36822996,-0.47813103,"('unable', 'able')",0.050675906,-0.004410481,-0.2124218,-0.21433927,-0.1766586,-0.2322936,0.055635
11,0.36802843,0.28646386,"('unhelpful', 'helpful')",0.28249663,0.52636373,2.185299,2.2370832,0.9452747,1.0166369,-0.0713622
82,-0.33337578,-0.36608514,"('poor', 'rich')",0.29486108,0.42314598,6.242455,6.030944,2.0679801,2.0293349,0.0386452
29,-0.32132223,-0.29065844,"('unfair', 'fair')",-1.2282815,-1.2796601,-0.8814638,-0.9585897,-0.8103558,-0.8429694,0.0326136
32,-0.31671897,-0.26820612,"('unkind', 'kind')",0.66180813,0.76296675,0.90803796,0.9962725,0.417709,0.497011,-0.079302
12,0.3089355,0.51792645,"('unsupportive', 'supportive')",0.66542745,1.0118674,-2.3777604,-2.0727732,-0.4677991,-0.1809931,-0.286806
