,freeport_male,freeport_female,tuple,mcmoran_male,mcmoran_female,inc_male,inc_female,average_male,average_female,male-female
19,-2.1036391,-1.9954145,"('inhospitable', 'hospitable')",0.054167517,0.14282544,-0.2033102,-0.1383027,-0.7509273,-0.6636306,-0.0872967
36,-1.6910707,-1.7773237,"('hostile', 'amicable')",0.09361244,0.051208146,-0.09745343,-0.17925778,-0.5649706,-0.6351244,0.0701538
31,-1.6581029,-1.5317423,"('evil', 'good')",0.56488436,0.6036087,-1.1136365,-1.1716073,-0.7356184,-0.6999137,-0.0357047
5,-1.5940199,-1.3796711,"('distant', 'outgoing')",0.25376505,0.55405635,-0.2533038,-0.17874679,-0.5311862,-0.3347872,-0.196399
8,-1.5897322,-1.44249,"('unaffectionate', 'affectionate')",-1.1095588,-0.86402667,0.84665376,0.87726516,-0.6175458,-0.4764171,-0.1411287
1,-1.5894401,-1.5087198,"('unfriendly', 'friendly')",-1.5794842,-1.3687762,1.8643224,1.8911113,-0.4348673,-0.3287949,-0.1060724
35,-1.5299381,-1.2588503,"('corrupt', 'incorrupt')",1.2599548,1.4198678,-0.5975324,-0.58103764,-0.2891719,-0.1400067,-0.1491652
80,1.4931936,1.2897363,"('dominated', 'dominating')",-0.546711,-0.69124556,-1.1961336,-1.259526,-0.083217,-0.2203451,0.1371281
79,-1.4723549,-1.4484155,"('wavering', 'unwavering')",0.71116567,0.6488913,-0.028652972,-0.09707841,-0.2632807,-0.2988675,0.0355868
85,-1.4405473,-1.447757,"('insignificant', 'prestigious')",0.6769799,0.49531513,0.4611117,0.26066303,-0.1008186,-0.2305929,0.1297743
6,-1.4253503,-1.3532226,"('distant', 'open')",0.08302854,0.23224291,0.35999858,0.4561849,-0.3274411,-0.2215983,-0.1058428
39,1.4169017,1.423905,"('exploitative', 'cooperative')",0.11811531,-0.0086046085,0.13494623,0.21023297,0.5566544,0.5418444,0.01481
53,-1.41245,-1.31451,"('uncreative', 'creative')",-1.2525127,-1.082351,1.2015679,1.2446815,-0.4877983,-0.3840599,-0.1037384
42,1.4056215,1.3038031,"('unreliable', 'reliable')",0.8027853,0.77995455,-2.1815293,-2.2273977,0.0089592,-0.04788,0.0568392
60,1.3965623,1.3152514,"('inefficient', 'efficient')",-1.3973852,-1.3557949,0.18310642,0.4909599,0.0607612,0.1501388,-0.0893776
14,1.2609056,1.1627914,"('antisocial', 'social')",-1.1054004,-1.2204674,-0.85818654,-0.68541926,-0.2342271,-0.2476984,0.0134713
66,-1.2346567,-1.4707196,"('inactive', 'active')",-0.0873955,-0.3342411,0.8821526,0.62303436,-0.1466332,-0.3939755,0.2473423
62,1.2234284,1.2279656,"('incompetent', 'brilliant')",-1.0629921,-0.93937546,0.25044915,0.5234573,0.1369618,0.2706825,-0.1337207
16,-1.2051498,-1.2225803,"('unpopular', 'popular')",-0.19654447,-0.27145967,0.50765485,0.34111267,-0.2980132,-0.3843091,0.0862959
56,1.1460309,1.1286021,"('impractical', 'practical')",-0.42249173,-0.44742352,-0.20521954,0.1284894,0.1727732,0.2698894,-0.0971162
27,-1.1193905,-1.0932542,"('hardhearted', 'softhearted')",-0.5278456,-0.50865006,1.5810751,1.4698913,-0.0220537,-0.0440043,0.0219506
81,1.1114655,0.9380779,"('submissive', 'aggressive')",-0.39769137,-0.51798475,-0.8363633,-0.8202032,-0.0408631,-0.13337,0.0925069
7,1.0997939,0.9895131,"('insensitive', 'sensitive')",-0.4780865,-0.5433222,0.84926516,0.89069754,0.4903242,0.4456295,0.0446947
