,burlington_male,burlington_female,tuple,northern_male,northern_female,santa_male,santa_female,fe_male,fe_female,cp_male,cp_female,average_male,average_female,male-female
71,2.158793,2.23837,"('diffident', 'self-confident')",1.3861897,1.3614467,-0.23796624,-0.18693705,0.99500775,0.94404787,0.9705131,0.9520463,1.0545074,1.0617948,-0.0072874
18,-1.550897,-1.0784519,"('disagreeable', 'welcoming')",-0.5004092,-0.39194447,0.5567388,0.694963,-0.09041193,-0.03776965,-0.33605793,-0.30562627,-0.3842074,-0.2237659,-0.1604415
41,-1.4789417,-0.99125725,"('unforgiving', 'forgiving')",-1.0276192,-0.70551085,-1.128335,-0.8391996,-0.7343268,-0.5549576,-0.018147424,-0.07596011,-0.877474,-0.6333771,-0.2440969
49,-1.4652805,-1.3848257,"('unable', 'able')",-1.7585193,-1.6153531,-1.2777184,-1.0959567,-1.3895257,-1.278368,-0.40029204,-0.2586389,-1.2582671,-1.1266285,-0.1316386
31,-1.419565,-0.23624465,"('evil', 'good')",-0.92979,-0.5602474,0.25924006,0.3930829,0.3159161,0.3673522,-0.57689553,-0.78986776,-0.4702188,-0.165185,-0.3050338
63,1.3147086,0.97556025,"('unperceptive', 'insightful')",0.22155355,0.17850374,-1.4406244,-1.319255,0.002445057,0.026562277,-0.22742891,-0.035369627,-0.0258692,-0.0347997,0.0089305
80,1.286321,0.25385633,"('dominated', 'dominating')",0.45786244,0.07288378,-0.59071785,-0.6984035,-0.72191334,-0.7827854,-1.4023354,-1.1938133,-0.1941566,-0.4696524,0.2754958
77,-1.2624072,-1.6753126,"('unmotivated', 'motivated')",-0.28231856,-0.5108063,-1.3655457,-1.5334046,-0.30151984,-0.43442538,-1.7171886,-1.5739245,-0.985796,-1.1455748,0.1597788
75,-1.2180614,-0.6604437,"('meek', 'impulsive')",-0.03285516,0.15311219,1.1906945,1.2463863,0.16014619,0.18319929,-0.30960098,-0.34490058,-0.0419354,0.1154707,-0.1574061
54,-1.1370617,-0.86916405,"('incapable', 'capable')",-1.3105493,-1.2925183,-0.2803121,-0.18409094,-0.93555284,-0.907975,1.0403892,1.1603034,-0.5246173,-0.418689,-0.1059283
68,-1.0768877,-1.1506271,"('dependent', 'independent')",-0.8587624,-0.9185355,-0.53218025,-0.51734465,-1.1670376,-1.2230545,-1.5408726,-1.5068239,-1.0351481,-1.0632771,0.028129
12,0.9399274,0.9282168,"('unsupportive', 'supportive')",0.24422927,0.19591358,-1.1597341,-0.9992982,-0.8279153,-0.7653731,-1.8250285,-1.665031,-0.5257043,-0.4611144,-0.0645899
8,-0.8903009,-0.25415447,"('unaffectionate', 'affectionate')",-0.4602998,-0.24650368,-1.0205187,-0.7425621,0.123342246,0.27907446,1.5466924,1.367025,-0.140217,0.0805758,-0.2207928
51,0.8802585,0.40304232,"('uneducated', 'educated')",-0.15887576,-0.18297967,-1.1112208,-1.17637,-0.4235471,-0.43657374,-0.2688209,0.024814941,-0.2164412,-0.2736132,0.057172
