,dell_male,dell_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
81,-2.6408637,-2.2588162,"('submissive', 'aggressive')",-0.53639925,0.3090726,-1.230785,-0.512065,-1.4693492,-0.8206029,-0.6487463
71,2.2921224,2.2094712,"('diffident', 'self-confident')",0.88333493,0.8896785,0.5425039,0.34255058,1.2393204,1.1472334,0.092087
9,2.2639687,1.9567504,"('unaffectionate', 'caring')",0.83109266,0.655514,1.3498048,1.1778626,1.4816221,1.2633757,0.2182464
85,2.2578535,1.8993998,"('insignificant', 'prestigious')",1.2140551,0.4575292,1.0078125,0.19640526,1.4932404,0.8511113,0.6421291
26,2.1836956,1.6407495,"('hardhearted', 'benevolent')",0.8847019,0.48689577,1.9182476,1.3378364,1.6622151,1.1551606,0.5070545
1,2.1688194,1.483587,"('unfriendly', 'friendly')",0.60980356,0.18715355,1.7940701,1.3264818,1.5242311,0.9990741,0.525157
8,2.1445138,1.6857169,"('unaffectionate', 'affectionate')",0.64153093,0.2900248,0.7608284,0.53362966,1.182291,0.8364571,0.3458339
76,-2.05531,-1.5963984,"('anxious', 'daring')",-1.3386475,-0.57968664,-0.3232833,0.16947316,-1.2390803,-0.6688706,-0.5702097
42,-1.8037815,-1.5765222,"('unreliable', 'reliable')",-2.2370472,-1.4985971,-3.0835917,-2.7681003,-2.3748067,-1.9477399,-0.4270668
45,-1.7877923,-1.8472136,"('incompetent', 'competent')",-1.5168433,-1.0525769,-0.97181726,-0.7215771,-1.4254843,-1.2071226,-0.2183617
64,-1.6399148,-1.671295,"('shy', 'confident')",-1.1474277,-0.9766496,-5.748377,-6.0155473,-2.8452396,-2.8878307,0.0425911
44,-1.5945046,-1.187263,"('prejudiced', 'unprejudiced')",-0.18318993,-0.16245793,-1.009065,-0.9582956,-0.9289198,-0.7693388,-0.159581
80,-1.586675,-1.2323849,"('dominated', 'dominating')",-0.46557653,-0.082880385,-1.3996106,-1.1296055,-1.1506208,-0.814957,-0.3356638
70,-1.5813919,-1.2678131,"('lethargic', 'energetic')",-1.3909057,-0.6514208,-0.00154192,0.7048719,-0.9912798,-0.4047873,-0.5864925
10,-1.5439179,-1.6317294,"('unsympathetic', 'sympathetic')",-1.4147542,-0.98309106,-0.75769746,-0.3473161,-1.2387899,-0.9873788,-0.2514111
13,-1.5233967,-1.262129,"('impolite', 'polite')",-1.3583248,-0.95915765,-0.62551314,-0.34205058,-1.1690782,-0.8544457,-0.3146325
36,1.4188752,0.8127884,"('hostile', 'amicable')",0.7092259,-0.4733684,0.9596996,0.019075267,1.0292669,0.1194984,0.9097685
57,-1.3657049,-1.6665522,"('unimaginative', 'imaginative')",-0.31940368,-0.15349597,-2.2695208,-2.5861225,-1.3182098,-1.4687236,0.1505138
33,1.3598101,1.1208104,"('wrong', 'right')",0.69573766,0.4444239,-0.40686214,-0.6878443,0.5495619,0.2924633,0.2570986
65,-1.3426708,-1.4153326,"('insecure', 'secure')",-0.88701564,-0.8204057,-0.8129594,-0.40712762,-1.0142153,-0.8809553,-0.13326
84,1.3252431,1.2555113,"('inferior', 'superior')",0.55038357,0.48901585,0.9299335,0.76737326,0.9351867,0.8373001,0.0978866
46,-1.3219048,-1.0422779,"('uncompetitive', 'competitive')",-0.7514253,-0.06554658,-0.6568441,-0.4638245,-0.9100581,-0.523883,-0.3861751
39,1.3158896,1.2605445,"('exploitative', 'cooperative')",0.60429025,0.5495654,-0.063974604,-0.18083261,0.6187351,0.5430924,0.0756427
82,-1.2808539,-1.068078,"('poor', 'rich')",-0.2028054,0.15037975,5.2638917,5.978981,1.2600775,1.6870942,-0.4270167
22,-1.2472453,-1.1648647,"('untrustworthy', 'trustworthy')",-0.9928225,-0.65120673,-1.1694642,-0.8867844,-1.1365107,-0.9009519,-0.2355588
68,-1.2156719,-1.192795,"('dependent', 'independent')",-0.44116232,-0.41032156,-0.6497101,-0.52885854,-0.7688481,-0.7106584,-0.0581897
52,1.2101812,0.55574375,"('irrational', 'rational')",0.8430307,-0.25539505,0.28921762,-0.4362522,0.7808099,-0.0453012,0.8261111
83,1.1954839,1.2307949,"('powerless', 'powerful')",0.6480153,0.7172655,-0.6461714,-0.65048146,0.3991093,0.4325263,-0.033417
25,1.1943403,1.0425687,"('egoistic', 'altruistic')",0.86078787,0.40723714,1.5462179,1.2687701,1.2004487,0.906192,0.2942567
51,-1.1081207,-1.0302451,"('uneducated', 'educated')",-0.6122428,-0.3775573,0.39764097,0.445876,-0.4409075,-0.3206421,-0.1202654
53,1.1038437,0.8294354,"('uncreative', 'creative')",0.67610973,0.55006003,0.9957741,0.74892825,0.9252425,0.7094746,0.2157679
62,-1.102277,-0.5469072,"('incompetent', 'brilliant')",-0.18496607,0.6558914,-0.44496062,0.3451832,-0.5774012,0.1513891,-0.7287903
3,-1.0994568,-1.199828,"('repellent', 'pleasant')",-0.25120643,-0.22241706,-0.13928987,-0.14655316,-0.496651,-0.5229327,0.0262817
6,1.0849198,0.9867642,"('distant', 'open')",-0.38563603,-0.46325362,0.5895648,0.43088543,0.4296162,0.318132,0.1114842
5,1.0152265,0.9954399,"('distant', 'outgoing')",-0.40546644,-0.3178345,-0.17839661,-0.264131,0.1437878,0.1378248,0.005963
69,0.99649435,0.9436714,"('lazy', 'industrious')",1.0824292,0.89711946,-0.15686595,-0.5857914,0.6406858,0.4183331,0.2223527
55,-0.99587584,-0.85420203,"('incompetent', 'clever')",-0.42018658,0.021338355,-0.4963479,-0.3266962,-0.6374701,-0.3865199,-0.2509502
15,0.9945488,0.86274993,"('boring', 'funny')",0.021710558,-0.10770863,0.4080009,0.20721349,0.4747534,0.3207516,0.1540018
60,-0.9690779,-0.6627072,"('inefficient', 'efficient')",0.09562585,0.89831764,-0.34077975,0.2433604,-0.4047439,0.1596569,-0.5644008
66,-0.9118734,-0.60114586,"('inactive', 'active')",-0.47791964,-0.693123,1.0746812,0.7759991,-0.1050373,-0.1727566,0.0677193
21,-0.8963095,-0.97426546,"('immoral', 'moral')",-0.41308397,-0.19003394,-1.2620417,-1.2099524,-0.857145,-0.7914173,-0.0657277
12,0.8814656,0.7936357,"('unsupportive', 'supportive')",0.24295986,0.8139158,-1.6796509,-1.7259479,-0.1850752,-0.0394654,-0.1456098
86,0.8811921,0.47878313,"('uninfluential', 'influential')",-0.055712022,-0.04282604,-0.26328027,-0.4366226,0.1873999,-0.0002218,0.1876217
