,home_male,home_female,tuple,depot_male,depot_female,inc_male,inc_female,average_male,average_female,male-female
73,1.4851911,1.5674397,"('helpless', 'self-reliant')",0.57192457,0.63212615,-3.303166,-3.2045553,-0.4153501,-0.3349965,-0.0803536
49,-1.4296608,-1.1880128,"('unable', 'able')",-1.032144,-0.8605752,-0.21631348,0.047810204,-0.8927061,-0.6669259,-0.2257802
53,-1.4295857,-1.3176525,"('uncreative', 'creative')",-1.1349623,-1.1083542,0.9633463,1.0082091,-0.5337339,-0.4725992,-0.0611347
77,-1.4211006,-1.5035048,"('unmotivated', 'motivated')",0.24145368,0.37636495,-1.4029977,-1.4264175,-0.8608816,-0.8511858,-0.0096958
36,-1.2012805,-1.227093,"('hostile', 'amicable')",-1.2813709,-1.2279207,-0.6573341,-0.27501565,-1.0466618,-0.9100098,-0.136652
20,-1.1609504,-0.5796623,"('rough', 'thoughtful')",-0.5053616,0.13656624,0.6838689,0.76146674,-0.327481,0.1061235,-0.4336045
66,-1.0990589,-1.0208331,"('inactive', 'active')",-1.5745407,-1.4657587,-0.035549518,0.1543075,-0.9030497,-0.7774281,-0.1256216
68,-0.9918868,-0.831591,"('dependent', 'independent')",-0.9243132,-0.82366776,-0.40263307,-0.48932388,-0.7729443,-0.7148609,-0.0580834
10,-0.94641393,-0.74206406,"('unsympathetic', 'sympathetic')",-0.6727551,-0.6156734,0.1501866,-0.20355672,-0.4896608,-0.5204314,0.0307706
57,-0.93715763,-0.96972764,"('unimaginative', 'imaginative')",-1.0575694,-1.1261085,-2.6774437,-2.8241258,-1.5573902,-1.6399873,0.0825971
33,0.9353203,0.97290486,"('wrong', 'right')",0.2874673,0.26984662,-0.5525916,-0.37774354,0.2233987,0.288336,-0.0649373
67,0.9156313,0.764051,"('doubtful', 'determined')",0.29649833,0.09565442,-0.6980576,-0.64693004,0.1713573,0.0709251,0.1004322
5,-0.8735432,-0.6815468,"('distant', 'outgoing')",-0.5968926,-0.67373484,-0.33012068,0.0906844,-0.6001855,-0.4215324,-0.1786531
3,-0.7997854,-0.807471,"('repellent', 'pleasant')",-0.19901988,0.027131569,0.54331815,0.389951,-0.151829,-0.1301295,-0.0216995
40,0.7651653,0.73432094,"('stingy', 'generous')",0.6280537,0.65376186,-1.3457118,-1.4386921,0.0158357,-0.0168698,0.0327055
59,0.7313658,0.6698459,"('foolish', 'wise')",-0.17715245,-0.2359775,0.07945834,0.38452828,0.2112239,0.2727989,-0.061575
12,0.71006376,0.8650095,"('unsupportive', 'supportive')",0.2084811,0.35466123,-1.3784262,-1.3899148,-0.1532938,-0.056748,-0.0965458
13,0.66962403,0.7483403,"('impolite', 'polite')",1.1099918,1.1857346,-0.18127874,-0.41796276,0.5327791,0.5053707,0.0274084
34,-0.6518532,-0.23295397,"('mean', 'honorable')",0.4215485,0.71181524,6.039317,6.2797613,1.9363375,2.2528742,-0.3165367
6,-0.6435699,-0.30481067,"('distant', 'open')",-0.8292996,-0.8558053,0.15363726,0.59469235,-0.4397441,-0.1886412,-0.2511029
86,-0.6141085,-0.9442994,"('uninfluential', 'influential')",-0.3336447,-0.43307316,0.31133777,0.09978991,-0.2121385,-0.4258609,0.2137224
37,0.6129552,0.81811285,"('fake', 'genuine')",0.2166002,0.4169481,0.8445698,0.8677079,0.5580417,0.700923,-0.1428813
39,0.60987324,1.11825,"('exploitative', 'cooperative')",0.8031913,1.0189381,0.21033223,0.30793265,0.5411323,0.8150402,-0.2739079
32,0.5990547,0.6005642,"('unkind', 'kind')",0.31831747,0.2151024,1.5551354,1.425975,0.8241692,0.7472138,0.0769554
26,0.5916301,0.5477791,"('hardhearted', 'benevolent')",1.1862819,1.255026,1.1745274,1.2769314,0.9841464,1.0265788,-0.0424324
