,cms_male,cms_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,male-female
8,-2.2633817,-2.0048454,"('unaffectionate', 'affectionate')",-1.1502551,-0.6313662,-0.5333531,-0.55045795,-1.3156633,-1.0622232,-0.2534401
1,-2.110762,-1.8829024,"('unfriendly', 'friendly')",-0.22389759,0.18741561,0.25352722,0.2960539,-0.6937108,-0.4664776,-0.2272332
6,-2.0736473,-1.695283,"('distant', 'open')",-0.9903294,-0.6884641,-2.0183663,-1.8211387,-1.6941144,-1.4016287,-0.2924857
26,-1.5976582,-1.3569235,"('hardhearted', 'benevolent')",0.053321578,0.48993403,0.6900552,1.2250423,-0.2847605,0.119351,-0.4041115
31,-1.4814341,-1.1239474,"('evil', 'good')",-1.9851365,-1.6860099,-2.1773872,-2.24937,-1.8813194,-1.6864424,-0.194877
39,1.4728253,1.6201684,"('exploitative', 'cooperative')",0.2870876,0.32602352,-0.16108282,0.10016085,0.5329433,0.6821176,-0.1491743
56,1.433375,1.0625865,"('impractical', 'practical')",2.1063051,1.7732074,0.39394328,0.32259846,1.3112078,1.0527975,0.2584103
57,-1.394764,-1.315694,"('unimaginative', 'imaginative')",0.6871457,0.9275654,-2.8751097,-2.3987787,-1.1942426,-0.9289691,-0.2652735
9,-1.3941343,-1.2071979,"('unaffectionate', 'caring')",0.022130696,0.38922533,0.21795681,0.4176314,-0.3846823,-0.1334471,-0.2512352
36,-1.3427376,-1.1569092,"('hostile', 'amicable')",-1.3080738,-0.7103745,-0.84869164,-1.0048865,-1.166501,-0.9573901,-0.2091109
18,-1.3360686,-1.1529539,"('disagreeable', 'welcoming')",-1.057269,-0.87166524,-1.0253724,-0.8109651,-1.1395701,-0.9451947,-0.1943754
21,1.3304781,1.1727585,"('immoral', 'moral')",1.9754194,1.921941,0.42298678,0.5169814,1.2429614,1.2038936,0.0390678
86,-1.2141737,-1.1159728,"('uninfluential', 'influential')",0.38536283,0.649255,-0.64321786,-0.4606476,-0.4906762,-0.3091218,-0.1815544
5,-1.2021757,-1.0098678,"('distant', 'outgoing')",-0.0790167,0.052644372,-1.6530149,-1.5732385,-0.9780691,-0.8434873,-0.1345818
67,1.1643851,1.1271782,"('doubtful', 'determined')",0.36743832,0.18411948,-0.22385545,-0.4335727,0.4359893,0.292575,0.1434143
76,1.1631986,1.1926147,"('anxious', 'daring')",0.12243316,0.18579122,0.71233857,1.0006928,0.6659901,0.793033,-0.1270429
73,1.151921,1.0684881,"('helpless', 'self-reliant')",1.1066866,1.2899354,-3.7455993,-3.605792,-0.4956639,-0.4157895,-0.0798744
11,1.1078279,0.6310141,"('unhelpful', 'helpful')",1.0857027,0.6820009,2.640515,2.4035459,1.6113485,1.2388536,0.3724949
27,-1.0691593,-0.77695864,"('hardhearted', 'softhearted')",-0.323027,0.047687296,0.05229858,0.3850599,-0.4466292,-0.1147372,-0.331892
53,-1.0646361,-0.6882151,"('uncreative', 'creative')",0.25894684,0.74520016,0.39732987,0.49392655,-0.1361198,0.1836372,-0.319757
2,1.0312402,0.88902867,"('unlikable', 'likable')",1.4992051,1.5576882,1.0690416,1.0303615,1.1998289,1.1590261,0.0408028
30,1.0180213,1.0283813,"('intolerant', 'tolerant')",1.5288718,1.513773,0.926086,0.99634933,1.1576597,1.1795012,-0.0218415
