,ch_male,ch_female,tuple,robinson_male,robinson_female,worldwide_male,worldwide_female,inc_male,inc_female,average_male,average_female,male-female
60,5.3878837,5.4953527,"('inefficient', 'efficient')",2.4421937,2.1372857,1.4280612,1.4573164,0.59289753,0.639867,2.462759,2.4324553,0.0303037
55,4.8127346,4.569404,"('incompetent', 'clever')",0.6422828,0.22609833,-0.12946194,-0.14320982,-0.14143011,-0.16371787,1.2960315,1.1221437,0.1738878
35,-4.548749,-4.551169,"('corrupt', 'incorrupt')",-0.5249731,-0.20474774,-0.6793015,-0.7506302,-0.596686,-0.5326608,-1.5874273,-1.509802,-0.0776253
6,-4.2706842,-4.1900644,"('distant', 'open')",-1.8331404,-1.3137753,-0.9424457,-0.93073547,0.05728617,0.08375764,-1.747246,-1.5877044,-0.1595416
46,4.2695947,3.9928596,"('uncompetitive', 'competitive')",1.5359416,1.045782,1.1209178,0.9863079,0.31488052,0.33529618,1.8103336,1.5900614,0.2202722
31,-4.1687818,-4.1863365,"('evil', 'good')",-1.7784429,-1.5603781,-0.57474595,-0.59355223,-1.5189207,-1.4289677,-2.0102229,-1.9423087,-0.0679142
36,-4.0059333,-3.965413,"('hostile', 'amicable')",-0.7015251,-0.37411985,-0.56852835,-0.38533553,-0.27849093,-0.21544355,-1.3886194,-1.235078,-0.1535414
62,3.8895543,3.6435714,"('incompetent', 'brilliant')",0.32436782,-0.09224859,1.4025851,1.2165725,0.7684698,0.5920768,1.5962442,1.339993,0.2562512
85,-3.8348703,-3.7493103,"('insignificant', 'prestigious')",-0.84500325,-0.70053613,-0.92898154,-0.84456575,0.36484087,0.5148492,-1.3110036,-1.1948907,-0.1161129
65,3.8140926,3.8256533,"('insecure', 'secure')",1.3551489,1.3367778,0.83735406,0.92813736,-0.06574575,-0.18906614,1.4852124,1.4753757,0.0098367
10,3.803822,3.6469862,"('unsympathetic', 'sympathetic')",0.97830784,0.41493523,-0.5261534,-0.39315534,0.034991324,0.19006358,1.0727419,0.9647074,0.1080345
21,3.6558173,3.5468657,"('immoral', 'moral')",1.4219894,1.171284,0.516183,0.67775226,-0.41475633,-0.3671864,1.2948083,1.2571788,0.0376295
70,3.5815206,3.5734255,"('lethargic', 'energetic')",1.4908447,1.2194337,0.24128531,0.21436803,1.1055453,0.9246377,1.604799,1.4829662,0.1218328
81,3.562928,3.5726264,"('submissive', 'aggressive')",-0.24500576,-0.60464925,0.42835468,0.2363351,-0.23161301,-0.3840248,0.878666,0.7050718,0.1735942
79,-3.5258632,-3.4782119,"('wavering', 'unwavering')",-0.6061452,-0.3581345,-0.5054857,-0.5534267,0.27953193,0.118907966,-1.0894905,-1.0677162,-0.0217743
0,3.419967,3.25233,"('unsociable', 'sociable')",1.0727949,0.87474155,0.4656569,0.55242306,-0.3438965,-0.40751207,1.1536305,1.0679955,0.085635
14,3.4013565,3.2383375,"('antisocial', 'social')",1.1564745,0.79134476,1.3989322,1.3369219,-0.41635236,-0.66566813,1.3851027,1.175234,0.2098687
52,-3.2855825,-3.1107304,"('irrational', 'rational')",-1.253772,-0.96872675,-0.68448824,-0.63155407,-0.1273603,-0.05864723,-1.3378007,-1.1924146,-0.1453861
5,-3.205912,-3.2448292,"('distant', 'outgoing')",-1.197998,-0.7637885,0.056155868,-0.14039005,-0.05982855,-0.120885745,-1.1018958,-1.0674734,-0.0344224
43,3.1805623,3.0975618,"('irresponsible', 'responsible')",2.1626403,1.9095432,1.1480557,1.2934815,0.96660143,1.1383936,1.8644649,1.859745,0.0047199
56,3.1633837,3.0618181,"('impractical', 'practical')",2.647997,2.3872502,1.6281787,1.5343515,0.53940415,0.44819266,1.9947407,1.857903,0.1368377
23,3.0826213,3.0922916,"('insincere', 'sincere')",1.2897627,0.9079474,0.8509122,1.1044639,5.829716,5.6068387,2.7632532,2.6778855,0.0853677
69,-3.0317237,-2.9272947,"('lazy', 'industrious')",-0.20002666,0.077303156,0.95476216,0.77213025,-0.13251716,-0.2916358,-0.6023763,-0.5923743,-0.010002
4,-2.9509528,-3.0502882,"('disliked', 'liked')",-1.2477115,-1.2048532,0.0052490067,-0.396291,-5.751043,-5.764665,-2.4861145,-2.6040244,0.1179099
76,2.8849323,2.736553,"('anxious', 'daring')",0.79313314,0.5300673,1.2365645,1.1114515,0.7507899,0.655983,1.4163549,1.2585137,0.1578412
80,2.7772415,2.6541262,"('dominated', 'dominating')",0.87968063,0.36413452,0.6034128,0.32647094,-0.8354868,-1.039474,0.856212,0.5763144,0.2798976
74,2.7133906,2.644576,"('undedicated', 'dedicated')",1.690654,1.4252509,1.4183273,1.302175,0.48949137,0.55574876,1.5779659,1.4819378,0.0960281
39,2.6162324,2.5617123,"('exploitative', 'cooperative')",2.7648034,2.6959276,1.5093828,1.5815067,0.3050547,0.37607074,1.7988683,1.8038044,-0.0049361
86,2.5952,2.4494934,"('uninfluential', 'influential')",-0.098198466,-0.31349635,-0.09984772,-0.23206829,-0.3133263,-0.42997333,0.5209569,0.3684888,0.1524681
