,medco_male,medco_female,tuple,health_male,health_female,solutions_male,solutions_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.5914738,-1.2627519,"('unfriendly', 'friendly')",1.3789829,1.642306,0.22121517,0.73264945,1.7646757,2.224398,0.44335,0.8341503,-0.3908003
57,-1.5140598,-1.6251491,"('unimaginative', 'imaginative')",-0.25551078,-0.34651563,-0.68995667,-0.7910035,-2.4108777,-2.6947024,-1.2176013,-1.3643427,0.1467414
8,-1.3813702,-1.3069738,"('unaffectionate', 'affectionate')",0.11941227,0.3107543,-1.686424,-1.3795651,0.2640292,0.55780053,-0.6710882,-0.454496,-0.2165922
10,-1.381124,-1.5400822,"('unsympathetic', 'sympathetic')",-0.4254215,-0.43842408,-0.059383135,-0.1258592,-0.15904465,-0.461952,-0.5062433,-0.6415794,0.1353361
53,-1.3776567,-1.333588,"('uncreative', 'creative')",-0.57725006,-0.45422095,-0.49238518,-0.2549615,0.9456176,1.1914579,-0.3754185,-0.2128281,-0.1625904
86,-1.346831,-1.4290434,"('uninfluential', 'influential')",-0.18029436,-0.2915408,-0.7446917,-0.80839896,0.0081841,-0.1328255,-0.5659083,-0.6654521,0.0995438
58,-1.3116997,-1.3846955,"('undiscriminating', 'discriminating')",-1.1646149,-1.1782508,-0.48893124,-0.42521864,-0.12786597,-0.25350243,-0.7732779,-0.8104168,0.0371389
69,1.2740523,1.5421686,"('lazy', 'industrious')",0.98178893,1.286937,1.4663019,1.7702832,-0.082687855,0.33662173,0.9098638,1.2340027,-0.3241389
23,-1.2460876,-1.455177,"('insincere', 'sincere')",0.07665977,0.049682837,1.1465551,1.0498679,5.0275145,4.745811,1.2511604,1.0975462,0.1536142
65,-1.109057,-1.3756448,"('insecure', 'secure')",-1.3625333,-1.606835,-0.07744513,-0.44697738,-0.16562468,-0.5352682,-0.678665,-0.9911814,0.3125164
28,-1.043733,-0.9072573,"('disloyal', 'loyal')",-0.10846709,-0.030663364,-0.2075527,-0.04961367,0.9341297,1.0504073,-0.1064058,0.0157182,-0.122124
39,0.9459729,0.92475927,"('exploitative', 'cooperative')",0.25459263,0.40255278,1.3121871,1.3500663,0.12745638,0.033393107,0.6600522,0.6776928,-0.0176406
45,-0.93396926,-1.0125464,"('incompetent', 'competent')",0.06820138,0.016791273,0.6515037,0.50438267,-0.08293092,-0.4577762,-0.0742988,-0.2372872,0.1629884
7,-0.93291265,-0.99940944,"('insensitive', 'sensitive')",-0.30452412,-0.24724217,0.43836984,0.46891594,0.5085069,0.37780067,-0.07264,-0.0999838,0.0273438
0,-0.92683244,-0.92899644,"('unsociable', 'sociable')",0.17212227,-0.009037282,0.3102647,0.13141394,-0.44630575,-0.82755685,-0.2226878,-0.4085442,0.1858564
42,0.9224686,0.9980959,"('unreliable', 'reliable')",1.8913356,2.117712,1.1558768,1.3316069,-2.1981559,-2.2703807,0.4428812,0.5442585,-0.1013773
82,-0.9123734,-0.9825882,"('poor', 'rich')",-0.45014656,-0.6002241,-0.38274658,-0.49152923,5.8300905,5.8609643,1.021206,0.9466557,0.0745503
2,0.8379708,0.63577783,"('unlikable', 'likable')",1.2961084,1.081839,1.537181,1.5299218,1.1098968,1.0920875,1.1952893,1.0849066,0.1103827
54,-0.8371061,-0.62554157,"('incapable', 'capable')",0.5200173,0.66228807,0.27269155,0.51050615,1.0010663,1.2971983,0.2391673,0.4611127,-0.2219454
43,-0.8298041,-0.8731261,"('irresponsible', 'responsible')",1.3024201,1.4328063,0.23128599,0.25678778,0.40447187,0.27301824,0.2770935,0.2723715,0.004722
55,-0.7979239,-1.0316194,"('incompetent', 'clever')",-1.325642,-1.5946954,-0.14277884,-0.5044625,-0.12161836,-0.62841225,-0.5969908,-0.9397974,0.3428066
20,-0.7949545,-0.86572546,"('rough', 'thoughtful')",-0.5042738,-0.5665482,0.5257688,0.5226525,0.69724876,0.67887694,-0.0190527,-0.057686,0.0386333
14,-0.7837651,-0.97243303,"('antisocial', 'social')",-0.33132866,-0.31565472,0.022456173,-0.16108109,-0.9023941,-1.4733598,-0.4987579,-0.7306322,0.2318743
63,-0.7738893,-0.86261696,"('unperceptive', 'insightful')",0.89650244,0.8701298,1.9717757,2.0520082,1.3650283,1.220194,0.8648542,0.8199288,0.0449254
27,-0.7653513,-0.7314951,"('hardhearted', 'softhearted')",0.59411263,0.8516248,0.7085099,0.90197897,1.5851313,1.81213,0.5306007,0.7085596,-0.1779589
9,-0.7417933,-0.5449787,"('unaffectionate', 'caring')",1.3766854,1.590576,0.36597592,0.75731623,1.1101946,1.3776257,0.5277656,0.7951348,-0.2673692
88,-0.7345893,-0.6762252,"('low', 'eminent')",-0.21394794,-0.22273676,0.21964006,0.2899852,0.18313333,0.27946448,-0.136441,-0.0823781,-0.0540629
81,-0.713199,-0.9385947,"('submissive', 'aggressive')",0.14333574,-0.22789606,0.51400423,0.13877186,-0.38569057,-0.81070286,-0.1103874,-0.4596055,0.3492181
26,-0.70942163,-0.6762811,"('hardhearted', 'benevolent')",1.2130785,1.1726,0.92589134,1.1211098,1.3615263,1.6667764,0.6977686,0.8210513,-0.1232827
61,-0.708607,-0.6568088,"('illogical', 'logical')",-0.2833697,-0.20149188,0.8241199,0.75675994,0.14641067,0.069096595,-0.0053615,-0.008111,0.0027495
73,0.7059211,0.8026014,"('helpless', 'self-reliant')",1.1579659,1.1913201,-0.24334279,-0.08904705,-2.9835,-2.979818,-0.3407389,-0.2687359,-0.072003
71,0.6890925,0.8349877,"('diffident', 'self-confident')",2.8783352,2.9160035,1.9356538,2.1447399,0.83572435,0.84424037,1.5847014,1.6849928,-0.1002914
48,-0.6801389,-0.82123935,"('unintelligent', 'intelligent')",0.04343108,-0.11776331,-0.5069789,-0.69255316,0.43458858,0.31878096,-0.1772746,-0.3281937,0.1509191
68,-0.67738664,-0.6246802,"('dependent', 'independent')",-1.0839207,-1.0554049,0.050886326,-0.08750902,-0.37965086,-0.3958634,-0.522518,-0.5408644,0.0183464
72,-0.67670345,-0.45248637,"('unambitious', 'ambitious')",0.16426124,0.22003084,-1.1422651,-0.997023,-1.3162376,-1.177243,-0.7427362,-0.6016804,-0.1410558
41,-0.6441338,-0.5871702,"('unforgiving', 'forgiving')",0.61241627,0.4970479,0.86178756,0.9467329,0.6499543,0.5947497,0.3700061,0.3628401,0.007166
25,-0.6267222,-0.45071322,"('egoistic', 'altruistic')",0.15541288,0.18677029,0.46024394,0.59083444,1.256074,1.3534319,0.3112521,0.4200809,-0.1088288
52,-0.6246444,-0.5397815,"('irrational', 'rational')",0.23506023,0.3403551,-0.17793794,-0.15888554,-0.10875963,-0.09369799,-0.1690704,-0.1130025,-0.0560679
70,-0.61038744,-0.9226711,"('lethargic', 'energetic')",0.089433305,0.086706296,0.7160748,0.6064337,0.9029905,0.5127742,0.2745278,0.0708108,0.203717
22,-0.56267315,-0.7050684,"('untrustworthy', 'trustworthy')",0.11891346,-0.012379177,0.5349719,0.45033726,-0.80422753,-1.1529679,-0.1782538,-0.3550196,0.1767658
87,0.55109125,0.49226502,"('unsuccessful', 'successful')",0.23782687,0.2321175,0.92675,0.8495776,0.73082334,0.5419129,0.6116229,0.5289682,0.0826547
33,0.54162455,0.7691246,"('wrong', 'right')",1.0416564,1.1000385,1.1065582,1.435759,-0.40310535,-0.0026214644,0.5716835,0.8255752,-0.2538917
21,-0.5393494,-0.8473195,"('immoral', 'moral')",0.92461884,0.7262202,0.7063037,0.5381506,-0.43831077,-0.76931256,0.1633156,-0.0880653,0.2513809
67,0.52677906,0.577865,"('doubtful', 'determined')",-0.028850995,-0.010398742,0.757916,0.76088166,-0.4915417,-0.5177075,0.1910756,0.2026601,-0.0115845
49,-0.5187548,-0.4672963,"('unable', 'able')",-0.35221618,-0.21641505,0.31543392,0.36774236,-0.018781038,-0.014031814,-0.1435795,-0.0825002,-0.0610793
12,0.50788665,0.5081099,"('unsupportive', 'supportive')",2.9723308,3.2164454,1.8187394,2.1121745,-1.272622,-1.1053144,1.0065837,1.1828539,-0.1762702
18,-0.48973423,-0.43546733,"('disagreeable', 'welcoming')",-0.33869392,-0.33740523,0.11444643,0.21134058,-0.13636205,0.07516858,-0.212586,-0.1215909,-0.0909951
77,-0.48016334,-0.43556443,"('unmotivated', 'motivated')",-0.20410322,-0.24045114,0.82815415,0.79240733,-0.9998275,-1.0478017,-0.213985,-0.2328525,0.0188675
78,-0.4590646,-0.4480968,"('nonresilient', 'resilient')",1.4514647,1.6166071,1.9049958,2.003893,0.30578846,0.48620227,0.8007961,0.9146513,-0.1138552
