,conocophillips_male,conocophillips_female,tuple,average_male,average_female,male-female
10,-2.5249808,-2.6057055,"('unsympathetic', 'sympathetic')",-2.5249808,-2.6057055,0.0807247
69,2.1023097,2.1189208,"('lazy', 'industrious')",2.1023097,2.1189208,-0.0166111
57,-2.0005515,-1.9016438,"('unimaginative', 'imaginative')",-2.0005515,-1.9016438,-0.0989077
46,-1.9441174,-2.043408,"('uncompetitive', 'competitive')",-1.9441174,-2.0434079,0.0992905
45,-1.8936068,-1.7259926,"('incompetent', 'competent')",-1.8936068,-1.7259926,-0.1676142
55,-1.7201114,-1.8050249,"('incompetent', 'clever')",-1.7201114,-1.8050249,0.0849135
64,-1.616839,-1.349912,"('shy', 'confident')",-1.6168391,-1.349912,-0.2669271
70,-1.5220385,-1.3319616,"('lethargic', 'energetic')",-1.5220385,-1.3319616,-0.1900769
86,-1.4157856,-1.4153011,"('uninfluential', 'influential')",-1.4157856,-1.4153011,-0.0004845
43,-1.4031304,-1.3591459,"('irresponsible', 'responsible')",-1.4031304,-1.3591459,-0.0439845
85,1.3660067,1.2996833,"('insignificant', 'prestigious')",1.3660067,1.2996833,0.0663234
13,-1.3389056,-1.2482485,"('impolite', 'polite')",-1.3389056,-1.2482485,-0.0906571
5,1.3387766,1.438905,"('distant', 'outgoing')",1.3387766,1.438905,-0.1001284
12,-1.3013821,-1.1275111,"('unsupportive', 'supportive')",-1.3013821,-1.1275111,-0.173871
48,-1.2756582,-1.4503286,"('unintelligent', 'intelligent')",-1.2756582,-1.4503286,0.1746704
6,1.2594473,1.2494038,"('distant', 'open')",1.2594473,1.2494038,0.0100435
35,1.2164302,1.2239137,"('corrupt', 'incorrupt')",1.2164302,1.2239137,-0.0074835
81,-1.177738,-1.1172372,"('submissive', 'aggressive')",-1.177738,-1.1172372,-0.0605008
11,-1.1584656,-1.1667098,"('unhelpful', 'helpful')",-1.1584656,-1.1667098,0.0082442
0,-1.1119617,-1.2650924,"('unsociable', 'sociable')",-1.1119617,-1.2650924,0.1531307
33,1.0872281,1.2682252,"('wrong', 'right')",1.0872281,1.2682252,-0.1809971
30,-1.079043,-0.96709895,"('intolerant', 'tolerant')",-1.079043,-0.967099,-0.111944
65,-1.0711164,-1.2106247,"('insecure', 'secure')",-1.0711164,-1.2106247,0.1395083
4,-1.03017,-0.65967596,"('disliked', 'liked')",-1.03017,-0.659676,-0.370494
63,-1.0297018,-0.99439555,"('unperceptive', 'insightful')",-1.0297018,-0.9943956,-0.0353062
51,-1.0170147,-0.90494907,"('uneducated', 'educated')",-1.0170147,-0.9049491,-0.1120656
7,-1.0145595,-1.0046408,"('insensitive', 'sensitive')",-1.0145595,-1.0046408,-0.0099187
60,-1.0030919,-0.992501,"('inefficient', 'efficient')",-1.0030919,-0.992501,-0.0105909
62,-1.0022209,-0.9985639,"('incompetent', 'brilliant')",-1.0022209,-0.9985639,-0.003657
21,-0.99337363,-1.1275605,"('immoral', 'moral')",-0.9933736,-1.1275605,0.1341869
14,-0.9777705,-1.057809,"('antisocial', 'social')",-0.9777705,-1.057809,0.0800385
34,0.902499,0.80192655,"('mean', 'honorable')",0.902499,0.8019266,0.1005724
58,-0.8311637,-0.8367232,"('undiscriminating', 'discriminating')",-0.8311637,-0.8367232,0.0055595
79,0.8199358,0.7634348,"('wavering', 'unwavering')",0.8199358,0.7634348,0.056501
20,-0.81254387,-0.9588262,"('rough', 'thoughtful')",-0.8125439,-0.9588262,0.1462823
80,-0.80342263,-0.82185686,"('dominated', 'dominating')",-0.8034226,-0.8218569,0.0184343
76,-0.80076057,-0.9287655,"('anxious', 'daring')",-0.8007606,-0.9287655,0.1280049
56,-0.7925772,-0.7356592,"('impractical', 'practical')",-0.7925772,-0.7356592,-0.056918
28,-0.7774663,-0.9343521,"('disloyal', 'loyal')",-0.7774663,-0.9343521,0.1568858
36,0.7543078,0.6139438,"('hostile', 'amicable')",0.7543078,0.6139438,0.140364
82,0.7476368,0.52091914,"('poor', 'rich')",0.7476368,0.5209191,0.2267177
47,0.7403728,0.6232893,"('stupid', 'smart')",0.7403728,0.6232893,0.1170835
42,-0.73337716,-0.4629255,"('unreliable', 'reliable')",-0.7333772,-0.4629255,-0.2704517
2,0.7082938,0.61213547,"('unlikable', 'likable')",0.7082938,0.6121355,0.0961583
83,-0.70777714,-0.7082644,"('powerless', 'powerful')",-0.7077771,-0.7082644,0.0004873
25,0.69933426,0.48297495,"('egoistic', 'altruistic')",0.6993343,0.4829749,0.2163594
1,0.6731286,0.40806386,"('unfriendly', 'friendly')",0.6731286,0.4080639,0.2650647
77,-0.67184156,-0.772491,"('unmotivated', 'motivated')",-0.6718416,-0.772491,0.1006494
23,0.66151583,0.34681883,"('insincere', 'sincere')",0.6615158,0.3468188,0.314697
22,-0.6143892,-0.54409885,"('untrustworthy', 'trustworthy')",-0.6143892,-0.5440989,-0.0702903
84,-0.5768504,-0.44357458,"('inferior', 'superior')",-0.5768504,-0.4435746,-0.1332758
3,-0.5566464,-0.7043464,"('repellent', 'pleasant')",-0.5566464,-0.7043464,0.1477
31,0.5001829,0.5958938,"('evil', 'good')",0.5001829,0.5958938,-0.0957109
78,-0.47607225,-0.85743076,"('nonresilient', 'resilient')",-0.4760723,-0.8574308,0.3813585
59,0.4651404,0.57932484,"('foolish', 'wise')",0.4651404,0.5793248,-0.1141844
72,-0.46318558,-0.48903808,"('unambitious', 'ambitious')",-0.4631856,-0.4890381,0.0258525
32,0.4485941,0.25448072,"('unkind', 'kind')",0.4485941,0.2544807,0.1941134
41,-0.42075732,-0.4866839,"('unforgiving', 'forgiving')",-0.4207573,-0.4866839,0.0659266
49,-0.41856804,-0.5098738,"('unable', 'able')",-0.418568,-0.5098738,0.0913058
75,0.41398022,0.56290174,"('meek', 'impulsive')",0.4139802,0.5629017,-0.1489215
8,-0.40521675,-0.5756755,"('unaffectionate', 'affectionate')",-0.4052168,-0.5756755,0.1704587
61,-0.3690382,-0.42773002,"('illogical', 'logical')",-0.3690382,-0.42773,0.0586918
24,-0.35625875,-0.20021753,"('dishonest', 'honest')",-0.3562587,-0.2002175,-0.1560412
19,-0.35006592,-0.0339343,"('inhospitable', 'hospitable')",-0.3500659,-0.0339343,-0.3161316
44,0.32425368,0.3873715,"('prejudiced', 'unprejudiced')",0.3242537,0.3873715,-0.0631178
88,-0.31998748,-0.34090796,"('low', 'eminent')",-0.3199875,-0.340908,0.0209205
68,-0.3172468,-0.22249904,"('dependent', 'independent')",-0.3172468,-0.222499,-0.0947478
74,-0.31677186,-0.39549103,"('undedicated', 'dedicated')",-0.3167719,-0.395491,0.0787191
18,-0.29733253,-0.31837004,"('disagreeable', 'welcoming')",-0.2973325,-0.31837,0.0210375
66,0.2929654,0.24820621,"('inactive', 'active')",0.2929654,0.2482062,0.0447592
53,-0.29249287,-0.49292964,"('uncreative', 'creative')",-0.2924929,-0.4929296,0.2004367
39,0.25444698,0.32396019,"('exploitative', 'cooperative')",0.254447,0.3239602,-0.0695132
38,-0.25052842,-0.1267792,"('untruthful', 'truthful')",-0.2505284,-0.1267792,-0.1237492
50,0.23789221,0.17960075,"('clumsy', 'skillful')",0.2378922,0.1796007,0.0582915
37,-0.23264015,-0.1648474,"('fake', 'genuine')",-0.2326401,-0.1648474,-0.0677927
9,-0.22944763,-0.3704853,"('unaffectionate', 'caring')",-0.2294476,-0.3704853,0.1410377
52,0.22805631,0.25384971,"('irrational', 'rational')",0.2280563,0.2538497,-0.0257934
15,0.2220891,0.30847162,"('boring', 'funny')",0.2220891,0.3084716,-0.0863825
27,0.21436168,0.2804006,"('hardhearted', 'softhearted')",0.2143617,0.2804006,-0.0660389
26,0.16915435,0.07575953,"('hardhearted', 'benevolent')",0.1691543,0.0757595,0.0933948
29,-0.15437435,-0.12563795,"('unfair', 'fair')",-0.1543743,-0.1256379,-0.0287364
16,0.14337288,0.06998694,"('unpopular', 'popular')",0.1433729,0.0699869,0.073386
67,0.1277219,0.3935458,"('doubtful', 'determined')",0.1277219,0.3935458,-0.2658239
71,0.107723266,0.16863617,"('diffident', 'self-confident')",0.1077233,0.1686362,-0.0609129
54,0.099465206,0.089602344,"('incapable', 'capable')",0.0994652,0.0896023,0.0098629
87,0.08751689,0.1641723,"('unsuccessful', 'successful')",0.0875169,0.1641723,-0.0766554
40,0.07058826,0.014175238,"('stingy', 'generous')",0.0705883,0.0141752,0.0564131
17,0.05830348,0.1385093,"('nasty', 'nice')",0.0583035,0.1385093,-0.0802058
73,0.0043487027,0.27998888,"('helpless', 'self-reliant')",0.0043487,0.2799889,-0.2756402
