,smith_male,smith_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
16,-2.3846674,-2.2563007,"('unpopular', 'popular')",-0.19093935,-0.20059703,0.26229703,0.32998908,-0.7711032,-0.7089696,-0.0621336
56,2.0570974,1.7131606,"('impractical', 'practical')",1.331184,1.1119157,0.24094728,0.0038880408,1.2097429,0.9429882,0.2667547
84,1.812523,1.8912618,"('inferior', 'superior')",0.5493739,0.7099099,0.97732,1.0929694,1.1130723,1.2313804,-0.1183081
43,1.7298665,1.3451692,"('irresponsible', 'responsible')",0.5393191,0.5287492,0.69027966,0.6479894,0.9864884,0.8406359,0.1458525
52,-1.7183617,-1.486959,"('irrational', 'rational')",-0.673181,-0.50622207,-0.04231909,0.14503339,-0.8112872,-0.6160492,-0.195238
74,1.6814197,1.4870553,"('undedicated', 'dedicated')",0.87610835,0.8766276,0.6493258,0.49903563,1.0689513,0.9542395,0.1147118
55,1.5859562,1.1212128,"('incompetent', 'clever')",-0.47408232,-0.60055995,0.15514222,0.009239819,0.4223387,0.1766309,0.2457078
60,1.5504187,1.3023006,"('inefficient', 'efficient')",0.926979,0.8728408,0.35557592,0.28679982,0.9443245,0.8206471,0.1236774
36,-1.5222332,-1.4419708,"('hostile', 'amicable')",-0.012477543,-0.007657217,-0.18875879,-0.09173638,-0.5744898,-0.5137881,-0.0607017
75,-1.4892558,-1.5403512,"('meek', 'impulsive')",-0.17617966,-0.20183226,-0.6191979,-0.5357212,-0.7615445,-0.7593015,-0.002243
5,-1.4875422,-1.0368509,"('distant', 'outgoing')",-0.3360033,-0.15591048,-0.46031478,-0.20341885,-0.7612867,-0.4653934,-0.2958933
31,-1.4412811,-1.0642319,"('evil', 'good')",-0.45188951,-0.26174712,-1.3781078,-1.013737,-1.0904261,-0.7799053,-0.3105208
6,-1.4187654,-0.99956733,"('distant', 'open')",-0.57012624,-0.29836684,-0.22104773,0.042315736,-0.7366464,-0.4185395,-0.3181069
85,-1.4143804,-1.038649,"('insignificant', 'prestigious')",-0.70096976,-0.4485687,0.19161628,0.4517724,-0.6412446,-0.3451484,-0.2960962
39,1.3585151,1.6307132,"('exploitative', 'cooperative')",0.7182537,0.94915175,0.10286458,0.26683336,0.7265445,0.9488994,-0.2223549
79,-1.3484035,-1.2276428,"('wavering', 'unwavering')",-0.9145632,-0.79044724,-0.06869376,-0.017826281,-0.7772201,-0.6786388,-0.0985813
22,1.3454573,1.0292904,"('untrustworthy', 'trustworthy')",0.0729356,0.02660722,-0.82563424,-0.82574826,0.1975862,0.0767165,0.1208697
76,1.2900802,1.0575771,"('anxious', 'daring')",0.73904693,0.73691183,0.46906868,0.3276201,0.832732,0.7073696,0.1253624
34,-1.2484735,-1.2395548,"('mean', 'honorable')",0.43924844,0.32172146,5.594316,5.5030117,1.5950303,1.5283928,0.0666375
30,1.2385998,0.9557411,"('intolerant', 'tolerant')",0.5682059,0.5434755,1.0928258,1.075952,0.9665438,0.8583895,0.1081543
14,1.2292747,1.0443308,"('antisocial', 'social')",0.6708812,0.50957704,-0.4100041,-0.49997488,0.4967173,0.351311,0.1454063
51,1.220711,0.9657335,"('uneducated', 'educated')",0.090026334,-0.0133385025,0.6226499,0.4642676,0.6444624,0.4722209,0.1722415
2,1.1988449,1.1289146,"('unlikable', 'likable')",1.2468958,1.2429086,0.6064095,0.7160686,1.0173834,1.0292974,-0.011914
86,1.1853609,0.75799197,"('uninfluential', 'influential')",-0.27424332,-0.30318,-0.08285076,-0.25099522,0.2760889,0.0679389,0.20815
20,1.1839292,0.9701369,"('rough', 'thoughtful')",0.43208686,0.5095821,1.1212962,1.1234668,0.9124374,0.8677286,0.0447088
72,1.1633897,0.949388,"('unambitious', 'ambitious')",-0.5955192,-0.54104686,-1.0249826,-0.9901827,-0.1523707,-0.1939472,0.0415765
65,1.138547,0.8688223,"('insecure', 'secure')",0.17240079,0.001778163,-0.106673054,-0.27062666,0.4014249,0.1999913,0.2014336
12,1.1237004,0.88599765,"('unsupportive', 'supportive')",0.17387787,0.30850407,-1.140015,-1.1565107,0.0525211,0.0126637,0.0398574
35,-1.120222,-0.95972276,"('corrupt', 'incorrupt')",-0.7635857,-0.60790914,-0.7391172,-0.53058076,-0.8743083,-0.6994042,-0.1749041
70,1.0642792,0.77677923,"('lethargic', 'energetic')",0.5703487,0.53279746,0.9481649,0.7288241,0.8609309,0.679467,0.1814639
48,1.0635508,0.55028725,"('unintelligent', 'intelligent')",-0.35417753,-0.46274465,0.3764199,0.4073546,0.3619311,0.1649657,0.1969654
0,1.0547658,0.67203355,"('unsociable', 'sociable')",-0.015248504,-0.17488946,-0.23617579,-0.37432384,0.2677805,0.0409401,0.2268404
66,-0.9821502,-0.83024013,"('inactive', 'active')",0.71386653,0.6897875,1.0225376,1.0276186,0.251418,0.295722,-0.044304
41,0.98203754,0.80355155,"('unforgiving', 'forgiving')",0.028303549,0.087357946,-0.0063685067,0.055113263,0.3346575,0.3153409,0.0193166
46,0.97936493,0.3558665,"('uncompetitive', 'competitive')",0.45989835,0.31685987,0.14120637,-0.060170375,0.5268232,0.2041853,0.3226379
7,0.9694425,0.69331783,"('insensitive', 'sensitive')",-0.092244975,-0.057723932,0.81416726,0.6626468,0.5637883,0.4327469,0.1310414
49,-0.95679396,-0.83463573,"('unable', 'able')",-0.29359967,-0.24876547,-0.35025212,-0.28890488,-0.5335486,-0.4574354,-0.0761132
44,-0.9510339,-0.77408314,"('prejudiced', 'unprejudiced')",0.14958742,0.058914118,-1.3891574,-1.3881671,-0.7302012,-0.701112,-0.0290892
62,0.9471251,0.72709733,"('incompetent', 'brilliant')",0.63534504,0.5536405,0.46335557,0.45285955,0.6819419,0.5778658,0.1040761
18,-0.9314657,-1.07478,"('disagreeable', 'welcoming')",0.64000046,0.8282729,-0.6240823,-0.50895655,-0.3051825,-0.2518212,-0.0533613
24,0.8835613,0.61564195,"('dishonest', 'honest')",-0.15357146,-0.030010685,0.38839382,0.4694391,0.3727945,0.3516901,0.0211044
13,0.8356942,0.80777645,"('impolite', 'polite')",0.6720483,0.70193934,-0.055096395,-0.063278556,0.4842153,0.4821457,0.0020696
21,0.8066548,0.48834774,"('immoral', 'moral')",0.19707872,0.1442676,-0.4487162,-0.6389616,0.1850058,-0.0021154,0.1871212
88,-0.7678749,-1.0957627,"('low', 'eminent')",0.00924175,-0.083943866,0.3829437,0.3317785,-0.1252298,-0.2826427,0.1574129
37,0.76539916,0.13391826,"('fake', 'genuine')",-0.22142784,-0.36259967,0.28900167,0.18957481,0.2776577,-0.0130355,0.2906932
4,-0.73805606,-0.6806859,"('disliked', 'liked')",-0.13043904,-0.19394292,-5.6618257,-5.733641,-2.1767735,-2.2027566,0.0259831
64,0.63423705,0.6725514,"('shy', 'confident')",0.2201043,0.20697418,-5.3704705,-5.4521203,-1.5053763,-1.5241982,0.0188219
45,0.62144136,0.31100816,"('incompetent', 'competent')",0.08840379,-0.15289761,-0.22120216,-0.3419327,0.162881,-0.0612741,0.2241551
77,0.61085624,0.35350996,"('unmotivated', 'motivated')",-0.1278175,-0.12919827,-0.908998,-0.953471,-0.1419864,-0.2430531,0.1010667
73,0.59257483,0.652553,"('helpless', 'self-reliant')",0.43296242,0.54248697,-2.7801566,-2.7380753,-0.5848731,-0.5143451,-0.070528
