,tellabs_male,tellabs_female,tuple,inc_male,inc_female,average_male,average_female,male-female
36,-2.03373,-1.857795,"('hostile', 'amicable')",0.04335487,0.05953811,-0.9951876,-0.8991284,-0.0960592
60,1.8932385,1.6729649,"('inefficient', 'efficient')",0.40342215,0.43921894,1.1483303,1.0560919,0.0922384
53,-1.8080584,-1.6505703,"('uncreative', 'creative')",0.7303964,0.9251487,-0.538831,-0.3627108,-0.1761202
79,-1.7093904,-1.6570724,"('wavering', 'unwavering')",-0.054942794,-0.04260598,-0.8821666,-0.8498392,-0.0323274
6,-1.6937184,-1.3653183,"('distant', 'open')",-0.0912994,0.13571748,-0.8925089,-0.6148004,-0.2777085
19,-1.6847045,-1.5736072,"('inhospitable', 'hospitable')",-0.40890053,-0.2076103,-1.0468025,-0.8906087,-0.1561938
31,-1.6157224,-1.3345413,"('evil', 'good')",-1.0705272,-0.93177855,-1.3431249,-1.1331599,-0.209965
8,-1.5211564,-1.3660502,"('unaffectionate', 'affectionate')",0.46412095,0.6778517,-0.5285177,-0.3440993,-0.1844184
5,-1.4008038,-1.0479257,"('distant', 'outgoing')",-0.58982515,-0.16157475,-0.9953145,-0.6047502,-0.3905643
1,-1.3160857,-1.2400814,"('unfriendly', 'friendly')",1.4877845,1.6937292,0.0858494,0.2268239,-0.1409745
66,-1.2989159,-1.2502635,"('inactive', 'active')",0.6189605,0.6266449,-0.3399777,-0.3118093,-0.0281684
30,1.2807477,1.3012639,"('intolerant', 'tolerant')",1.2657886,1.3268862,1.2732681,1.314075,-0.0408069
81,1.2563385,1.017185,"('submissive', 'aggressive')",-0.36830726,-0.43340516,0.4440156,0.2918899,0.1521257
85,-1.2427471,-1.0448196,"('insignificant', 'prestigious')",0.7045999,0.9644198,-0.2690736,-0.0401999,-0.2288737
9,-1.2351706,-1.2240448,"('unaffectionate', 'caring')",0.8768822,0.97988427,-0.1791442,-0.1220803,-0.0570639
21,1.1604695,0.81365186,"('immoral', 'moral')",-0.44537815,-0.6249363,0.3575457,0.0943578,0.2631879
52,-1.0938144,-1.0690515,"('irrational', 'rational')",0.11458394,-0.0094192205,-0.4896152,-0.5392354,0.0496202
56,0.99722606,0.7829935,"('impractical', 'practical')",-0.04657679,-0.12472132,0.4753246,0.3291361,0.1461885
32,0.89571047,0.63223386,"('unkind', 'kind')",0.99184793,0.87267506,0.9437792,0.7524545,0.1913247
14,0.86908937,0.95291495,"('antisocial', 'social')",-0.64917684,-0.57700026,0.1099563,0.1879573,-0.078001
28,-0.8529171,-1.003584,"('disloyal', 'loyal')",0.8140287,0.61044586,-0.0194442,-0.1965691,0.1771249
86,-0.84400487,-1.1325243,"('uninfluential', 'influential')",-0.068443194,-0.20655276,-0.456224,-0.6695385,0.2133145
80,0.84238607,0.46445978,"('dominated', 'dominating')",-1.2314503,-1.4573846,-0.1945321,-0.4964624,0.3019303
57,-0.8340034,-0.85156083,"('unimaginative', 'imaginative')",-1.9950179,-2.040314,-1.4145106,-1.4459374,0.0314268
64,0.8228589,0.86519086,"('shy', 'confident')",-5.8033643,-5.843215,-2.4902527,-2.489012,-0.0012407
13,0.8082016,0.62733066,"('impolite', 'polite')",-0.33428475,-0.46402448,0.2369584,0.0816531,0.1553053
67,0.79636234,0.8765657,"('doubtful', 'determined')",-0.6805174,-0.4951646,0.0579225,0.1907005,-0.132778
35,-0.7689669,-0.49371803,"('corrupt', 'incorrupt')",-0.34613237,-0.16863385,-0.5575497,-0.3311759,-0.2263738
62,0.7253635,0.508785,"('incompetent', 'brilliant')",0.19109558,0.23814984,0.4582295,0.3734674,0.0847621
39,0.69899523,0.86379105,"('exploitative', 'cooperative')",0.020466426,0.24433574,0.3597308,0.5540634,-0.1943326
75,-0.69593006,-0.46334824,"('meek', 'impulsive')",-0.55806416,-0.35459042,-0.6269971,-0.4089693,-0.2180278
16,-0.69055307,-0.6873032,"('unpopular', 'popular')",0.4432547,0.35300002,-0.1236492,-0.1671516,0.0435024
65,0.68045527,0.63938206,"('insecure', 'secure')",-0.17820886,-0.05088053,0.2511232,0.2942508,-0.0431276
54,-0.63463134,-0.59585404,"('incapable', 'capable')",1.0458279,1.2240376,0.2055983,0.3140918,-0.1084935
82,-0.6205475,-0.68992823,"('poor', 'rich')",5.594009,5.4786205,2.4867308,2.3943462,0.0923846
58,-0.5937937,-0.37308684,"('undiscriminating', 'discriminating')",0.03843628,0.06275263,-0.2776787,-0.1551671,-0.1225116
18,-0.5846437,-0.4627402,"('disagreeable', 'welcoming')",-0.58909726,-0.4374692,-0.5868705,-0.4501047,-0.1367658
22,0.5691249,0.7364543,"('untrustworthy', 'trustworthy')",-1.0220128,-0.72595763,-0.226444,0.0052483,-0.2316923
47,0.5176164,0.6380581,"('stupid', 'smart')",4.9959307,5.127393,2.7567735,2.8827255,-0.125952
4,-0.5132707,-0.525834,"('disliked', 'liked')",-5.59431,-5.71134,-3.0537903,-3.118587,0.0647967
55,0.5043267,0.42448348,"('incompetent', 'clever')",0.37448218,0.37998128,0.4394044,0.4022324,0.037172
29,-0.49971625,-0.29449376,"('unfair', 'fair')",-0.56941503,-0.32234418,-0.5345656,-0.308419,-0.2261466
17,-0.46702972,-0.2417189,"('nasty', 'nice')",-0.8149523,-0.42810342,-0.640991,-0.3349112,-0.3060798
44,0.43301004,0.48442605,"('prejudiced', 'unprejudiced')",-1.1684273,-1.1877062,-0.3677087,-0.3516401,-0.0160686
41,0.4310903,0.45567712,"('unforgiving', 'forgiving')",0.1050742,-0.03565129,0.2680823,0.2100129,0.0580694
2,0.41032907,0.3148654,"('unlikable', 'likable')",0.51021653,0.45146996,0.4602728,0.3831677,0.0771051
88,-0.39162472,-0.42673478,"('low', 'eminent')",0.2689275,0.39739397,-0.0613486,-0.0146704,-0.0466782
42,0.3646145,0.44296432,"('unreliable', 'reliable')",-2.9071877,-2.754812,-1.2712866,-1.1559238,-0.1153628
68,-0.3638235,-0.28457433,"('dependent', 'independent')",-0.44050702,-0.14513654,-0.4021653,-0.2148554,-0.1873099
72,-0.36318704,-0.14484926,"('unambitious', 'ambitious')",-1.1998414,-0.82613254,-0.7815142,-0.4854909,-0.2960233
87,0.3509414,0.021546684,"('unsuccessful', 'successful')",0.91725045,0.91927844,0.6340959,0.4704126,0.1636833
26,-0.337528,-0.29204315,"('hardhearted', 'benevolent')",1.5208448,1.7540126,0.5916584,0.7309847,-0.1393263
63,0.3245018,0.05027848,"('unperceptive', 'insightful')",1.2014122,1.1899805,0.762957,0.6201295,0.1428275
73,0.3222584,0.41589478,"('helpless', 'self-reliant')",-2.7952652,-2.640165,-1.2365034,-1.1121352,-0.1243682
25,-0.31618476,-0.24078684,"('egoistic', 'altruistic')",1.3174845,1.3614192,0.5006499,0.5603162,-0.0596663
46,0.29170418,-0.120631285,"('uncompetitive', 'competitive')",-0.28261578,-0.5610781,0.0045442,-0.3408547,0.3453989
3,-0.29003966,-0.42532855,"('repellent', 'pleasant')",-0.09752538,-0.23707609,-0.1937825,-0.3312023,0.1374198
27,-0.27887595,-0.09769462,"('hardhearted', 'softhearted')",1.2916895,1.4945958,0.5064068,0.6984506,-0.1920438
48,0.27074862,0.11253944,"('unintelligent', 'intelligent')",1.079405,1.1734989,0.6750768,0.6430191,0.0320577
43,0.23890299,0.04094197,"('irresponsible', 'responsible')",0.30508134,0.3477257,0.2719921,0.1943338,0.0776583
15,-0.22434324,-0.0035002213,"('boring', 'funny')",0.3203608,0.4825617,0.0480088,0.2395307,-0.1915219
78,-0.2222371,-0.5185328,"('nonresilient', 'resilient')",0.72520435,0.51597196,0.2514836,-0.0012804,0.252764
11,0.2045416,-0.046889946,"('unhelpful', 'helpful')",1.6282749,1.6030962,0.9164082,0.7781032,0.138305
7,0.20265919,0.057826094,"('insensitive', 'sensitive')",0.56050855,0.5667655,0.3815839,0.3122958,0.0692881
71,-0.19972555,-0.13404644,"('diffident', 'self-confident')",0.36631015,0.5438582,0.0832923,0.2049059,-0.1216136
37,0.19291049,-0.068334475,"('fake', 'genuine')",0.26481217,0.08513389,0.2288613,0.0083997,0.2204616
40,-0.18632951,-0.123808734,"('stingy', 'generous')",-1.0083733,-0.9974885,-0.5973514,-0.5606486,-0.0367028
76,0.17188224,0.34565106,"('anxious', 'daring')",0.39033288,0.47876078,0.2811075,0.4122059,-0.1310984
0,0.14871433,-0.12711698,"('unsociable', 'sociable')",-0.2514651,-0.25409576,-0.0513754,-0.1906064,0.139231
10,-0.13765481,-0.47821352,"('unsympathetic', 'sympathetic')",-0.19359419,-0.32868907,-0.1656245,-0.4034513,0.2378268
38,-0.1055492,-0.40466523,"('untruthful', 'truthful')",-0.15112951,-0.1660096,-0.1283394,-0.2853374,0.156998
74,0.10187461,-0.00782726,"('undedicated', 'dedicated')",0.10319477,0.022817764,0.1025347,0.0074953,0.0950394
50,-0.09861936,-0.2541341,"('clumsy', 'skillful')",0.4816972,0.45190558,0.1915389,0.0988857,0.0926532
83,-0.095624775,-0.12557453,"('powerless', 'powerful')",-0.9570401,-0.99458754,-0.5263324,-0.560081,0.0337486
69,-0.08587031,-0.01611316,"('lazy', 'industrious')",-0.28462863,-0.22092675,-0.1852495,-0.11852,-0.0667295
51,-0.08493915,-0.2035661,"('uneducated', 'educated')",0.5950063,0.49626264,0.2550336,0.1463483,0.1086853
70,0.07939324,-0.077871315,"('lethargic', 'energetic')",0.58075327,0.43150726,0.3300732,0.176818,0.1532552
49,-0.07457344,0.07421237,"('unable', 'able')",-0.10780804,0.23835436,-0.0911907,0.1562834,-0.2474741
12,0.07434017,-0.06600717,"('unsupportive', 'supportive')",-1.5610127,-1.6181655,-0.7433363,-0.8420863,0.09875
34,0.06980424,-0.067145236,"('mean', 'honorable')",5.793598,5.7051435,2.9317012,2.8189991,0.1127021
24,0.064281896,0.09730714,"('dishonest', 'honest')",0.36471528,0.6511231,0.2144986,0.3742151,-0.1597165
61,0.060739737,-0.05111366,"('illogical', 'logical')",0.21675564,0.14818905,0.1387477,0.0485377,0.09021
33,0.051778276,0.110957876,"('wrong', 'right')",-0.8635989,-0.6730298,-0.4059103,-0.281036,-0.1248743
77,0.050330207,-0.2574797,"('unmotivated', 'motivated')",-0.92592174,-0.96455765,-0.4377958,-0.6110187,0.1732229
20,-0.03927056,-0.006587211,"('rough', 'thoughtful')",1.1371365,1.4354765,0.548933,0.7144446,-0.1655116
23,-0.03158325,-0.31130838,"('insincere', 'sincere')",4.990573,4.904266,2.4794948,2.2964787,0.1830161
84,0.022308506,0.11404675,"('inferior', 'superior')",1.1382921,1.4329567,0.5803003,0.7735018,-0.1932015
59,-0.017275136,0.13822433,"('foolish', 'wise')",0.31165576,0.43759984,0.1471903,0.2879121,-0.1407218
45,-0.004888702,-0.32954454,"('incompetent', 'competent')",-0.0017551966,-0.14450902,-0.0033219,-0.2370268,0.2337049
