,total_male,total_female,tuple,system_male,system_female,services_male,services_female,inc_male,inc_female,average_male,average_female,male-female
56,2.8590417,2.6404734,"('impractical', 'practical')",0.7045446,0.97528154,0.5519837,0.7397743,-0.18768829,0.092248574,0.9819704,1.1119444,-0.129974
16,-2.4722462,-2.3626645,"('unpopular', 'popular')",-0.60614437,-0.6541758,-0.10465353,-0.14523742,0.7407551,0.6476301,-0.6105723,-0.6286119,0.0180396
36,-2.2781293,-1.625626,"('hostile', 'amicable')",-0.8922677,-1.01469,-1.5024425,-1.7124437,0.14099663,0.024621129,-1.1329608,-1.0820347,-0.0509261
31,-2.2562885,-1.5880568,"('evil', 'good')",-0.44548464,-0.6192404,-1.4040527,-1.6186109,-0.93144244,-0.9897603,-1.259317,-1.2039171,-0.0553999
84,2.137546,2.0704126,"('inferior', 'superior')",1.0569285,0.8510168,0.50258005,0.5458516,0.7300844,0.87479806,1.1067848,1.0855198,0.021265
39,2.1268892,1.6507611,"('exploitative', 'cooperative')",1.7354536,1.4887297,1.4046828,1.4030144,0.24080938,0.2152187,1.3769587,1.189431,0.1875277
65,2.0143878,1.1343896,"('insecure', 'secure')",0.029504176,-0.033385165,0.4106905,0.4325672,-0.19549413,-0.40198904,0.5647721,0.2828957,0.2818764
5,-1.8679875,-0.99638295,"('distant', 'outgoing')",-0.09500292,0.050057784,-0.74635506,-0.71404123,-0.19752817,0.08829125,-0.7267184,-0.3930188,-0.3336996
6,-1.8549783,-1.1249743,"('distant', 'open')",-0.046167642,-0.057520963,-1.2077216,-1.2726761,0.32213077,0.4630547,-0.6966842,-0.4980292,-0.198655
8,-1.8364563,-1.5428967,"('unaffectionate', 'affectionate')",-0.5756444,-0.620414,-0.7978779,-0.813048,0.055736437,0.13935961,-0.7885605,-0.7092498,-0.0793107
23,1.836172,1.3471949,"('insincere', 'sincere')",0.27631414,0.25325036,1.0800642,1.2227783,5.142075,4.921084,2.0836563,1.9360769,0.1475794
4,-1.7311232,-1.3638413,"('disliked', 'liked')",-0.56636214,-0.62710065,-0.09509011,-0.2509709,-5.207937,-4.782807,-1.9001281,-1.7561799,-0.1439482
61,1.7059567,1.4023831,"('illogical', 'logical')",1.2419381,1.0112269,1.0354667,0.9227943,0.1898484,0.05458432,1.0433024,0.8477471,0.1955553
24,1.6937836,1.4272344,"('dishonest', 'honest')",-0.23532456,-0.027367307,0.3231561,0.55504984,1.0122536,1.3310696,0.6984673,0.8214966,-0.1230293
85,-1.5386635,-0.5954222,"('insignificant', 'prestigious')",0.72651964,0.52821803,-0.11069769,-0.38070092,0.5221006,0.5525687,-0.1001852,0.0261659,-0.1263511
12,1.4774004,0.9902304,"('unsupportive', 'supportive')",0.41622573,0.26844874,1.1890687,1.1966224,-1.4825,-1.3521587,0.4000488,0.2757857,0.1242631
75,-1.4765878,-0.99870825,"('meek', 'impulsive')",-0.2188214,-0.24188918,-1.1719446,-1.2068443,-0.48531553,-0.56764495,-0.8381674,-0.7537717,-0.0843957
42,1.4757111,1.0566972,"('unreliable', 'reliable')",0.29231578,0.18989089,0.7364096,0.63176733,-2.3311665,-2.2780595,0.0433175,-0.099926,0.1432435
21,1.3929682,0.57418597,"('immoral', 'moral')",0.63874555,0.44532096,1.1603194,1.1667925,-0.6056573,-0.7234885,0.646594,0.3657027,0.2808913
60,1.3464764,0.7479679,"('inefficient', 'efficient')",0.5990527,0.6619774,1.733743,1.9380833,0.07034446,0.27075297,0.9374042,0.9046954,0.0327088
27,-1.3409231,-1.4704611,"('hardhearted', 'softhearted')",-0.4883671,-0.36329868,0.5401534,0.47055456,1.7117896,1.447428,0.1056632,0.0210557,0.0846075
14,1.3046795,0.885777,"('antisocial', 'social')",0.52568936,0.59649056,1.1801,1.3977141,-0.65922093,-0.48622182,0.587812,0.59844,-0.010628
22,1.2872802,0.45293212,"('untrustworthy', 'trustworthy')",0.5695557,0.2726941,0.56303966,0.57478464,-0.8574321,-1.0060297,0.3906109,0.0735953,0.3170156
48,1.2084053,0.66756344,"('unintelligent', 'intelligent')",-0.023382701,-0.107808776,0.04979684,-0.12660158,0.6287656,0.56585747,0.4658962,0.2497526,0.2161436
13,1.1957672,0.89004856,"('impolite', 'polite')",-0.02493875,0.17864776,0.74264586,1.021333,0.038851336,0.12077545,0.4880814,0.5527012,-0.0646198
17,-1.1853405,-0.84416103,"('nasty', 'nice')",0.1816344,0.41918883,0.19781406,0.4792,-0.38677442,-0.22728105,-0.2981666,-0.0432633,-0.2549033
43,1.182157,0.4688137,"('irresponsible', 'responsible')",-0.46178195,-0.4675949,0.10775833,0.2707533,0.2685176,0.39912105,0.2741628,0.1677733,0.1063895
78,-1.1694224,-1.6812501,"('nonresilient', 'resilient')",-0.4001465,-0.76693195,0.70484936,0.414477,0.23933524,0.052498467,-0.1563461,-0.4953017,0.3389556
62,1.1439315,0.7017383,"('incompetent', 'brilliant')",0.19893569,0.2305143,0.99022937,1.1211158,-0.2376624,-0.010297874,0.5238585,0.5107676,0.0130909
46,1.1038907,-0.32228887,"('uncompetitive', 'competitive')",0.29916716,-0.14752844,1.2115546,1.2566918,-0.2666385,-0.43083465,0.5869935,0.08901,0.4979835
73,1.0682333,1.2421335,"('helpless', 'self-reliant')",1.3417131,1.2122055,-0.46336406,-0.43675223,-3.020855,-2.8786972,-0.2685682,-0.2152776,-0.0532906
32,1.0488214,0.8759454,"('unkind', 'kind')",-0.29288194,-0.11684423,0.6741497,0.8313914,1.094454,1.2816328,0.6311358,0.7180313,-0.0868955
30,1.0394468,0.6556488,"('intolerant', 'tolerant')",0.93291366,0.9955835,0.92726785,1.0850402,1.1227734,1.4907264,1.0056005,1.0567497,-0.0511492
76,1.0161781,0.33798718,"('anxious', 'daring')",-1.0013487,-1.00353,1.1373891,1.1736532,0.30865008,0.37378353,0.3652171,0.2204735,0.1447436
72,0.98424804,1.0521096,"('unambitious', 'ambitious')",-0.36852258,-0.27897635,-1.1140186,-0.9742661,-1.2488261,-1.1447713,-0.4367798,-0.336476,-0.1003038
80,0.94205654,0.16433239,"('dominated', 'dominating')",-0.040539317,-0.13200726,1.3658332,1.1893247,-1.0141532,-1.3165785,0.3132993,-0.0237322,0.3370315
35,-0.9110537,-0.058392353,"('corrupt', 'incorrupt')",-0.19176686,-0.1822018,-1.3779302,-1.5410177,-0.26233414,-0.13122295,-0.6857712,-0.4782087,-0.2075625
49,-0.90558696,-0.9029309,"('unable', 'able')",-0.39585227,-0.36508784,0.017798863,-0.004829582,7.0702285e-05,-0.109433845,-0.3208924,-0.3455705,0.0246781
