,newmont_male,newmont_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.1130278,-1.8740361,"('unfriendly', 'friendly')",1.6450374,1.4507693,-0.2339952,-0.2116334,-0.0223618
73,2.069676,2.2067075,"('helpless', 'self-reliant')",-2.8389328,-2.6138706,-0.3846284,-0.2035816,-0.1810468
31,-2.0059288,-1.5960827,"('evil', 'good')",-0.564679,-0.64987284,-1.2853038,-1.1229777,-0.1623261
86,-1.6494027,-1.545666,"('uninfluential', 'influential')",-0.10177298,-0.32384032,-0.8755879,-0.9347532,0.0591653
8,-1.5583189,-1.1569092,"('unaffectionate', 'affectionate')",0.7087261,0.5574843,-0.4247964,-0.2997124,-0.125084
53,-1.3844397,-1.2679636,"('uncreative', 'creative')",0.28542787,0.25754476,-0.5495059,-0.5052094,-0.0442965
76,1.2899452,1.052993,"('anxious', 'daring')",-0.23570342,-0.27268326,0.5271209,0.3901549,0.136966
36,-1.2813671,-1.0269886,"('hostile', 'amicable')",-0.3124577,-0.32254118,-0.7969124,-0.6747649,-0.1221475
6,-1.2434813,-0.78399026,"('distant', 'open')",-0.44118568,-0.49192372,-0.8423335,-0.637957,-0.2043765
27,-1.1784215,-1.0913314,"('hardhearted', 'softhearted')",1.2261789,0.91884625,0.0238787,-0.0862426,0.1101213
52,-1.0899396,-0.64779484,"('irrational', 'rational')",0.07820664,0.16266617,-0.5058665,-0.2425643,-0.2633022
80,1.0325555,0.5059986,"('dominated', 'dominating')",-0.45223066,-0.65749645,0.2901624,-0.0757489,0.3659113
9,-1.018442,-0.7469265,"('unaffectionate', 'caring')",1.2094814,1.0328622,0.0955197,0.1429678,-0.0474481
14,0.9925387,0.7078294,"('antisocial', 'social')",0.21728481,0.18767418,0.6049117,0.4477518,0.1571599
48,-0.9800138,-1.1260352,"('unintelligent', 'intelligent')",0.821435,0.716479,-0.0792894,-0.2047781,0.1254887
19,-0.97952217,-0.65356237,"('inhospitable', 'hospitable')",-0.50441563,-0.4063181,-0.7419689,-0.5299402,-0.2120287
0,-0.97862405,-1.046518,"('unsociable', 'sociable')",-0.09386486,-0.123515084,-0.5362445,-0.5850165,0.048772
32,-0.9632669,-0.81249136,"('unkind', 'kind')",0.7394951,0.6732662,-0.1118859,-0.0696126,-0.0422733
88,-0.9477451,-1.0440512,"('low', 'eminent')",-0.35730386,-0.5429857,-0.6525245,-0.7935184,0.1409939
57,-0.93430316,-0.83163095,"('unimaginative', 'imaginative')",-2.839231,-2.859391,-1.8867671,-1.845511,-0.0412561
26,-0.92759866,-0.7289685,"('hardhearted', 'benevolent')",1.7206688,1.7429439,0.3965351,0.5069877,-0.1104526
28,-0.9164637,-0.67561424,"('disloyal', 'loyal')",0.89388883,0.7850551,-0.0112874,0.0547204,-0.0660078
44,0.9152328,0.7200534,"('prejudiced', 'unprejudiced')",-1.702336,-1.6822019,-0.3935516,-0.4810742,0.0875226
85,-0.91231656,-0.6515566,"('insignificant', 'prestigious')",-0.32320136,-0.50639075,-0.617759,-0.5789737,-0.0387853
15,-0.90705377,-0.8225142,"('boring', 'funny')",0.120559335,0.09194985,-0.3932472,-0.3652822,-0.027965
77,-0.9059618,-1.2160505,"('unmotivated', 'motivated')",-1.0484965,-1.2981848,-0.9772291,-1.2571176,0.2798885
16,-0.87105644,-0.8791724,"('unpopular', 'popular')",0.085253656,-0.08855066,-0.3929014,-0.4838615,0.0909601
78,-0.8581532,-1.0830973,"('nonresilient', 'resilient')",0.53995746,0.16721176,-0.1590979,-0.4579428,0.2988449
42,0.8289638,0.8113692,"('unreliable', 'reliable')",-3.0728455,-3.144611,-1.1219409,-1.1666209,0.04468
41,-0.79060704,-0.3845032,"('unforgiving', 'forgiving')",0.056699466,-0.04425882,-0.3669538,-0.214381,-0.1525728
87,0.7669917,0.18945593,"('unsuccessful', 'successful')",1.2040613,0.9774582,0.9855264,0.5834571,0.4020693
25,-0.7440423,-0.86540234,"('egoistic', 'altruistic')",1.4073668,1.3008202,0.3316622,0.2177089,0.1139533
4,-0.70436364,-0.51695454,"('disliked', 'liked')",-6.632494,-6.550701,-3.6684289,-3.5338278,-0.1346011
45,-0.6665623,-0.69109607,"('incompetent', 'competent')",0.089286655,-0.04055018,-0.2886378,-0.3658231,0.0771853
79,-0.62157404,-0.4224625,"('wavering', 'unwavering')",-0.48567504,-0.6311555,-0.5536245,-0.526809,-0.0268155
