,exelon_male,exelon_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.791362,-2.9244316,"('unsympathetic', 'sympathetic')",-0.45690346,-0.70784724,-1.6241328,-1.8161395,0.1920067
0,-2.5461912,-2.7378037,"('unsociable', 'sociable')",-0.44396764,-0.5590415,-1.4950794,-1.6484226,0.1533432
13,-2.357144,-1.819389,"('impolite', 'polite')",-1.1036375,-0.8299264,-1.7303908,-1.3246577,-0.4057331
86,-2.2368197,-2.4636483,"('uninfluential', 'influential')",-0.22461863,-0.41653246,-1.2307192,-1.4400904,0.2093712
45,-2.036813,-2.077905,"('incompetent', 'competent')",-0.028947137,-0.25846824,-1.0328801,-1.1681865,0.1353064
46,-1.8993286,-1.7549386,"('uncompetitive', 'competitive')",-1.1169227,-1.0025437,-1.5081257,-1.3787411,-0.1293846
55,-1.8743097,-2.1364696,"('incompetent', 'clever')",0.30954868,0.1919905,-0.7823805,-0.9722396,0.1898591
56,-1.8609924,-1.2291259,"('impractical', 'practical')",-0.7833417,-0.406048,-1.322167,-0.8175869,-0.5045801
43,-1.8255818,-1.6111281,"('irresponsible', 'responsible')",0.025308728,0.064194165,-0.9001365,-0.7734669,-0.1266696
53,-1.7719648,-1.8044378,"('uncreative', 'creative')",0.44032374,0.3137186,-0.6658205,-0.7453596,0.0795391
32,-1.7414795,-1.3075321,"('unkind', 'kind')",0.67132103,0.6731962,-0.5350792,-0.3171679,-0.2179113
70,-1.6323967,-1.5097861,"('lethargic', 'energetic')",-0.009880953,0.010563528,-0.8211388,-0.7496113,-0.0715275
57,-1.6247122,-2.16743,"('unimaginative', 'imaginative')",-2.56292,-3.0718844,-2.0938163,-2.619657,0.5258407
65,-1.5839114,-1.5288694,"('insecure', 'secure')",-0.67655647,-0.4364556,-1.130234,-0.9826625,-0.1475715
60,-1.5171779,-1.3043143,"('inefficient', 'efficient')",-0.20852502,0.18677309,-0.8628515,-0.5587706,-0.3040809
22,-1.4460576,-1.5408689,"('untrustworthy', 'trustworthy')",-0.9279955,-1.3528084,-1.1870265,-1.4468386,0.2598121
21,-1.3699359,-1.4197276,"('immoral', 'moral')",-0.7815563,-0.77519983,-1.0757461,-1.0974637,0.0217176
63,-1.3601531,-1.2151256,"('unperceptive', 'insightful')",0.65988064,0.57288283,-0.3501362,-0.3211214,-0.0290148
