,johnson_male,johnson_female,tuple,&_male,&_female,average_male,average_female,male-female
6,1.85679,2.0666165,"('distant', 'open')",0.5374031,0.48371017,1.1970966,1.2751634,-0.0780668
71,1.789481,2.0583987,"('diffident', 'self-confident')",0.8161253,0.82525927,1.3028032,1.441829,-0.1390258
81,-1.7583747,-1.9417833,"('submissive', 'aggressive')",0.5297581,0.31572077,-0.6143083,-0.8130313,0.198723
84,1.6928881,1.7013663,"('inferior', 'superior')",1.0451045,0.9985969,1.3689964,1.3499815,0.0190149
14,-1.4778558,-1.1369469,"('antisocial', 'social')",0.5235565,0.8223024,-0.4771497,-0.1573223,-0.3198274
69,1.4560344,2.098406,"('lazy', 'industrious')",1.3779056,1.302339,1.41697,1.7003725,-0.2834025
75,-1.4019989,-1.0075278,"('meek', 'impulsive')",-1.0686932,-0.73496884,-1.2353461,-0.8712484,-0.3640977
82,-1.3857237,-1.5956296,"('poor', 'rich')",-0.4918633,-0.5688404,-0.9387935,-1.082235,0.1434415
85,1.3558438,1.8787905,"('insignificant', 'prestigious')",0.764128,1.4231318,1.0599859,1.6509612,-0.5909753
59,1.3496641,1.6995338,"('foolish', 'wise')",0.94291234,1.0928593,1.1462882,1.3961966,-0.2499084
49,-1.2529491,-0.9333116,"('unable', 'able')",-0.1771311,0.12481932,-0.7150401,-0.4042461,-0.310794
57,-1.1964321,-1.1338015,"('unimaginative', 'imaginative')",-0.9027419,-1.1606606,-1.049587,-1.1472311,0.0976441
62,-1.1951188,-1.1396396,"('incompetent', 'brilliant')",-0.23467153,-0.4466579,-0.7148951,-0.7931488,0.0782537
70,-1.1738298,-1.4318119,"('lethargic', 'energetic')",-0.36550993,-0.5588418,-0.7696699,-0.9953269,0.225657
45,-1.1718808,-1.2707624,"('incompetent', 'competent')",0.3292268,0.017005652,-0.421327,-0.6268784,0.2055514
20,-1.1647348,-0.9863785,"('rough', 'thoughtful')",-0.17796664,0.061496273,-0.6713507,-0.4624411,-0.2089096
66,-1.150851,-0.9715651,"('inactive', 'active')",0.85292584,0.83717793,-0.1489626,-0.0671936,-0.081769
35,1.1434603,1.6291311,"('corrupt', 'incorrupt')",0.08665458,0.5725801,0.6150574,1.1008556,-0.4857982
44,-1.1426283,-1.0540723,"('prejudiced', 'unprejudiced')",-1.7109482,-1.4903297,-1.4267883,-1.2722011,-0.1545872
21,-1.1249105,-1.316929,"('immoral', 'moral')",0.41014534,0.3668469,-0.3573826,-0.475041,0.1176584
36,1.1179528,1.3772367,"('hostile', 'amicable')",0.37292773,0.5758179,0.7454402,0.9765273,-0.2310871
33,1.1024011,1.1918921,"('wrong', 'right')",0.6791707,0.5986121,0.8907859,0.8952521,-0.0044662
73,1.0994626,1.1775672,"('helpless', 'self-reliant')",0.16067296,0.14438562,0.6300678,0.6609764,-0.0309086
13,-1.0527825,-1.2193557,"('impolite', 'polite')",-0.30977032,-0.42954448,-0.6812764,-0.8244501,0.1431737
29,1.0399233,0.88636494,"('unfair', 'fair')",-0.56888986,-0.56802875,0.2355167,0.1591681,0.0763486
43,-0.9590599,-1.0838164,"('irresponsible', 'responsible')",-0.44111457,-0.4614213,-0.7000872,-0.7726189,0.0725317
22,-0.9514767,-0.9622058,"('untrustworthy', 'trustworthy')",-0.33422622,-0.38645762,-0.6428515,-0.6743317,0.0314802
5,0.89901394,1.2789147,"('distant', 'outgoing')",0.40679014,0.5030138,0.652902,0.8909643,-0.2380623
1,0.8663973,0.95642364,"('unfriendly', 'friendly')",0.42572019,0.6778157,0.6460587,0.8171197,-0.171061
18,-0.8578334,-0.7020087,"('disagreeable', 'welcoming')",0.6057303,0.6645347,-0.1260515,-0.018737,-0.1073145
86,-0.8363232,-0.7417117,"('uninfluential', 'influential')",0.30575967,0.14843258,-0.2652818,-0.2966396,0.0313578
51,-0.81153315,-1.0824752,"('uneducated', 'educated')",-0.025963282,-0.20182444,-0.4187482,-0.6421498,0.2234016
67,0.7597415,1.0665843,"('doubtful', 'determined')",0.07410033,0.27095166,0.4169209,0.668768,-0.2518471
76,-0.727941,-0.88129514,"('anxious', 'daring')",0.64864725,0.4564597,-0.0396469,-0.2124177,0.1727708
25,0.72169983,1.0055655,"('egoistic', 'altruistic')",0.49337292,0.6244114,0.6075364,0.8149885,-0.2074521
55,-0.71531564,-0.80384195,"('incompetent', 'clever')",0.13060695,-0.041116104,-0.2923543,-0.422479,0.1301247
