,bmc_male,bmc_female,tuple,software_male,software_female,inc_male,inc_female,average_male,average_female,male-female
39,1.6817077,1.3067065,"('exploitative', 'cooperative')",1.1199284,0.87080467,0.19602203,0.03922885,0.9992194,0.7389134,0.260306
53,-1.6219983,-1.6068197,"('uncreative', 'creative')",0.93775356,0.70781946,0.77679175,0.5663919,0.030849,-0.1108695,0.1417185
1,-1.5217094,-1.7173071,"('unfriendly', 'friendly')",1.1127827,0.5320395,1.8091832,1.4123372,0.4667522,0.0756899,0.3910623
78,-1.3993906,-1.3132862,"('nonresilient', 'resilient')",1.11243,1.1266379,0.33161104,0.033104725,0.0148835,-0.0511812,0.0660647
73,1.3205616,1.3568836,"('helpless', 'self-reliant')",0.018658241,0.011277247,-2.9989498,-2.98282,-0.5532433,-0.5382197,-0.0150236
10,-1.2361736,-1.2675235,"('unsympathetic', 'sympathetic')",-1.2293433,-1.328065,-0.6083308,-0.61448586,-1.0246159,-1.0700248,0.0454089
87,1.1869485,1.1219865,"('unsuccessful', 'successful')",0.7754445,0.79608727,0.73670006,0.67112696,0.8996977,0.8630669,0.0366308
57,-1.1718843,-1.407555,"('unimaginative', 'imaginative')",-0.35789138,-0.5559265,-2.4140637,-2.7600596,-1.3146131,-1.5745138,0.2599007
6,-1.1386393,-1.1048987,"('distant', 'open')",-0.17247958,-0.5776414,0.46374777,0.23367086,-0.2824571,-0.4829564,0.2004993
36,-0.99742985,-1.1969419,"('hostile', 'amicable')",-0.22074887,-0.83496046,0.40839225,-0.1545566,-0.2699288,-0.7288196,0.4588908
8,-0.9264809,-1.2527789,"('unaffectionate', 'affectionate')",0.13613962,-0.25271183,0.8922921,0.5538525,0.0339836,-0.3172128,0.3511964
0,-0.855146,-0.9809141,"('unsociable', 'sociable')",-0.17546742,-0.11183325,-0.40270597,-0.5193391,-0.4777731,-0.5373621,0.059589
5,-0.82662004,-0.7960768,"('distant', 'outgoing')",0.009522919,-0.15121798,0.07502353,-0.029097686,-0.2473579,-0.3254641,0.0781062
31,-0.81420964,-1.0142957,"('evil', 'good')",0.025687,-0.46469712,-0.7470559,-1.1613758,-0.5118595,-0.8801228,0.3682633
44,0.7654181,0.6132444,"('prejudiced', 'unprejudiced')",-0.87536794,-0.8114857,-1.5692431,-1.4061558,-0.559731,-0.534799,-0.024932
54,-0.7434241,-0.6016811,"('incapable', 'capable')",0.6761693,0.59238356,1.0033511,1.1969471,0.3120321,0.3958832,-0.0838511
86,-0.7280915,-0.85663486,"('uninfluential', 'influential')",-0.09563234,-0.39641264,-0.10417173,-0.46357113,-0.3092985,-0.5722062,0.2629077
79,-0.71461993,-0.48878244,"('wavering', 'unwavering')",-1.0618461,-1.2260782,-0.05929093,-0.019745521,-0.611919,-0.578202,-0.033717
9,-0.71326894,-0.98643553,"('unaffectionate', 'caring')",0.7193515,0.38584864,1.3923603,1.0998025,0.4661476,0.1664052,0.2997424
62,0.7000202,1.1349162,"('incompetent', 'brilliant')",0.15118465,0.7159592,-0.1368765,0.572169,0.2381095,0.8076815,-0.569572
58,-0.64733416,-0.7027414,"('undiscriminating', 'discriminating')",0.47496626,0.26617372,-0.01380351,-0.23941909,-0.0620571,-0.2253289,0.1632718
27,-0.5975604,-0.97385085,"('hardhearted', 'softhearted')",0.09362641,-0.19540972,1.2787507,0.8977951,0.2582722,-0.0904885,0.3487607
18,-0.5934327,-0.46639955,"('disagreeable', 'welcoming')",-0.43307287,-0.49096808,-0.35655177,-0.3795343,-0.4610191,-0.445634,-0.0153851
82,-0.5924353,-0.015513033,"('poor', 'rich')",0.03469494,0.40876323,5.7829375,6.5639625,1.7417324,2.3190708,-0.5773384
88,-0.5870909,-0.44179055,"('low', 'eminent')",-0.3818775,-0.24222443,0.1183298,0.32111213,-0.2835462,-0.1209676,-0.1625786
33,0.578512,0.5191113,"('wrong', 'right')",0.34746042,0.084256455,-0.3757425,-0.5908594,0.18341,0.0041694,0.1792406
66,-0.56650853,-0.85179615,"('inactive', 'active')",-1.3194004,-1.5421073,0.8718562,0.3409753,-0.3380176,-0.6843094,0.3462918
26,-0.56394875,-0.7627872,"('hardhearted', 'benevolent')",0.6315962,0.36884093,1.7041835,1.2926948,0.5906103,0.2995828,0.2910275
