,jacobs_male,jacobs_female,tuple,engineering_male,engineering_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
39,2.44262,1.8992661,"('exploitative', 'cooperative')",0.07317159,-0.045970503,1.823869,1.8844681,0.15691957,0.25367683,1.124145,0.9978601,0.1262849
31,-2.4293556,-1.5280247,"('evil', 'good')",-0.6681147,-0.49976274,-1.1944046,-1.3891852,-1.0661054,-1.0548077,-1.3394951,-1.1179451,-0.22155
56,2.2629156,2.6513667,"('impractical', 'practical')",1.2051485,1.5808446,0.12645575,0.7861796,-0.041636817,0.12513833,0.8882208,1.2858822,-0.3976614
46,2.178837,1.3869836,"('uncompetitive', 'competitive')",0.30040303,0.015195182,1.4813944,1.8539342,-0.40051118,-0.48834264,0.8900309,0.6919426,0.1980883
16,-2.1227202,-1.740274,"('unpopular', 'popular')",-0.4188103,-0.67566895,-0.08651888,-0.3084486,0.44662827,0.33310315,-0.5453553,-0.5978221,0.0524668
12,2.0676513,2.0210867,"('unsupportive', 'supportive')",0.81161904,0.7858014,1.1466485,0.9110853,-1.3250818,-1.3868729,0.6752093,0.5827751,0.0924342
4,-1.9943937,-1.0705616,"('disliked', 'liked')",-0.55630606,-0.21588123,-0.56237876,-0.083964825,-6.8661375,-6.828326,-2.4948039,-2.0496836,-0.4451203
21,1.907501,1.1366792,"('immoral', 'moral')",0.9509042,0.7402387,0.42376664,0.33812213,-0.97178423,-0.969901,0.5775969,0.3112847,0.2663122
43,1.8053098,1.6635098,"('irresponsible', 'responsible')",0.58799267,0.73902315,0.5138498,0.80326885,0.881596,0.93031657,0.9471871,1.0340296,-0.0868425
60,1.7845864,1.542733,"('inefficient', 'efficient')",0.28880522,0.33406264,1.0322456,1.4405904,-0.2486001,0.03192325,0.7142593,0.8373273,-0.123068
10,1.7801636,1.5100558,"('unsympathetic', 'sympathetic')",-0.66927445,-0.75738376,0.11370834,0.32206133,0.074280545,0.0889416,0.3247195,0.2909187,0.0338008
36,-1.6529166,-1.048189,"('hostile', 'amicable')",-0.43255693,-0.3995306,-1.3000287,-1.5564388,0.3031359,0.08809971,-0.7705916,-0.7290147,-0.0415769
5,-1.60843,-0.79426193,"('distant', 'outgoing')",0.12574866,0.41334224,-1.4803648,-1.5069234,-0.42273518,-0.18738647,-0.8464453,-0.5188074,-0.3276379
7,1.6011207,1.3611635,"('insensitive', 'sensitive')",0.6447982,0.37913755,0.28110963,0.1535916,1.2288941,1.1547365,0.9389807,0.7621573,0.1768234
35,-1.5680512,-0.6551816,"('corrupt', 'incorrupt')",-0.062561676,0.16789149,-1.4977516,-1.2813874,-0.19672786,-0.107117064,-0.8312731,-0.4689486,-0.3623245
74,1.5674647,1.8554014,"('undedicated', 'dedicated')",-0.7964684,-0.5549973,1.3799019,1.7439054,0.5268699,0.47699544,0.6694421,0.8803263,-0.2108842
23,1.5365528,1.6277068,"('insincere', 'sincere')",-0.12346338,-0.062457614,0.067264676,0.26927674,5.839461,6.0649166,1.8299537,1.9748607,-0.144907
70,1.503617,1.3691415,"('lethargic', 'energetic')",0.36884218,0.4189153,0.49134544,0.9725107,0.99554366,1.0903662,0.8398371,0.9627334,-0.1228963
30,1.4997369,1.4017618,"('intolerant', 'tolerant')",0.5870826,0.5517058,0.062650174,0.16990948,0.66502476,0.80343115,0.7036237,0.7317021,-0.0280784
55,1.4058236,0.83737504,"('incompetent', 'clever')",-0.43305314,-0.63753724,0.9863615,1.2645853,0.046550825,0.016429719,0.5014207,0.3702132,0.1312075
77,1.3221844,0.779862,"('unmotivated', 'motivated')",-0.14491752,-0.3711118,0.4524237,0.27644145,-1.1812786,-1.1784017,0.112103,-0.1233025,0.2354055
86,1.3011092,0.72216326,"('uninfluential', 'influential')",0.13592859,0.013257038,0.54213125,0.3484505,0.3269487,-0.048874322,0.5765294,0.2587491,0.3177803
82,-1.2508032,-1.1078029,"('poor', 'rich')",0.28028712,0.15177327,-0.36705577,-0.11904576,6.0895863,6.300048,1.1880035,1.3062432,-0.1182397
6,-1.2402681,-0.38899714,"('distant', 'open')",-0.0678978,0.20002508,-1.7325566,-1.8046409,0.352594,0.44155225,-0.6720321,-0.3880152,-0.2840169
37,1.2327996,1.0350764,"('fake', 'genuine')",0.36540747,0.49402046,0.1332526,0.39377856,0.53559613,0.7362303,0.566764,0.6647764,-0.0980124
80,1.2020328,0.5411874,"('dominated', 'dominating')",-0.20450926,-0.19087918,1.6646162,1.9322147,-0.9807228,-1.0718317,0.4203543,0.3026728,0.1176815
85,-1.1948557,-0.5362039,"('insignificant', 'prestigious')",0.24298675,0.13926695,-0.80635977,-1.1485616,0.18923905,0.117487475,-0.3922474,-0.3570028,-0.0352446
44,-1.1590608,-1.1292305,"('prejudiced', 'unprejudiced')",-0.26903433,-0.1056675,-0.95336634,-0.5269296,-1.7081727,-1.4343686,-1.0224085,-0.799049,-0.2233595
27,1.1381869,0.8563884,"('hardhearted', 'softhearted')",-0.30606958,-0.53292006,0.21522716,-0.49734515,1.7068739,1.2901478,0.6885546,0.2790678,0.4094868
8,-1.1106358,-0.5602669,"('unaffectionate', 'affectionate')",-0.1997886,0.0179137,-0.11469965,-0.082973644,0.7649446,0.9425069,-0.1650448,0.079295,-0.2443398
19,-1.0895792,-0.72974926,"('inhospitable', 'hospitable')",-0.34213012,-0.34040385,-1.1978263,-1.616416,-0.11651592,-0.21447192,-0.6865129,-0.7252603,0.0387474
50,-1.0604588,-0.33667037,"('clumsy', 'skillful')",0.058936495,0.11483967,-0.15416455,0.0796539,0.04775256,0.3374694,-0.2769836,0.0488231,-0.3258067
84,1.0554401,0.97405803,"('inferior', 'superior')",1.6640096,1.5254097,0.62713253,0.32432517,0.67935735,0.62826586,1.0064849,0.8630147,0.1434702
76,1.0530205,0.8654464,"('anxious', 'daring')",-0.060081005,0.027985811,0.47499573,1.0550846,0.06243159,0.37388927,0.3825917,0.5806015,-0.1980098
62,1.0484687,0.77825916,"('incompetent', 'brilliant')",-0.1546679,0.22500767,0.16308288,0.9808287,-0.08848725,0.40081993,0.2420991,0.5962289,-0.3541298
72,1.0390929,0.9931542,"('unambitious', 'ambitious')",0.091767766,0.19888756,0.5865218,0.8428987,-0.627625,-0.36202735,0.2724394,0.4182283,-0.1457889
88,-0.99702704,-1.2130159,"('low', 'eminent')",-0.5090681,-0.55890906,-1.3213629,-1.3372487,-0.00015766174,0.06344125,-0.7069039,-0.7614331,0.0545292
20,0.98313165,0.780745,"('rough', 'thoughtful')",0.10764038,0.14279538,1.117524,1.0970534,1.2079345,1.2799075,0.8540577,0.8251253,0.0289324
65,0.94731313,1.1110989,"('insecure', 'secure')",-0.39485082,-0.56416214,0.84531003,1.2761295,-0.33172163,-0.05901113,0.2665127,0.4410138,-0.1745011
24,0.93309087,0.7132986,"('dishonest', 'honest')",0.17180814,0.28383324,-0.35702676,0.047058344,0.66477174,0.8664432,0.353161,0.4776583,-0.1244973
81,0.9182013,0.33096552,"('submissive', 'aggressive')",-0.4217745,-0.53799707,1.163065,1.5059586,-0.9530127,-0.9278184,0.1766198,0.0927772,0.0838426
68,0.8813564,0.004096348,"('dependent', 'independent')",-0.86134124,-1.3989271,-0.13560756,-0.61507905,-0.645294,-0.95134985,-0.1902216,-0.7403148,0.5500932
75,-0.80178237,-0.5035761,"('meek', 'impulsive')",-0.32458606,-0.034855537,-1.3972179,-1.1308724,-0.59936666,-0.43656996,-0.7807382,-0.5264685,-0.2542697
13,0.79662734,0.61877847,"('impolite', 'polite')",0.22527486,0.28546172,0.34211403,0.61557126,-0.26203516,-0.13449252,0.2754953,0.3463297,-0.0708344
3,0.78993315,0.48998073,"('repellent', 'pleasant')",-0.13684,-0.44903365,1.1764277,1.1364105,0.49819058,0.41877204,0.5819279,0.3990324,0.1828955
67,0.777899,0.8953602,"('doubtful', 'determined')",0.8044206,0.8931336,0.69051635,0.7450304,-0.6599883,-0.5796615,0.4032119,0.4884656,-0.0852537
73,0.76885176,1.2991251,"('helpless', 'self-reliant')",0.17546609,0.59542316,-0.42561874,0.012148907,-3.5811744,-3.258564,-0.7656188,-0.3379667,-0.4276521
42,0.68077505,0.9277745,"('unreliable', 'reliable')",-0.44571483,-0.36818793,0.89765465,1.1822271,-2.7212386,-2.6054928,-0.3971309,-0.2159198,-0.1812111
28,-0.65719557,-0.37119305,"('disloyal', 'loyal')",-0.3215766,-0.21338758,0.06431699,0.40032187,1.2132618,1.2763617,0.0747017,0.2730257,-0.198324
22,0.6553453,0.4774201,"('untrustworthy', 'trustworthy')",-0.5860679,-0.61180973,0.9559835,1.3698944,-0.88876253,-0.69560105,0.0341246,0.1349759,-0.1008513
57,0.6522519,0.79904467,"('unimaginative', 'imaginative')",-0.51383406,-0.2154049,-0.2760955,0.29357117,-2.3463666,-2.2024589,-0.6210111,-0.331312,-0.2896991
34,0.6479407,0.2217194,"('mean', 'honorable')",0.25977263,0.23915885,-0.14739795,-0.40399373,6.0207267,5.995714,1.6952605,1.5131497,0.1821108
14,0.6460073,0.5524405,"('antisocial', 'social')",0.21241078,0.33069283,0.76972616,1.5991435,-0.8595662,-0.68171513,0.1921445,0.4501404,-0.2579959
69,-0.6146652,-0.31970203,"('lazy', 'industrious')",1.1674341,1.1786002,0.39482296,0.29580617,-0.8141747,-0.8165416,0.0333543,0.0845407,-0.0511864
38,-0.6044197,0.01910437,"('untruthful', 'truthful')",-0.34390745,-0.08489887,-1.1234264,-0.81615317,-0.17235038,-0.103881374,-0.561026,-0.2464572,-0.3145688
52,-0.5974117,-0.3652617,"('irrational', 'rational')",-0.021491282,0.21125722,-0.85508186,-1.120511,-0.03702371,-0.039058644,-0.3777521,-0.3283935,-0.0493586
79,-0.5835524,0.017817449,"('wavering', 'unwavering')",-0.71504474,-0.50243795,-1.4855256,-1.5749428,-0.1749896,-0.0623935,-0.7397781,-0.5304892,-0.2092889
15,-0.5593074,-0.113121115,"('boring', 'funny')",0.007479988,0.3709684,-1.5744582,-1.351378,0.0066000465,0.26996794,-0.5299214,-0.2058907,-0.3240307
17,-0.5423673,-0.12363394,"('nasty', 'nice')",-0.46633273,-0.3685763,-1.2777762,-1.2353104,-0.74514157,-0.61520505,-0.7579044,-0.5856814,-0.172223
53,0.4756559,0.3708826,"('uncreative', 'creative')",1.0513562,0.77844805,0.47774264,0.2963754,1.3628191,1.3472713,0.8418934,0.6982443,0.1436491
45,-0.47262248,0.06742015,"('incompetent', 'competent')",-0.13369052,0.22579494,0.124837026,0.9892232,-0.29350096,-0.09461339,-0.1937442,0.2969562,-0.4907004
11,0.46697524,0.42822137,"('unhelpful', 'helpful')",-0.087346464,0.0057315864,-0.36789644,0.0047528073,1.9168148,2.110466,0.4821368,0.6372929,-0.1551561
29,-0.46205208,-0.15620309,"('unfair', 'fair')",-0.30409962,-0.30179968,-0.31175357,-0.41568935,-0.37442178,-0.5793109,-0.3630818,-0.3632508,0.000169
2,0.44925964,0.3623633,"('unlikable', 'likable')",0.16020606,0.30748808,1.0647433,1.4990891,0.5324902,0.71551913,0.5516748,0.7211149,-0.1694401
48,0.42329574,0.12619878,"('unintelligent', 'intelligent')",-0.038159057,-0.23492427,-0.2426329,-0.54370385,0.17365518,0.24150896,0.0790397,-0.1027301,0.1817698
63,0.422229,0.27779123,"('unperceptive', 'insightful')",0.35747862,0.2825608,1.5051076,1.3941694,1.0985734,1.0835901,0.8458472,0.7595279,0.0863193
9,0.4188749,0.9128469,"('unaffectionate', 'caring')",0.30426317,0.39949375,0.11124763,0.19651183,1.3555676,1.4860312,0.5474883,0.7487209,-0.2012326
87,0.41659424,0.35779017,"('unsuccessful', 'successful')",0.43478635,0.43734384,2.1066525,2.3161585,0.8064195,0.9194338,0.9411131,1.0076816,-0.0665685
26,0.41389927,0.5784375,"('hardhearted', 'benevolent')",0.8952763,0.9710027,0.755162,0.88073635,1.4830028,1.7426356,0.8868351,1.043203,-0.1563679
64,0.29433173,-0.03515037,"('shy', 'confident')",0.8089085,0.5827407,0.9282102,1.042838,-6.659629,-6.637211,-1.1570446,-1.2616956,0.104651
54,0.27137625,0.20450574,"('incapable', 'capable')",-0.21766968,-0.32845286,-0.044157006,-0.2481538,0.79277146,0.9961073,0.2005803,0.1560016,0.0445787
66,0.260229,-0.03308819,"('inactive', 'active')",0.2735457,-0.008488945,1.3484588,0.9977174,1.4014201,1.001673,0.8209134,0.4894533,0.3314601
41,0.25312197,0.5788595,"('unforgiving', 'forgiving')",-1.5373893,-1.2398843,0.63067853,0.5835155,0.39884466,0.24810994,-0.063686,0.0426502,-0.1063362
49,-0.22336268,0.03590784,"('unable', 'able')",-0.6304882,-0.6720582,-0.75765455,-0.7453143,-0.46455666,-0.31786537,-0.5190156,-0.4248325,-0.0941831
78,0.22222891,-0.103596285,"('nonresilient', 'resilient')",0.27563238,-0.070204765,1.2282735,0.7574949,0.29559427,0.13303971,0.5054322,0.1791834,0.3262488
83,0.19632928,-0.16975492,"('powerless', 'powerful')",-0.11275802,-0.08269494,-0.6203706,-0.474187,-0.8440164,-1.0200946,-0.3452039,-0.4366829,0.091479
59,-0.190752,0.4031731,"('foolish', 'wise')",0.6650448,0.54672444,-1.0446806,-1.0826478,0.28050476,0.46998727,-0.0724708,0.0843093,-0.1567801
1,-0.18248726,0.3446666,"('unfriendly', 'friendly')",0.17308421,0.2903353,-0.26087475,-0.33540064,1.5938338,1.7296953,0.330889,0.5073242,-0.1764352
0,0.18181951,0.042748597,"('unsociable', 'sociable')",-0.54064184,-0.69361836,0.4710233,0.45099807,-0.52917105,-0.5804187,-0.1042425,-0.1950726,0.0908301
40,0.17428435,0.23300037,"('stingy', 'generous')",0.34569505,0.43838885,0.54495966,0.5373796,-1.5475339,-1.5336092,-0.1206487,-0.0812101,-0.0394386
51,0.15670115,-0.54392916,"('uneducated', 'educated')",-0.85866046,-1.080557,0.8970656,0.5237099,0.416398,0.14222321,0.1528761,-0.2396383,0.3925144
47,-0.14297953,0.0596468,"('stupid', 'smart')",0.060807064,0.29735252,0.67143416,1.1580483,5.5632277,5.810303,1.5381223,1.8313377,-0.2932154
71,0.13411401,0.49847916,"('diffident', 'self-confident')",1.0656875,1.0366603,0.038363107,-0.14405635,0.6259244,0.64234185,0.4660223,0.5083562,-0.0423339
25,-0.11393595,-0.19641984,"('egoistic', 'altruistic')",0.7813828,0.61452,-0.19188628,-0.64231384,1.3387666,1.1620814,0.4535818,0.2344669,0.2191149
18,-0.08065807,-0.22918542,"('disagreeable', 'welcoming')",-0.819794,-0.9764443,-0.6454396,-1.0263374,-0.36682734,-0.3976701,-0.4781798,-0.6574093,0.1792295
32,0.06111805,0.043493815,"('unkind', 'kind')",0.038509406,-0.104619294,0.632623,0.41622475,0.99691933,1.0501599,0.4322925,0.3513148,0.0809777
33,-0.05179887,0.12695052,"('wrong', 'right')",1.1339333,1.1060534,0.20949243,-0.10364936,-0.36281088,-0.4263227,0.232204,0.1757579,0.0564461
61,0.040692605,-0.09816171,"('illogical', 'logical')",0.22518027,0.1213004,0.55696446,0.5342495,0.4360975,0.32273602,0.3147337,0.2200311,0.0947026
58,-0.032015167,0.10030923,"('undiscriminating', 'discriminating')",0.5479087,0.5191385,0.89541185,1.0440788,0.08472679,0.046590768,0.3740081,0.4275293,-0.0535212
