,tenet_male,tenet_female,tuple,healthcare_male,healthcare_female,corp_male,corp_female,average_male,average_female,male-female
1,-2.6707172,-2.861879,"('unfriendly', 'friendly')",0.947742,0.76788825,1.4016844,1.185333,-0.107097,-0.3028859,0.1957889
0,-2.029176,-1.9678017,"('unsociable', 'sociable')",0.11010039,0.36678144,-0.3919685,-0.291916,-0.7703481,-0.6309787,-0.1393694
86,-1.6403983,-1.7502179,"('uninfluential', 'influential')",0.026694208,0.068548396,-0.28278697,-0.35245907,-0.6321637,-0.6780429,0.0458792
58,-1.5705827,-1.5890244,"('undiscriminating', 'discriminating')",-0.72732586,-0.71534497,-0.14630216,-0.320662,-0.8147369,-0.8750105,0.0602736
45,-1.4393113,-1.870845,"('incompetent', 'competent')",0.22756359,0.19093458,-0.21374166,-0.27898747,-0.4751631,-0.6529659,0.1778028
53,-1.3709556,-1.3593845,"('uncreative', 'creative')",-0.20477654,-0.22770415,0.17880915,0.14607969,-0.465641,-0.4803363,0.0146953
48,-1.366332,-1.2033203,"('unintelligent', 'intelligent')",0.45188996,0.6638937,0.4580589,0.5686692,-0.1521277,0.0097475,-0.1618752
57,-1.3496772,-1.4127051,"('unimaginative', 'imaginative')",-0.23185018,-0.20372885,-3.1308482,-3.3235161,-1.5707919,-1.64665,0.0758581
8,-1.3211818,-1.4302567,"('unaffectionate', 'affectionate')",0.38248736,0.20906773,0.8242322,0.5097932,-0.0381541,-0.2371319,0.1989778
61,-1.2938111,-1.2184819,"('illogical', 'logical')",0.007759583,0.120386116,0.66991764,0.70078087,-0.205378,-0.1324383,-0.0729397
26,-1.185098,-1.2287525,"('hardhearted', 'benevolent')",1.6859994,1.5624558,1.602872,1.4051601,0.7012578,0.5796211,0.1216367
16,-1.1456254,-1.0539163,"('unpopular', 'popular')",-0.27007687,-0.11898985,-0.14777559,0.015507966,-0.5211593,-0.3857994,-0.1353599
31,-1.1401175,-1.4679137,"('evil', 'good')",-0.3733717,-0.6617148,-1.1168021,-1.2188855,-0.8767638,-1.1161714,0.2394076
24,-1.0584141,-1.0663402,"('dishonest', 'honest')",0.09974032,0.09667636,0.49093717,0.6170949,-0.1559122,-0.117523,-0.0383892
5,-0.98398197,-1.077932,"('distant', 'outgoing')",0.8962849,0.79620576,-0.48992535,-0.5640363,-0.1925408,-0.2819209,0.0893801
9,-0.95592064,-1.1574997,"('unaffectionate', 'caring')",1.5270703,1.4155811,1.5179893,1.2212776,0.6963797,0.4931197,0.20326
43,-0.90425646,-0.73103964,"('irresponsible', 'responsible')",1.1111455,1.2876993,0.31087947,0.46779233,0.1725895,0.341484,-0.1688945
36,-0.90009296,-0.7071469,"('hostile', 'amicable')",-0.60783976,-0.7057348,-0.24229105,-0.3252511,-0.5834079,-0.5793776,-0.0040303
54,-0.8877248,-0.75831866,"('incapable', 'capable')",0.3706894,0.3930227,0.6692026,0.60708463,0.0507224,0.0805962,-0.0298738
73,0.8616305,0.6746774,"('helpless', 'self-reliant')",0.71080333,0.4888421,-3.278364,-3.6339028,-0.5686434,-0.8234611,0.2548177
38,-0.8572675,-0.9478082,"('untruthful', 'truthful')",0.5838747,0.38405696,-0.20803794,-0.33256346,-0.1604769,-0.2987716,0.1382947
28,-0.845103,-1.1141993,"('disloyal', 'loyal')",-0.20800075,-0.20111416,0.9736856,0.9423824,-0.0264727,-0.1243104,0.0978377
10,-0.8448373,-0.9874918,"('unsympathetic', 'sympathetic')",-0.50095356,-0.40853584,-0.2909853,-0.35360113,-0.5455921,-0.5832096,0.0376175
