,big_male,big_female,tuple,lots_male,lots_female,inc_male,inc_female,average_male,average_female,male-female
36,-3.1236427,-2.5423112,"('hostile', 'amicable')",-4.4975204,-3.1781287,-0.59963113,-0.8682274,-2.7402649,-2.1962225,-0.5440424
69,-2.9182231,-2.4484646,"('lazy', 'industrious')",-1.9871227,-0.95370704,-0.6829157,-0.701729,-1.8627539,-1.3679668,-0.4947871
31,-2.8819747,-2.3932052,"('evil', 'good')",-3.1700997,-2.3438535,-1.1815363,-1.1892891,-2.4112035,-1.9754492,-0.4357543
62,2.8267827,2.1117036,"('incompetent', 'brilliant')",4.3907995,3.096033,1.1759368,1.3475617,2.7978398,2.1850996,0.6127402
80,2.7518609,1.9568877,"('dominated', 'dominating')",1.496913,0.43179515,-1.1647794,-1.0039055,1.0279981,0.4615924,0.5664057
81,2.6512213,1.7816154,"('submissive', 'aggressive')",3.6738265,2.0849433,0.2092002,0.30908874,2.1780826,1.3918824,0.7862002
52,-2.2841353,-1.8215034,"('irrational', 'rational')",-3.4266188,-2.6035204,-0.59337795,-0.6973902,-2.1013775,-1.7074714,-0.3939061
60,2.232235,1.291509,"('inefficient', 'efficient')",5.3869367,3.8108382,0.85595834,1.0728723,2.8250434,2.0584065,0.7666369
11,2.0449018,1.4275837,"('unhelpful', 'helpful')",1.7442437,1.075126,2.6187735,2.547594,2.135973,1.6834346,0.4525384
56,1.8981097,1.4511261,"('impractical', 'practical')",4.0281963,2.9181886,0.37246743,0.60413814,2.0995911,1.6578175,0.4417736
87,1.8941691,1.506143,"('unsuccessful', 'successful')",1.956026,1.1057234,1.0222092,1.2677205,1.6241347,1.2931956,0.3309391
63,1.8702914,1.5382932,"('unperceptive', 'insightful')",2.0738015,1.8215214,1.6109217,1.6227671,1.8516715,1.6608605,0.190811
51,1.864349,1.1598703,"('uneducated', 'educated')",1.7402393,0.7286219,0.500659,0.41376463,1.3684158,0.7674189,0.6009969
46,1.8472068,1.2527974,"('uncompetitive', 'competitive')",3.9948926,2.3544023,-0.4404706,-0.2649243,1.8005428,1.1140918,0.686451
55,1.8059713,1.0808135,"('incompetent', 'clever')",4.0442944,2.2000334,0.1732721,0.41497248,2.0078459,1.2319399,0.775906
32,1.7695224,1.3400979,"('unkind', 'kind')",1.4071379,0.8908666,1.1526287,1.101046,1.4430963,1.1106701,0.3324262
26,-1.7523907,-1.4965568,"('hardhearted', 'benevolent')",-0.8598368,-0.5620602,0.82175064,0.8752178,-0.5968256,-0.3944664,-0.2023592
35,-1.7063427,-1.1984566,"('corrupt', 'incorrupt')",-3.907474,-2.3416536,-0.84257054,-0.9808184,-2.1521292,-1.5069761,-0.6451531
76,1.6992267,1.6270008,"('anxious', 'daring')",2.3002687,1.36716,0.6774517,0.7635645,1.5589824,1.2525751,0.3064073
38,1.5624664,1.5057033,"('untruthful', 'truthful')",1.6285233,1.8761611,0.6387937,0.716678,1.2765945,1.3661809,-0.0895864
16,-1.5377486,-0.9472559,"('unpopular', 'popular')",-1.0285661,-0.83992624,0.41610152,0.47357923,-0.7167377,-0.4378676,-0.2788701
83,1.5204266,1.1637555,"('powerless', 'powerful')",0.36415958,0.08141455,-0.84542716,-1.0509906,0.3463864,0.0647265,0.2816599
70,1.4133611,1.2225387,"('lethargic', 'energetic')",2.5134804,1.4139575,0.7310532,0.7877244,1.5526315,1.1414069,0.4112246
24,1.3806318,1.2601666,"('dishonest', 'honest')",1.9716436,1.3210927,0.99833536,1.158,1.4502036,1.2464197,0.2037839
9,1.3622196,1.3020636,"('unaffectionate', 'caring')",-0.30018437,-0.1470476,1.3782678,1.2099801,0.8134343,0.788332,0.0251023
12,1.3231248,1.1474617,"('unsupportive', 'supportive')",1.2313958,0.83963543,-1.4870608,-1.3024452,0.3558199,0.2282173,0.1276026
43,1.2880578,0.8611632,"('irresponsible', 'responsible')",2.242152,1.2696168,0.8191917,0.8727691,1.4498005,1.001183,0.4486175
21,1.2563715,0.6711111,"('immoral', 'moral')",2.9119754,1.7668377,-0.4768684,-0.36445507,1.2304928,0.6911646,0.5393282
13,1.2487593,0.7927704,"('impolite', 'polite')",2.8984103,1.8998879,0.19635925,0.25038517,1.4478429,0.9810146,0.4668283
61,1.2002897,0.65776676,"('illogical', 'logical')",1.214381,0.7752045,0.36415514,0.36908934,0.9262753,0.6006869,0.3255884
85,-1.1989679,-0.40869954,"('insignificant', 'prestigious')",-3.9936233,-2.2433732,-0.14866462,-0.23394167,-1.7804186,-0.9620048,-0.8184138
72,1.1744045,0.8380243,"('unambitious', 'ambitious')",1.5255692,1.0775524,-0.61733294,-0.51042277,0.6942135,0.4683847,0.2258288
79,-1.1027403,-0.6212623,"('wavering', 'unwavering')",-1.9810461,-1.1695606,0.14210422,-0.004832374,-0.9805608,-0.5985518,-0.382009
37,-1.059469,-0.8227323,"('fake', 'genuine')",0.020452056,-0.42290702,0.22149958,0.14120217,-0.2725058,-0.3681457,0.0956399
71,1.0477924,0.9983426,"('diffident', 'self-confident')",1.3567454,1.5615362,0.6662521,0.64686674,1.0235966,1.0689152,-0.0453186
0,0.993277,0.3411097,"('unsociable', 'sociable')",2.9960747,1.7845396,-0.16860105,-0.23079857,1.2735836,0.6316169,0.6419667
20,-0.99225515,-1.1209176,"('rough', 'thoughtful')",-0.7326088,-0.49837095,0.6896011,0.85929686,-0.3450876,-0.2533305,-0.0917571
23,0.9392345,0.57141894,"('insincere', 'sincere')",3.6489334,2.619596,6.6281395,6.4467163,3.7387692,3.2125772,0.526192
14,0.921015,0.389046,"('antisocial', 'social')",3.024271,2.3362687,-0.68866664,-0.42036292,1.0855398,0.7683172,0.3172226
50,-0.92079556,-0.63624036,"('clumsy', 'skillful')",-1.2382464,-1.0074396,0.17833766,0.07488362,-0.6602347,-0.5229321,-0.1373026
15,-0.9143478,-0.662408,"('boring', 'funny')",-0.2863108,-0.53238255,0.28249195,0.40299428,-0.3060555,-0.2639321,-0.0421234
28,0.88476336,0.59372586,"('disloyal', 'loyal')",0.39077476,0.36024895,0.988186,1.0071508,0.7545747,0.6537085,0.1008662
17,-0.83608556,-0.6416145,"('nasty', 'nice')",-0.6271107,0.028263245,-0.4731456,-0.4732591,-0.6454473,-0.3622034,-0.2832439
19,-0.82893354,-0.90598917,"('inhospitable', 'hospitable')",-1.9375395,-1.6991147,-0.21795946,-0.32346714,-0.9948108,-0.9761904,-0.0186204
34,-0.7930536,-0.71938705,"('mean', 'honorable')",0.90658927,0.71323556,6.347096,6.221796,2.1535438,2.0718815,0.0816623
2,0.7134119,0.7946684,"('unlikable', 'likable')",0.3097746,0.40532267,0.2631413,0.3489968,0.4287759,0.5163292,-0.0875533
25,-0.6809193,-0.4535252,"('egoistic', 'altruistic')",-0.55587167,-0.21465743,0.80720425,0.7602215,-0.1431955,0.0306796,-0.1738751
64,0.67185843,0.6327046,"('shy', 'confident')",0.45069668,0.050325982,-6.5767407,-6.157817,-1.8180618,-1.8249288,0.006867
44,-0.6573242,-0.50636023,"('prejudiced', 'unprejudiced')",-1.6757436,-1.3866726,-1.4802256,-1.4058326,-1.2710978,-1.0996218,-0.171476
59,-0.6537115,-0.15338999,"('foolish', 'wise')",-2.4718335,-1.5017412,0.22417273,0.26240763,-0.9671241,-0.4642411,-0.502883
67,0.64899915,0.8688546,"('doubtful', 'determined')",0.3713897,0.67381656,-0.57858676,-0.4606305,0.1472674,0.3606802,-0.2134128
6,-0.62963015,-0.6019311,"('distant', 'open')",-2.4365594,-1.7548103,0.26592106,0.11903017,-0.9334228,-0.7459037,-0.1875191
53,0.57523566,0.46713048,"('uncreative', 'creative')",0.60171634,0.027179439,0.9913632,0.85910237,0.7227717,0.4511374,0.2716343
27,-0.56146294,-0.51299036,"('hardhearted', 'softhearted')",-0.8134166,-0.7902448,1.3679125,1.1785403,-0.0023224,-0.0415649,0.0392425
30,0.5427902,0.46277273,"('intolerant', 'tolerant')",2.9393222,2.5115244,1.3304493,1.3806117,1.6041873,1.4516363,0.152551
42,0.5367251,0.5721746,"('unreliable', 'reliable')",0.21172932,0.14193623,-2.9909785,-2.8255582,-0.747508,-0.7038158,-0.0436922
75,-0.45193782,0.035975646,"('meek', 'impulsive')",-1.7882189,-0.91140246,-0.51144564,-0.4916929,-0.9172007,-0.4557066,-0.4614941
58,-0.4413553,-0.2774336,"('undiscriminating', 'discriminating')",-0.8338703,-0.38384253,-0.27910507,-0.22554684,-0.5181102,-0.2956076,-0.2225026
74,0.4325643,0.07764082,"('undedicated', 'dedicated')",0.44605914,0.14038266,-0.23859498,-0.32676655,0.2133428,-0.0362477,0.2495905
