,international_male,international_female,tuple,paper_male,paper_female,co_male,co_female,average_male,average_female,male-female
87,1.5568591,1.0638416,"('unsuccessful', 'successful')",0.9775343,0.759556,0.92828727,0.69075227,1.1542269,0.83805,0.3161769
51,1.3960019,0.99207896,"('uneducated', 'educated')",-0.7454461,-0.7025777,0.41531476,0.29453427,0.3552902,0.1946785,0.1606117
74,1.3766118,1.3328999,"('undedicated', 'dedicated')",0.18652345,0.25279686,-0.2286561,-0.29243436,0.4448264,0.4310875,0.0137389
69,1.330586,1.4790312,"('lazy', 'industrious')",1.1358048,1.1102346,-0.66258806,-0.49161583,0.6012675,0.6992167,-0.0979492
82,-1.326001,-1.5557259,"('poor', 'rich')",-0.36813673,-0.48757172,6.1557155,5.906841,1.4871925,1.2878477,0.1993448
66,1.2346013,1.353992,"('inactive', 'active')",-0.38687482,-0.34473675,0.5319199,0.65952766,0.4598821,0.5562609,-0.0963788
80,1.1738757,0.8920047,"('dominated', 'dominating')",0.17679885,0.122535534,0.25348213,0.06899642,0.5347189,0.3611789,0.17354
18,1.1348126,0.9386306,"('disagreeable', 'welcoming')",-0.81149995,-0.83578575,-0.83496684,-0.87186277,-0.1705514,-0.2563393,0.0857879
13,1.0917046,0.88604265,"('impolite', 'polite')",-0.09342497,-0.121479794,0.21323273,-0.00048884004,0.4038374,0.2546913,0.1491461
17,-1.0404896,-1.0948517,"('nasty', 'nice')",-0.8301004,-0.8698586,-0.14219356,-0.11279706,-0.6709278,-0.6925025,0.0215747
39,1.0130446,1.073673,"('exploitative', 'cooperative')",0.2460784,0.20072871,0.3217805,0.23218673,0.5269678,0.5021962,0.0247716
26,0.9975147,1.0491513,"('hardhearted', 'benevolent')",1.718616,1.8133069,1.6717246,1.6894975,1.4626185,1.5173186,-0.0547001
33,0.9823305,1.0424783,"('wrong', 'right')",0.9030053,0.93385166,-0.29695758,-0.2778443,0.5294594,0.5661619,-0.0367025
31,-0.9748303,-0.5974063,"('evil', 'good')",-0.32055283,-0.15249875,-1.3562217,-1.1652596,-0.8838683,-0.6383882,-0.2454801
19,-0.9546127,-0.8686241,"('inhospitable', 'hospitable')",-1.0624701,-1.0105345,-0.5830937,-0.489689,-0.8667254,-0.7896159,-0.0771095
2,0.94762874,0.6764112,"('unlikable', 'likable')",0.42032456,0.21063012,0.8903692,0.79232013,0.7527742,0.5597872,0.192987
14,0.9253527,0.36291632,"('antisocial', 'social')",0.98887557,0.75820124,0.5072009,0.15718699,0.8071431,0.4261015,0.3810416
12,0.880599,0.8979985,"('unsupportive', 'supportive')",0.3622291,0.45936325,-1.8612905,-1.8359818,-0.2061541,-0.15954,-0.0466141
53,-0.8214232,-0.7572672,"('uncreative', 'creative')",0.7737036,0.8582863,0.096867196,0.10380929,0.0163825,0.0682761,-0.0518936
11,0.8101382,0.63634646,"('unhelpful', 'helpful')",-0.7765036,-0.84486175,2.3105009,2.064384,0.7813785,0.6186229,0.1627556
56,0.79745424,0.599584,"('impractical', 'practical')",0.97823495,0.9738981,-0.18505783,-0.37702435,0.5302104,0.3988192,0.1313912
29,-0.7616015,-0.702518,"('unfair', 'fair')",-0.30696598,-0.31870976,-1.0393307,-0.9214208,-0.7026327,-0.6475495,-0.0550832
76,0.73684275,0.31966805,"('anxious', 'daring')",-0.90510374,-1.0117087,0.36766633,0.2084239,0.0664684,-0.1612056,0.227674
37,-0.6763678,-0.39011055,"('fake', 'genuine')",-1.5777221,-1.313603,-0.22623491,-0.12966424,-0.8267749,-0.6111259,-0.215649
49,-0.6561536,-1.1362417,"('unable', 'able')",-0.98623115,-1.3209125,-0.5832615,-0.8385234,-0.7418821,-1.0985592,0.3566771
3,-0.6333032,-0.6399251,"('repellent', 'pleasant')",-0.83475614,-0.7929378,0.4766112,0.4311685,-0.3304827,-0.3338981,0.0034154
9,0.57109076,0.8922808,"('unaffectionate', 'caring')",0.7528525,0.9234782,0.69013906,0.8375507,0.6713608,0.8844365,-0.2130757
10,-0.5486572,-0.6467114,"('unsympathetic', 'sympathetic')",-1.4922822,-1.3171654,-0.12484278,-0.17883107,-0.7219274,-0.7142359,-0.0076915
15,0.5480813,0.67102927,"('boring', 'funny')",0.19002055,0.09975329,0.08600068,0.17785999,0.2747008,0.3162142,-0.0415134
64,-0.533618,-0.7765404,"('shy', 'confident')",-0.5398599,-0.50729203,-6.080302,-5.980738,-2.3845932,-2.4215236,0.0369304
27,-0.5057811,-0.03169407,"('hardhearted', 'softhearted')",-0.96448916,-0.74415237,0.4440065,0.6320897,-0.3420879,-0.0479189,-0.294169
67,0.4937899,0.07666868,"('doubtful', 'determined')",0.28795716,0.030653868,0.29743814,0.0928328,0.3597284,0.0667184,0.29301
47,-0.48935708,-0.52580553,"('stupid', 'smart')",0.32071793,0.24811961,5.744446,5.488425,1.8586022,1.7369129,0.1216893
68,-0.48526496,-0.7071817,"('dependent', 'independent')",-1.79402,-1.7815392,-1.6639402,-1.7072799,-1.3144084,-1.398667,0.0842586
22,-0.474529,-0.46437624,"('untrustworthy', 'trustworthy')",-0.6580556,-0.57011324,-0.3267252,-0.39932337,-0.4864366,-0.4779376,-0.008499
77,-0.42630082,-0.63048327,"('unmotivated', 'motivated')",-0.40545115,-0.46220148,-0.9435573,-0.98346204,-0.5917698,-0.6920489,0.1002791
70,0.4221851,0.41060874,"('lethargic', 'energetic')",-0.8206424,-0.58677673,0.39293563,0.43116397,-0.0018406,0.0849987,-0.0868393
63,0.41961515,0.4580672,"('unperceptive', 'insightful')",-0.52854025,-0.44579986,0.47020498,0.43430492,0.1204266,0.1488574,-0.0284308
73,0.41115963,0.44828555,"('helpless', 'self-reliant')",0.2177073,0.30610615,-3.674544,-3.578977,-1.0152257,-0.9415285,-0.0736972
