,boeing_male,boeing_female,tuple,co_male,co_female,average_male,average_female,male-female
71,2.2430782,2.0051944,"('diffident', 'self-confident')",0.4336006,0.28280738,1.3383394,1.1440009,0.1943385
39,2.1552534,1.8388993,"('exploitative', 'cooperative')",0.89995074,0.96106786,1.5276021,1.3999835,0.1276186
26,1.7735589,2.0470102,"('hardhearted', 'benevolent')",1.3264616,1.3892348,1.5500102,1.7181225,-0.1681123
23,1.6269679,1.0667228,"('insincere', 'sincere')",6.050389,5.8574142,3.8386784,3.4620686,0.3766098
56,1.5238471,1.1133996,"('impractical', 'practical')",0.1271354,-0.04525821,0.8254912,0.5340707,0.2914205
74,1.4902506,1.6100351,"('undedicated', 'dedicated')",0.393902,0.35893095,0.9420763,0.984483,-0.0424067
54,1.4023368,1.1411293,"('incapable', 'capable')",0.83971786,0.69971514,1.1210274,0.9204222,0.2006052
62,1.3650242,1.0088757,"('incompetent', 'brilliant')",0.26725715,0.15146275,0.8161407,0.5801693,0.2359714
33,1.3301004,1.5176883,"('wrong', 'right')",-0.6946864,-0.5401609,0.317707,0.4887637,-0.1710567
87,1.3093538,0.75125813,"('unsuccessful', 'successful')",0.64654684,0.52418363,0.9779503,0.6377209,0.3402294
47,1.2324415,0.99192023,"('stupid', 'smart')",4.882738,4.8969607,3.0575898,2.9444404,0.1131494
17,-1.2273126,-0.85236454,"('nasty', 'nice')",-0.45454973,-0.33243135,-0.8409312,-0.5923979,-0.2485333
68,-1.2185096,-1.0745971,"('dependent', 'independent')",-1.6097647,-1.4710492,-1.4141371,-1.2728231,-0.141314
61,1.2098948,1.3384422,"('illogical', 'logical')",0.098739006,0.29341695,0.6543169,0.8159296,-0.1616127
25,1.1940787,1.3219826,"('egoistic', 'altruistic')",0.87942505,1.0187548,1.0367519,1.1703687,-0.1336168
72,1.1315957,0.94565034,"('unambitious', 'ambitious')",-0.32031918,-0.33737054,0.4056383,0.3041399,0.1014984
60,1.0954015,0.4630233,"('inefficient', 'efficient')",0.26245293,0.06495624,0.6789272,0.2639898,0.4149374
75,-1.0701149,-0.92420423,"('meek', 'impulsive')",-0.5393628,-0.531524,-0.8047388,-0.7278641,-0.0768747
29,-1.067838,-0.61930823,"('unfair', 'fair')",-0.9495564,-0.8663937,-1.0086972,-0.742851,-0.2658462
28,1.0244645,0.80988634,"('disloyal', 'loyal')",1.3399713,1.1093429,1.1822178,0.9596146,0.2226032
9,1.0119488,1.0697073,"('unaffectionate', 'caring')",0.68348134,0.6961695,0.8477151,0.8829384,-0.0352233
44,-0.9877671,-1.5193369,"('prejudiced', 'unprejudiced')",-1.0885516,-1.1007453,-1.0381594,-1.3100412,0.2718818
53,0.98471063,0.8127892,"('uncreative', 'creative')",0.6855008,0.7574236,0.8351057,0.7851064,0.0499993
83,0.9821481,0.79603595,"('powerless', 'powerful')",-1.0497096,-1.1826028,-0.0337807,-0.1932834,0.1595027
31,-0.9490964,-0.13103078,"('evil', 'good')",-1.5964565,-1.3595908,-1.2727765,-0.7453108,-0.5274657
21,0.9299379,0.5160907,"('immoral', 'moral')",-0.617213,-0.78251773,0.1563624,-0.1332135,0.2895759
79,-0.92527974,-0.6747015,"('wavering', 'unwavering')",-0.59929365,-0.63986766,-0.7622867,-0.6572846,-0.1050021
6,-0.92487055,-0.21154994,"('distant', 'open')",-1.145968,-0.7874749,-1.0354192,-0.4995124,-0.5359068
12,0.8595903,0.83514667,"('unsupportive', 'supportive')",-1.8759265,-1.9595624,-0.5081681,-0.5622079,0.0540398
1,0.8335892,1.2090131,"('unfriendly', 'friendly')",0.9326021,1.0975419,0.8830956,1.1532775,-0.2701819
63,0.8327606,0.7463831,"('unperceptive', 'insightful')",0.018677976,-0.027650705,0.4257193,0.3593662,0.0663531
66,-0.8321911,-0.61111844,"('inactive', 'active')",0.2600942,0.37087384,-0.2860485,-0.1201223,-0.1659262
65,0.8245374,0.25415555,"('insecure', 'secure')",0.53874296,0.45676458,0.6816401,0.35546,0.3261801
14,0.8110014,0.345159,"('antisocial', 'social')",0.0059506744,-0.12938991,0.4084761,0.1078845,0.3005916
2,0.78821576,0.72670805,"('unlikable', 'likable')",1.0237621,1.0627848,0.9059889,0.8947464,0.0112425
42,-0.7597433,-0.80515075,"('unreliable', 'reliable')",-2.6139011,-2.7179966,-1.6868222,-1.7615737,0.0747515
36,-0.7444867,-0.33568656,"('hostile', 'amicable')",-0.55624574,-0.46202117,-0.6503662,-0.3988539,-0.2515123
48,0.72052085,0.3491965,"('unintelligent', 'intelligent')",-0.18392664,-0.31250086,0.2682971,0.0183478,0.2499493
84,0.71835536,0.97073495,"('inferior', 'superior')",0.19315201,0.2932616,0.4557537,0.6319983,-0.1762446
55,0.7177947,0.32128173,"('incompetent', 'clever')",0.65228844,0.5027215,0.6850415,0.4120016,0.2730399
77,0.6956749,0.1976507,"('unmotivated', 'motivated')",-0.8512044,-1.0923734,-0.0777647,-0.4473614,0.3695967
4,-0.6885978,-0.1431807,"('disliked', 'liked')",-6.6733513,-6.7028704,-3.6809745,-3.4230256,-0.2579489
80,0.6836873,0.13479213,"('dominated', 'dominating')",-0.26574367,-0.4735987,0.2089718,-0.1694033,0.3783751
40,-0.6834692,-0.38707346,"('stingy', 'generous')",-2.5794852,-2.449014,-1.6314771,-1.4180437,-0.2134334
27,-0.682873,-0.40914902,"('hardhearted', 'softhearted')",0.3300215,0.4754042,-0.1764258,0.0331276,-0.2095534
37,-0.6796431,-0.4904492,"('fake', 'genuine')",-0.18820627,-0.06330776,-0.4339247,-0.2768785,-0.1570462
86,0.6607111,0.78395796,"('uninfluential', 'influential')",-0.31520906,-0.37883407,0.172751,0.2025619,-0.0298109
32,0.65963256,0.2586574,"('unkind', 'kind')",1.2389985,1.0993441,0.9493155,0.6790007,0.2703148
20,0.63164526,0.5788867,"('rough', 'thoughtful')",0.73314625,0.74975073,0.6823958,0.6643187,0.0180771
35,-0.6235536,-0.14488812,"('corrupt', 'incorrupt')",-1.0298318,-0.9223195,-0.8266927,-0.5336038,-0.2930889
3,-0.61933225,-0.6897643,"('repellent', 'pleasant')",0.8733565,0.8330618,0.1270121,0.0716487,0.0553634
30,0.5988241,0.51597124,"('intolerant', 'tolerant')",0.3108204,0.27716464,0.4548222,0.3965679,0.0582543
7,0.5898361,0.5004837,"('insensitive', 'sensitive')",0.18010989,0.24522659,0.384973,0.3728551,0.0121179
5,-0.53318197,-0.10928893,"('distant', 'outgoing')",-1.3448915,-1.098571,-0.9390367,-0.6039299,-0.3351068
51,0.5179148,0.31788963,"('uneducated', 'educated')",1.0846539,0.82489514,0.8012843,0.5713924,0.2298919
11,0.5018402,-0.07945971,"('unhelpful', 'helpful')",2.340808,2.151862,1.421324,1.0362011,0.3851229
57,-0.4651865,-0.61809766,"('unimaginative', 'imaginative')",-3.1216328,-3.1590745,-1.7934097,-1.888586,0.0951763
50,-0.4528282,-0.56760055,"('clumsy', 'skillful')",0.0012911335,-0.12705356,-0.2257685,-0.3473271,0.1215586
85,0.45175716,0.7412837,"('insignificant', 'prestigious')",-0.5801031,-0.55511415,-0.064173,0.0930848,-0.1572578
24,0.39535397,0.6671423,"('dishonest', 'honest')",0.9149536,1.091327,0.6551538,0.8792346,-0.2240808
19,-0.372059,0.11268642,"('inhospitable', 'hospitable')",-0.77112997,-0.4734193,-0.5715945,-0.1803664,-0.3912281
38,0.36648968,0.39389282,"('untruthful', 'truthful')",0.088109925,-0.0008636378,0.2272998,0.1965146,0.0307852
16,-0.364815,-0.6184454,"('unpopular', 'popular')",0.5345636,0.34120178,0.0848743,-0.1386218,0.2234961
76,0.33770344,-0.18853766,"('anxious', 'daring')",0.47239348,0.3375446,0.4050485,0.0745035,0.330545
18,-0.32435578,-0.3283624,"('disagreeable', 'welcoming')",-0.8936798,-0.7899292,-0.6090178,-0.5591458,-0.049872
78,0.32374874,0.010712855,"('nonresilient', 'resilient')",0.11429503,-0.1675008,0.2190219,-0.078394,0.2974159
43,0.31732732,-0.19034576,"('irresponsible', 'responsible')",0.8639109,0.7242393,0.5906191,0.2669468,0.3236723
73,0.31655362,0.48840803,"('helpless', 'self-reliant')",-3.7531443,-3.5008342,-1.7182953,-1.5062131,-0.2120822
70,-0.30810866,-0.32245055,"('lethargic', 'energetic')",0.44939303,0.4020565,0.0706422,0.039803,0.0308392
45,-0.30039743,-0.35095283,"('incompetent', 'competent')",-0.12651002,-0.33400348,-0.2134537,-0.3424782,0.1290245
59,-0.2923786,-0.0356241,"('foolish', 'wise')",-0.3190996,-0.26947638,-0.3057391,-0.1525503,-0.1531888
52,-0.26969334,-0.0061021484,"('irrational', 'rational')",-0.6113695,-0.4663287,-0.4405314,-0.2362154,-0.204316
8,0.269487,0.4757508,"('unaffectionate', 'affectionate')",-0.08015521,-0.023132592,0.0946659,0.2263091,-0.1316432
49,0.25254184,0.059466064,"('unable', 'able')",-0.61620396,-0.5086758,-0.1818311,-0.2246049,0.0427738
67,0.23254512,0.21748212,"('doubtful', 'determined')",-0.18145137,-0.28915042,0.0255469,-0.0358341,0.061381
69,0.22828275,0.6348325,"('lazy', 'industrious')",-1.2186639,-0.96183765,-0.4951906,-0.1635026,-0.331688
41,-0.22503035,0.18288617,"('unforgiving', 'forgiving')",0.48905635,0.43954635,0.132013,0.3112163,-0.1792033
64,-0.22427583,-0.2689996,"('shy', 'confident')",-5.4192886,-5.581886,-2.8217821,-2.9254427,0.1036606
22,0.22386155,0.14341295,"('untrustworthy', 'trustworthy')",-0.5288967,-0.62164485,-0.1525176,-0.239116,0.0865984
82,0.21350928,-0.32753038,"('poor', 'rich')",6.06354,5.9042954,3.1385245,2.7883825,0.350142
81,0.19200376,-0.35727024,"('submissive', 'aggressive')",-0.5129918,-0.76707363,-0.160494,-0.5621719,0.4016779
15,0.17154795,0.18036534,"('boring', 'funny')",0.24094133,0.27087936,0.2062446,0.2256224,-0.0193778
10,0.1671497,-0.016694803,"('unsympathetic', 'sympathetic')",0.04180357,-0.09047721,0.1044766,-0.053586,0.1580626
0,0.16108626,-0.10232817,"('unsociable', 'sociable')",-0.25140628,-0.3624834,-0.04516,-0.2324058,0.1872458
58,0.13672146,0.46392167,"('undiscriminating', 'discriminating')",0.1337377,0.27368525,0.1352296,0.3688034,-0.2335738
34,0.13657682,0.03668864,"('mean', 'honorable')",4.8967104,5.0001826,2.5166435,2.5184357,-0.0017922
13,-0.100966334,-0.39146274,"('impolite', 'polite')",-0.1111595,-0.27530962,-0.1060629,-0.3333862,0.2273233
88,0.07805383,-0.05998959,"('low', 'eminent')",-0.080883645,-0.3004766,-0.0014149,-0.1802331,0.1788182
46,0.054446146,-0.32520825,"('uncompetitive', 'competitive')",-0.4245774,-0.6434347,-0.1850656,-0.4843215,0.2992559
