,conocophillips_male,conocophillips_female,tuple,average_male,average_female,male-female
10,-2.2197278,-2.780571,"('unsympathetic', 'sympathetic')",-2.2197278,-2.780571,0.5608432
69,1.9235646,2.1241899,"('lazy', 'industrious')",1.9235646,2.1241899,-0.2006253
64,-1.7358935,-1.6950114,"('shy', 'confident')",-1.7358935,-1.6950114,-0.0408821
55,-1.6400659,-1.9818072,"('incompetent', 'clever')",-1.6400659,-1.9818072,0.3417413
46,-1.602311,-2.1357398,"('uncompetitive', 'competitive')",-1.602311,-2.1357398,0.5334288
45,-1.5619917,-1.7632931,"('incompetent', 'competent')",-1.5619917,-1.7632931,0.2013014
57,-1.4835374,-1.8576567,"('unimaginative', 'imaginative')",-1.4835374,-1.8576567,0.3741193
13,-1.4541508,-1.599473,"('impolite', 'polite')",-1.4541508,-1.599473,0.1453222
43,-1.4285945,-1.5115012,"('irresponsible', 'responsible')",-1.4285945,-1.5115012,0.0829067
30,-1.4004221,-1.3112743,"('intolerant', 'tolerant')",-1.4004221,-1.3112743,-0.0891478
48,-1.3339646,-1.5669214,"('unintelligent', 'intelligent')",-1.3339646,-1.5669214,0.2329568
11,-1.299854,-1.3958938,"('unhelpful', 'helpful')",-1.299854,-1.3958938,0.0960398
12,-1.211867,-1.4080241,"('unsupportive', 'supportive')",-1.211867,-1.4080241,0.1961571
85,1.2073333,1.315063,"('insignificant', 'prestigious')",1.2073333,1.315063,-0.1077297
70,-1.1880919,-1.52351,"('lethargic', 'energetic')",-1.1880919,-1.52351,0.3354181
81,-1.1760767,-1.4040936,"('submissive', 'aggressive')",-1.1760767,-1.4040936,0.2280169
86,-1.169354,-1.6062303,"('uninfluential', 'influential')",-1.169354,-1.6062303,0.4368763
21,-1.1496265,-1.4736869,"('immoral', 'moral')",-1.1496265,-1.4736869,0.3240604
65,-1.1086998,-1.1571257,"('insecure', 'secure')",-1.1086998,-1.1571257,0.0484259
62,-1.0590168,-1.1799456,"('incompetent', 'brilliant')",-1.0590168,-1.1799456,0.1209288
0,-1.0075943,-1.3020365,"('unsociable', 'sociable')",-1.0075943,-1.3020365,0.2944422
6,1.0025262,1.1239645,"('distant', 'open')",1.0025262,1.1239645,-0.1214383
60,-0.99594116,-1.2334758,"('inefficient', 'efficient')",-0.9959412,-1.2334758,0.2375346
35,0.98002875,1.4215614,"('corrupt', 'incorrupt')",0.9800287,1.4215614,-0.4415327
5,0.97640866,1.2058095,"('distant', 'outgoing')",0.9764087,1.2058095,-0.2294008
51,-0.9561642,-1.1797827,"('uneducated', 'educated')",-0.9561642,-1.1797827,0.2236185
4,-0.9372599,-0.8014042,"('disliked', 'liked')",-0.9372599,-0.8014042,-0.1358557
14,-0.8874974,-0.92438567,"('antisocial', 'social')",-0.8874974,-0.9243857,0.0368883
33,0.88224494,0.970967,"('wrong', 'right')",0.8822449,0.970967,-0.0887221
56,-0.82994777,-0.9678048,"('impractical', 'practical')",-0.8299478,-0.9678048,0.137857
83,-0.79855037,-0.83531517,"('powerless', 'powerful')",-0.7985504,-0.8353152,0.0367648
7,-0.7790416,-1.0146954,"('insensitive', 'sensitive')",-0.7790416,-1.0146954,0.2356538
20,-0.75416905,-0.86290914,"('rough', 'thoughtful')",-0.754169,-0.8629091,0.1087401
79,0.7519685,0.8446147,"('wavering', 'unwavering')",0.7519685,0.8446147,-0.0926462
63,-0.7463067,-1.08172,"('unperceptive', 'insightful')",-0.7463067,-1.08172,0.3354133
8,-0.6807235,-0.42002016,"('unaffectionate', 'affectionate')",-0.6807235,-0.4200202,-0.2607033
84,-0.67768955,-0.598795,"('inferior', 'superior')",-0.6776896,-0.598795,-0.0788946
1,0.6604606,0.59865355,"('unfriendly', 'friendly')",0.6604606,0.5986536,0.061807
24,-0.6273862,-0.524365,"('dishonest', 'honest')",-0.6273862,-0.524365,-0.1030212
76,-0.6197912,-0.8989863,"('anxious', 'daring')",-0.6197912,-0.8989863,0.2791951
82,0.61784995,0.5604151,"('poor', 'rich')",0.6178499,0.5604151,0.0574348
47,0.58776546,0.55080503,"('stupid', 'smart')",0.5877655,0.550805,0.0369605
38,-0.5864304,-0.45633933,"('untruthful', 'truthful')",-0.5864304,-0.4563393,-0.1300911
23,0.5827496,0.34084636,"('insincere', 'sincere')",0.5827496,0.3408464,0.2419032
28,-0.57993364,-0.8928613,"('disloyal', 'loyal')",-0.5799336,-0.8928613,0.3129277
49,-0.56136656,-0.69054234,"('unable', 'able')",-0.5613666,-0.6905423,0.1291757
