,cisco_male,cisco_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
85,3.6838613,3.7440495,"('insignificant', 'prestigious')",1.4096575,1.4400982,0.03196484,0.03836654,1.7084945,1.7408381,-0.0323436
1,3.2922432,3.3295953,"('unfriendly', 'friendly')",0.87162507,0.96639234,1.2135895,1.1188643,1.792486,1.8049507,-0.0124647
6,3.2113323,3.1846113,"('distant', 'open')",0.17388211,0.25942183,0.033562202,0.013945401,1.1395922,1.1526595,-0.0130673
71,2.9247277,2.9619997,"('diffident', 'self-confident')",0.8243488,0.77572286,0.58054507,0.5775799,1.4432071,1.4384341,0.004773
36,2.5702274,2.8316722,"('hostile', 'amicable')",0.26792046,0.43758085,0.088603474,0.32544848,0.9755838,1.1982338,-0.22265
26,2.5666254,2.5661008,"('hardhearted', 'benevolent')",-0.16925149,-0.08227898,1.0018078,1.10195,1.1330606,1.1952573,-0.0621967
59,2.564063,2.7582953,"('foolish', 'wise')",0.48913985,0.5491835,-0.16063954,-0.1566998,0.9641878,1.0502597,-0.0860719
70,-2.5423608,-2.7155128,"('lethargic', 'energetic')",-1.7311248,-1.9555004,0.6788477,0.42633682,-1.1982126,-1.414892,0.2166794
33,2.5315137,2.4377403,"('wrong', 'right')",0.8297817,0.80935746,-0.6405065,-0.61609995,0.9069297,0.8769992,0.0299305
5,2.4398794,2.454624,"('distant', 'outgoing')",-0.1279626,-0.116680324,-0.5475056,-0.55061716,0.5881371,0.5957754,-0.0076383
3,-2.3912148,-2.3661377,"('repellent', 'pleasant')",0.14211674,0.10173405,0.30720928,0.2422668,-0.6472963,-0.6740456,0.0267493
10,-2.3325162,-2.4592922,"('unsympathetic', 'sympathetic')",-1.46986,-1.6270556,-0.18709129,-0.4358986,-1.3298225,-1.5074155,0.177593
81,-2.2688186,-2.4502394,"('submissive', 'aggressive')",-1.2756524,-1.4437637,-0.3292737,-0.45074427,-1.2912482,-1.4482492,0.157001
64,-2.2508643,-2.315651,"('shy', 'confident')",-0.6605515,-0.7457936,-5.5031366,-5.2850366,-2.8048509,-2.7821604,-0.0226905
52,2.1790442,2.3705342,"('irrational', 'rational')",0.64973915,0.769782,-0.64806366,-0.47525877,0.7269066,0.8883525,-0.1614459
69,2.0243266,2.0749404,"('lazy', 'industrious')",1.0090412,1.1625537,-0.74876934,-0.6841882,0.7615328,0.851102,-0.0895692
84,1.9547405,1.6779908,"('inferior', 'superior')",0.08250795,-0.02282019,0.8482884,0.7533064,0.9618456,0.8028256,0.15902
60,-1.9201558,-1.9634217,"('inefficient', 'efficient')",0.08185929,-0.0268715,0.43190747,0.37836984,-0.4687963,-0.5373078,0.0685115
9,1.899258,1.786811,"('unaffectionate', 'caring')",0.12875396,0.12051591,0.78683424,0.6480216,0.9382821,0.8517828,0.0864993
76,-1.8644716,-2.1054423,"('anxious', 'daring')",-1.828879,-1.9356213,0.53804535,0.49962693,-1.0517684,-1.1804788,0.1287104
31,1.8373197,1.8985448,"('evil', 'good')",0.30482966,0.34754744,-1.5109868,-1.4456099,0.2103875,0.2668275,-0.05644
45,-1.8276712,-1.9085239,"('incompetent', 'competent')",-1.3199675,-1.5025083,-0.35987508,-0.55963165,-1.1691713,-1.3235546,0.1543833
80,-1.8261425,-1.9980158,"('dominated', 'dominating')",-0.68528265,-0.77376986,-0.82382786,-0.8564036,-1.1117511,-1.2093964,0.0976453
46,-1.747954,-2.1799173,"('uncompetitive', 'competitive')",0.5118912,0.23678823,0.15344504,0.064033285,-0.3608726,-0.6263653,0.2654927
