,pg&e_male,pg&e_female,tuple,corp_male,corp_female,average_male,average_female,male-female
18,-1.6057043,-1.7359313,"('disagreeable', 'welcoming')",0.17756689,0.06422508,-0.7140687,-0.8358531,0.1217844
56,1.4006329,1.6685431,"('impractical', 'practical')",-1.0899682,-0.9772526,0.1553323,0.3456452,-0.1903129
77,1.3931808,1.1767592,"('unmotivated', 'motivated')",-0.5455781,-0.6139311,0.4238014,0.2814141,0.1423873
81,-1.36467,-1.0403891,"('submissive', 'aggressive')",-0.5952931,-0.26990312,-0.9799815,-0.6551461,-0.3248354
39,1.3347125,1.191138,"('exploitative', 'cooperative')",-0.49980482,-0.53035176,0.4174538,0.3303931,0.0870607
38,-1.2863903,-1.3756651,"('untruthful', 'truthful')",-0.8922563,-1.0548774,-1.0893233,-1.2152712,0.1259479
60,1.2800704,1.1960633,"('inefficient', 'efficient')",-1.1376535,-1.2006173,0.0712085,-0.002277,0.0734855
68,-1.2579728,-1.2973031,"('dependent', 'independent')",-0.8123057,-0.9658155,-1.0351393,-1.1315593,0.09642
53,1.252161,0.815902,"('uncreative', 'creative')",-0.74579203,-0.8282512,0.2531845,-0.0061746,0.2593591
29,1.2503592,1.154877,"('unfair', 'fair')",0.21976349,0.22756523,0.7350613,0.6912211,0.0438402
35,-1.195282,-1.4072925,"('corrupt', 'incorrupt')",0.7127466,0.7025328,-0.2412677,-0.3523798,0.1111121
2,1.1915892,1.2427397,"('unlikable', 'likable')",1.1777749,1.1284876,1.1846821,1.1856136,-0.0009315
15,1.1026125,1.2671639,"('boring', 'funny')",0.988148,1.2519119,1.0453802,1.2595379,-0.2141577
62,1.1004496,1.4865584,"('incompetent', 'brilliant')",-1.3681847,-1.0565262,-0.1338676,0.2150161,-0.3488837
88,-1.0795037,-0.8998108,"('low', 'eminent')",-0.13545293,0.06990427,-0.6074783,-0.4149533,-0.192525
72,1.0659368,0.838738,"('unambitious', 'ambitious')",-0.7253381,-0.9624141,0.1702994,-0.061838,0.2321374
33,1.0432507,0.6737135,"('wrong', 'right')",0.7952116,0.6254499,0.9192312,0.6495817,0.2696495
17,-1.0400859,-0.85607934,"('nasty', 'nice')",-0.8306143,-0.67116714,-0.9353501,-0.7636232,-0.1717269
85,1.0273466,0.68812716,"('insignificant', 'prestigious')",0.98245114,0.8695734,1.0048989,0.7788503,0.2260486
10,-1.0180627,-1.0609813,"('unsympathetic', 'sympathetic')",-2.0070374,-1.8819761,-1.5125501,-1.4714787,-0.0410714
40,-1.0109085,-1.1568296,"('stingy', 'generous')",-1.1542993,-1.2173613,-1.0826039,-1.1870954,0.1044915
70,-1.0002378,-0.50847334,"('lethargic', 'energetic')",-0.914748,-0.5320874,-0.9574929,-0.5202804,-0.4372125
42,0.98818636,1.0469712,"('unreliable', 'reliable')",1.310542,1.2223194,1.1493642,1.1346452,0.014719
41,-0.97790766,-0.9378354,"('unforgiving', 'forgiving')",-1.4411436,-1.3580823,-1.2095256,-1.1479589,-0.0615667
69,0.9401753,0.7760241,"('lazy', 'industrious')",1.2893999,1.2377146,1.1147876,1.0068693,0.1079183
47,-0.90829843,-0.7180861,"('stupid', 'smart')",-0.85485,-0.600737,-0.8815742,-0.6594115,-0.2221627
73,0.907467,0.931353,"('helpless', 'self-reliant')",0.7361138,0.7125175,0.8217904,0.8219352,-0.0001448
51,-0.8695639,-0.73336935,"('uneducated', 'educated')",-0.56211627,-0.5070306,-0.7158401,-0.6202,-0.0956401
76,0.86846405,1.1544335,"('anxious', 'daring')",0.55704385,0.6226961,0.712754,0.8885648,-0.1758108
84,0.79149044,0.69363153,"('inferior', 'superior')",-0.059155364,-0.07363866,0.3661675,0.3099964,0.0561711
9,0.73836064,0.13568236,"('unaffectionate', 'caring')",-0.599898,-0.8704485,0.0692313,-0.3673831,0.4366144
21,0.7379012,0.8576909,"('immoral', 'moral')",-0.44563013,-0.22274986,0.1461355,0.3174705,-0.171335
28,-0.7354664,-0.8303685,"('disloyal', 'loyal')",-1.5270908,-1.4853858,-1.1312786,-1.1578772,0.0265986
61,0.7215923,0.6954762,"('illogical', 'logical')",-0.38124403,-0.13509847,0.1701741,0.2801889,-0.1100148
13,-0.69587123,-0.4322896,"('impolite', 'polite')",-1.9131521,-1.6977059,-1.3045117,-1.0649977,-0.239514
49,-0.68758535,-0.5341034,"('unable', 'able')",-0.7502901,-0.71163476,-0.7189378,-0.6228691,-0.0960687
64,-0.66253704,-0.34691763,"('shy', 'confident')",-0.47052735,-0.33508974,-0.5665322,-0.3410037,-0.2255285
26,0.64684695,0.4780578,"('hardhearted', 'benevolent')",0.6570473,0.99825776,0.6519471,0.7381577,-0.0862106
46,-0.614855,-0.42251065,"('uncompetitive', 'competitive')",-0.9802832,-0.94643444,-0.7975691,-0.6844726,-0.1130965
0,-0.5963946,-0.42432868,"('unsociable', 'sociable')",-2.0625315,-1.7958157,-1.329463,-1.1100721,-0.2193909
83,0.58185863,0.5923827,"('powerless', 'powerful')",-0.8848754,-0.9004363,-0.1515084,-0.1540268,0.0025184
3,-0.5707879,-0.4672885,"('repellent', 'pleasant')",-1.3319268,-1.5057878,-0.9513574,-0.9865382,0.0351808
86,-0.552203,-0.8608989,"('uninfluential', 'influential')",-2.1976058,-2.1328669,-1.3749044,-1.4968829,0.1219785
67,-0.54420227,-0.31492844,"('doubtful', 'determined')",-0.3200631,-0.18339255,-0.4321327,-0.2491605,-0.1829722
