,sysco_male,sysco_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.0400672,-2.3957224,"('unsympathetic', 'sympathetic')",-0.37094033,-0.51082873,-1.2055037,-1.4532756,0.2477719
57,-1.9431119,-2.2163339,"('unimaginative', 'imaginative')",-3.221788,-3.3600192,-2.5824499,-2.7881765,0.2057266
69,1.6823306,1.9655923,"('lazy', 'industrious')",-0.7562648,-0.8967023,0.4630329,0.534445,-0.0714121
39,1.4631233,1.2634379,"('exploitative', 'cooperative')",0.4041267,0.31362545,0.933625,0.7885317,0.1450933
51,-1.4203451,-1.5830458,"('uneducated', 'educated')",0.32548523,0.22142011,-0.5474299,-0.6808128,0.1333829
43,-1.4008932,-1.516476,"('irresponsible', 'responsible')",0.3047537,0.27050877,-0.5480698,-0.6229836,0.0749138
0,-1.3910997,-1.8226749,"('unsociable', 'sociable')",-0.18695244,-0.5887271,-0.7890261,-1.205701,0.4166749
72,-1.3679097,-1.5115715,"('unambitious', 'ambitious')",-0.52187306,-0.22721052,-0.9448913,-0.869391,-0.0755003
86,-1.31366,-1.6760281,"('uninfluential', 'influential')",-0.13796645,-0.37154943,-0.7258133,-1.0237888,0.2979755
38,-1.166409,-1.0581582,"('untruthful', 'truthful')",-0.22476739,-0.16844043,-0.6955882,-0.6132993,-0.0822889
13,-1.1377816,-1.3522629,"('impolite', 'polite')",-0.7729016,-0.8344917,-0.9553416,-1.0933774,0.1380358
70,-1.1032473,-1.3804947,"('lethargic', 'energetic')",0.1396275,0.125336,-0.4818099,-0.6275793,0.1457694
26,0.95811707,0.6533991,"('hardhearted', 'benevolent')",1.7940123,1.3394037,1.3760647,0.9964014,0.3796633
63,-0.9540826,-1.1981863,"('unperceptive', 'insightful')",0.59644437,0.4556402,-0.1788191,-0.371273,0.1924539
8,-0.9406963,-0.9505569,"('unaffectionate', 'affectionate')",0.6643466,0.6231041,-0.1381749,-0.1637264,0.0255515
55,-0.90783215,-1.263398,"('incompetent', 'clever')",0.47331092,0.23504883,-0.2172606,-0.5141746,0.296914
45,-0.8910434,-1.2963723,"('incompetent', 'competent')",0.26853245,-0.1825881,-0.3112555,-0.7394802,0.4282247
23,-0.876928,-1.39087,"('insincere', 'sincere')",5.6890173,5.6774406,2.4060447,2.1432853,0.2627594
56,-0.86948013,-0.92232573,"('impractical', 'practical')",-0.46886265,-0.5242642,-0.6691714,-0.723295,0.0541236
81,-0.85032886,-0.97826576,"('submissive', 'aggressive')",-0.6972978,-0.6669464,-0.7738134,-0.8226061,0.0487927
47,-0.8433978,-0.82388705,"('stupid', 'smart')",5.148731,5.257983,2.1526668,2.2170482,-0.0643814
2,0.8359101,0.6203371,"('unlikable', 'likable')",0.89029336,0.7208727,0.8631017,0.6706049,0.1924968
68,-0.8256305,-0.74078554,"('dependent', 'independent')",-0.9056497,-0.95846826,-0.8656401,-0.8496269,-0.0160132
22,-0.78348404,-1.1633341,"('untrustworthy', 'trustworthy')",-1.0639318,-1.3818384,-0.923708,-1.2725863,0.3488783
85,0.77593976,0.7871373,"('insignificant', 'prestigious')",0.057367418,-0.2791582,0.4166536,0.2539896,0.162664
7,-0.7729478,-1.3812498,"('insensitive', 'sensitive')",0.6134222,0.17225169,-0.0797628,-0.604499,0.5247362
9,-0.7598037,-0.9156973,"('unaffectionate', 'caring')",1.010976,0.99636245,0.1255861,0.0403326,0.0852535
73,0.7502043,0.9704717,"('helpless', 'self-reliant')",-3.2301507,-3.1692398,-1.2399732,-1.0993841,-0.1405891
29,-0.74559295,-0.83530676,"('unfair', 'fair')",-0.69177353,-0.62847155,-0.7186832,-0.7318891,0.0132059
