,interpublic_male,interpublic_female,tuple,group_male,group_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
69,2.3835468,2.2409546,"('lazy', 'industrious')",-0.34658745,-0.60990393,0.8399957,0.42161074,-0.10456371,-0.5033666,0.6930978,0.3873237,0.3057741
10,-2.3457565,-2.376657,"('unsympathetic', 'sympathetic')",1.1824484,1.2965255,-1.0215285,-0.86777943,-0.2595393,-0.15680353,-0.611094,-0.5261787,-0.0849153
86,-2.0658286,-2.129029,"('uninfluential', 'influential')",0.71763724,0.695434,-1.1818092,-1.2976193,-0.38429302,-0.42360833,-0.7285734,-0.7887057,0.0601323
46,-2.0165467,-2.1234083,"('uncompetitive', 'competitive')",2.9703805,3.0247793,-0.5688503,-0.4259077,-0.8795427,-0.6936251,-0.1236398,-0.0545404,-0.0690994
48,-1.9403065,-2.001435,"('unintelligent', 'intelligent')",-0.045009803,0.034765147,-1.1227515,-1.047095,0.15800144,0.15948313,-0.7375166,-0.7135704,-0.0239462
55,-1.8017422,-1.7687399,"('incompetent', 'clever')",2.760115,2.952611,-0.18837078,-0.014895536,-0.09365049,0.06842086,0.1690879,0.3093491,-0.1402612
63,-1.6670735,-1.684219,"('unperceptive', 'insightful')",1.9301078,1.8883775,0.38070378,0.3382206,0.60122526,0.60376525,0.3112409,0.2865361,0.0247048
8,-1.5379562,-1.625704,"('unaffectionate', 'affectionate')",-1.0173696,-1.1393793,-1.6951265,-1.9179881,0.7683947,0.66963327,-0.8705145,-1.0033594,0.1328449
28,-1.5364511,-1.6951249,"('disloyal', 'loyal')",0.21998674,0.10180184,-0.81102186,-0.9256449,1.4072924,1.3401532,-0.1800485,-0.2947037,0.1146552
78,-1.5361676,-1.6352985,"('nonresilient', 'resilient')",1.0777823,0.90563124,0.41026834,0.25426966,-0.26220924,-0.37395397,-0.0775816,-0.2123379,0.1347563
44,1.4838158,1.6024586,"('prejudiced', 'unprejudiced')",-0.43002585,-0.2083358,-0.7796521,-0.55678123,-1.3689653,-1.1295621,-0.2737069,-0.0730551,-0.2006518
9,-1.4207456,-1.4425123,"('unaffectionate', 'caring')",-0.8292284,-0.9135259,-1.3809316,-1.5729848,1.3073362,1.2317071,-0.5808923,-0.6743289,0.0934366
43,-1.3909525,-1.2663294,"('irresponsible', 'responsible')",1.4202254,1.7052008,-0.33898237,-0.22085145,0.60062474,0.847185,0.0727288,0.2663012,-0.1935724
0,-1.3498102,-1.3778051,"('unsociable', 'sociable')",0.9191292,0.9186264,-0.50843257,-0.55695224,-0.9038977,-0.88909936,-0.4607528,-0.4763076,0.0155548
51,-1.2098907,-1.181654,"('uneducated', 'educated')",1.1778938,1.1953853,0.6309001,0.61964774,0.0064776912,0.057350937,0.1513452,0.1726825,-0.0213373
