,marsh_male,marsh_female,tuple,&_male,&_female,mclennan_male,mclennan_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
82,-1.871877,-1.6680385,"('poor', 'rich')",-0.08851253,0.05717898,-1.0805002,-0.9187136,0.013585768,0.13934873,5.4581347,5.7275386,0.4861661,0.6674628,-0.1812967
51,-1.382969,-1.5697924,"('uneducated', 'educated')",0.63047856,0.55807495,-1.3593869,-1.4769163,-0.4828734,-0.5405941,-0.061646923,-0.038185105,-0.5312796,-0.6134826,0.082203
18,-1.3454256,-1.0833325,"('disagreeable', 'welcoming')",0.23510206,0.371917,-0.02582902,0.18054315,-1.9958122,-1.871025,-0.51476955,-0.3911857,-0.7293468,-0.5586166,-0.1707302
49,-1.2921255,-1.0361245,"('unable', 'able')",-0.19809131,-0.08421638,-1.5491439,-1.4183182,-1.4172232,-1.2933658,-0.89225143,-0.7586454,-1.0697671,-0.9181341,-0.151633
16,-1.2611102,-1.0459132,"('unpopular', 'popular')",0.123347625,0.14591691,-0.013744984,0.14389709,-0.26557553,-0.3379384,0.8637404,0.77898985,-0.1106685,-0.0630096,-0.0476589
7,1.2565398,1.321773,"('insensitive', 'sensitive')",0.349855,0.30643362,-1.4640461,-1.3949279,-0.28712705,-0.23237273,0.6481005,0.7605575,0.1006644,0.1522927,-0.0516283
47,-1.2399093,-1.3110838,"('stupid', 'smart')",0.35348278,0.39119816,-1.1603312,-1.1951822,0.63623035,0.71936953,4.865556,5.055722,0.6910057,0.7320047,-0.040999
73,1.2383378,1.244467,"('helpless', 'self-reliant')",0.6504943,0.69438446,1.691601,1.714911,0.43849277,0.4263694,-3.0113328,-3.0990744,0.2015186,0.1962114,0.0053072
71,1.1929948,0.98097366,"('diffident', 'self-confident')",0.03242121,0.07490421,0.15725665,0.2040922,-0.2572568,-0.30724278,0.7893044,0.65392065,0.382944,0.3213296,0.0616144
4,-1.1480407,-0.7322795,"('disliked', 'liked')",0.1630772,0.23600556,0.42691767,0.62694037,-0.61441797,-0.6491747,-5.5644164,-5.7549067,-1.3473761,-1.254683,-0.0926931
52,-1.1123399,-1.0108721,"('irrational', 'rational')",-0.46199444,-0.37578484,0.25739396,0.25046477,-0.87867767,-0.9290973,0.67364365,0.4776737,-0.3043949,-0.3175231,0.0131282
74,1.099357,1.1647735,"('undedicated', 'dedicated')",1.0173635,1.1052163,-0.2096403,-0.1411286,0.49286234,0.65962625,0.31836647,0.39059278,0.5436619,0.635816,-0.0921541
88,-1.0974535,-1.1194193,"('low', 'eminent')",-0.43342072,-0.47966394,-0.8495065,-1.0362338,-0.53820723,-0.6511872,0.28172326,0.28152886,-0.5273729,-0.6009951,0.0736222
39,1.0637779,0.9303771,"('exploitative', 'cooperative')",0.30524287,0.27608338,-0.38364244,-0.4180602,0.9756974,1.0829749,0.017492063,0.10938114,0.3957136,0.3961513,-0.0004377
