,microsoft_male,microsoft_female,tuple,corp_male,corp_female,average_male,average_female,male-female
53,2.30961,2.2394888,"('uncreative', 'creative')",0.9115334,0.7196804,1.6105716,1.4795847,0.1309869
1,2.2316215,1.7989242,"('unfriendly', 'friendly')",1.5073,0.97242665,1.8694608,1.3856754,0.4837854
39,2.2235737,2.3108504,"('exploitative', 'cooperative')",0.30684465,0.3573317,1.2652092,1.3340911,-0.0688819
85,2.1703386,1.655804,"('insignificant', 'prestigious')",0.64877707,-0.18505469,1.4095578,0.7353747,0.6741831
81,-2.0289965,-1.5971899,"('submissive', 'aggressive')",-1.4343629,-0.76680076,-1.7316797,-1.1819954,-0.5496843
54,1.9043739,1.7588533,"('incapable', 'capable')",0.88034016,1.0188283,1.392357,1.3888408,0.0035162
9,1.8960522,1.6584367,"('unaffectionate', 'caring')",0.59619784,0.5001702,1.246125,1.0793034,0.1668216
61,1.8725464,1.7340535,"('illogical', 'logical')",0.7191194,0.82943815,1.2958329,1.2817458,0.0140871
26,1.825203,1.5386453,"('hardhearted', 'benevolent')",1.6774482,1.1115044,1.7513256,1.3250749,0.4262507
6,1.7362485,1.4891516,"('distant', 'open')",-0.4906195,-0.85028774,0.6228145,0.3194319,0.3033826
8,1.6745647,1.2275314,"('unaffectionate', 'affectionate')",0.1716785,-0.21463737,0.9231216,0.506447,0.4166746
71,1.536285,1.4521812,"('diffident', 'self-confident')",0.28445145,0.22378947,0.9103683,0.8379853,0.072383
5,1.5232817,1.3327848,"('distant', 'outgoing')",-0.46487555,-0.85161,0.5292031,0.2405874,0.2886157
84,1.4863608,1.3974588,"('inferior', 'superior')",1.651132,1.5022765,1.5687463,1.4498677,0.1188786
23,1.3867967,1.6619598,"('insincere', 'sincere')",4.8927636,5.9029946,3.13978,3.7824771,-0.6426971
25,1.328809,0.9997863,"('egoistic', 'altruistic')",1.4207773,1.1739972,1.3747932,1.0868918,0.2879014
44,-1.324927,-1.0109899,"('prejudiced', 'unprejudiced')",-1.3728609,-1.1162177,-1.3488939,-1.0636039,-0.28529
70,-1.3122925,-0.86919963,"('lethargic', 'energetic')",-0.06705532,0.40957725,-0.6896739,-0.2298112,-0.4598627
33,1.1977798,0.88750076,"('wrong', 'right')",-0.47724426,-0.88527155,0.3602678,0.0011146,0.3591532
42,-1.167108,-0.7395897,"('unreliable', 'reliable')",-3.195598,-3.1690857,-2.1813531,-1.9543377,-0.2270154
4,-1.1375977,-1.1936007,"('disliked', 'liked')",-5.653477,-6.8333087,-3.3955374,-4.0134544,0.617917
0,-1.1218024,-1.1219593,"('unsociable', 'sociable')",-0.48806903,-0.2605583,-0.8049358,-0.6912588,-0.113677
45,-1.1209964,-0.798141,"('incompetent', 'competent')",-0.7874492,-0.53505236,-0.9542228,-0.6665967,-0.2876261
14,-1.0913137,-0.989197,"('antisocial', 'social')",-0.3329474,-0.24687262,-0.7121305,-0.6180348,-0.0940957
57,-0.9624192,-0.749905,"('unimaginative', 'imaginative')",-2.7705653,-3.0486634,-1.8664923,-1.8992841,0.0327918
10,-0.9383504,-0.5463859,"('unsympathetic', 'sympathetic')",-0.9868679,-0.4681836,-0.9626092,-0.5072848,-0.4553244
76,-0.9365756,-0.50269514,"('anxious', 'daring')",-0.6426384,0.06857354,-0.789607,-0.2170608,-0.5725462
52,0.88904166,0.42227694,"('irrational', 'rational')",-0.047326602,-0.6124085,0.4208575,-0.0950658,0.5159233
12,0.86884093,1.1749691,"('unsupportive', 'supportive')",-1.9409419,-2.0764468,-0.5360505,-0.4507388,-0.0853117
24,0.86202526,0.8675155,"('dishonest', 'honest')",0.39097708,0.5393655,0.6265012,0.7034405,-0.0769393
80,-0.8584551,-0.65731657,"('dominated', 'dominating')",-1.2132385,-0.65529984,-1.0358468,-0.6563082,-0.3795386
82,-0.81645083,-0.5193805,"('poor', 'rich')",5.112655,5.989728,2.1481023,2.7351737,-0.5870714
2,0.8076547,0.846539,"('unlikable', 'likable')",0.6876236,0.49164262,0.7476392,0.6690908,0.0785484
51,-0.80243397,-0.77219576,"('uneducated', 'educated')",0.5903792,0.65631896,-0.1060274,-0.0579384,-0.048089
59,0.7944995,0.6727237,"('foolish', 'wise')",-0.02430909,-0.3823722,0.3850952,0.1451758,0.2399194
74,0.78296375,0.9786657,"('undedicated', 'dedicated')",-0.04266996,-0.09556969,0.3701469,0.441548,-0.0714011
3,-0.7666637,-0.64580894,"('repellent', 'pleasant')",0.776518,1.071294,0.0049272,0.2127425,-0.2078153
37,-0.7354709,-0.66066134,"('fake', 'genuine')",-0.27283102,-0.24222356,-0.504151,-0.4514425,-0.0527085
69,0.7231839,0.48663518,"('lazy', 'industrious')",-0.2584296,-0.95773435,0.2323771,-0.2355496,0.4679267
64,-0.6681102,-0.5858396,"('shy', 'confident')",-5.1606584,-5.8723574,-2.9143844,-3.2290986,0.3147142
86,0.6302002,0.5390992,"('uninfluential', 'influential')",-0.48425585,-0.36805582,0.0729722,0.0855217,-0.0125495
20,0.6151807,0.59635246,"('rough', 'thoughtful')",0.9528142,0.8530463,0.7839974,0.7246994,0.059298
65,-0.5716635,-0.40140146,"('insecure', 'secure')",-0.5090923,0.04016663,-0.5403779,-0.1806174,-0.3597605
78,0.56920075,0.5511933,"('nonresilient', 'resilient')",0.31064785,0.2427621,0.4399243,0.3969777,0.0429466
75,-0.55289805,-0.4748803,"('meek', 'impulsive')",-0.3267831,-0.55634737,-0.4398406,-0.5156139,0.0757733
68,-0.52080214,-0.4973721,"('dependent', 'independent')",-0.7553489,-0.72636056,-0.6380755,-0.6118664,-0.0262091
73,0.5132404,0.59039813,"('helpless', 'self-reliant')",-2.8958638,-3.231449,-1.1913117,-1.3205254,0.1292137
62,0.51195717,0.99732405,"('incompetent', 'brilliant')",-0.2331542,0.49157578,0.1394015,0.7444499,-0.6050484
13,-0.5065565,-0.4820448,"('impolite', 'polite')",-1.1012478,-0.86157835,-0.8039021,-0.6718116,-0.1320905
83,0.4988641,0.665259,"('powerless', 'powerful')",-0.7035488,-0.55243134,-0.1023423,0.0564138,-0.1587561
50,-0.48648423,-0.38381827,"('clumsy', 'skillful')",-0.17803593,-0.076677024,-0.3322601,-0.2302476,-0.1020125
18,0.48612553,0.31917277,"('disagreeable', 'welcoming')",-0.50342447,-0.71904945,-0.0086495,-0.1999383,0.1912888
