,rowan_male,rowan_female,tuple,companies_male,companies_female,plc_male,plc_female,average_male,average_female,male-female
81,6.1226416,5.848276,"('submissive', 'aggressive')",1.8117081,1.3922346,-1.2369317,-1.6778573,2.2324726,1.8542178,0.3782548
36,-5.6960597,-5.606271,"('hostile', 'amicable')",-1.2017828,-1.4827087,1.5284289,1.4514362,-1.7898045,-1.8791812,0.0893767
31,-5.642403,-5.4162316,"('evil', 'good')",-1.0991708,-0.7806029,-0.130096,0.19267519,-2.2905566,-2.0013865,-0.2891701
60,5.593779,5.5514517,"('inefficient', 'efficient')",1.9998134,1.9956998,-0.50680286,-0.94620633,2.3622632,2.2003152,0.161948
14,5.2684803,5.0962224,"('antisocial', 'social')",2.3498483,2.1380508,0.17524107,-0.22786266,2.5978565,2.33547,0.2623865
55,5.263555,5.4075403,"('incompetent', 'clever')",1.7610209,1.6900753,-0.352891,-0.63261664,2.2238951,2.1549997,0.0688954
10,5.0782495,4.9344406,"('unsympathetic', 'sympathetic')",1.4720997,1.3090068,-0.3805804,-0.5933133,2.0565896,1.883378,0.1732116
70,5.0757427,4.934559,"('lethargic', 'energetic')",0.99015033,0.88805664,-0.0021878444,-0.19977999,2.0212351,1.8742785,0.1469566
46,4.854546,4.9195585,"('uncompetitive', 'competitive')",2.009874,1.997157,-1.1546357,-1.4106913,1.9032615,1.8353415,0.06792
80,4.584015,4.535269,"('dominated', 'dominating')",0.7689104,0.5941658,-0.19510661,-0.42462647,1.7192729,1.5682694,0.1510035
35,-4.5019126,-4.478528,"('corrupt', 'incorrupt')",-1.7808965,-1.6957603,0.03891856,0.3070384,-2.0812969,-1.95575,-0.1255469
52,-4.4533753,-4.1543303,"('irrational', 'rational')",-1.4019325,-1.5127145,0.35116374,0.47867754,-1.8347146,-1.7294556,-0.105259
85,-4.355379,-4.1687064,"('insignificant', 'prestigious')",-0.04042065,-0.091987565,0.8671607,1.0478634,-1.1762129,-1.0709435,-0.1052694
7,4.288003,4.1893106,"('insensitive', 'sensitive')",1.0814689,1.0822581,0.97173566,0.84052145,2.1137358,2.0373634,0.0763724
62,4.205492,4.415174,"('incompetent', 'brilliant')",1.8526746,1.8211943,0.03784891,-0.20215462,2.0320052,2.0114045,0.0206007
56,3.8022578,3.674864,"('impractical', 'practical')",1.6725053,1.3559892,0.21794792,-0.002036985,1.8975703,1.6762721,0.2212982
45,3.7631493,4.1856346,"('incompetent', 'competent')",1.2178277,1.2908546,0.40680224,0.1917643,1.7959264,1.8894178,-0.0934914
76,3.6267424,3.1797957,"('anxious', 'daring')",1.0756584,1.1358945,-0.35486472,-0.5855686,1.4491787,1.2433738,0.2058049
86,3.5238364,3.7823515,"('uninfluential', 'influential')",0.48643446,0.39283115,0.3086079,0.092029005,1.4396264,1.422404,0.0172224
