,ciena_male,ciena_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.5780765,-1.2983075,"('unfriendly', 'friendly')",0.70824575,0.27324995,-0.4349154,-0.5125288,0.0776134
53,-1.4882104,-1.4144229,"('uncreative', 'creative')",0.39138493,0.32995704,-0.5484127,-0.5422329,-0.0061798
86,-1.4844034,-1.3125099,"('uninfluential', 'influential')",-0.09802681,-0.3950615,-0.7912151,-0.8537857,0.0625706
57,-1.398068,-1.2950516,"('unimaginative', 'imaginative')",-2.9985514,-2.5012982,-2.1983097,-1.8981749,-0.3001348
19,-1.30646,-0.9750788,"('inhospitable', 'hospitable')",-0.90448856,-1.0086056,-1.1054742,-0.9918422,-0.113632
84,1.2963294,0.9840684,"('inferior', 'superior')",0.9520962,1.1087085,1.1242127,1.0463884,0.0778243
31,-1.2632222,-1.1680789,"('evil', 'good')",-1.6518663,-1.9373246,-1.4575443,-1.5527017,0.0951574
79,-1.1867956,-1.1262007,"('wavering', 'unwavering')",-0.73096585,-1.2011042,-0.9588807,-1.1636524,0.2047717
10,-1.1517926,-1.3106747,"('unsympathetic', 'sympathetic')",0.6574549,0.15786809,-0.2471689,-0.5764033,0.3292344
9,-1.0724887,-1.0181823,"('unaffectionate', 'caring')",0.88244724,0.21044996,-0.0950207,-0.4038662,0.3088455
62,1.0355797,0.82823163,"('incompetent', 'brilliant')",1.1533751,1.1038369,1.0944774,0.9660343,0.1284431
2,1.0139161,1.3082492,"('unlikable', 'likable')",0.38644916,0.60293543,0.7001827,0.9555923,-0.2554096
42,1.006189,0.94281673,"('unreliable', 'reliable')",-2.9508672,-2.623407,-0.9723391,-0.8402951,-0.132044
76,0.99559647,0.71484107,"('anxious', 'daring')",0.5187517,0.4039554,0.7571741,0.5593982,0.1977759
8,-0.9857164,-0.74472404,"('unaffectionate', 'affectionate')",0.1194734,-0.3382315,-0.4331215,-0.5414778,0.1083563
6,-0.97999936,-0.9105937,"('distant', 'open')",-1.0921826,-1.8614782,-1.036091,-1.3860359,0.3499449
5,-0.97686195,-0.9416997,"('distant', 'outgoing')",-1.1154108,-1.6351516,-1.0461364,-1.2884257,0.2422893
77,-0.91101587,-0.5007721,"('unmotivated', 'motivated')",-0.8815911,-0.5549115,-0.8963035,-0.5278418,-0.3684617
45,-0.8737771,-0.6012536,"('incompetent', 'competent')",0.26452506,0.40200227,-0.304626,-0.0996257,-0.2050003
78,-0.83666927,-0.93876755,"('nonresilient', 'resilient')",0.25017756,-0.021709409,-0.2932459,-0.4802385,0.1869926
36,-0.81719005,-0.44519076,"('hostile', 'amicable')",-1.0831134,-1.1818736,-0.9501517,-0.8135322,-0.1366195
7,-0.7974547,-0.44485143,"('insensitive', 'sensitive')",0.59726095,0.5841847,-0.1000969,0.0696666,-0.1697635
