,edison_male,edison_female,tuple,international_male,international_female,average_male,average_female,male-female
26,2.9993954,1.9414817,"('hardhearted', 'benevolent')",1.237172,1.0994729,2.1182837,1.5204773,0.5978064
45,-1.5904306,-1.643583,"('incompetent', 'competent')",0.023932483,-0.12598386,-0.7832491,-0.8847834,0.1015343
22,-1.5689652,-1.6575677,"('untrustworthy', 'trustworthy')",-0.6196777,-0.81187916,-1.0943215,-1.2347234,0.1404019
3,-1.5340371,-1.2006476,"('repellent', 'pleasant')",0.49444094,0.20260444,-0.5197981,-0.4990216,-0.0207765
54,-1.4626361,-1.4460248,"('incapable', 'capable')",0.76456887,1.217495,-0.3490336,-0.1142649,-0.2347687
42,-1.3923422,-1.5770028,"('unreliable', 'reliable')",-3.067464,-3.2571511,-2.2299032,-2.4170771,0.1871739
50,-1.3726809,-1.4438775,"('clumsy', 'skillful')",0.1768299,0.34971157,-0.5979255,-0.547083,-0.0508425
29,-1.3443803,-1.439716,"('unfair', 'fair')",-0.6592089,-0.83738106,-1.0017946,-1.1385485,0.1367539
77,-1.2309101,-0.9162668,"('unmotivated', 'motivated')",-1.0523825,-1.133816,-1.1416463,-1.0250413,-0.116605
64,-1.2272122,-1.2773288,"('shy', 'confident')",-6.0948277,-6.7003193,-3.6610198,-3.9888241,0.3278043
16,-1.216853,-1.2938492,"('unpopular', 'popular')",0.24706589,0.2936616,-0.4848936,-0.5000938,0.0152002
9,1.1735749,1.0480809,"('unaffectionate', 'caring')",1.534797,1.7628081,1.3541859,1.4054445,-0.0512586
81,-1.1205026,-0.6365609,"('submissive', 'aggressive')",-0.6407469,-0.48536932,-0.8806248,-0.5609651,-0.3196597
70,-1.1138426,-0.6914416,"('lethargic', 'energetic')",0.6216774,0.5088392,-0.2460826,-0.0913012,-0.1547814
10,-1.1030768,-1.1575894,"('unsympathetic', 'sympathetic')",-0.12368774,-0.25391397,-0.6133823,-0.7057517,0.0923694
82,-1.0850067,-1.0431099,"('poor', 'rich')",5.643988,6.2904406,2.2794907,2.6236653,-0.3441746
51,-1.0154927,-1.0528139,"('uneducated', 'educated')",0.4498837,0.35718384,-0.2828045,-0.347815,0.0650105
72,0.99777985,1.3411009,"('unambitious', 'ambitious')",-0.23297562,-0.014691196,0.3824021,0.6632048,-0.2808027
76,-0.9864437,-0.64481086,"('anxious', 'daring')",0.35985714,0.4000735,-0.3132933,-0.1223687,-0.1909246
33,0.962556,0.6623608,"('wrong', 'right')",-0.17097923,-0.17764461,0.3957884,0.2423581,0.1534303
46,-0.95249015,-0.6649072,"('uncompetitive', 'competitive')",-0.42701018,-0.64980626,-0.6897502,-0.6573567,-0.0323935
69,0.94599134,0.5968978,"('lazy', 'industrious')",-0.55527014,-0.6534698,0.1953606,-0.028286,0.2236466
63,-0.92934126,-0.51970357,"('unperceptive', 'insightful')",1.027289,0.98017126,0.0489739,0.2302338,-0.1812599
23,-0.91967297,-0.40937415,"('insincere', 'sincere')",6.496186,6.805383,2.7882564,3.1980045,-0.4097481
73,0.8858336,0.98144305,"('helpless', 'self-reliant')",-3.8209548,-3.784599,-1.4675605,-1.4015779,-0.0659826
0,-0.8641795,-0.90732044,"('unsociable', 'sociable')",-0.105187565,-0.35110176,-0.4846835,-0.6292111,0.1445276
41,-0.7980041,-0.9096389,"('unforgiving', 'forgiving')",0.0018281378,-0.19300441,-0.398088,-0.5513216,0.1532336
36,0.791036,0.2634853,"('hostile', 'amicable')",0.056663178,0.03440054,0.4238496,0.1489429,0.2749067
68,-0.78792703,-0.5985977,"('dependent', 'independent')",-0.2698871,-0.27364567,-0.5289071,-0.4361217,-0.0927854
27,0.78710496,0.69557214,"('hardhearted', 'softhearted')",0.8748107,0.7443968,0.8309578,0.7199845,0.1109733
25,0.7827414,0.65503097,"('egoistic', 'altruistic')",0.44991252,0.6407083,0.616327,0.6478696,-0.0315426
15,0.76167357,0.4734357,"('boring', 'funny')",0.12549645,0.18220851,0.443585,0.3278221,0.1157629
19,-0.7569268,-0.7150008,"('inhospitable', 'hospitable')",-0.50900835,-0.27773178,-0.6329676,-0.4963663,-0.1366013
78,-0.73230547,-0.7140482,"('nonresilient', 'resilient')",0.009282928,0.07291755,-0.3615113,-0.3205653,-0.040946
18,-0.6952056,-0.7446204,"('disagreeable', 'welcoming')",-0.28557688,-0.20721574,-0.4903913,-0.4759181,-0.0144732
44,-0.6761734,-0.3219148,"('prejudiced', 'unprejudiced')",-0.8329324,-0.7831525,-0.7545529,-0.5525336,-0.2020193
8,0.6590288,0.16286375,"('unaffectionate', 'affectionate')",0.69483864,0.93699294,0.6769338,0.5499284,0.1270054
14,-0.6377859,-0.73618066,"('antisocial', 'social')",-0.09764252,-0.49501315,-0.3677142,-0.6155969,0.2478827
75,-0.631957,-0.39127016,"('meek', 'impulsive')",-0.5063034,-0.3782877,-0.5691302,-0.3847789,-0.1843513
71,0.6227145,0.77664024,"('diffident', 'self-confident')",0.84570056,0.88327587,0.7342075,0.8299581,-0.0957506
74,-0.613628,-0.6714165,"('undedicated', 'dedicated')",-0.12544031,-0.223053,-0.3695341,-0.4472347,0.0777006
87,-0.588868,-0.32115048,"('unsuccessful', 'successful')",0.59351724,0.77634597,0.0023246,0.2275977,-0.2252731
88,0.586988,0.6856652,"('low', 'eminent')",0.14930414,0.27647087,0.3681461,0.481068,-0.1129219
49,-0.5679064,-0.21009488,"('unable', 'able')",-0.098350376,0.2542064,-0.3331284,0.0220558,-0.3551842
13,-0.56304246,-0.19638371,"('impolite', 'polite')",0.33576024,0.20425382,-0.1136411,0.0039351,-0.1175762
56,0.536384,0.8864854,"('impractical', 'practical')",0.42127645,0.42579752,0.4788302,0.6561415,-0.1773113
84,0.5211831,0.42663455,"('inferior', 'superior')",0.65613824,0.66292787,0.5886607,0.5447812,0.0438795
86,0.5108039,0.09825135,"('uninfluential', 'influential')",-0.17714733,-0.4037937,0.1668283,-0.1527712,0.3195995
67,-0.48778385,-0.6394911,"('doubtful', 'determined')",-0.14042984,-0.22247835,-0.3141069,-0.4309847,0.1168778
58,0.47704065,0.3497429,"('undiscriminating', 'discriminating')",-0.2910655,-0.45918432,0.0929876,-0.0547207,0.1477083
48,0.47316122,0.46055788,"('unintelligent', 'intelligent')",0.4866112,0.53298956,0.4798862,0.4967737,-0.0168875
20,-0.45379198,-0.4021908,"('rough', 'thoughtful')",0.7058175,0.51636916,0.1260128,0.0570892,0.0689236
85,0.44583508,-0.04142803,"('insignificant', 'prestigious')",-0.90232736,-0.6429298,-0.2282461,-0.3421789,0.1139328
34,0.44577783,0.9100219,"('mean', 'honorable')",5.666964,6.0598783,3.056371,3.4849501,-0.4285791
66,-0.42637676,-0.8244915,"('inactive', 'active')",1.0532557,0.8497901,0.3134395,0.0126493,0.3007902
1,0.42152745,0.026880935,"('unfriendly', 'friendly')",1.0758291,1.3545332,0.7486783,0.6907071,0.0579712
11,-0.416924,0.36837995,"('unhelpful', 'helpful')",2.593579,2.79262,1.0883275,1.5804999,-0.4921724
30,-0.3597558,-0.019186113,"('intolerant', 'tolerant')",0.607818,0.6423207,0.1240311,0.3115673,-0.1875362
4,0.35289383,0.20313038,"('disliked', 'liked')",-7.132242,-7.4134774,-3.3896742,-3.6051736,0.2154994
5,0.34527034,0.02790045,"('distant', 'outgoing')",-0.49079704,-0.22394645,-0.0727634,-0.098023,0.0252596
55,-0.32641774,-0.13164021,"('incompetent', 'clever')",-0.15593569,-0.33217555,-0.2411767,-0.2319079,-0.0092688
43,-0.3217812,0.00018297136,"('irresponsible', 'responsible')",0.6924375,0.6766793,0.1853282,0.3384311,-0.1531029
52,-0.31952554,-0.7704969,"('irrational', 'rational')",-0.42698672,-0.35792014,-0.3732561,-0.5642085,0.1909524
12,0.3180788,0.47633767,"('unsupportive', 'supportive')",-1.5274142,-1.6292027,-0.6046677,-0.5764325,-0.0282352
31,-0.31610727,-0.6679493,"('evil', 'good')",-1.6045595,-1.5863088,-0.9603334,-1.1271291,0.1667957
79,-0.27510104,-0.78613454,"('wavering', 'unwavering')",-0.028560512,0.23625006,-0.1518308,-0.2749422,0.1231114
61,-0.27124053,-0.33346087,"('illogical', 'logical')",0.07843491,-0.0024864152,-0.0964028,-0.1679736,0.0715708
47,-0.2544231,-0.29683292,"('stupid', 'smart')",5.291856,5.721266,2.5187163,2.7122164,-0.1935001
6,0.23710044,-0.3083619,"('distant', 'open')",-0.06323501,0.22406365,0.0869327,-0.0421491,0.1290818
40,0.23368722,-0.1009779,"('stingy', 'generous')",-2.637785,-2.9487514,-1.2020489,-1.5248647,0.3228158
21,-0.22288342,0.016000394,"('immoral', 'moral')",-0.042783435,-0.0846289,-0.1328334,-0.0343143,-0.0985191
80,-0.21247178,0.15836224,"('dominated', 'dominating')",-0.38033777,-0.6104894,-0.2964048,-0.2260636,-0.0703412
57,-0.20738679,-0.41715023,"('unimaginative', 'imaginative')",-3.4524074,-3.7075088,-1.829897,-2.0623295,0.2324325
24,0.20519142,0.24219245,"('dishonest', 'honest')",1.0832129,1.1072023,0.6442021,0.6746974,-0.0304953
28,-0.20519036,-0.44567955,"('disloyal', 'loyal')",1.1187326,1.2943984,0.4567711,0.4243594,0.0324117
35,-0.18596563,-0.6687989,"('corrupt', 'incorrupt')",-0.5316689,-0.5432882,-0.3588173,-0.6060436,0.2472263
60,0.18296319,0.94523114,"('inefficient', 'efficient')",0.46900347,0.51296115,0.3259833,0.7290962,-0.4031129
