,l3_male,l3_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.9033929,-1.986513,"('unfriendly', 'friendly')",0.09608767,0.25238466,1.8812472,1.6855924,0.0246473,-0.0161786,0.0408259
60,1.6660683,1.7104282,"('inefficient', 'efficient')",1.0845233,1.2530851,-0.17793947,-0.05294418,0.8575508,0.9701897,-0.1126389
36,-1.6020246,-1.8522424,"('hostile', 'amicable')",-0.8504014,-1.0884032,0.37351012,0.099872366,-0.6929719,-0.9469244,0.2539525
79,-1.4289535,-1.5692242,"('wavering', 'unwavering')",-1.4506334,-1.477649,-0.07926646,-0.12246777,-0.9862845,-1.0564469,0.0701624
55,1.2831258,1.3799226,"('incompetent', 'clever')",0.4904993,0.6683715,-0.08727394,0.031554077,0.562117,0.6932827,-0.1311657
62,1.2784901,1.5153377,"('incompetent', 'brilliant')",0.8021026,1.123317,-0.009173989,0.3865331,0.6904729,1.0083959,-0.317923
31,-1.2686409,-1.3888592,"('evil', 'good')",-0.39310887,-0.4701226,-0.91876984,-1.0311761,-0.8601732,-0.9633859,0.1032127
67,1.2586205,1.1524658,"('doubtful', 'determined')",0.05700422,-0.1286383,-0.78898126,-1.0341307,0.1755478,-0.0034344,0.1789822
39,1.1966516,1.2022436,"('exploitative', 'cooperative')",0.42887083,0.34467062,0.15252925,0.3758191,0.5926839,0.6409111,-0.0482272
42,1.1516732,1.0087061,"('unreliable', 'reliable')",-1.1891223,-1.1410364,-2.9510217,-2.8813455,-0.9961569,-1.0045586,0.0084017
56,1.123175,1.1892612,"('impractical', 'practical')",0.12597527,0.15213981,-0.3869743,-0.3556334,0.287392,0.3285892,-0.0411972
26,-1.1216106,-1.269989,"('hardhearted', 'benevolent')",0.6004261,0.4192868,1.6447973,1.1010665,0.3745376,0.0834547,0.2910829
53,-1.0956264,-1.0802891,"('uncreative', 'creative')",0.65568393,0.8695747,1.0134796,0.95534366,0.1911791,0.2482098,-0.0570307
19,-1.0669056,-1.0659462,"('inhospitable', 'hospitable')",-0.8429904,-0.9380033,0.15432929,0.05930686,-0.5851889,-0.6482143,0.0630254
8,-1.0553493,-1.085069,"('unaffectionate', 'affectionate')",-0.37628224,-0.4277233,0.9759886,1.0025222,-0.151881,-0.17009,0.018209
78,-1.0481384,-0.61313313,"('nonresilient', 'resilient')",1.2520567,1.8723491,0.26812127,0.43515342,0.1573465,0.5647899,-0.4074434
5,-0.994949,-0.91611904,"('distant', 'outgoing')",-0.6442692,-0.5395896,-0.2176159,-0.17213051,-0.6189447,-0.542613,-0.0763317
25,-0.9945401,-0.85755056,"('egoistic', 'altruistic')",0.45187077,0.49903524,1.6167098,1.6298283,0.3580135,0.423771,-0.0657575
85,-0.98102987,-1.0561647,"('insignificant', 'prestigious')",0.27015328,0.22285855,0.64621335,0.36725086,-0.0215544,-0.1553518,0.1337974
6,-0.97988135,-0.82911986,"('distant', 'open')",-0.92351663,-0.836957,0.34865683,0.36368868,-0.518247,-0.4341294,-0.0841176
88,-0.9748938,-1.1517222,"('low', 'eminent')",0.27790174,0.17659023,-0.07942384,-0.17916524,-0.2588053,-0.3847657,0.1259604
14,0.9437177,0.840595,"('antisocial', 'social')",0.6861772,0.6691628,-0.8025745,-0.73542523,0.2757735,0.2581108,0.0176627
81,0.92586493,0.776437,"('submissive', 'aggressive')",0.85275245,0.76765007,-0.6972902,-0.6744303,0.3604424,0.2898856,0.0705568
35,-0.91795117,-0.9064738,"('corrupt', 'incorrupt')",-0.7137062,-0.7238154,-0.34946787,-0.4134129,-0.6603751,-0.681234,0.0208589
66,-0.8948604,-0.80831224,"('inactive', 'active')",-0.95338374,-0.9123439,0.68046343,0.5915954,-0.3892603,-0.3763536,-0.0129067
9,-0.84095514,-0.7411897,"('unaffectionate', 'caring')",-0.15514651,-0.01081869,1.5849931,1.7769412,0.1962972,0.3416442,-0.145347
80,0.83075,1.0416226,"('dominated', 'dominating')",0.120499656,0.27984682,-1.2773633,-1.0695548,-0.1087045,0.0839715,-0.192676
28,-0.80215967,-0.7903417,"('disloyal', 'loyal')",-0.081756316,-0.008680437,1.2080561,1.1445379,0.1080467,0.1151719,-0.0071252
54,-0.79298425,-0.8090156,"('incapable', 'capable')",0.10642906,0.11921409,1.3243765,1.6127412,0.2126071,0.3076466,-0.0950395
64,0.7399045,0.51696706,"('shy', 'confident')",-0.33214566,-0.4839189,-6.1804085,-6.326899,-1.9242166,-2.0979503,0.1737337
0,-0.73109895,-0.98877895,"('unsociable', 'sociable')",-0.5184276,-0.6786733,-0.4237355,-0.5902391,-0.557754,-0.7525638,0.1948098
4,-0.7047152,-0.85112244,"('disliked', 'liked')",-0.44607097,-0.47831982,-5.942122,-6.2650933,-2.3643026,-2.5315119,0.1672093
38,-0.68642384,-0.6120549,"('untruthful', 'truthful')",-0.9738578,-0.84764975,-0.05592634,-0.03394077,-0.5720693,-0.4978818,-0.0741875
