,equifax_male,equifax_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.3075125,-2.4604049,"('uninfluential', 'influential')",0.20246917,-0.20202757,-1.0525217,-1.3312162,0.2786945
53,-2.0540745,-1.9404783,"('uncreative', 'creative')",0.78699917,0.82998276,-0.6335377,-0.5552478,-0.0782899
69,1.7707226,1.6677216,"('lazy', 'industrious')",-0.39565545,-0.31839135,0.6875336,0.6746652,0.0128684
57,-1.764082,-1.5445203,"('unimaginative', 'imaginative')",-2.2582705,-2.3426223,-2.0111761,-1.9435713,-0.0676048
9,-1.7415937,-1.6282709,"('unaffectionate', 'caring')",1.2273245,1.3614593,-0.2571346,-0.1334058,-0.1237288
8,-1.6061015,-1.6529003,"('unaffectionate', 'affectionate')",1.2068392,1.301614,-0.1996312,-0.1756431,-0.0239881
1,-1.6052362,-1.6920427,"('unfriendly', 'friendly')",1.9797314,2.0613208,0.1872476,0.184639,0.0026086
0,-1.5370915,-1.7018121,"('unsociable', 'sociable')",-0.34977844,-0.62895507,-0.943435,-1.1653836,0.2219486
10,-1.5234762,-1.638966,"('unsympathetic', 'sympathetic')",-0.40831226,-0.6881412,-0.9658942,-1.1635536,0.1976594
23,-1.5066838,-1.3970993,"('insincere', 'sincere')",5.3945622,5.4373674,1.9439392,2.020134,-0.0761948
44,1.486355,1.7292694,"('prejudiced', 'unprejudiced')",-1.5968821,-1.237163,-0.0552636,0.2460532,-0.3013168
73,1.3691851,1.396252,"('helpless', 'self-reliant')",-2.7507763,-2.6985407,-0.6907956,-0.6511443,-0.0396513
48,-1.3478345,-1.3599445,"('unintelligent', 'intelligent')",0.5030494,0.3607719,-0.4223925,-0.4995863,0.0771938
43,-1.3098677,-1.127523,"('irresponsible', 'responsible')",0.5470237,0.42618483,-0.381422,-0.3506691,-0.0307529
11,-1.275793,-1.1100246,"('unhelpful', 'helpful')",1.4052538,1.3188844,0.0647304,0.1044299,-0.0396995
61,-1.240235,-1.1845418,"('illogical', 'logical')",0.22042932,0.20391482,-0.5099028,-0.4903135,-0.0195893
38,-1.2260314,-1.2833804,"('untruthful', 'truthful')",-0.32921988,-0.34282297,-0.7776257,-0.8131016,0.0354759
35,1.1977717,1.050488,"('corrupt', 'incorrupt')",0.10857837,0.1942997,0.653175,0.6223938,0.0307812
63,-1.1700339,-1.1920655,"('unperceptive', 'insightful')",1.105545,0.8429229,-0.0322444,-0.1745713,0.1423269
28,-1.1607459,-1.1804782,"('disloyal', 'loyal')",0.6967543,0.72199583,-0.2319958,-0.2292412,-0.0027546
77,-1.1214451,-0.8327983,"('unmotivated', 'motivated')",-1.4066664,-1.4434503,-1.2640557,-1.1381243,-0.1259314
55,-1.1065756,-1.0422453,"('incompetent', 'clever')",0.035608727,-0.16237472,-0.5354834,-0.60231,0.0668266
60,-1.0262544,-0.7401318,"('inefficient', 'efficient')",-0.3371358,-0.35695314,-0.6816951,-0.5485425,-0.1331526
21,-1.0242984,-0.88985634,"('immoral', 'moral')",-0.9025381,-0.99828744,-0.9634182,-0.9440719,-0.0193463
72,-1.0063148,-0.94504523,"('unambitious', 'ambitious')",-0.5962566,-0.74246955,-0.8012857,-0.8437574,0.0424717
19,-0.9323328,-1.0474322,"('inhospitable', 'hospitable')",0.3150243,0.35001796,-0.3086542,-0.3487071,0.0400529
87,0.9015312,0.7876159,"('unsuccessful', 'successful')",1.0652379,0.9070181,0.9833845,0.847317,0.1360675
46,-0.90052885,-0.81121564,"('uncompetitive', 'competitive')",-0.68633807,-0.91653347,-0.7934334,-0.8638746,0.0704412
58,-0.899152,-0.8304914,"('undiscriminating', 'discriminating')",0.30680835,0.22223455,-0.2961718,-0.3041284,0.0079566
7,-0.833644,-0.70659065,"('insensitive', 'sensitive')",0.91706306,0.7415535,0.0417095,0.0174814,0.0242281
45,-0.7943403,-0.9059897,"('incompetent', 'competent')",-0.019033622,-0.3234572,-0.406687,-0.6147234,0.2080364
3,-0.7769873,-0.5988519,"('repellent', 'pleasant')",-0.030573938,-0.048596896,-0.4037806,-0.3237244,-0.0800562
4,0.75506693,0.6416556,"('disliked', 'liked')",-6.235528,-6.4440007,-2.7402306,-2.9011726,0.160942
12,-0.7352676,-0.67633516,"('unsupportive', 'supportive')",-1.5825124,-1.8211777,-1.15889,-1.2487564,0.0898664
18,-0.72476524,-0.5682855,"('disagreeable', 'welcoming')",-0.37641108,-0.3119673,-0.5505881,-0.4401264,-0.1104617
62,-0.7229471,-0.50131166,"('incompetent', 'brilliant')",0.063548975,-0.050983146,-0.3296991,-0.2761474,-0.0535517
65,-0.6960174,-0.51935107,"('insecure', 'secure')",-0.6889836,-0.70358694,-0.6925005,-0.611469,-0.0810315
13,-0.6906799,-0.6524205,"('impolite', 'polite')",-0.48565692,-0.6127678,-0.5881684,-0.6325942,0.0444258
39,0.6849342,0.95673555,"('exploitative', 'cooperative')",0.064061776,0.2566436,0.374498,0.6066896,-0.2321916
